,Date,Open,High,Low,Close,Volume,OtherData
0,2018-04-02,100.3,100.3,100.3,100.3,30000,0
1,2018-04-03,100.3,100.6,100.3,100.6,700,0
2,2018-04-05,101.5,101.5,101.5,101.5,110,0
3,2018-04-06,101.5,101.5,100.5,100.5,610,0
4,2018-04-11,100.3,100.3,100.3,100.3,1000,0
5,2018-04-12,100.3,100.3,100.3,100.3,500,0
6,2018-04-16,100.3,100.3,100.3,100.3,78700,0
7,2018-04-17,100.3,100.3,100.3,100.3,21300,0
8,2018-04-19,100.3,100.3,100.3,100.3,11000,0
9,2018-04-23,100.5,100.5,100.3,100.3,1060,40160
10,2018-04-25,100.3,100.3,100.3,100.3,10050,0
11,2018-04-26,100.3,100.3,100.2,100.2,10000,490980
12,2018-04-30,100.2,100.2,100.2,100.2,500,0
13,2018-05-02,100.3,101.0,100.3,101.0,730,0
14,2018-05-04,100.3,100.3,100.3,100.3,2980,0
15,2018-05-08,101.0,101.0,101.0,101.0,30,0
16,2018-05-09,100.5,100.5,100.5,100.5,1000,0
17,2018-05-10,100.3,100.3,100.3,100.3,28500,0
18,2018-05-11,101.0,101.0,100.3,100.4,5520,0
19,2018-05-16,100.5,100.9,100.5,100.9,9100,0
20,2018-05-17,100.4,100.9,100.4,100.9,75410,0
21,2018-05-18,100.0,100.0,100.0,100.0,15500,0
22,2018-05-21,100.0,100.5,100.0,100.1,28190,0
23,2018-05-22,100.1,100.1,100.0,100.0,350,0
24,2018-05-23,100.0,100.0,100.0,100.0,5600,0
25,2018-05-24,99.95,99.95,99.95,99.95,1000,99950
26,2018-05-25,100.0,100.3,97.0,97.7,40500,48750
27,2018-05-28,97.7,99.95,97.7,99.45,900,0
28,2018-05-29,99.45,99.45,97.1,97.3,580,0
29,2018-06-01,100.2,100.2,100.2,100.2,500,0
30,2018-06-04,97.5,97.5,97.5,97.5,500,0
31,2018-06-06,100.2,100.2,100.2,100.2,200,0
32,2018-06-08,100.2,100.2,100.0,100.0,160,0
33,2018-06-11,100.0,100.0,100.0,100.0,900,0
34,2018-06-14,100.0,100.0,99.0,100.0,5600,-495000
35,2018-06-18,100.0,100.0,99.5,99.5,10220,0
36,2018-06-19,99.4,99.5,99.4,99.5,930,79520
37,2018-06-20,99.5,99.5,99.5,99.5,1210,0
38,2018-06-21,100.0,100.0,99.0,99.0,11050,0
39,2018-06-22,99.0,99.0,99.0,99.0,4200,19800
40,2018-06-25,99.5,99.5,98.6,99.0,14100,0
41,2018-06-26,99.3,99.9,99.3,99.9,1070,0
42,2018-06-27,99.9,99.9,98.65,99.9,20610,0
43,2018-06-28,99.9,99.9,99.9,99.9,5500,0
44,2018-06-29,100.0,100.0,100.0,100.0,1500,0
45,2018-07-02,100.0,100.0,99.0,99.0,2000,0
46,2018-07-03,100.0,100.0,99.0,99.0,23630,0
47,2018-07-04,99.5,99.5,99.5,99.5,5500,0
48,2018-07-05,100.3,100.3,100.3,100.3,15350,0
49,2018-07-06,100.0,100.0,99.0,99.1,12500,0
50,2018-07-09,99.9,99.9,99.0,99.0,10000,0
51,2018-07-11,99.0,100.3,99.0,100.3,21400,0
52,2018-07-13,99.1,99.1,99.1,99.1,20,0
53,2018-07-17,100.3,100.3,99.3,99.3,20110,496500
54,2018-07-18,99.4,99.5,99.4,99.5,5500,-49700
55,2018-07-23,100.2,100.2,100.0,100.0,240,0
56,2018-07-24,99.6,99.6,99.5,99.5,9960,0
57,2018-07-25,99.6,99.6,99.5,99.5,10000,497500
58,2018-07-26,100.2,100.2,100.2,100.2,940,0
59,2018-07-27,100.0,100.3,100.0,100.3,15000,0
60,2018-07-30,100.3,100.3,100.3,100.3,300,0
61,2018-07-31,100.3,100.3,100.3,100.3,520,0
62,2018-08-01,100.0,100.3,100.0,100.3,1510,0
63,2018-08-02,100.2,100.3,100.2,100.2,3310,0
64,2018-08-03,100.3,100.8,100.3,100.8,13080,0
65,2018-08-06,100.8,101.0,100.1,101.0,12190,0
66,2018-08-07,101.0,101.0,101.0,101.0,2090,0
67,2018-08-08,100.1,100.1,100.0,100.0,2500,0
68,2018-08-09,101.0,101.0,101.0,101.0,20,0
69,2018-08-10,100.0,101.0,100.0,101.0,11050,0
70,2018-08-13,101.0,101.0,101.0,101.0,160,0
71,2018-08-14,101.0,101.0,101.0,101.0,3340,0
72,2018-08-15,99.7,99.7,99.7,99.7,10000,0
73,2018-08-16,99.5,99.5,99.5,99.5,100,0
74,2018-08-17,99.5,101.1,99.5,101.1,1120,0
75,2018-08-20,99.6,101.1,99.6,101.0,9830,0
76,2018-08-24,101.0,101.0,99.6,99.6,710,0
77,2018-08-31,99.6,99.6,99.6,99.6,60,0
