,Date,Open,High,Low,Close,Volume,OtherData
0,2006-12-04,0.51,0.51,0.46,0.46,120000,0.0
1,2006-12-14,0.42,0.42,0.42,0.42,160000,0.0
2,2006-12-15,0.42,0.42,0.4,0.4,150000,0.0
3,2006-12-18,0.45,0.45,0.45,0.45,50000,0.0
4,2006-12-19,0.46,0.46,0.41,0.41,360000,0.0
5,2006-12-21,0.45,0.5,0.45,0.5,140000,0.0
6,2006-11-03,0.33,0.33,0.33,0.33,50000,0.0
7,2006-11-17,0.43,0.43,0.43,0.43,20000,0.0
8,2006-11-29,0.42,0.64,0.42,0.59,1330000,0.0
9,2006-11-30,0.55,0.55,0.48,0.48,270000,0.0
10,2006-10-04,0.2,0.2,0.2,0.2,70000,0.0
11,2006-10-05,0.2,0.2,0.2,0.2,170000,0.0
12,2006-10-18,0.21,0.3,0.21,0.3,40000,0.0
13,2006-10-19,0.32,0.35,0.32,0.35,20000,0.0
14,2006-10-20,0.42,0.47,0.42,0.44,400000,0.0
15,2006-10-23,0.45,0.45,0.4,0.4,70000,0.0
16,2006-10-25,0.39,0.39,0.39,0.39,20000,0.0
17,2006-10-27,0.35,0.35,0.35,0.35,10000,0.0
18,2006-09-01,0.33,0.33,0.225,0.33,240000,0.0
19,2006-09-04,0.49,0.49,0.49,0.49,110000,0.0
20,2006-09-05,0.73,0.73,0.71,0.73,970000,0.0
21,2006-09-06,0.7,0.7,0.48,0.48,350000,0.0
22,2006-09-07,0.6,0.67,0.6,0.67,80000,0.0
23,2006-09-11,0.45,0.45,0.45,0.45,100000,0.0
24,2006-09-12,0.41,0.41,0.41,0.41,120000,0.0
25,2006-09-18,0.31,0.31,0.29,0.29,30000,0.0
26,2006-09-19,0.28,0.3,0.28,0.3,240000,0.0
27,2006-09-20,0.36,0.39,0.36,0.39,100000,0.0
28,2006-09-21,0.35,0.35,0.35,0.35,20000,0.0
29,2006-09-22,0.34,0.34,0.33,0.33,140000,0.0
30,2006-09-27,0.3,0.3,0.3,0.3,250000,0.0
31,2007-04-16,0.48,0.48,0.48,0.48,50000,0.0
32,2007-04-24,0.47,0.47,0.47,0.47,10000,0.0
33,2007-08-03,0.72,0.72,0.65,0.65,200000,0.0
34,2007-08-07,0.65,0.82,0.65,0.82,150000,0.0
35,2007-08-10,0.5,0.5,0.5,0.5,100000,0.0
36,2007-08-29,0.5,0.5,0.5,0.5,100000,0.0
37,2007-08-30,0.6,0.6,0.6,0.6,20000,0.0
38,2007-12-04,0.42,0.42,0.42,0.42,80000,0.0
39,2007-12-18,0.42,0.42,0.42,0.42,200000,0.0
40,2007-02-13,0.48,0.49,0.48,0.48,110000,0.0
41,2007-02-14,0.5,0.55,0.5,0.51,320000,-15300.0
42,2007-02-15,0.51,0.55,0.51,0.55,50000,0.0
43,2007-02-19,0.65,0.66,0.65,0.66,340000,84500.0
44,2007-02-20,0.68,0.74,0.65,0.74,800000,198600.0
45,2007-02-21,0.7,0.76,0.68,0.72,260000,0.0
46,2007-02-22,0.66,0.66,0.66,0.66,200000,0.0
47,2007-02-23,0.65,0.65,0.6,0.6,300000,-6500.0
48,2007-01-03,0.46,0.46,0.46,0.46,100000,0.0
49,2007-01-08,0.38,0.46,0.38,0.46,110000,0.0
50,2007-01-17,0.4,0.4,0.4,0.4,150000,0.0
51,2007-07-02,1.0,1.0,1.0,1.0,29000,0.0
52,2007-06-12,0.6,0.75,0.6,0.75,690000,0.0
53,2007-06-13,0.8,1.12,0.8,1.12,980000,-56000.0
54,2007-06-14,1.3,1.5,1.02,1.06,831000,0.0
55,2007-06-15,1.1,1.2,0.98,1.1,481000,-31000.0
56,2007-06-18,1.06,1.06,0.9,0.9,11000,0.0
57,2007-06-19,1.06,1.06,1.06,1.06,540000,0.0
58,2007-06-20,1.06,1.3,1.06,1.06,1143000,-23200.0
59,2007-06-21,1.08,1.3,1.08,1.26,364000,0.0
60,2007-06-22,1.28,1.28,1.12,1.16,299000,0.0
61,2007-06-25,1.14,1.3,1.14,1.3,607000,130000.0
62,2007-06-26,1.26,1.36,1.26,1.28,274000,0.0
63,2007-06-27,1.26,1.26,1.02,1.02,760000,0.0
64,2007-06-28,1.02,1.02,1.02,1.02,180000,0.0
65,2007-06-29,1.02,1.02,1.02,1.02,13000,0.0
66,2007-03-02,0.6,0.6,0.6,0.6,20000,0.0
67,2007-03-28,0.46,0.46,0.46,0.46,50000,0.0
68,2007-05-24,0.5,0.5,0.5,0.5,80000,0.0
69,2007-05-25,0.5,0.5,0.5,0.5,130000,0.0
70,2007-10-04,0.68,0.68,0.68,0.68,50000,0.0
71,2007-10-11,0.68,0.68,0.68,0.68,160000,0.0
