,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-02,1.8,1.8,1.8,1.8,60000,0
1,2006-08-03,1.8,1.8,1.8,1.8,20000,0
2,2006-08-04,1.8,1.8,1.8,1.8,90000,0
3,2006-10-20,2.0,2.0,2.0,2.0,20000,0
4,2006-09-07,1.76,1.76,1.76,1.76,20000,0
5,2007-04-20,3.2,3.2,3.2,3.2,10000,0
6,2007-08-24,3.0,4.0,3.0,4.0,70000,0
7,2007-12-17,3.75,3.75,3.75,3.75,5000,0
8,2007-12-28,2.5,2.5,2.5,2.5,10000,0
9,2007-02-07,2.8,2.8,2.8,2.8,20000,0
10,2007-02-08,2.8,2.8,2.8,2.8,20000,0
11,2007-02-14,3.0,3.0,3.0,3.0,20000,0
12,2007-02-21,3.0,3.0,3.0,3.0,1000,0
13,2007-02-22,2.8,2.8,2.8,2.8,70000,0
14,2007-01-04,2.5,2.5,2.5,2.5,10000,0
15,2007-03-02,2.8,2.8,2.8,2.8,10000,0
16,2007-03-05,2.8,2.8,2.8,2.8,10000,0
17,2007-03-06,3.0,3.0,3.0,3.0,20000,0
18,2007-03-07,3.0,3.0,3.0,3.0,20000,0
19,2007-03-13,3.0,3.0,3.0,3.0,10000,0
20,2007-09-05,3.75,3.75,3.75,3.75,5000,0
21,2008-02-01,2.5,2.5,2.5,2.5,40000,0
22,2008-02-08,3.0,3.0,3.0,3.0,175000,0
23,2009-12-01,8.6,9.1,8.6,9.1,3000,0
24,2009-12-02,9.1,11.0,9.1,10.25,113000,0
25,2009-12-03,11.0,14.0,10.25,14.0,39700,0
26,2009-12-04,19.0,21.0,17.5,19.25,48900,99700
27,2009-12-07,13.25,14.25,13.25,14.25,8000,0
28,2009-12-08,12.25,16.5,12.25,14.0,41900,0
29,2009-12-09,12.5,16.0,12.5,13.25,12800,0
30,2009-12-10,14.0,15.25,12.0,14.0,5400,0
31,2009-12-11,14.0,16.0,14.0,15.25,17700,0
32,2009-12-14,14.0,15.0,14.0,14.0,1600,0
33,2009-12-15,13.0,13.25,13.0,13.0,600,0
34,2009-12-16,10.0,12.5,10.0,12.5,600,0
35,2009-12-17,11.5,12.0,10.5,10.5,9200,1150
36,2009-12-18,10.0,10.0,10.0,10.0,100,0
37,2009-12-21,13.0,13.0,13.0,13.0,3000,0
38,2009-12-22,13.0,13.0,10.0,10.0,22100,-23000
39,2009-12-23,10.0,10.0,10.0,10.0,9000,0
40,2009-12-28,11.5,11.5,11.5,11.5,1000,0
41,2009-12-29,12.0,12.0,12.0,12.0,100,0
42,2009-01-14,2.8,2.8,2.8,2.8,2000,0
43,2009-06-09,4.2,4.2,4.2,4.2,1000,0
44,2009-11-03,6.8,6.9,6.4,6.4,13000,0
45,2009-11-06,7.0,7.0,7.0,7.0,1000,0
46,2009-11-09,8.0,9.6,8.0,8.0,7000,0
47,2009-11-19,7.0,9.0,7.0,9.0,6000,0
48,2009-11-24,7.1,8.8,7.1,8.8,6000,0
49,2009-10-06,4.8,4.8,4.8,4.8,20000,0
50,2009-10-07,6.5,7.1,6.5,7.1,17000,0
51,2009-10-08,7.2,10.25,7.2,10.25,61000,0
52,2009-10-09,9.1,10.0,8.9,9.0,95000,0
53,2009-10-13,6.3,6.8,6.3,6.8,65000,0
54,2009-10-14,7.0,10.0,7.0,9.9,156000,91900
55,2009-10-15,9.9,10.25,9.0,9.3,127000,0
56,2009-10-16,9.1,9.3,9.1,9.2,34000,0
57,2009-10-19,8.9,9.0,8.9,9.0,14000,80100
58,2009-10-20,9.0,9.0,9.0,9.0,22000,0
59,2009-10-21,9.0,9.0,8.9,8.9,24000,214000
60,2009-10-28,7.5,7.5,7.5,7.5,10000,0
61,2009-09-09,2.6,4.0,2.6,4.0,51000,159050
62,2009-09-10,4.5,5.1,4.5,5.1,20000,51000
63,2010-04-12,5.6,5.6,5.6,5.6,1000,0
64,2010-04-14,5.6,5.6,5.6,5.6,2000,0
65,2010-04-22,8.0,8.0,8.0,8.0,1000,0
66,2010-04-27,8.0,12.0,8.0,12.0,42000,0
67,2010-04-29,11.5,15.5,11.5,15.5,107800,0
68,2010-04-30,16.0,16.5,14.5,14.5,44800,0
69,2010-02-01,6.8,8.0,6.8,8.0,3000,0
70,2010-02-02,8.7,10.5,8.7,10.5,4000,0
71,2010-02-03,7.0,10.0,7.0,10.0,5000,0
72,2010-02-05,9.9,9.9,9.9,9.9,7000,0
73,2010-02-08,8.9,8.9,8.5,8.5,9000,0
74,2010-02-09,6.3,7.5,6.3,7.0,10000,0
75,2010-02-11,8.5,8.5,8.5,8.5,5000,0
76,2010-02-12,9.0,9.0,9.0,9.0,2000,0
77,2010-01-05,10.0,10.0,9.6,10.0,11500,0
78,2010-01-06,10.0,10.0,10.0,10.0,1000,0
79,2010-01-07,9.5,9.5,9.5,9.5,4000,0
80,2010-01-11,9.5,9.5,9.5,9.5,3000,0
81,2010-01-12,10.0,10.0,10.0,10.0,2000,0
82,2010-01-18,9.0,9.0,9.0,9.0,4000,0
83,2010-01-21,9.5,10.0,7.2,7.2,9000,0
84,2010-01-28,5.2,8.0,5.2,8.0,3000,0
85,2010-07-01,11.0,11.0,10.0,10.0,9000,0
86,2010-07-02,10.5,10.5,10.5,10.5,11000,0
87,2010-07-05,10.0,10.0,10.0,10.0,1000,0
88,2010-07-06,10.5,10.5,10.5,10.5,1000,0
89,2010-07-07,10.5,10.5,10.5,10.5,500,0
90,2010-07-13,10.0,11.0,10.0,11.0,2400,0
91,2010-07-14,11.5,11.5,11.5,11.5,2000,0
92,2010-07-15,11.0,11.0,11.0,11.0,3000,0
93,2010-07-20,10.5,10.5,10.5,10.5,5000,0
94,2010-07-22,10.5,11.0,10.5,11.0,23500,0
95,2010-07-23,11.0,11.0,11.0,11.0,1000,0
96,2010-06-01,9.0,9.0,9.0,9.0,10000,0
97,2010-06-10,9.0,9.0,9.0,9.0,5000,0
98,2010-06-11,9.0,9.0,9.0,9.0,1000,0
99,2010-06-15,9.0,13.5,9.0,13.25,100000,0
100,2010-06-16,13.0,13.0,12.0,12.5,12000,0
101,2010-06-17,13.0,13.0,11.5,12.0,5000,0
102,2010-06-21,9.5,10.0,9.5,9.7,11500,0
103,2010-06-28,10.0,10.5,10.0,10.5,4000,0
104,2010-06-29,10.0,10.0,10.0,10.0,9500,0
105,2010-03-02,7.1,7.1,7.1,7.1,2000,0
106,2010-03-04,8.2,8.2,8.2,8.2,1000,0
107,2010-03-08,7.2,7.2,7.2,7.2,1000,0
108,2010-03-12,5.1,5.1,5.1,5.1,1000,0
109,2010-03-17,7.6,7.6,7.6,7.6,1000,0
110,2010-03-22,5.4,5.4,5.4,5.4,1000,0
111,2010-03-24,3.3,7.1,3.3,7.1,2000,0
112,2010-03-25,5.1,8.9,5.1,8.9,4000,0
113,2010-05-04,14.0,14.0,12.0,12.0,10900,0
114,2010-05-05,11.0,11.0,11.0,11.0,20000,0
115,2010-05-11,8.0,8.0,8.0,8.0,2200,0
116,2010-05-12,7.8,7.8,7.8,7.8,3000,0
117,2010-05-14,7.5,7.5,7.5,7.5,10000,0
118,2010-05-17,7.5,7.5,7.5,7.5,1000,0
119,2010-05-21,8.0,8.0,8.0,8.0,1000,0
120,2010-05-27,8.0,10.25,8.0,9.5,10000,0
121,2010-07-27,12.7,12.7,12.5,12.5,5100,0
122,2010-08-18,10.02,10.02,10.0,10.0,2500,0
123,2010-08-19,10.0,10.0,5.0,5.0,600,0
124,2010-08-23,7.5,7.5,7.5,7.5,100,0
125,2010-09-08,6.16,9.0,6.16,9.0,2700,0
126,2010-09-13,7.5,7.5,7.2,7.2,23500,0
127,2010-09-16,9.9,9.9,9.9,9.9,1500,0
128,2010-10-06,7.2,7.2,7.2,7.2,700,0
129,2010-10-07,7.2,7.2,7.2,7.2,1800,0
130,2010-11-05,7.2,7.2,7.2,7.2,2500,0
131,2010-12-06,5.0,5.0,5.0,5.0,20000,0
132,2010-12-09,5.75,5.75,5.75,5.75,500,0
133,2010-12-14,8.58,8.58,8.58,8.58,1500,0
134,2010-12-15,8.56,8.56,8.56,8.56,300,0
135,2010-12-21,8.57,8.58,8.57,8.58,8000,0
136,2011-01-18,5.21,5.21,5.21,5.21,10000,0
137,2011-01-19,5.2,5.2,5.2,5.2,60000,0
138,2011-02-01,5.14,5.14,5.14,5.14,10000,0
139,2011-04-06,6.0,6.9,6.0,6.9,12900,0
140,2011-04-12,6.02,6.1,6.02,6.1,5400,0
141,2011-05-04,6.1,6.1,6.1,6.1,100,0
142,2011-06-03,4.12,4.12,3.98,3.98,1100,0
143,2011-06-16,4.12,4.12,4.12,4.12,1000,0
144,2011-06-17,5.0,5.0,5.0,5.0,2000,0
145,2011-07-01,4.12,4.12,4.12,4.12,1000,0
146,2011-07-04,3.02,3.02,3.02,3.02,5000,0
147,2011-08-23,4.12,4.12,4.12,4.12,1000,0
148,2011-08-26,4.35,4.38,4.33,4.38,564000,0
149,2011-08-31,4.45,4.46,4.45,4.46,621000,0
150,2011-09-01,4.81,4.81,4.81,4.81,7000,0
151,2011-09-02,4.53,4.54,4.53,4.54,21000,0
152,2011-09-05,4.6,4.65,4.6,4.65,23000,0
153,2011-09-06,4.98,4.98,4.98,4.98,32000,0
154,2011-09-07,5.03,6.18,5.03,6.18,69000,0
155,2011-09-08,7.08,8.5,7.08,7.3,500,0
156,2011-09-09,5.83,5.83,5.83,5.83,95000,0
157,2011-09-12,7.29,7.29,5.82,5.83,473600,0
158,2011-09-14,5.84,5.84,5.84,5.84,229000,0
159,2011-09-15,5.85,5.85,5.85,5.85,800,0
160,2011-09-19,6.0,6.0,5.85,5.85,800,0
161,2011-09-20,4.56,4.6,4.56,4.6,263000,0
162,2011-09-21,4.64,4.85,4.63,4.85,651000,0
163,2011-09-23,4.9,4.9,4.9,4.9,453000,0
164,2011-09-26,5.83,5.83,4.92,4.92,15000,0
165,2011-10-03,4.86,4.87,4.86,4.87,389000,0
166,2011-10-04,4.86,4.88,4.86,4.87,670000,0
167,2011-10-06,4.87,4.87,4.86,4.86,658000,0
168,2011-10-11,4.87,4.88,4.86,4.86,1403000,0
169,2011-10-12,4.88,4.9,4.87,4.9,601000,0
170,2011-10-13,4.87,4.87,4.87,4.87,12000,0
171,2011-10-14,4.88,4.89,4.88,4.89,484000,0
172,2011-10-17,4.93,4.93,4.92,4.92,659000,0
173,2011-10-18,4.93,4.95,4.93,4.94,849000,0
174,2011-10-19,5.01,5.5,5.01,5.5,628000,0
175,2011-10-20,4.81,4.81,4.8,4.8,494800,8658
176,2011-10-21,4.92,4.92,4.92,4.92,8000,0
177,2011-10-21,4.92,4.92,4.92,4.92,8000,0
178,2011-10-24,4.9,4.9,4.8,4.81,678000,0
179,2011-10-25,4.83,4.85,4.8,4.85,700000,0
180,2011-10-26,4.89,4.89,4.84,4.84,691000,0
181,2011-10-27,4.86,5.2,4.86,5.2,684000,0
182,2011-10-28,4.9,5.2,4.9,5.2,2800,0
183,2011-11-08,4.91,4.91,4.91,4.91,900,0
184,2011-11-10,5.2,6.1,5.2,6.1,21000,-5200
185,2011-11-11,6.31,9.15,6.31,9.15,22900,38603
186,2011-11-14,13.72,13.72,13.72,13.72,131200,20580
187,2011-11-15,20.55,20.55,20.55,20.55,59800,0
188,2011-11-16,29.9,30.8,16.0,30.8,632600,-250264
189,2011-11-17,31.1,46.2,30.0,46.2,1030200,-10500
190,2011-11-18,53.0,69.3,46.5,69.3,394800,24720
191,2011-11-21,79.0,102.8,74.9,76.0,369550,461860
192,2011-11-25,64.9,64.9,38.0,39.0,175490,13680
193,2011-11-28,31.0,40.0,27.6,35.1,295500,0
194,2011-11-29,35.3,52.0,32.0,39.75,104200,-21295
195,2011-12-01,40.0,42.5,35.8,36.7,36100,48970
196,2011-12-02,35.0,35.5,30.3,30.5,46100,96000
197,2011-12-05,30.0,32.5,30.0,30.65,22000,0
198,2011-12-06,30.0,30.8,27.0,28.0,22400,84000
199,2011-12-07,28.0,28.0,24.3,24.9,31600,0
200,2011-12-08,24.85,24.85,21.0,22.0,33100,9440
201,2011-12-09,21.2,28.0,20.5,23.05,51100,-2060
202,2011-12-12,24.9,25.8,24.0,25.15,50500,-10280
203,2011-12-13,25.6,37.7,25.6,34.05,147900,840
204,2011-12-14,35.0,39.9,34.9,38.2,186100,-38400
205,2011-12-15,38.5,39.0,30.0,32.0,242100,-50780
206,2011-12-16,32.05,35.0,32.05,33.65,44400,0
207,2011-12-19,33.75,33.9,30.05,30.7,38700,510
208,2011-12-20,30.65,32.0,27.1,27.9,56500,0
209,2011-12-21,28.0,28.1,26.9,27.0,30500,21680
210,2011-12-22,28.0,30.8,28.0,30.3,36800,-23910
211,2011-12-23,30.4,30.4,27.7,28.2,25800,0
212,2011-12-26,28.25,29.05,28.0,28.25,21200,0
213,2011-12-27,28.3,28.6,27.5,28.0,17700,0
214,2011-12-28,28.0,28.1,27.7,28.05,3000,0
215,2011-12-29,28.4,30.3,28.4,28.7,22200,8580
216,2012-01-02,28.8,33.8,28.5,30.0,76800,0
217,2012-01-03,30.2,32.0,30.2,31.95,25800,0
218,2012-01-04,32.05,38.0,32.05,37.0,185400,-35625
219,2012-01-05,40.0,55.5,40.0,55.5,686600,526365
220,2012-01-06,60.0,65.0,55.0,57.9,563550,-688092
221,2012-01-09,51.0,63.65,42.0,63.0,508410,50438
222,2012-01-10,63.9,63.9,52.2,54.75,315490,40450
223,2012-01-11,50.55,60.1,50.5,54.0,318940,23040
224,2012-01-12,54.0,57.0,52.8,53.0,66460,-27006
225,2012-01-13,54.9,54.9,52.0,52.0,86480,0
226,2012-01-16,50.9,53.2,50.55,51.0,43690,-15780
227,2012-01-17,51.0,53.25,49.5,52.0,147010,-41875
228,2012-01-18,52.0,52.5,50.25,50.6,121380,-4769
229,2012-01-19,51.7,54.95,51.7,52.1,115440,-159190
230,2012-01-20,53.5,53.5,51.2,51.3,56210,5210
