,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-03,0.0085,0.0085,0.0085,0.0085,8000000,0
1,2006-08-04,0.0085,0.0085,0.0085,0.0085,10000000,0
2,2006-08-08,0.008,0.008,0.008,0.008,15000000,0
3,2006-08-11,0.0085,0.0085,0.0085,0.0085,5000000,0
4,2006-12-06,0.0085,0.0085,0.0085,0.0085,24000000,0
5,2006-12-14,0.0075,0.0075,0.0075,0.0075,2000000,0
6,2006-12-18,0.008,0.0095,0.008,0.0095,50000000,0
7,2006-12-19,0.009,0.009,0.009,0.009,10000000,-36000
8,2006-11-03,0.009,0.009,0.0085,0.0085,14000000,0
9,2006-11-06,0.009,0.009,0.0085,0.0085,24000000,0
10,2006-11-15,0.008,0.008,0.008,0.008,5000000,0
11,2006-11-21,0.008,0.008,0.008,0.008,3000000,0
12,2006-11-23,0.009,0.009,0.009,0.009,10000000,0
13,2006-11-28,0.009,0.009,0.009,0.009,10000000,0
14,2006-11-30,0.0085,0.0085,0.0085,0.0085,14000000,34000
15,2006-10-13,0.008,0.009,0.008,0.009,18000000,26500
16,2006-10-20,0.009,0.009,0.009,0.009,11000000,0
17,2006-10-27,0.008,0.008,0.008,0.008,10000000,0
18,2006-10-31,0.0085,0.0085,0.0085,0.0085,2000000,0
19,2006-09-01,0.0085,0.0085,0.0085,0.0085,5000000,0
20,2006-09-04,0.009,0.0095,0.009,0.009,30000000,0
21,2006-09-05,0.0095,0.01,0.009,0.0095,28000000,54500
22,2006-09-07,0.0085,0.0085,0.0085,0.0085,4000000,0
23,2006-09-11,0.0085,0.0085,0.0085,0.0085,12000000,0
24,2006-09-12,0.0085,0.0085,0.0085,0.0085,1000000,0
25,2006-09-13,0.008,0.008,0.008,0.008,16000000,0
26,2006-09-15,0.008,0.008,0.008,0.008,8000000,0
27,2006-09-18,0.008,0.008,0.008,0.008,2000000,0
28,2006-09-21,0.008,0.008,0.008,0.008,4000000,0
29,2006-09-22,0.0075,0.008,0.0075,0.008,8000000,0
30,2007-04-02,0.015,0.015,0.014,0.015,163300000,0
31,2007-04-03,0.016,0.017,0.016,0.016,196700000,-48000
32,2007-04-04,0.017,0.018,0.017,0.018,269000000,0
33,2007-04-10,0.018,0.018,0.017,0.018,92700000,-180000
34,2007-04-11,0.018,0.019,0.017,0.018,218900000,0
35,2007-04-12,0.018,0.018,0.016,0.017,524800000,2732800
36,2007-04-13,0.016,0.016,0.014,0.014,244200000,28000
