,Date,Open,High,Low,Close,Volume,OtherData
0,2012-04-10,51.85,51.85,47.2,47.2,19700.0,0.0
1,2012-04-11,49.8,49.8,46.75,47.8,14600.0,-4790.0
2,2012-04-12,48.4,48.95,47.2,47.5,20800.0,-4835.0
3,2012-04-13,48.45,48.45,47.1,47.5,41500.0,-14465.0
4,2012-04-16,46.5,48.5,46.5,46.6,127800.0,-774300.0
5,2012-04-17,48.0,48.0,46.5,47.0,26200.0,-442220.0
6,2012-04-18,47.9,50.0,46.5,47.2,447100.0,0.0
7,2012-04-19,47.7,49.45,47.2,48.0,16900.0,0.0
8,2012-04-20,48.9,48.9,48.0,48.1,33900.0,0.0
9,2012-04-23,49.0,49.0,47.4,48.0,9100.0,0.0
10,2012-04-24,48.85,48.9,47.75,48.45,9300.0,0.0
11,2012-04-25,48.45,48.95,47.75,48.95,57000.0,-48000.0
12,2012-04-26,48.8,48.9,47.85,48.25,62500.0,0.0
13,2012-04-27,48.7,48.8,48.2,48.5,25700.0,0.0
14,2012-05-02,48.0,48.5,47.8,48.0,27800.0,0.0
15,2012-05-03,48.0,49.8,46.5,47.5,407100.0,0.0
16,2012-05-04,48.5,48.5,46.45,46.6,55300.0,0.0
17,2012-05-07,47.5,47.5,40.0,41.45,206900.0,0.0
18,2012-05-08,42.0,43.0,40.0,41.5,120300.0,42900.0
19,2012-05-09,42.5,42.5,36.0,37.65,216000.0,-7200.0
20,2012-05-10,38.9,38.9,34.55,36.5,55900.0,0.0
21,2012-05-11,38.0,38.0,32.0,32.25,133300.0,0.0
22,2012-05-14,34.0,35.0,29.95,32.75,161600.0,160.0
23,2012-05-15,30.2,35.0,30.0,30.5,862700.0,60350.0
24,2012-05-16,30.9,31.4,28.95,29.65,405000.0,-29800.0
25,2012-05-17,29.95,30.05,28.8,28.95,242900.0,232000.0
26,2012-05-18,29.0,29.5,27.0,27.0,540500.0,0.0
27,2012-05-21,27.0,27.95,26.9,27.0,51700.0,13500.0
28,2012-05-22,27.5,29.45,27.0,27.0,201500.0,-23160.0
29,2012-05-23,27.5,27.9,24.75,25.0,349500.0,0.0
30,2012-05-24,25.25,25.3,23.0,23.6,221600.0,-205065.0
31,2012-05-25,23.6,24.0,21.9,22.0,137600.0,0.0
32,2012-05-28,22.5,23.2,22.05,22.5,86100.0,23000.0
33,2012-05-29,22.3,28.8,22.25,28.3,514100.0,2726425.0
34,2012-05-30,28.8,29.75,24.7,27.0,1601500.0,-446735.0
35,2012-05-31,26.6,27.8,25.55,26.3,122500.0,0.0
36,2012-06-01,26.35,26.95,25.0,25.5,143600.0,50600.0
37,2012-06-04,25.5,25.5,23.7,24.5,24000.0,0.0
38,2012-06-05,25.35,25.35,23.0,25.0,94200.0,0.0
39,2012-06-06,25.0,25.0,23.35,23.5,149400.0,0.0
40,2012-06-07,24.6,25.45,23.55,24.2,137600.0,0.0
41,2012-06-08,24.45,24.55,23.35,23.7,81000.0,0.0
42,2012-06-11,24.25,24.75,23.35,23.85,100000.0,0.0
43,2012-06-13,23.95,23.95,22.4,22.4,70200.0,0.0
44,2012-06-14,23.5,23.5,21.8,22.4,113600.0,0.0
45,2012-06-15,22.5,23.55,21.9,21.9,73700.0,0.0
46,2012-06-18,22.75,23.0,21.8,22.85,53500.0,0.0
47,2012-06-19,22.85,23.25,20.8,20.95,123100.0,0.0
48,2012-06-20,21.85,22.5,20.75,22.35,67700.0,0.0
49,2012-06-21,22.35,23.9,21.8,23.5,227800.0,1026950.0
50,2012-06-22,23.5,26.15,22.8,24.05,369200.0,465065.0
51,2012-06-25,25.2,25.4,23.0,24.5,132100.0,0.0
52,2012-06-26,24.4,24.5,22.75,23.85,63000.0,2450.0
53,2012-06-27,23.85,23.95,22.0,23.25,73400.0,0.0
54,2012-06-28,23.25,25.3,23.25,24.6,267200.0,-1092655.0
55,2012-06-29,25.0,26.15,24.25,25.2,239600.0,0.0
56,2012-07-02,26.25,27.5,25.5,26.5,107600.0,0.0
57,2012-07-03,26.5,32.1,26.5,32.0,1123300.0,-43670.0
58,2012-07-04,33.2,34.8,32.4,33.5,1156400.0,0.0
59,2012-07-05,34.5,35.9,34.5,35.2,490300.0,105300.0
60,2012-07-06,35.6,36.5,35.25,35.8,299400.0,129940.0
61,2012-07-09,36.0,36.2,33.6,33.6,298800.0,0.0
62,2012-07-10,34.5,39.0,33.55,37.5,639500.0,1848355.0
63,2012-07-11,37.5,37.9,35.05,35.15,302200.0,74740.0
64,2012-07-12,35.15,36.45,34.0,34.5,89800.0,0.0
65,2012-07-13,35.9,36.0,33.2,33.95,128300.0,101700.0
66,2012-07-16,35.9,35.9,32.15,33.3,205100.0,0.0
67,2012-07-17,33.95,33.95,31.0,31.6,214700.0,0.0
68,2012-07-18,32.0,32.0,30.9,31.5,42900.0,0.0
69,2012-07-19,32.7,32.7,29.7,29.95,108700.0,514255.0
70,2012-07-20,31.75,31.75,30.0,30.2,63100.0,0.0
71,2012-07-23,30.75,30.75,27.5,28.0,106400.0,41700.0
72,2012-07-24,28.0,28.85,27.4,28.4,122900.0,0.0
73,2012-07-25,28.5,29.1,27.4,28.25,92700.0,0.0
74,2012-07-26,28.4,28.4,27.0,27.5,82400.0,0.0
75,2012-07-27,28.15,28.2,26.0,27.0,95500.0,-68250.0
76,2012-07-30,27.25,27.3,26.0,26.7,51400.0,0.0
77,2012-07-31,26.9,27.8,26.35,27.4,69500.0,10760.0
78,2012-08-01,27.75,27.75,26.3,27.0,23300.0,0.0
79,2012-08-02,27.45,27.45,25.5,26.5,95300.0,-3140.0
80,2012-08-03,26.8,26.8,25.8,26.0,31900.0,0.0
81,2012-08-06,26.85,26.85,24.5,25.0,116500.0,76500.0
82,2012-08-08,25.0,25.2,24.8,25.0,16000.0,0.0
83,2012-08-09,25.85,25.85,23.45,23.45,33400.0,11750.0
84,2012-08-10,24.8,24.8,21.3,22.9,197600.0,-8800.0
85,2012-08-13,23.2,23.2,22.85,23.0,97100.0,0.0
86,2012-08-14,23.4,24.3,23.05,24.0,136900.0,0.0
87,2012-08-15,24.1,26.2,24.1,24.6,211000.0,953505.0
88,2012-08-16,25.85,26.25,24.0,25.0,171100.0,-585810.0
89,2012-08-17,25.05,25.75,23.85,23.95,103700.0,-299450.0
90,2012-08-22,24.0,24.0,22.9,22.9,24400.0,6960.0
91,2012-08-23,24.3,24.3,23.0,23.05,39100.0,0.0
92,2012-08-24,23.8,23.8,22.05,23.0,16500.0,0.0
93,2012-08-28,23.8,23.8,22.95,23.0,46100.0,0.0
94,2012-08-29,23.6,23.6,23.0,23.1,13600.0,0.0
95,2012-08-30,23.5,23.8,23.1,23.7,16700.0,0.0
96,2012-08-31,23.7,23.9,21.95,23.8,154000.0,-302260.0
97,2012-09-03,23.9,23.9,23.0,23.5,11100.0,0.0
98,2012-09-04,23.4,23.9,20.0,20.95,684300.0,-670805.0
99,2012-09-05,20.95,21.85,20.8,21.25,80400.0,-342480.0
100,2012-09-06,21.5,21.9,19.96,20.3,342000.0,-661592.0
101,2012-09-07,20.8,21.3,20.25,20.55,161100.0,0.0
102,2012-09-10,21.0,21.45,20.25,20.4,53900.0,-106250.0
103,2012-09-11,20.95,21.1,20.4,20.5,34400.0,0.0
104,2012-09-12,21.1,21.1,20.5,20.85,11500.0,0.0
105,2012-09-13,21.0,21.0,20.6,21.0,12100.0,-124100.0
106,2012-09-14,21.0,21.2,20.75,21.0,39900.0,-60880.0
107,2012-09-17,21.2,22.3,21.2,22.2,118800.0,-169140.0
108,2012-09-18,22.5,23.5,22.0,22.2,40800.0,-2290.0
109,2012-09-19,22.2,23.1,21.9,22.4,41000.0,0.0
110,2012-09-20,22.95,22.95,21.3,21.3,33800.0,0.0
111,2012-09-21,22.0,22.0,21.0,21.8,7500.0,0.0
112,2012-09-24,22.2,22.2,20.3,21.75,32000.0,0.0
113,2012-09-25,21.5,21.95,20.7,21.65,5800.0,0.0
114,2012-09-26,21.45,21.65,20.65,21.6,53200.0,0.0
115,2012-09-27,21.65,22.45,21.55,22.2,16600.0,0.0
116,2012-09-28,22.3,22.3,21.55,22.0,10100.0,0.0
117,2012-10-01,22.35,22.4,20.7,21.0,24100.0,0.0
118,2012-10-02,22.0,22.0,20.7,20.7,18300.0,0.0
119,2012-10-03,21.6,21.6,20.65,20.7,39500.0,-4140.0
