,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,16.5,17.0,16.5,16.5,25900.0,0.0
1,2006-08-02,16.25,16.75,16.25,16.75,112900.0,0.0
2,2006-08-03,16.75,17.25,16.75,17.25,84200.0,0.0
3,2006-08-04,16.75,17.25,16.75,17.25,118300.0,0.0
4,2006-08-07,17.0,17.25,17.0,17.25,27600.0,0.0
5,2006-08-08,17.25,17.25,17.0,17.0,22300.0,0.0
6,2006-08-09,17.0,17.25,17.0,17.0,21100.0,0.0
7,2006-08-10,17.0,17.0,17.0,17.0,70000.0,0.0
8,2006-08-11,16.75,16.75,16.75,16.75,23500.0,0.0
9,2006-08-14,16.75,16.75,16.75,16.75,5000.0,0.0
10,2006-08-15,17.0,17.0,16.75,16.75,2900.0,0.0
11,2006-08-16,16.75,17.0,16.75,17.0,43100.0,0.0
12,2006-08-17,17.0,17.0,17.0,17.0,35000.0,0.0
13,2006-12-04,19.25,19.25,19.0,19.25,18600.0,0.0
14,2006-12-05,19.0,19.5,19.0,19.25,29000.0,0.0
15,2006-12-06,19.5,19.75,19.5,19.5,155100.0,0.0
16,2006-12-07,19.5,19.5,19.5,19.5,119300.0,0.0
17,2006-12-08,19.75,21.0,19.75,21.0,147600.0,0.0
18,2006-12-11,21.0,21.5,20.5,20.5,111200.0,0.0
19,2006-12-12,20.0,20.25,20.0,20.25,36200.0,0.0
20,2006-12-13,21.0,21.25,21.0,21.0,58000.0,0.0
21,2006-12-14,20.75,21.0,20.75,21.0,67900.0,0.0
22,2006-12-15,21.0,21.0,21.0,21.0,52800.0,0.0
23,2006-12-18,21.0,21.0,21.0,21.0,21400.0,0.0
24,2006-12-19,21.0,21.0,21.0,21.0,43500.0,0.0
25,2006-12-20,20.75,21.0,20.75,21.0,19800.0,0.0
26,2006-12-21,20.75,20.75,20.5,20.75,30200.0,0.0
27,2006-12-22,21.0,21.0,20.5,20.75,37300.0,0.0
28,2006-12-27,20.0,20.0,20.0,20.0,9200.0,0.0
29,2006-12-28,20.0,20.25,20.0,20.25,19700.0,0.0
30,2006-12-29,20.5,20.5,20.25,20.25,25800.0,0.0
31,2006-11-02,21.0,21.0,21.0,21.0,111600.0,0.0
32,2006-11-03,21.0,21.5,21.0,21.5,272000.0,0.0
33,2006-11-06,21.0,21.25,21.0,21.25,813500.0,0.0
34,2006-11-07,21.5,22.0,21.5,22.0,356600.0,0.0
35,2006-11-08,21.75,22.0,21.5,22.0,111600.0,0.0
36,2006-11-09,22.0,22.75,22.0,22.5,184300.0,0.0
37,2006-11-10,22.75,23.0,22.5,22.75,217600.0,0.0
38,2006-11-13,22.5,22.75,22.5,22.75,21600.0,0.0
39,2006-11-14,22.75,22.75,21.5,21.5,136900.0,0.0
40,2006-11-15,22.0,22.0,22.0,22.0,22000.0,0.0
41,2006-11-16,21.75,22.0,21.75,22.0,35000.0,0.0
42,2006-11-17,21.75,21.75,21.5,21.5,131400.0,0.0
43,2006-11-20,21.5,21.75,21.25,21.25,34900.0,0.0
44,2006-11-21,21.0,21.0,20.5,20.75,108800.0,0.0
45,2006-11-22,20.75,20.75,20.5,20.5,80200.0,0.0
46,2006-11-23,20.5,20.5,20.5,20.5,62000.0,0.0
47,2006-11-24,20.25,20.25,19.75,20.0,138400.0,0.0
48,2006-11-27,19.75,19.75,19.75,19.75,9000.0,0.0
49,2006-11-28,19.5,19.75,19.5,19.5,73500.0,0.0
50,2006-11-29,19.25,19.25,19.25,19.25,35000.0,0.0
51,2006-11-30,19.25,19.25,19.0,19.0,51600.0,0.0
52,2006-10-02,16.25,16.5,16.25,16.5,27000.0,0.0
53,2006-10-03,16.5,16.5,16.5,16.5,7000.0,0.0
54,2006-10-04,16.5,16.75,16.5,16.75,74400.0,0.0
55,2006-10-05,17.0,17.5,17.0,17.5,117900.0,0.0
56,2006-10-06,17.5,18.0,17.5,18.0,302600.0,0.0
57,2006-10-09,18.0,18.0,17.0,18.0,72400.0,0.0
58,2006-10-10,18.0,18.25,18.0,18.25,251800.0,0.0
59,2006-10-11,18.0,18.0,18.0,18.0,153700.0,0.0
60,2006-10-12,18.25,18.75,18.25,18.75,257200.0,0.0
61,2006-10-13,18.75,18.75,18.75,18.75,14200.0,0.0
62,2006-10-16,18.75,18.75,18.25,18.75,85200.0,0.0
63,2006-10-17,18.75,19.0,18.75,19.0,68700.0,0.0
64,2006-10-18,19.0,19.0,19.0,19.0,43600.0,0.0
65,2006-10-19,19.0,19.75,19.0,19.75,129300.0,0.0
66,2006-10-20,19.5,19.75,19.5,19.5,100200.0,0.0
67,2006-10-23,19.5,19.5,19.5,19.5,37600.0,0.0
68,2006-10-25,19.75,20.25,19.75,20.25,570000.0,0.0
69,2006-10-26,20.5,21.0,20.25,21.0,998000.0,0.0
70,2006-10-27,21.0,21.5,21.0,21.25,132300.0,0.0
71,2006-10-30,21.5,21.5,21.0,21.25,153500.0,0.0
72,2006-10-31,21.25,21.25,21.0,21.0,20500.0,0.0
73,2006-09-01,16.25,16.5,16.25,16.5,10600.0,0.0
74,2006-09-04,16.5,16.5,16.25,16.25,18500.0,0.0
75,2006-09-05,16.0,16.25,16.0,16.0,41800.0,0.0
76,2006-09-06,16.25,16.25,16.0,16.25,51300.0,0.0
77,2006-09-07,16.25,16.25,16.25,16.25,6200.0,0.0
78,2006-09-08,16.25,16.25,16.0,16.0,6300.0,0.0
79,2006-09-11,16.0,16.0,16.0,16.0,2500.0,0.0
80,2006-09-12,16.0,16.0,16.0,16.0,59500.0,0.0
81,2006-09-13,16.0,16.0,16.0,16.0,40900.0,0.0
82,2006-09-14,16.0,16.25,16.0,16.25,26100.0,0.0
83,2006-09-15,16.0,16.0,16.0,16.0,11900.0,0.0
84,2006-09-18,16.0,16.5,16.0,16.5,58800.0,0.0
85,2006-09-19,16.5,17.0,16.5,16.75,101000.0,0.0
86,2006-09-20,16.75,17.0,16.75,17.0,36700.0,0.0
87,2006-09-22,16.5,16.5,16.25,16.5,69000.0,0.0
88,2006-09-26,16.5,16.5,16.25,16.5,4500.0,0.0
89,2006-09-27,16.5,16.5,16.25,16.5,69900.0,0.0
90,2007-04-02,25.0,26.0,25.0,26.0,199700.0,0.0
91,2007-04-03,26.0,26.0,26.0,26.0,62100.0,0.0
92,2007-04-04,26.0,26.0,25.5,26.0,35600.0,0.0
93,2007-04-10,26.0,26.5,26.0,26.5,150400.0,0.0
94,2007-04-11,26.5,27.0,26.0,26.5,59000.0,0.0
95,2007-04-12,26.0,26.0,26.0,26.0,210200.0,0.0
96,2007-04-13,26.5,26.5,26.0,26.5,102700.0,0.0
97,2007-04-16,26.5,26.5,26.5,26.5,21700.0,0.0
98,2007-04-17,26.0,27.0,26.0,27.0,88600.0,0.0
99,2007-04-18,26.5,27.5,26.5,27.0,80100.0,0.0
100,2007-04-19,27.0,27.5,26.5,27.0,108000.0,0.0
101,2007-04-20,27.0,29.0,27.0,28.5,896400.0,0.0
102,2007-04-23,29.0,29.0,28.0,28.5,160400.0,0.0
103,2007-04-24,28.5,28.5,28.0,28.0,243100.0,0.0
104,2007-04-25,28.5,28.5,28.0,28.0,80000.0,0.0
105,2007-04-26,28.0,28.0,27.5,28.0,155300.0,0.0
106,2007-04-27,28.0,28.0,28.0,28.0,353100.0,0.0
107,2007-04-30,27.5,28.0,27.5,28.0,204300.0,0.0
108,2007-08-01,34.0,35.0,34.0,34.5,114400.0,0.0
109,2007-08-02,34.5,34.5,32.5,33.0,60700.0,0.0
110,2007-08-03,31.0,31.0,30.0,30.5,32000.0,0.0
111,2007-08-06,29.0,32.5,29.0,32.0,843400.0,0.0
112,2007-08-07,32.5,33.5,32.5,33.0,261900.0,0.0
113,2007-08-08,34.0,34.5,34.0,34.5,224500.0,0.0
114,2007-08-09,33.5,33.5,33.0,33.0,53300.0,0.0
115,2007-08-10,32.5,32.5,31.0,32.0,444400.0,0.0
116,2007-08-13,32.0,32.0,31.5,31.5,134400.0,0.0
117,2007-08-14,31.0,31.0,30.5,31.0,206000.0,0.0
118,2007-08-15,30.0,30.5,30.0,30.5,258300.0,0.0
119,2007-08-16,30.5,31.0,29.5,29.5,160800.0,0.0
120,2007-08-17,30.0,30.5,29.5,29.5,137200.0,0.0
121,2007-08-21,30.0,32.0,30.0,31.5,74700.0,0.0
122,2007-08-22,31.5,31.5,31.0,31.0,4600.0,0.0
123,2007-08-23,31.0,32.0,31.0,31.5,110800.0,0.0
124,2007-08-24,31.0,31.5,31.0,31.5,12800.0,0.0
125,2007-08-28,31.5,31.5,31.0,31.0,16200.0,0.0
126,2007-08-29,29.0,31.0,29.0,31.0,150400.0,0.0
127,2007-08-30,31.0,31.5,31.0,31.0,7400.0,0.0
128,2007-08-31,31.0,32.0,30.0,32.0,148500.0,0.0
129,2007-12-03,34.0,34.5,34.0,34.0,12800.0,0.0
130,2007-12-04,34.0,34.5,34.0,34.5,66700.0,0.0
131,2007-12-05,34.5,34.5,34.0,34.0,113200.0,0.0
132,2007-12-06,34.5,34.5,34.5,34.5,16800.0,0.0
133,2007-12-07,34.5,34.5,34.0,34.0,2100.0,0.0
134,2007-12-11,34.0,34.5,33.5,34.5,68000.0,0.0
135,2007-12-13,33.5,33.5,33.5,33.5,8700.0,0.0
136,2007-12-14,33.5,33.5,33.5,33.5,21000.0,0.0
137,2007-12-17,33.0,33.5,33.0,33.5,130000.0,0.0
138,2007-12-18,33.0,33.0,33.0,33.0,10500.0,0.0
139,2007-12-19,32.5,32.5,32.0,32.5,35300.0,0.0
140,2007-12-20,32.5,32.5,32.5,32.5,13300.0,0.0
141,2007-12-26,33.0,33.0,32.5,32.5,16300.0,0.0
142,2007-12-27,32.5,32.5,32.0,32.5,11500.0,0.0
143,2007-12-28,32.5,32.5,32.0,32.5,5600.0,0.0
144,2007-02-01,22.25,22.75,22.25,22.75,159200.0,0.0
145,2007-02-02,22.75,23.25,22.75,23.25,188400.0,0.0
146,2007-02-05,23.5,23.5,23.0,23.0,114400.0,0.0
147,2007-02-06,23.25,23.5,23.0,23.0,253100.0,0.0
148,2007-02-07,23.25,23.25,23.25,23.25,39500.0,0.0
149,2007-02-08,23.0,23.25,23.0,23.0,178900.0,0.0
