,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,16.75,16.75,16.75,16.75,8100.0,0.0
1,2006-08-02,16.75,16.75,16.75,16.75,307400.0,3473950.0
2,2006-08-03,17.0,17.25,17.0,17.25,855800.0,5649250.0
3,2006-08-04,17.0,17.5,17.0,17.5,181400.0,2212000.0
4,2006-08-07,17.5,17.5,17.5,17.5,47000.0,822500.0
5,2006-08-08,17.25,17.25,17.25,17.25,31000.0,69000.0
6,2006-08-09,17.25,17.25,17.25,17.25,550800.0,3908850.0
7,2006-08-10,17.25,17.25,17.25,17.25,20000.0,0.0
8,2006-08-11,17.25,17.25,17.25,17.25,4000.0,0.0
9,2006-08-14,17.25,17.25,17.0,17.0,265000.0,2210000.0
10,2006-08-15,17.0,17.0,17.0,17.0,444100.0,0.0
11,2006-08-16,17.0,17.25,17.0,17.25,265100.0,4054725.0
12,2006-08-17,17.25,17.5,17.25,17.5,718100.0,-705525.0
13,2006-12-04,19.5,19.5,19.25,19.5,393100.0,383050.0
14,2006-12-05,19.5,19.5,19.25,19.5,44000.0,-175750.0
15,2006-12-06,19.5,19.75,19.5,19.5,365700.0,-5938650.0
16,2006-12-07,19.5,20.0,19.5,20.0,1482400.0,-1950.0
17,2006-12-08,20.0,21.25,20.0,21.25,360500.0,-274000.0
18,2006-12-11,21.5,21.5,21.0,21.25,432200.0,-4896000.0
19,2006-12-12,20.5,20.5,20.0,20.5,208000.0,-2113500.0
20,2006-12-13,20.75,21.0,20.75,20.75,136400.0,-2167750.0
21,2006-12-14,21.0,21.0,21.0,21.0,95000.0,-1281000.0
22,2006-12-15,21.0,21.0,21.0,21.0,207200.0,-3595200.0
23,2006-12-18,21.0,21.0,21.0,21.0,129800.0,-1822800.0
24,2006-12-19,21.25,21.25,21.0,21.0,232000.0,-4416700.0
25,2006-12-20,20.75,20.75,20.5,20.5,155000.0,-3112500.0
26,2006-12-21,20.5,20.5,20.5,20.5,597700.0,-10967500.0
27,2006-12-22,20.5,20.75,20.5,20.5,231500.0,-4510500.0
28,2006-12-28,20.0,20.25,20.0,20.0,295300.0,-4699000.0
29,2006-12-29,20.25,20.5,20.0,20.25,1148800.0,-10300675.0
30,2006-11-02,21.25,21.25,21.0,21.25,205300.0,4196050.0
31,2006-11-03,21.5,21.75,21.5,21.5,508300.0,5989425.0
32,2006-11-06,21.25,22.0,21.25,22.0,1158800.0,11573750.0
33,2006-11-07,22.0,22.5,22.0,22.5,288500.0,5998750.0
34,2006-11-08,22.25,22.5,22.0,22.25,227600.0,362675.0
35,2006-11-09,22.5,23.5,22.5,23.5,339900.0,7037825.0
36,2006-11-10,23.75,24.0,23.75,23.75,568100.0,4945925.0
37,2006-11-13,23.75,23.75,22.75,23.5,115100.0,-921125.0
38,2006-11-14,22.75,22.75,21.75,22.0,249500.0,-799675.0
39,2006-11-15,22.0,22.25,22.0,22.25,124000.0,-1296250.0
40,2006-11-16,22.0,22.0,21.75,22.0,257000.0,-98800.0
41,2006-11-17,22.0,22.5,22.0,22.0,561400.0,-1385350.0
42,2006-11-20,21.75,21.75,21.5,21.5,43000.0,-717000.0
43,2006-11-21,21.0,21.0,20.5,20.75,718700.0,-4017100.0
44,2006-11-22,21.0,21.0,20.5,20.5,373000.0,503350.0
45,2006-11-23,20.5,20.75,20.5,20.5,688000.0,-4194325.0
46,2006-11-24,20.25,20.25,19.75,20.0,604500.0,-7927250.0
47,2006-11-27,20.0,20.0,20.0,20.0,147500.0,1122000.0
48,2006-11-28,20.0,20.0,19.5,19.5,606600.0,-4973000.0
49,2006-11-29,19.25,20.0,19.25,19.5,375100.0,23100.0
50,2006-11-30,19.5,19.5,19.25,19.25,1954300.0,-1733675.0
51,2006-10-02,16.25,16.5,16.25,16.5,2129000.0,5297750.0
52,2006-10-03,16.5,16.5,16.5,16.5,1218000.0,8547000.0
53,2006-10-04,16.75,16.75,16.75,16.75,222700.0,-3350000.0
54,2006-10-05,17.0,17.25,17.0,17.25,38000.0,0.0
