,Date,Open,High,Low,Close,Volume,OtherData
0,2008-12-09,505.0,510.0,505.0,510.0,150,0.0
1,2008-12-11,510.0,510.0,510.0,510.0,300,-153000.0
2,2008-12-18,510.0,510.0,505.0,505.0,1260,0.0
3,2008-12-24,500.0,500.0,497.5,497.5,2250,0.0
4,2008-11-25,510.0,510.0,510.0,510.0,200,0.0
5,2008-11-26,510.0,510.0,510.0,510.0,50,-25500.0
6,2008-11-27,510.0,510.0,510.0,510.0,420,0.0
7,2009-04-03,530.0,530.0,530.0,530.0,130,0.0
8,2009-04-13,520.0,530.0,520.0,530.0,2070,0.0
9,2009-04-14,530.0,530.0,530.0,530.0,1600,0.0
10,2009-04-15,530.0,530.0,530.0,530.0,400,0.0
11,2009-08-03,520.0,520.0,520.0,520.0,580,0.0
12,2009-08-06,520.0,520.0,515.0,515.0,1500,0.0
13,2009-08-07,520.0,520.0,520.0,520.0,1010,0.0
14,2009-08-11,520.0,520.0,520.0,520.0,100,0.0
15,2009-08-12,525.0,525.0,525.0,525.0,20,0.0
16,2009-08-25,520.0,520.0,520.0,520.0,1300,0.0
17,2009-08-26,525.0,525.0,515.0,515.0,2000,0.0
18,2009-08-27,525.0,525.0,525.0,525.0,1500,0.0
19,2009-08-28,525.0,525.0,525.0,525.0,700,0.0
20,2009-12-01,520.0,520.0,520.0,520.0,4000,0.0
21,2009-12-04,530.0,530.0,530.0,530.0,1000,0.0
22,2009-12-09,530.0,530.0,530.0,530.0,1700,0.0
23,2009-12-15,525.0,525.0,525.0,525.0,10000,0.0
24,2009-12-16,525.0,530.0,525.0,525.0,5160,525000.0
25,2009-12-21,525.0,525.0,525.0,525.0,30,0.0
26,2009-12-22,525.0,525.0,520.0,520.0,8070,0.0
27,2009-12-23,520.0,520.0,520.0,520.0,2030,0.0
28,2009-12-28,525.0,525.0,525.0,525.0,500,0.0
29,2009-02-02,505.0,510.0,505.0,510.0,7640,0.0
30,2009-02-03,510.0,515.0,510.0,515.0,5740,0.0
31,2009-02-04,510.0,510.0,510.0,510.0,4900,0.0
32,2009-02-05,505.0,510.0,505.0,510.0,7280,-3508800.0
33,2009-02-06,510.0,510.0,510.0,510.0,30,0.0
34,2009-02-11,505.0,505.0,505.0,505.0,22710,1010000.0
35,2009-02-12,505.0,505.0,505.0,505.0,19010,0.0
36,2009-02-16,505.0,505.0,505.0,505.0,580,0.0
37,2009-02-17,505.0,505.0,505.0,505.0,14160,0.0
38,2009-02-18,505.0,505.0,505.0,505.0,10800,0.0
39,2009-02-23,510.0,510.0,510.0,510.0,3050,0.0
40,2009-02-26,510.0,510.0,510.0,510.0,200,0.0
41,2009-02-27,505.0,510.0,505.0,510.0,10010,0.0
42,2009-01-09,497.5,497.5,497.5,497.5,1000,0.0
43,2009-01-14,497.5,497.5,497.5,497.5,500,0.0
44,2009-01-15,505.0,505.0,505.0,505.0,200,0.0
45,2009-01-19,497.5,497.5,497.5,497.5,4000,0.0
46,2009-01-21,500.0,500.0,500.0,500.0,208690,-49000000.0
47,2009-01-22,500.0,500.0,497.5,500.0,200300,-50000000.0
