,Date,Open,High,Low,Close,Volume,OtherData
0,2013-11-15,504.0,515.0,504.0,514.5,15480,0.0
1,2013-11-18,511.0,515.0,510.0,514.5,43890,0.0
2,2013-11-19,514.0,514.5,514.0,514.5,32310,0.0
3,2013-11-20,514.5,516.0,514.5,515.0,23600,0.0
4,2013-11-21,515.0,516.0,515.0,515.0,5510,0.0
5,2013-11-22,515.0,516.5,515.0,516.5,51540,0.0
6,2013-11-25,516.0,516.0,515.5,516.0,45170,0.0
7,2013-11-26,516.0,516.0,516.0,516.0,49560,0.0
8,2013-11-27,516.5,518.0,516.5,518.0,220,0.0
9,2013-11-28,518.0,524.0,518.0,524.0,1760,0.0
10,2013-11-29,524.5,527.0,524.0,525.0,8850,0.0
11,2013-12-02,525.0,530.0,525.0,525.0,32280,0.0
12,2013-12-03,530.0,533.0,530.0,533.0,15030,0.0
13,2013-12-04,534.0,535.0,530.0,530.0,14490,0.0
14,2013-12-05,530.0,530.0,530.0,530.0,1600,0.0
15,2013-12-09,530.0,530.0,530.0,530.0,41300,0.0
16,2013-12-10,530.0,530.0,527.0,527.0,11590,26350.0
17,2013-12-11,527.0,527.0,527.0,527.0,50,0.0
18,2013-12-12,527.0,527.0,527.0,527.0,1890,0.0
19,2013-12-13,526.0,527.0,526.0,527.0,4650,0.0
20,2013-12-16,527.0,527.0,525.0,527.0,39800,0.0
21,2013-12-17,527.0,528.0,527.0,527.5,4720,0.0
22,2013-12-18,528.0,528.0,527.5,528.0,4930,0.0
23,2013-12-19,528.0,528.0,527.5,527.5,4000,0.0
24,2013-12-20,527.5,527.5,527.0,527.0,24410,0.0
25,2013-12-23,527.0,527.0,525.0,525.0,18330,0.0
26,2013-12-26,525.0,525.0,523.0,525.0,3910,0.0
27,2013-12-27,521.0,521.0,521.0,521.0,500,0.0
28,2014-01-03,525.0,525.0,525.0,525.0,1540,5250.0
29,2014-01-06,525.0,525.0,525.0,525.0,5550,0.0
30,2014-01-07,527.0,532.0,527.0,532.0,16350,10640.0
31,2014-01-09,526.5,526.5,525.0,525.0,9080,5260.0
32,2014-01-10,525.0,525.0,525.0,525.0,5750,0.0
33,2014-01-13,526.0,526.0,525.0,525.0,6040,0.0
34,2014-01-14,526.0,526.0,526.0,526.0,2060,0.0
35,2014-01-15,527.0,529.0,527.0,529.0,3010,0.0
36,2014-01-16,529.0,530.0,529.0,530.0,180,0.0
37,2014-01-17,527.0,527.0,527.0,527.0,1400,-737800.0
38,2014-01-20,525.0,526.0,515.0,515.0,13180,0.0
39,2014-01-21,527.0,530.0,525.0,525.0,13180,0.0
40,2014-01-22,527.0,527.0,520.0,520.0,7860,1496250.0
41,2014-01-23,525.0,525.0,525.0,525.0,90,0.0
42,2014-01-24,523.0,525.0,523.0,525.0,6150,0.0
43,2014-01-27,525.0,525.0,525.0,525.0,40,0.0
44,2014-01-28,525.0,526.0,525.0,525.0,10100,0.0
45,2014-02-03,521.0,522.0,521.0,522.0,150,0.0
46,2014-02-04,525.0,526.0,525.0,526.0,7160,0.0
47,2014-02-05,525.0,525.0,525.0,525.0,1400,0.0
48,2014-02-06,525.0,527.0,524.0,527.0,7000,0.0
49,2014-02-07,525.0,525.0,525.0,525.0,200,0.0
50,2014-02-10,526.5,526.5,525.0,525.0,5180,0.0
51,2014-02-11,525.0,525.0,524.5,524.5,24850,0.0
52,2014-02-12,525.0,525.0,524.0,524.0,990,0.0
53,2014-02-13,525.0,525.0,525.0,525.0,750,0.0
54,2014-02-14,525.0,525.0,525.0,525.0,4000,0.0
55,2014-02-17,525.0,526.0,525.0,526.0,490,0.0
56,2014-02-18,525.0,525.0,525.0,525.0,4310,1260000.0
57,2014-02-19,525.0,526.0,525.0,525.0,5620,0.0
58,2014-02-20,525.0,525.0,525.0,525.0,15280,-52500.0
59,2014-02-21,524.0,525.0,524.0,525.0,4350,0.0
60,2014-02-24,525.0,525.5,523.0,523.0,2860,0.0
61,2014-02-25,525.0,525.0,525.0,525.0,31680,0.0
62,2014-02-26,525.0,525.0,525.0,525.0,6210,0.0
63,2014-02-27,525.0,525.0,525.0,525.0,2020,0.0
64,2014-02-28,525.0,525.0,525.0,525.0,10,0.0
65,2014-03-03,525.0,527.0,525.0,527.0,210,0.0
66,2014-03-05,527.0,528.0,527.0,527.0,2730,0.0
67,2014-03-06,527.0,528.0,527.0,527.0,3970,0.0
68,2014-03-07,528.0,530.0,528.0,530.0,9650,-318000.0
69,2014-03-10,530.0,530.0,530.0,530.0,700,0.0
70,2014-03-11,530.0,530.0,530.0,530.0,9500,0.0
71,2014-03-12,530.0,530.0,530.0,530.0,5100,0.0
72,2014-03-14,530.0,533.0,530.0,533.0,160,0.0
73,2014-03-17,533.0,533.0,533.0,533.0,20,0.0
74,2014-03-18,530.0,530.0,530.0,530.0,4200,0.0
75,2014-03-19,530.0,530.0,530.0,530.0,1000,0.0
76,2014-03-21,531.0,531.0,531.0,531.0,600,0.0
77,2014-03-24,531.0,531.0,531.0,531.0,70,0.0
78,2014-03-25,531.0,531.0,531.0,531.0,9200,0.0
79,2014-03-26,531.0,531.0,530.0,530.0,4170,0.0
80,2014-03-27,531.0,531.0,531.0,531.0,100,0.0
81,2014-03-28,535.0,538.0,535.0,538.0,3450,0.0
82,2014-03-31,538.0,538.0,538.0,538.0,2200,0.0
83,2014-04-01,538.0,538.0,538.0,538.0,300,0.0
84,2014-04-02,538.0,538.0,538.0,538.0,2200,0.0
85,2014-04-03,540.0,540.0,525.0,530.0,33600,0.0
86,2014-04-04,530.0,530.0,530.0,530.0,20,0.0
87,2014-04-07,530.0,530.0,530.0,530.0,520,0.0
88,2014-04-08,530.0,530.0,530.0,530.0,120,0.0
89,2014-04-10,525.0,525.0,521.5,521.5,4080,0.0
90,2014-04-14,521.5,521.5,521.5,521.5,3000,0.0
91,2014-04-16,521.5,521.5,515.0,515.0,3000,0.0
92,2014-04-22,516.0,530.0,516.0,520.0,8100,0.0
93,2014-04-24,525.0,525.0,525.0,525.0,3440,0.0
94,2014-04-25,525.0,525.0,525.0,525.0,10,0.0
95,2014-04-30,520.0,520.0,520.0,520.0,17980,0.0
96,2014-05-05,525.5,525.5,525.0,525.0,330,0.0
97,2014-05-08,526.0,526.0,525.0,525.0,4000,0.0
98,2014-05-12,525.0,525.0,525.0,525.0,70,0.0
99,2014-05-13,530.0,530.0,530.0,530.0,20,0.0
100,2014-05-14,530.0,530.0,530.0,530.0,1370,0.0
101,2014-05-15,530.0,530.0,530.0,530.0,10,0.0
102,2014-05-16,525.0,525.0,525.0,525.0,36000,0.0
103,2014-05-19,530.0,530.0,525.0,525.0,580,0.0
104,2014-05-20,525.0,528.0,525.0,528.0,30,0.0
105,2014-05-21,525.0,525.0,525.0,525.0,2000,0.0
106,2014-05-22,525.0,527.0,525.0,527.0,610,0.0
107,2014-05-23,530.0,530.0,525.0,525.0,5670,0.0
108,2014-05-26,526.0,530.0,526.0,526.0,7690,0.0
109,2014-05-27,526.5,526.5,526.0,526.0,12000,0.0
110,2014-05-28,526.0,526.0,526.0,526.0,2310,0.0
111,2014-05-29,526.0,533.0,526.0,533.0,7630,0.0
112,2014-05-30,527.0,527.0,527.0,527.0,4000,0.0
113,2014-06-02,527.0,527.0,526.0,526.0,18250,0.0
114,2014-06-03,526.0,526.0,520.0,520.0,20060,0.0
115,2014-06-04,526.0,526.0,525.0,525.0,31860,0.0
116,2014-06-05,526.0,526.0,515.0,515.0,37430,0.0
117,2014-06-06,516.0,525.0,515.0,525.0,20890,0.0
118,2014-06-09,515.0,525.0,515.0,525.0,3980,0.0
119,2014-06-10,520.0,520.0,515.0,515.0,34570,0.0
120,2014-06-11,516.0,520.0,516.0,520.0,3850,0.0
121,2014-06-13,520.0,520.0,507.0,515.0,19820,51300.0
122,2014-06-16,515.0,519.0,515.0,519.0,1240,0.0
123,2014-06-17,512.0,512.0,505.0,505.0,101650,10200.0
124,2014-06-18,505.0,505.0,500.0,500.0,79940,50100.0
125,2014-06-19,500.0,502.0,498.0,500.0,73480,2028900.0
126,2014-06-20,500.0,505.0,498.0,505.0,30330,0.0
127,2014-06-23,505.0,505.0,503.0,505.0,2180,20200.0
128,2014-06-24,503.0,505.0,503.0,505.0,3220,0.0
129,2014-06-25,505.0,510.0,500.0,504.0,14960,0.0
130,2014-06-26,504.0,505.0,504.0,505.0,7540,0.0
131,2014-06-27,505.0,508.0,504.0,505.0,13470,0.0
132,2014-06-30,505.0,505.0,504.0,504.0,4290,0.0
133,2014-07-01,504.0,504.0,500.0,500.0,16600,0.0
134,2014-07-02,502.0,502.0,500.0,500.0,61040,12500000.0
135,2014-07-03,501.0,501.0,500.0,500.0,16040,0.0
136,2014-07-04,502.0,502.0,499.6,502.0,31180,271072.0
137,2014-07-07,502.0,502.0,502.0,502.0,8140,0.0
138,2014-07-08,502.0,504.0,502.0,504.0,14900,0.0
139,2014-07-09,504.0,505.0,504.0,504.5,18790,0.0
140,2014-07-10,504.5,505.0,504.0,505.0,76410,0.0
141,2014-07-11,505.0,505.0,504.5,504.5,2040,0.0
142,2014-07-14,505.0,505.0,504.5,505.0,17080,0.0
143,2014-07-15,505.0,505.0,505.0,505.0,8980,0.0
144,2014-07-17,505.0,505.0,502.0,504.0,18430,20190.0
145,2014-07-18,503.0,503.0,502.0,502.0,4090,0.0
146,2014-07-21,502.0,503.0,502.0,502.0,27690,0.0
147,2014-07-22,502.0,502.0,501.0,501.0,19920,-5021740.0
148,2014-07-23,501.0,501.0,499.0,500.5,34140,-8156110.0
149,2014-07-24,499.0,504.0,499.0,504.0,20570,0.0
150,2014-07-25,502.5,504.0,502.5,504.0,3480,0.0
151,2014-07-28,504.0,504.0,504.0,504.0,20,0.0
152,2014-07-31,502.0,505.0,502.0,505.0,25560,261040.0
153,2014-08-01,503.0,503.0,502.0,503.0,10730,190760.0
154,2014-08-04,503.0,503.0,500.0,500.0,9920,0.0
155,2014-08-05,500.0,501.0,500.0,500.0,1920,0.0
156,2014-08-06,501.0,503.0,501.0,503.0,3090,0.0
157,2014-08-07,503.0,503.0,503.0,503.0,8600,0.0
158,2014-08-08,503.0,503.0,503.0,503.0,11000,0.0
159,2014-08-11,503.0,503.5,503.0,503.0,31680,0.0
160,2014-08-12,503.0,503.0,503.0,503.0,18500,0.0
161,2014-08-13,503.0,503.0,503.0,503.0,45760,0.0
162,2014-08-14,503.0,503.5,503.0,503.0,39320,0.0
163,2014-08-15,503.0,503.0,503.0,503.0,2000,0.0
164,2014-08-18,503.0,503.0,503.0,503.0,40540,0.0
165,2014-08-19,503.0,503.0,503.0,503.0,12690,0.0
166,2014-08-20,503.0,503.0,503.0,503.0,25370,0.0
167,2014-08-22,503.0,503.0,503.0,503.0,15530,0.0
168,2014-08-26,503.0,504.5,501.0,501.0,2650,0.0
169,2014-08-27,500.5,501.5,500.5,501.0,8710,50060.0
170,2014-08-28,501.0,502.0,501.0,502.0,22880,0.0
171,2014-08-29,501.5,501.5,499.0,500.0,43400,0.0
172,2014-09-01,500.0,500.0,496.0,496.0,4360,10.0
173,2014-09-02,497.0,499.0,496.0,499.0,840,0.0
174,2014-09-03,499.0,499.0,493.0,493.0,7750,49300.0
175,2014-09-05,499.0,500.0,499.0,500.0,1020,0.0
176,2014-09-08,500.0,500.0,500.0,500.0,2560,0.0
177,2014-09-09,500.0,500.0,498.0,500.0,36070,11500000.0
178,2014-09-10,499.8,500.0,499.8,500.0,30340,0.0
179,2014-09-11,496.0,503.0,496.0,503.0,2510,0.0
180,2014-09-12,503.0,503.5,503.0,503.5,5310,0.0
181,2014-09-15,504.0,505.0,504.0,505.0,3470,0.0
182,2014-09-16,504.0,504.0,504.0,504.0,100,0.0
183,2014-09-17,504.5,505.0,504.5,505.0,2000,0.0
184,2014-09-22,504.5,505.0,504.5,505.0,17820,0.0
185,2014-09-23,505.0,505.0,505.0,505.0,59500,0.0
186,2014-09-24,506.0,506.0,504.0,505.0,4410,202000.0
187,2014-09-25,506.0,506.0,505.0,505.0,3000,1111000.0
188,2014-09-26,506.0,506.0,505.0,505.0,510,0.0
189,2014-09-29,504.5,504.5,504.0,504.5,6500,983300.0
