,Date,Open,High,Low,Close,Volume,OtherData
0,2014-11-05,490.0,495.0,490.0,495.0,1060,0.0
1,2014-11-06,497.0,497.0,490.0,490.0,2730,0.0
2,2014-11-07,495.0,495.0,490.0,490.0,5660,49000.0
3,2014-11-10,495.0,495.0,495.0,495.0,260,0.0
4,2014-11-11,499.0,499.0,499.0,499.0,40,0.0
5,2014-11-13,498.0,499.0,498.0,499.0,1480,0.0
6,2014-11-14,499.0,499.0,499.0,499.0,300,0.0
7,2014-11-17,500.0,500.0,498.0,499.0,3700,0.0
8,2014-11-18,500.0,500.0,498.0,498.0,5900,0.0
9,2014-11-19,497.0,497.0,497.0,497.0,2000,0.0
10,2014-11-21,500.0,500.0,500.0,500.0,2000,0.0
11,2014-11-24,500.0,500.0,498.0,498.0,6690,0.0
12,2014-11-25,498.2,500.0,498.2,499.0,1330,0.0
13,2014-11-26,500.0,500.0,500.0,500.0,11000,0.0
14,2014-11-27,498.2,499.0,498.0,499.0,8080,0.0
15,2014-11-28,500.0,500.0,500.0,500.0,13960,0.0
16,2014-12-02,500.0,500.0,500.0,500.0,30,0.0
17,2014-12-03,500.0,500.0,498.0,498.0,13930,99600.0
18,2014-12-04,495.0,500.0,495.0,499.0,11310,0.0
19,2014-12-05,498.0,498.0,498.0,498.0,50,0.0
20,2014-12-09,498.0,500.0,498.0,499.0,21090,0.0
21,2014-12-10,499.0,499.0,499.0,499.0,470,0.0
22,2014-12-11,499.0,499.0,499.0,499.0,15480,0.0
23,2014-12-12,499.4,499.4,499.4,499.4,14760,0.0
24,2014-12-15,500.0,500.0,500.0,500.0,10000,0.0
25,2014-12-16,500.0,500.0,499.4,499.4,22020,0.0
26,2014-12-17,499.4,499.4,491.0,492.0,580,0.0
27,2014-12-19,500.0,500.0,500.0,500.0,1000,0.0
28,2014-12-22,500.0,500.0,500.0,500.0,560,0.0
29,2014-12-23,500.0,501.0,500.0,500.0,2470,0.0
30,2014-12-29,501.0,501.0,501.0,501.0,4200,0.0
31,2015-01-05,501.0,501.0,500.0,501.0,9650,0.0
32,2015-01-06,502.0,502.0,502.0,502.0,5250,-1506000.0
33,2015-01-07,503.0,504.0,503.0,504.0,220,0.0
34,2015-01-08,503.5,504.0,503.0,504.0,11710,50300.0
35,2015-01-09,503.0,504.0,503.0,504.0,24200,0.0
36,2015-01-12,503.0,503.0,503.0,503.0,2800,0.0
37,2015-01-13,502.0,504.0,502.0,504.0,4240,0.0
38,2015-01-14,505.0,505.0,502.0,502.0,2530,0.0
39,2015-01-19,500.0,500.0,500.0,500.0,220,0.0
40,2015-01-20,502.0,504.0,502.0,504.0,2580,0.0
41,2015-01-21,503.0,503.0,503.0,503.0,2550,0.0
42,2015-01-22,502.0,503.0,501.0,501.0,14360,0.0
43,2015-01-23,501.0,501.0,501.0,501.0,10000,0.0
44,2015-01-26,501.0,501.0,500.0,500.0,300,0.0
45,2015-01-27,500.5,500.5,500.5,500.5,30,0.0
46,2015-01-28,502.0,502.0,502.0,502.0,10,0.0
47,2015-01-29,502.0,502.0,500.5,500.5,2950,0.0
48,2015-02-04,500.5,500.5,500.5,500.5,120,0.0
49,2015-02-05,501.0,501.0,500.5,500.5,11940,0.0
