,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,0.56,0.56,0.56,0.56,750000.0,0.0
1,2006-08-02,0.55,0.55,0.55,0.55,100000.0,0.0
2,2006-08-04,0.53,0.55,0.53,0.55,250000.0,0.0
3,2006-08-07,0.55,0.56,0.55,0.56,30000.0,0.0
4,2006-08-08,0.52,0.52,0.5,0.5,170000.0,-65800.0
5,2006-08-10,0.49,0.49,0.49,0.49,90000.0,0.0
6,2006-08-11,0.51,0.51,0.51,0.51,170000.0,0.0
7,2006-08-14,0.51,0.51,0.51,0.51,80000.0,0.0
8,2006-08-15,0.51,0.51,0.51,0.51,100000.0,0.0
9,2006-12-04,0.62,0.65,0.62,0.64,70750000.0,-25330200.0
10,2006-12-05,0.63,0.63,0.61,0.63,350000.0,0.0
11,2006-12-06,0.61,0.61,0.61,0.61,100000.0,0.0
12,2006-12-07,0.6,0.6,0.6,0.6,800000.0,0.0
13,2006-12-08,0.6,0.62,0.6,0.61,860000.0,0.0
14,2006-12-11,0.6,0.6,0.59,0.6,320000.0,0.0
15,2006-12-12,0.61,0.63,0.61,0.61,1270000.0,-85400.0
16,2006-12-13,0.62,0.62,0.62,0.62,50000.0,0.0
17,2006-12-14,0.6,0.7,0.6,0.7,90190000.0,-30459400.0
18,2006-12-15,0.72,0.72,0.67,0.68,3210000.0,-72000.0
19,2006-12-18,0.68,0.68,0.66,0.66,300000.0,0.0
20,2006-12-19,0.65,0.65,0.61,0.61,510000.0,0.0
21,2006-12-20,0.62,0.62,0.62,0.62,150000.0,0.0
22,2006-12-22,0.68,0.74,0.67,0.67,5450000.0,0.0
23,2006-12-27,0.67,0.68,0.67,0.67,200000.0,0.0
24,2006-12-28,0.63,0.63,0.63,0.63,150000.0,0.0
25,2006-12-29,0.64,0.66,0.64,0.65,350000.0,0.0
26,2006-11-02,0.61,0.61,0.58,0.58,440000.0,0.0
27,2006-11-03,0.58,0.59,0.58,0.59,310000.0,0.0
28,2006-11-06,0.58,0.58,0.58,0.58,200000.0,0.0
29,2006-11-07,0.58,0.58,0.58,0.58,490000.0,0.0
30,2006-11-08,0.56,0.58,0.56,0.58,400000.0,0.0
31,2006-11-09,0.54,0.59,0.54,0.59,640000.0,-54000.0
32,2006-11-10,0.58,0.58,0.58,0.58,400000.0,-174000.0
33,2006-11-13,0.55,0.55,0.55,0.55,300000.0,0.0
34,2006-11-14,0.55,0.59,0.55,0.59,1110000.0,-7000.0
35,2006-11-15,0.56,0.59,0.56,0.59,1100000.0,-623600.0
