Date,Unnamed: 0,Open,High,Low,Close,Volume,OtherData,EMA-18,EMA-50,EMA-100
2006-08-01,0,5.3,5.3,5.2,5.2,993000.0,774600.0,,,
2006-08-02,1,5.1,5.2,5.1,5.2,785000.0,2512000.0,,,
2006-08-03,2,5.2,5.2,5.2,5.2,167000.0,0.0,,,
2006-08-04,3,5.1,5.1,5.1,5.1,35000.0,0.0,,,
2006-08-07,4,5.1,5.2,5.0,5.0,1624000.0,1000000.0,,,
2006-08-08,5,5.1,5.1,5.0,5.0,160000.0,155000.0,,,
2006-08-09,6,5.0,5.1,5.0,5.1,193000.0,0.0,,,
2006-08-10,7,5.0,5.0,5.0,5.0,118000.0,0.0,,,
2006-08-11,8,5.0,5.0,5.0,5.0,31000.0,0.0,,,
2006-08-14,9,5.0,5.0,4.95,4.95,194000.0,0.0,,,
2006-08-15,10,4.95,5.0,4.95,5.0,181000.0,0.0,,,
2006-08-16,11,5.0,5.0,5.0,5.0,377000.0,0.0,,,
2006-08-17,12,5.0,5.0,4.95,5.0,596000.0,0.0,,,
2006-12-04,13,5.9,6.0,5.9,6.0,937000.0,5559400.0,,,
2006-12-05,14,6.0,6.1,6.0,6.1,638000.0,945000.0,,,
2006-12-06,15,6.0,6.1,6.0,6.1,199000.0,36000.0,,,
2006-12-07,16,6.0,6.1,6.0,6.1,99000.0,323000.0,,,
2006-12-08,17,6.0,6.2,6.0,6.1,4620000.0,3050000.0,5.341666666666665,,
2006-12-11,18,6.1,6.2,6.1,6.2,1172000.0,1045100.0,5.432017543859649,,
2006-12-12,19,6.2,6.3,6.2,6.3,1916000.0,2040200.0,5.523384118190212,,
2006-12-13,20,6.3,6.3,6.2,6.3,2609000.0,18600.0,5.605133158380713,,
2006-12-14,21,6.3,6.5,6.3,6.5,1796000.0,-1920000.0,5.69932966802485,,
2006-12-15,22,6.9,6.9,6.6,6.8,9212000.0,12251500.0,5.815189702969603,,
2006-12-18,23,6.8,6.9,6.8,6.9,2437000.0,0.0,5.929380260551749,,
2006-12-19,24,6.9,6.9,6.8,6.9,826000.0,680000.0,6.031550759441039,,
2006-12-20,25,6.8,6.8,6.7,6.8,575000.0,-13400.0,6.112440153184089,,
2006-12-21,26,6.8,6.9,6.8,6.9,2884000.0,-80500.0,6.195341189691026,,
2006-12-22,27,6.9,7.0,6.9,6.9,632000.0,-20700.0,6.269515801302497,,
2006-12-27,28,6.8,6.9,6.8,6.9,568000.0,-13800.0,6.3358825590601295,,
2006-12-28,29,6.9,7.0,6.9,7.0,1204000.0,0.0,6.405789658106433,,
2006-12-29,30,7.0,7.1,7.0,7.0,316000.0,0.0,6.46833811514786,,
2006-11-02,31,5.7,5.7,5.7,5.7,386000.0,-381900.0,6.387460418816508,,
2006-11-03,32,5.8,5.8,5.7,5.8,563000.0,1740000.0,6.325622479993718,,
2006-11-06,33,5.8,5.9,5.8,5.8,600000.0,1355900.0,6.270293797889116,,
2006-11-07,34,5.7,5.7,5.7,5.7,1599000.0,0.0,6.210262871795522,,
2006-11-08,35,5.6,5.7,5.6,5.6,209000.0,0.0,6.1460246747644165,,
2006-11-09,36,5.7,5.7,5.7,5.7,695000.0,210900.0,6.0990747089997415,,
2006-11-10,37,5.7,5.8,5.7,5.8,1718000.0,264000.0,6.06759316068398,,
2006-11-13,38,5.7,5.8,5.6,5.7,1488000.0,3420000.0,6.028899143769876,,
2006-11-14,39,5.7,5.7,5.6,5.7,1075000.0,4368700.0,5.994278181267784,,
2006-11-15,40,5.7,5.9,5.7,5.7,469000.0,512300.0,5.9633015306080175,,
2006-11-16,41,5.8,5.8,5.7,5.7,1825000.0,3170000.0,5.935585580017699,,
2006-11-17,42,5.7,5.8,5.7,5.8,1126000.0,4100600.0,5.921313413700048,,
2006-11-20,43,5.9,6.3,5.9,6.2,4937000.0,5318200.0,5.950648843836883,,
2006-11-21,44,6.2,6.2,6.1,6.1,1819000.0,2470000.0,5.966370018169844,,
2006-11-22,45,6.1,6.1,6.0,6.1,195000.0,0.0,5.980436332046702,,
2006-11-23,46,6.1,6.1,6.1,6.1,6000.0,0.0,5.993021981304944,,
2006-11-24,47,6.1,6.1,6.1,6.1,320000.0,0.0,6.004282825378107,,
2006-11-27,48,5.9,6.0,5.9,6.0,261000.0,786000.0,6.0038320016540965,,
2006-11-28,49,6.0,6.0,6.0,6.0,867000.0,0.0,6.003428633058928,5.897,
2006-11-29,50,5.9,6.0,5.9,6.0,667000.0,0.0,6.0030677243158825,5.901039215686276,
2006-11-30,51,5.8,6.0,5.8,6.0,563000.0,-342000.0,6.0027448059668425,5.904920030757403,
2006-10-02,52,5.1,5.3,5.1,5.2,260000.0,0.0,5.918245352707175,5.877276107982602,
2006-10-03,53,5.2,5.3,5.2,5.3,332000.0,-164300.0,5.853166894527472,5.854637829238187,
2006-10-04,54,5.3,5.3,5.3,5.3,318000.0,0.0,5.794938800366688,5.832887326130806,
2006-10-05,55,5.3,5.4,5.3,5.4,1146000.0,0.0,5.75336629506493,5.815911352557049,
2006-10-06,56,5.4,5.6,5.4,5.6,655000.0,0.0,5.737222474531777,5.8074442406920666,
2006-10-09,57,5.6,5.9,5.6,5.6,1555000.0,2370100.0,5.722778003528434,5.799309172429633,
2006-10-10,58,5.6,5.6,5.6,5.6,1364000.0,3735200.0,5.7098540031570195,5.791493126452,
2006-10-11,59,5.6,5.6,5.5,5.6,745000.0,3152800.0,5.698290423877332,5.7839835920813325,
