Date,Unnamed: 0,Open,High,Low,Close,Volume,OtherData,EMA-18,EMA-50,EMA-100
2006-12-08,0,10.5,10.75,10.5,10.75,6700.0,0.0,,,
2006-12-11,1,10.75,10.75,10.75,10.75,2000.0,0.0,,,
2006-12-13,2,7.5,10.25,7.5,7.5,60200.0,18950.0,,,
2006-12-14,3,7.6,7.6,7.3,7.3,15000.0,14900.0,,,
2006-12-15,4,7.4,7.4,7.3,7.3,32000.0,7400.0,,,
2006-12-19,5,7.6,7.6,7.6,7.6,1000.0,7600.0,,,
2006-12-21,6,8.0,8.2,8.0,8.2,9000.0,0.0,,,
2006-12-27,7,8.2,8.4,8.2,8.4,9000.0,8200.0,,,
2006-12-29,8,8.4,8.5,8.4,8.5,49000.0,118100.0,,,
2006-10-11,9,9.0,9.0,9.0,9.0,3000.0,0.0,,,
2006-10-31,10,9.9,10.25,9.9,10.25,3000.0,0.0,,,
2006-09-15,11,10.75,10.75,10.75,10.75,300.0,3225.0,,,
2006-09-21,12,10.25,10.25,10.25,10.25,100.0,0.0,,,
2007-04-02,13,6.8,6.8,6.6,6.8,787000.0,0.0,,,
2007-04-03,14,6.7,6.7,6.7,6.7,1106000.0,0.0,,,
2007-04-04,15,6.8,6.9,6.8,6.9,1164000.0,0.0,,,
2007-04-10,16,6.9,7.1,6.9,6.9,684000.0,0.0,,,
2007-04-11,17,7.1,7.1,6.9,6.9,736000.0,268300.0,8.375,,
2007-04-12,18,6.8,6.8,6.7,6.7,662000.0,-136000.0,8.198684210526316,,
2007-04-13,19,6.6,6.7,6.5,6.6,889000.0,0.0,8.030401662049861,,
2007-04-16,20,6.7,6.7,6.6,6.6,398000.0,0.0,7.879833066044612,,
2007-04-17,21,6.6,6.6,6.5,6.5,1168000.0,0.0,7.73458748014518,,
2007-04-18,22,6.5,6.5,6.5,6.5,537000.0,0.0,7.604630903287793,,
2007-04-19,23,6.5,6.5,6.4,6.4,325000.0,0.0,7.47782765031013,,
2007-04-20,24,6.5,6.5,6.4,6.4,92000.0,0.0,7.364372108172223,,
2007-04-23,25,6.5,6.6,6.5,6.6,354000.0,0.0,7.283911886259356,,
2007-04-24,26,6.5,6.5,6.5,6.5,75000.0,0.0,7.201394845600476,,
2007-04-25,27,6.5,6.5,6.4,6.4,54000.0,0.0,7.117037493432004,,
2007-04-26,28,6.4,6.4,6.4,6.4,104000.0,0.0,7.041559862544426,,
2007-04-27,29,6.4,6.4,6.1,6.2,1234000.0,0.0,6.95297461385554,,
2007-04-30,30,6.2,6.3,6.2,6.2,768000.0,0.0,6.873714128186535,,
2007-08-01,31,5.6,5.7,5.4,5.6,19103000.0,-13375600.0,6.739638956798477,,
2007-08-02,32,5.6,5.6,5.2,5.4,40464000.0,-26485100.0,6.598624329767059,,
2007-08-03,33,5.1,5.4,5.0,5.2,47262000.0,48131300.0,6.451400716107369,,
2007-08-06,34,4.9,4.95,4.65,4.95,19791000.0,-11985250.0,6.293358535464487,,
2007-08-07,35,5.0,5.1,4.95,5.0,6547000.0,-10721850.0,6.157215531731384,,
2007-08-08,36,5.0,5.0,4.95,4.95,4187000.0,4034250.0,6.030140212601764,,
2007-08-09,37,5.0,5.1,4.95,5.0,30746000.0,5710500.0,5.921704400748948,,
2007-08-10,38,4.9,4.9,4.65,4.75,33209000.0,-34290300.0,5.7983670954069515,,
2007-08-13,39,4.75,4.75,4.45,4.6,22717000.0,-47110400.0,5.672223190627274,,
2007-08-14,40,4.6,4.6,4.5,4.55,40968000.0,-1673050.0,5.554094433719139,,
2007-08-15,41,4.4,4.4,4.15,4.25,6547000.0,-21571350.0,5.416821335432915,,
2007-08-16,42,4.05,4.1,3.75,3.9,26139000.0,-51900400.0,5.257155931703133,,
2007-08-17,43,3.8,4.1,3.8,3.95,23642000.0,5439300.0,5.119560570471227,,
2007-08-21,44,4.15,4.3,4.0,4.0,37800000.0,-58369450.0,5.0017120893689935,,
2007-08-22,45,4.05,4.25,3.95,4.25,50081000.0,801750.0,4.922584501014361,,
2007-08-23,46,4.45,4.55,4.4,4.55,17026000.0,-24179050.0,4.883365079854955,,
2007-08-24,47,4.5,4.6,4.4,4.5,20425000.0,9105600.0,4.8430108609228535,,
2007-08-28,48,4.5,4.75,4.5,4.65,16986000.0,5383950.0,4.822693928194133,,
2007-08-29,49,4.4,4.6,4.35,4.6,23141000.0,-10185800.0,4.799252462068433,6.468,
2007-08-30,50,4.8,5.3,4.8,5.2,29040000.0,-18988300.0,4.841436413429652,6.418274509803921,
2007-08-31,51,5.1,5.6,5.1,5.6,36423000.0,48579600.0,4.921285212016005,6.386185313341023,
2007-12-03,52,5.7,5.8,5.6,5.6,3228000.0,3735000.0,4.992728873909057,6.355354516739412,
2007-12-04,53,5.6,5.6,5.4,5.5,19182000.0,-10482300.0,5.0461258345502085,6.321811202357472,
2007-12-05,54,5.5,5.5,5.4,5.4,3964000.0,-2354400.0,5.083375746702818,6.285661743441496,
2007-12-06,55,5.4,5.5,5.4,5.4,32272000.0,-77306400.0,5.116704615470941,6.2509299103653575,
2007-12-07,56,5.5,5.5,5.4,5.4,10553000.0,-3617900.0,5.146525182263474,6.217560109958876,
2007-12-10,57,5.3,5.3,5.3,5.3,18753000.0,2056400.0,5.162680426235742,6.181577360548722,
2007-12-11,58,5.3,5.3,5.2,5.3,600000.0,-3022000.0,5.177135118210926,6.147005699350733,
2007-12-12,59,5.1,5.3,4.95,5.2,26808000.0,-31531400.0,5.179541947872933,6.109868220944822,
2007-12-13,60,5.3,5.3,5.2,5.3,1627000.0,4468000.0,5.192221742833677,6.078108682868555,
2007-12-14,61,5.4,5.4,5.2,5.2,286000.0,967600.0,5.1930405067459215,6.043673048246259,
2007-12-17,62,5.1,5.2,5.1,5.1,6358000.0,-18264700.0,5.18324676919372,6.006666262040522,
2007-12-18,63,5.1,5.2,5.0,5.1,10306000.0,-17646200.0,5.1744839513838565,5.97111072235266,
2007-12-19,64,5.2,5.3,5.1,5.2,1772000.0,3120000.0,5.177169851238187,5.940871086181966,
2007-12-20,65,5.2,5.2,5.1,5.2,1482000.0,1328400.0,5.179573024792061,5.911817318096397,
2007-12-26,66,5.2,5.4,5.2,5.3,5924000.0,-5440400.0,5.19224954849816,5.8878244820926176,
2007-12-27,67,5.3,5.6,5.3,5.5,8258000.0,33122100.0,5.224644332866776,5.8726156788733,
2007-12-28,68,5.5,5.7,5.4,5.6,9887000.0,45662800.0,5.264155455722904,5.861924867937093,
2007-02-01,69,9.0,9.0,8.5,9.0,15000.0,-86000.0,5.657402249857335,5.984986637821912,
2007-02-02,70,8.8,10.25,8.8,8.9,81000.0,-89600.0,5.9987283288197215,6.099300887319092,
2007-02-05,71,8.8,9.1,8.7,8.9,273000.0,-18000.0,6.304125346838697,6.209132225071285,
2007-02-06,72,11.0,11.0,8.9,8.9,66000.0,0.0,6.5773753103293595,6.314656451539077,
2007-02-07,73,9.7,9.7,8.7,9.1,5220000.0,11985000.0,6.8429147513473225,6.423885610302251,
2007-02-08,74,9.2,9.9,9.1,9.4,2516000.0,2134400.0,7.1120816196265535,6.540595978525691,
2007-02-09,75,9.6,10.0,9.2,9.9,7093000.0,34068400.0,7.405546712297442,6.6723373127011545,
2007-02-12,76,6.0,6.1,5.3,5.3,3153000.0,-310500.0,7.183910216266131,6.6185201631834625,
2007-02-13,77,5.2,5.4,4.8,5.0,4686000.0,7575000.0,6.9540249303433805,6.555048784235091,
2007-02-14,78,5.0,5.3,4.6,4.65,7756000.0,23237200.0,6.711495990307237,6.480340988774892,
2007-02-15,79,4.7,4.7,4.0,4.0,2087000.0,604000.0,6.426075359748579,6.383072714705287,
2007-01-02,80,8.5,8.5,8.5,8.5,10000.0,25500.0,6.64438321661715,6.4660894709913554,
2007-01-04,81,8.5,8.7,7.7,8.0,195000.0,115600.0,6.787079720131135,6.526242825070126,
2007-01-12,82,8.1,8.3,8.1,8.3,10000.0,82800.0,6.946334486433121,6.595801929969338,
2007-01-15,83,8.4,8.5,8.3,8.5,3000.0,16900.0,7.109878224703318,6.670476364088186,
2007-01-19,84,8.1,8.2,8.1,8.2,12000.0,8100.0,7.224627885260864,6.730457683143551,
2007-01-22,85,8.0,8.0,8.0,8.0,1000.0,8000.0,7.306246002601825,6.7802436563536075,
2007-01-26,86,9.0,9.0,9.0,9.0,3000.0,0.0,7.484535897064791,6.867292924731897,
2007-01-30,87,10.0,10.0,9.0,9.0,2000.0,9000.0,7.644058434215865,6.950928496311039,
2007-01-31,88,9.5,9.5,9.0,9.0,2000.0,-18500.0,7.786789125351037,7.031284241553742,
2007-07-02,89,5.8,5.9,5.7,5.9,67785000.0,3669200.0,7.5881797437351395,6.986920153649674,
2007-07-03,90,5.9,6.1,5.8,6.0,50136000.0,69825300.0,7.421002928605125,6.948217402526157,
2007-07-04,91,6.0,6.0,5.9,6.0,32992000.0,59486000.0,7.271423672962482,6.911032406348661,
2007-07-05,92,6.0,6.0,5.9,5.9,4545000.0,5961800.0,7.127063286334852,6.871384076687929,
2007-07-06,93,5.9,6.1,5.9,6.0,20409000.0,61855700.0,7.008425045668024,6.837212152111932,
2007-07-09,94,6.0,6.1,6.0,6.0,11799000.0,24408000.0,6.902275040860863,6.804380303009503,
2007-07-10,95,6.0,6.1,6.0,6.0,25311000.0,35828000.0,6.8072987207702464,6.772835977401288,
2007-07-11,96,6.0,6.0,5.9,6.0,18331000.0,253300.0,6.722319908057588,6.742528684169862,
2007-07-12,97,5.9,6.0,5.9,6.0,20199000.0,27961200.0,6.646286233525211,6.713409912241634,
2007-07-13,98,6.1,6.4,6.1,6.3,51618000.0,149077500.0,6.609835051048872,6.697197758820393,
2007-07-16,99,6.3,6.3,6.1,6.2,5246000.0,14701700.0,6.566694519359517,6.677699807494102,6.5065
2007-07-17,100,6.1,6.2,6.0,6.1,18784000.0,23595300.0,6.517568780479567,6.65504491308257,6.4984504950495054
2007-07-18,101,6.0,6.1,6.0,6.1,11301000.0,21557400.0,6.473614172008035,6.633278445902861,6.490560386236643
2007-07-19,102,6.1,6.1,5.9,6.0,14374000.0,7126600.0,6.423760048638767,6.608443997043924,6.480846319182452
2007-07-23,103,6.1,6.1,6.0,6.0,4819000.0,16326000.0,6.379153727729424,6.584583448140242,6.471324609891711
2007-07-25,104,5.9,6.0,5.8,5.9,14108000.0,2327900.0,6.32871649323159,6.557737038409253,6.460011251279992
2007-07-26,105,5.9,6.1,5.9,6.0,30236000.0,22973300.0,6.294114757101951,6.53586499768732,6.45090211759128
2007-07-27,106,5.8,5.9,5.8,5.8,6058000.0,14436200.0,6.242102677407007,6.507007546797621,6.4380129667478885
2007-07-30,107,5.8,5.8,5.6,5.7,14006000.0,-11099300.0,6.185039237679954,6.475360192021244,6.4233988485944655
2007-07-31,108,5.9,5.9,5.8,5.8,10890000.0,25773700.0,6.14450879160838,6.448875478608646,6.411054316939127
2007-06-01,109,6.4,6.6,6.4,6.4,6442000.0,-339700.0,6.1714026030180245,6.446958793173013,6.410835419573997
2007-06-18,110,6.4,6.5,6.2,6.4,592043000.0,1511351600.0,6.195465486910861,6.44511727187211,6.410620856810156
2007-06-19,111,6.4,6.5,6.3,6.3,152095000.0,-32381300.0,6.206469119867616,6.439426398465361,6.408430344794112
2007-06-20,112,6.3,6.3,6.2,6.3,42429000.0,66833200.0,6.216314475671028,6.433958696564759,6.406283209253638
2007-06-21,113,6.2,6.3,6.1,6.3,47137000.0,87398700.0,6.2251234782319695,6.428705414346533,6.4041785912486136
2007-06-22,114,6.3,6.3,6.1,6.3,15688000.0,-8986600.0,6.233005217365446,6.423658143195689,6.4021156488476505
2007-06-25,115,6.1,6.2,5.9,6.0,63371000.0,-83134800.0,6.2084783523796085,6.407044098364485,6.394152962731855
2007-06-26,116,6.0,6.0,5.8,5.9,50072000.0,-90677700.0,6.176006946865966,6.387160016075683,6.384367755549048
2007-06-27,117,5.9,5.9,5.7,5.9,37854000.0,-7087600.0,6.14695358403797,6.368055701719773,6.374776314845105
2007-06-28,118,5.9,6.0,5.8,6.0,25119000.0,-3453800.0,6.1314847857181825,6.353622144789586,6.367355001679858
2007-06-29,119,5.9,6.0,5.7,5.9,22423000.0,-63618500.0,6.107117966168902,6.335833041072347,6.358100447191148
2007-03-08,120,5.3,5.3,4.8,5.3,19131000.0,-58383400.0,6.022158180256385,6.295212137500883,6.337147963088351
2007-03-09,121,6.9,6.9,5.6,5.7,10969000.0,0.0,5.988246792860976,6.271870485049868,6.324531171740067
2007-03-12,122,5.9,6.2,5.4,6.1,4950000.0,0.0,6.000010288349293,6.265130466028304,6.320085009923433
2007-03-13,123,6.3,6.4,6.0,6.0,2188000.0,0.0,6.000009205365157,6.254733192850722,6.313746692895245
2007-03-14,124,5.9,6.5,5.6,6.3,5296000.0,63000.0,6.0315871837477735,6.256508361758539,6.313474481154746
2007-03-15,125,6.5,6.8,6.5,6.8,4242000.0,680000.0,6.112472743353273,6.277821759336637,6.323108649844753
2007-03-16,126,6.8,7.0,6.6,6.7,3360000.0,-259000.0,6.1743177177371384,6.2943777687744165,6.33057184489733
2007-03-19,127,6.7,6.8,6.7,6.7,1321000.0,335000.0,6.229652694817437,6.310284522940124,6.337887253909264
2007-03-20,128,6.9,7.1,6.9,6.9,2584000.0,-385000.0,6.3002155690471815,6.333410620079727,6.349018199376407
2007-03-21,129,7.0,7.0,6.8,6.8,220000.0,0.0,6.352824456515899,6.351708242821697,6.357948532062022
2007-03-22,130,6.9,7.2,6.9,7.1,2977000.0,138000.0,6.431474513724751,6.381053017613004,6.372642620536042
2007-03-23,131,7.2,7.3,7.0,7.0,2173000.0,1041500.0,6.491319301753725,6.405325448294848,6.3850655389412685
2007-03-26,132,7.0,7.0,6.7,6.7,788000.0,0.0,6.513285691042807,6.416881313067597,6.391301864902828
2007-03-27,133,6.8,6.8,6.6,6.6,718000.0,0.0,6.5224135130383,6.424062438045339,6.395434501241387
2007-03-28,134,6.6,6.9,6.6,6.7,418000.0,0.0,6.541106827455323,6.434883518906307,6.401465501216804
2007-03-29,135,6.6,6.7,6.5,6.7,1349000.0,0.0,6.557832424565286,6.445280243655077,6.407377075450135
2007-03-30,136,6.7,6.8,6.7,6.8,569000.0,476000.0,6.583323748295259,6.459190822335271,6.41515178682736
2007-05-02,137,6.3,6.3,6.2,6.2,960000.0,0.0,6.542973880053652,6.449026476361339,6.410891355405036
2007-05-03,138,6.3,6.4,6.3,6.3,1870000.0,242600.0,6.517397682153268,6.443182300817758,6.4086954869811725
2007-05-04,139,6.3,6.4,6.3,6.4,636000.0,0.0,6.505040031400293,6.441488877256276,6.40852329912016
2007-05-07,140,6.5,7.2,6.5,6.7,11664000.0,-15458600.0,6.525562133358156,6.451626568344265,6.4142951149791685
2007-05-08,141,6.7,6.8,6.6,6.6,4329000.0,-2399600.0,6.533397698267825,6.457445134291548,6.417972439435025
2007-05-09,142,6.6,6.6,6.4,6.5,1878000.0,19500.0,6.529882151081737,6.459113952554625,6.4195967475650235
2007-05-10,143,6.5,6.5,6.3,6.4,948000.0,0.0,6.516210345704713,6.4567957583367965,6.4192086931577945
2007-05-11,144,6.4,6.4,6.2,6.3,892000.0,6300.0,6.493451361946322,6.450646905068687,6.416848124976454
2007-05-15,145,6.4,6.4,6.3,6.3,1226000.0,-1890000.0,6.473088060688814,6.444739183301286,6.4145343007194935
2007-05-16,146,6.3,6.3,6.1,6.2,1808000.0,-1644400.0,6.44434194903736,6.435141568269862,6.4102860967448505
2007-05-17,147,6.5,6.6,6.4,6.4,5389000.0,-4316000.0,6.439674375454477,6.433763467553399,6.410082411660794
2007-05-18,148,6.5,6.9,6.5,6.7,16156000.0,33459500.0,6.4670770727750595,6.444204115884638,6.415823354004145
2007-05-21,149,6.8,6.8,6.5,6.6,11887000.0,-33855100.0,6.4810689598513695,6.4503137583989645,6.419470416301093
2007-05-22,150,6.6,6.6,6.5,6.5,7396000.0,1695800.0,6.483061700919646,6.452262238461753,6.421065061522852
2007-05-23,151,6.5,6.5,6.4,6.5,2653000.0,-9327500.0,6.48484467977021,6.4541343075416835,6.4226281296115095
2007-05-24,152,6.5,6.6,6.4,6.5,2945000.0,-15261000.0,6.486439976636503,6.455932962147893,6.424160245856826
2007-05-25,153,6.4,6.5,6.3,6.3,6627000.0,-30858100.0,6.466814715937924,6.449817944024445,6.421701627126987
2007-05-28,154,6.3,6.4,6.2,6.4,1607000.0,-3328000.0,6.459781587944457,6.4478642991607416,6.421271891936357
