,Date,Open,High,Low,Close,Volume,OtherData
0,2009-04-07,0.17,0.225,0.17,0.225,290000,-27200.0
1,2009-04-24,0.22,0.22,0.22,0.22,10000,0.0
2,2009-04-28,0.18,0.18,0.18,0.18,100000,-18000.0
3,2009-04-30,0.17,0.17,0.17,0.17,200000,-34000.0
4,2009-08-03,0.21,0.21,0.21,0.21,10000,0.0
5,2009-08-04,0.2,0.2,0.2,0.2,150000,0.0
6,2009-08-06,0.2,0.2,0.2,0.2,10000,0.0
7,2009-08-07,0.2,0.2,0.2,0.2,20000,0.0
8,2009-08-11,0.18,0.18,0.18,0.18,200000,0.0
9,2009-08-14,0.16,0.16,0.16,0.16,100000,0.0
10,2009-08-17,0.16,0.16,0.15,0.15,210000,0.0
11,2009-08-18,0.145,0.145,0.145,0.145,200000,0.0
12,2009-08-19,0.145,0.145,0.13,0.135,3120000,0.0
13,2009-08-20,0.14,0.14,0.13,0.135,1170000,0.0
14,2009-08-24,0.135,0.145,0.13,0.145,870000,0.0
15,2009-08-25,0.145,0.145,0.135,0.145,440000,0.0
16,2009-08-26,0.145,0.215,0.14,0.215,16480000,0.0
17,2009-08-27,0.22,0.25,0.19,0.2,21290000,0.0
18,2009-08-28,0.2,0.2,0.18,0.18,3470000,-45000.0
19,2009-12-01,0.17,0.17,0.17,0.17,540000,0.0
20,2009-12-02,0.175,0.175,0.175,0.175,1190000,0.0
21,2009-12-03,0.17,0.17,0.165,0.165,870000,0.0
22,2009-12-04,0.17,0.17,0.17,0.17,900000,0.0
23,2009-12-08,0.165,0.165,0.165,0.165,1280000,0.0
24,2009-12-09,0.165,0.165,0.165,0.165,50000,0.0
25,2009-12-10,0.165,0.165,0.165,0.165,300000,0.0
26,2009-12-11,0.16,0.16,0.16,0.16,10000,0.0
27,2009-12-14,0.17,0.175,0.165,0.17,620000,0.0
28,2009-12-15,0.175,0.175,0.16,0.16,570000,0.0
29,2009-12-16,0.165,0.17,0.165,0.17,280000,0.0
30,2009-12-17,0.17,0.17,0.17,0.17,340000,0.0
31,2009-12-21,0.17,0.17,0.165,0.165,450000,0.0
32,2009-12-22,0.165,0.165,0.165,0.165,260000,-34650.0
33,2009-12-29,0.165,0.165,0.16,0.16,500000,22400.0
34,2009-02-09,0.11,0.11,0.11,0.11,100000,0.0
35,2009-02-16,0.09,0.09,0.09,0.09,200000,0.0
36,2009-02-25,0.12,0.12,0.12,0.12,100000,0.0
37,2009-02-26,0.16,0.18,0.16,0.18,400000,0.0
38,2009-02-27,0.16,0.16,0.16,0.16,320000,0.0
39,2009-01-14,0.15,0.15,0.15,0.15,100000,0.0
40,2009-01-21,0.14,0.14,0.14,0.14,60000,0.0
41,2009-01-22,0.14,0.14,0.14,0.14,40000,0.0
42,2009-01-28,0.13,0.13,0.13,0.13,100000,0.0
43,2009-01-30,0.13,0.13,0.13,0.13,50000,0.0
44,2009-07-02,0.14,0.14,0.14,0.14,570000,0.0
45,2009-07-06,0.14,0.14,0.14,0.14,920000,-75600.0
46,2009-07-09,0.125,0.125,0.125,0.125,10000,0.0
47,2009-07-16,0.13,0.13,0.13,0.13,10000,0.0
48,2009-07-20,0.135,0.15,0.135,0.15,700000,0.0
49,2009-07-21,0.15,0.15,0.15,0.15,30000,0.0
50,2009-07-23,0.18,0.18,0.18,0.18,390000,0.0
51,2009-07-27,0.18,0.23,0.18,0.23,1340000,0.0
52,2009-07-31,0.205,0.23,0.2,0.21,25290000,0.0
53,2009-06-03,0.145,0.2,0.145,0.2,1390000,0.0
54,2009-06-04,0.15,0.15,0.15,0.15,10000,0.0
55,2009-06-05,0.2,0.2,0.2,0.2,200000,0.0
56,2009-06-10,0.16,0.165,0.16,0.165,210000,-33000.0
57,2009-06-16,0.16,0.16,0.16,0.16,20000,0.0
58,2009-06-19,0.16,0.16,0.14,0.16,350000,-48000.0
59,2009-06-23,0.14,0.14,0.14,0.14,240000,0.0
60,2009-03-03,0.16,0.18,0.16,0.18,510000,0.0
61,2009-03-04,0.18,0.26,0.18,0.26,310000,0.0
62,2009-03-05,0.21,0.25,0.21,0.23,200000,0.0
63,2009-03-11,0.18,0.23,0.18,0.18,70000,0.0
64,2009-03-13,0.185,0.185,0.18,0.18,300000,0.0
65,2009-03-18,0.175,0.175,0.175,0.175,10000,0.0
66,2009-03-26,0.18,0.18,0.18,0.18,200000,0.0
67,2009-03-27,0.18,0.18,0.18,0.18,100000,0.0
68,2009-03-30,0.17,0.17,0.17,0.17,130000,0.0
69,2009-05-05,0.21,0.21,0.21,0.21,150000,0.0
70,2009-05-08,0.215,0.215,0.215,0.215,160000,0.0
71,2009-05-13,0.22,0.22,0.2,0.2,370000,-78000.0
72,2009-05-20,0.21,0.21,0.21,0.21,10000,0.0
73,2009-05-22,0.22,0.23,0.22,0.23,520000,-44000.0
74,2009-11-03,0.19,0.195,0.19,0.19,1630000,0.0
75,2009-11-04,0.19,0.19,0.185,0.185,900000,0.0
76,2009-11-05,0.185,0.21,0.185,0.195,3630000,0.0
77,2009-11-06,0.19,0.195,0.185,0.185,570000,-9500.0
78,2009-11-09,0.185,0.19,0.185,0.185,1210000,0.0
79,2009-11-10,0.19,0.19,0.185,0.185,1690000,0.0
80,2009-11-11,0.19,0.195,0.185,0.195,2540000,0.0
81,2009-11-12,0.19,0.2,0.185,0.19,1590000,0.0
82,2009-11-13,0.185,0.205,0.185,0.19,10070000,-104500.0
83,2009-11-16,0.195,0.195,0.185,0.185,1560000,0.0
84,2009-11-17,0.19,0.19,0.18,0.185,7500000,0.0
85,2009-11-18,0.19,0.19,0.18,0.18,930000,0.0
86,2009-11-19,0.185,0.185,0.185,0.185,2060000,0.0
87,2009-11-20,0.185,0.185,0.175,0.18,1670000,0.0
88,2009-11-23,0.18,0.18,0.175,0.175,2950000,0.0
89,2009-11-24,0.175,0.18,0.17,0.18,810000,0.0
90,2009-11-25,0.17,0.175,0.165,0.175,1840000,0.0
91,2009-11-26,0.17,0.17,0.17,0.17,990000,0.0
92,2009-11-27,0.17,0.175,0.17,0.17,2050000,0.0
93,2009-10-02,0.155,0.155,0.155,0.155,170000,0.0
94,2009-10-05,0.17,0.17,0.17,0.17,210000,0.0
95,2009-10-06,0.19,0.19,0.19,0.19,30000,0.0
96,2009-10-07,0.175,0.205,0.175,0.175,1380000,0.0
97,2009-10-08,0.185,0.185,0.18,0.18,960000,0.0
98,2009-10-09,0.19,0.19,0.18,0.18,850000,0.0
99,2009-10-12,0.18,0.185,0.18,0.185,380000,0.0
100,2009-10-13,0.18,0.185,0.18,0.18,610000,0.0
101,2009-10-16,0.195,0.195,0.18,0.195,120000,0.0
102,2009-10-19,0.195,0.195,0.185,0.185,1010000,0.0
103,2009-10-20,0.19,0.27,0.19,0.27,58750000,-36900.0
104,2009-10-21,0.28,0.29,0.21,0.215,42110000,-12000.0
105,2009-10-22,0.2,0.23,0.195,0.22,10020000,10000.0
106,2009-10-23,0.215,0.23,0.205,0.225,7730000,0.0
107,2009-10-26,0.225,0.225,0.215,0.22,3270000,0.0
108,2009-10-27,0.215,0.215,0.205,0.205,4520000,-105000.0
109,2009-10-28,0.2,0.21,0.2,0.2,1270000,0.0
110,2009-10-29,0.205,0.205,0.2,0.2,430000,0.0
111,2009-10-30,0.2,0.205,0.19,0.2,2100000,0.0
112,2009-09-01,0.17,0.17,0.17,0.17,350000,0.0
113,2009-09-02,0.17,0.17,0.16,0.16,980000,0.0
114,2009-09-03,0.18,0.19,0.17,0.18,3790000,0.0
115,2009-09-04,0.185,0.19,0.18,0.19,700000,0.0
116,2009-09-08,0.19,0.19,0.18,0.185,410000,0.0
117,2009-09-09,0.18,0.18,0.18,0.18,720000,0.0
118,2009-09-10,0.185,0.195,0.185,0.19,1420000,0.0
119,2009-09-11,0.19,0.2,0.19,0.195,2370000,0.0
120,2009-09-14,0.195,0.2,0.185,0.19,1480000,0.0
121,2009-09-15,0.185,0.19,0.18,0.18,1350000,0.0
122,2009-09-16,0.17,0.17,0.17,0.17,300000,-51000.0
123,2009-09-17,0.17,0.17,0.17,0.17,100000,0.0
124,2009-09-18,0.17,0.17,0.17,0.17,350000,0.0
125,2009-09-22,0.17,0.18,0.17,0.18,190000,0.0
126,2009-09-23,0.17,0.17,0.17,0.17,290000,-25500.0
127,2009-09-24,0.17,0.17,0.17,0.17,100000,0.0
128,2009-09-28,0.17,0.17,0.17,0.17,100000,0.0
129,2009-09-29,0.155,0.155,0.155,0.155,400000,0.0
130,2010-04-05,0.2,0.21,0.2,0.2,3080000,4100.0
131,2010-04-06,0.21,0.225,0.21,0.215,30260000,4400.0
132,2010-04-07,0.22,0.23,0.215,0.215,23700000,0.0
133,2010-04-08,0.215,0.225,0.21,0.215,5920000,44000.0
134,2010-04-12,0.22,0.22,0.21,0.215,250000,0.0
135,2010-04-13,0.215,0.215,0.21,0.21,11960000,0.0
136,2010-04-14,0.215,0.215,0.205,0.21,15710000,0.0
137,2010-04-15,0.21,0.21,0.205,0.205,9090000,0.0
138,2010-04-16,0.205,0.21,0.2,0.205,15410000,0.0
139,2010-04-19,0.2,0.2,0.2,0.2,2620000,0.0
140,2010-04-20,0.205,0.205,0.195,0.195,5700000,0.0
141,2010-04-21,0.205,0.205,0.2,0.205,3010000,0.0
142,2010-04-22,0.2,0.22,0.2,0.21,27570000,1150.0
143,2010-04-23,0.21,0.21,0.2,0.2,6170000,0.0
144,2010-04-26,0.21,0.215,0.205,0.205,12320000,0.0
145,2010-04-27,0.21,0.21,0.2,0.2,1540000,0.0
146,2010-04-28,0.195,0.21,0.195,0.2,3790000,0.0
147,2010-04-29,0.195,0.205,0.195,0.2,4180000,133200.0
148,2010-04-30,0.2,0.2,0.2,0.2,810000,-38000.0
149,2010-02-01,0.27,0.29,0.25,0.25,16320000,-83000.0
150,2010-02-02,0.27,0.28,0.245,0.245,26170000,71000.0
151,2010-02-03,0.25,0.27,0.25,0.25,19400000,-1691000.0
152,2010-02-04,0.25,0.25,0.24,0.24,2280000,0.0
153,2010-02-05,0.22,0.235,0.21,0.225,18320000,0.0
154,2010-02-08,0.23,0.24,0.225,0.225,6270000,23000.0
155,2010-02-09,0.22,0.22,0.2,0.205,8350000,0.0
156,2010-02-10,0.2,0.21,0.2,0.205,4700000,0.0
157,2010-02-11,0.205,0.215,0.205,0.21,2640000,0.0
158,2010-02-12,0.21,0.215,0.21,0.21,2150000,0.0
159,2010-02-15,0.21,0.21,0.2,0.205,550000,0.0
160,2010-02-16,0.2,0.21,0.2,0.2,1550000,0.0
161,2010-02-17,0.2,0.215,0.2,0.205,6070000,20500.0
162,2010-02-18,0.215,0.215,0.2,0.2,5850000,0.0
163,2010-02-19,0.195,0.2,0.19,0.19,920000,0.0
164,2010-02-22,0.2,0.21,0.195,0.21,1690000,0.0
165,2010-02-23,0.21,0.215,0.2,0.2,2240000,0.0
166,2010-02-24,0.195,0.195,0.19,0.19,3940000,0.0
167,2010-02-25,0.2,0.2,0.185,0.195,4040000,0.0
168,2010-02-26,0.19,0.195,0.19,0.19,2060000,0.0
169,2010-01-05,0.18,0.18,0.18,0.18,110000,0.0
170,2010-01-06,0.17,0.17,0.17,0.17,100000,0.0
171,2010-01-07,0.17,0.17,0.17,0.17,200000,0.0
172,2010-01-08,0.17,0.17,0.17,0.17,200000,0.0
173,2010-01-11,0.175,0.175,0.175,0.175,200000,0.0
174,2010-01-12,0.17,0.17,0.17,0.17,110000,0.0
175,2010-01-13,0.165,0.17,0.165,0.17,140000,0.0
176,2010-01-14,0.17,0.17,0.17,0.17,500000,0.0
177,2010-01-15,0.17,0.175,0.165,0.175,1430000,0.0
178,2010-01-19,0.17,0.17,0.17,0.17,100000,0.0
179,2010-01-21,0.165,0.17,0.165,0.17,110000,0.0
180,2010-01-22,0.165,0.165,0.165,0.165,110000,0.0
181,2010-01-25,0.135,0.15,0.135,0.15,220000,0.0
182,2010-01-26,0.16,0.16,0.15,0.15,600000,0.0
183,2010-01-27,0.16,0.225,0.16,0.225,56500000,-27450.0
184,2010-01-28,0.225,0.3,0.215,0.27,109030000,-98000.0
185,2010-01-29,0.25,0.3,0.24,0.27,61850000,88300.0
186,2010-07-01,0.195,0.195,0.195,0.195,2100000,136500.0
187,2010-07-02,0.19,0.19,0.185,0.19,1400000,19000.0
188,2010-07-05,0.195,0.195,0.185,0.185,160000,0.0
189,2010-07-06,0.185,0.185,0.185,0.185,210000,0.0
190,2010-07-07,0.19,0.19,0.185,0.19,2050000,0.0
191,2010-07-08,0.195,0.2,0.19,0.19,7500000,19500.0
192,2010-07-09,0.19,0.19,0.19,0.19,1000000,0.0
193,2010-07-12,0.19,0.19,0.19,0.19,100000,0.0
194,2010-07-13,0.2,0.2,0.19,0.195,1100000,-13650.0
195,2010-07-14,0.19,0.19,0.19,0.19,990000,0.0
196,2010-07-15,0.19,0.2,0.19,0.19,430000,0.0
197,2010-07-16,0.19,0.2,0.19,0.2,280000,0.0
198,2010-07-19,0.195,0.23,0.195,0.22,62560000,45000.0
199,2010-07-20,0.215,0.215,0.2,0.2,10490000,77350.0
200,2010-07-21,0.2,0.205,0.2,0.205,2880000,0.0
201,2010-07-22,0.195,0.2,0.195,0.195,3450000,0.0
202,2010-07-23,0.195,0.195,0.19,0.19,3450000,29250.0
203,2010-06-01,0.175,0.175,0.175,0.175,10000,0.0
204,2010-06-03,0.185,0.185,0.185,0.185,1050000,0.0
205,2010-06-04,0.19,0.2,0.19,0.2,1200000,20000.0
206,2010-06-07,0.2,0.2,0.2,0.2,920000,100000.0
207,2010-06-09,0.2,0.2,0.195,0.195,100000,0.0
208,2010-06-10,0.19,0.19,0.19,0.19,50000,0.0
209,2010-06-15,0.195,0.195,0.195,0.195,400000,0.0
210,2010-06-16,0.185,0.19,0.185,0.185,720000,0.0
211,2010-06-17,0.185,0.19,0.185,0.19,460000,0.0
212,2010-06-18,0.195,0.2,0.19,0.19,650000,19000.0
213,2010-06-21,0.19,0.19,0.19,0.19,220000,0.0
214,2010-06-22,0.195,0.215,0.195,0.2,24850000,20000.0
215,2010-06-23,0.2,0.2,0.195,0.2,1900000,0.0
216,2010-06-24,0.19,0.19,0.19,0.19,1800000,0.0
217,2010-06-25,0.195,0.195,0.19,0.19,2980000,0.0
218,2010-06-28,0.185,0.185,0.185,0.185,850000,0.0
219,2010-06-29,0.19,0.195,0.19,0.19,4690000,0.0
220,2010-03-01,0.2,0.24,0.195,0.24,40050000,-37400.0
221,2010-03-02,0.24,0.24,0.215,0.215,8780000,-23000.0
222,2010-03-03,0.215,0.22,0.205,0.21,2950000,-2100.0
223,2010-03-04,0.21,0.225,0.21,0.22,7510000,-11250.0
224,2010-03-05,0.22,0.22,0.215,0.215,1560000,0.0
225,2010-03-08,0.22,0.22,0.22,0.22,300000,0.0
226,2010-03-09,0.21,0.21,0.21,0.21,180000,0.0
227,2010-03-10,0.22,0.22,0.21,0.21,620000,0.0
228,2010-03-11,0.205,0.215,0.205,0.215,780000,0.0
229,2010-03-12,0.205,0.21,0.205,0.205,1920000,0.0
230,2010-03-15,0.21,0.21,0.2,0.2,840000,0.0
231,2010-03-16,0.205,0.205,0.205,0.205,320000,0.0
232,2010-03-17,0.21,0.21,0.21,0.21,10000,0.0
233,2010-03-18,0.21,0.21,0.2,0.2,60000,0.0
234,2010-03-19,0.205,0.21,0.2,0.2,970000,0.0
235,2010-03-22,0.2,0.2,0.2,0.2,1260000,0.0
236,2010-03-23,0.2,0.205,0.2,0.2,470000,-20000.0
237,2010-03-24,0.205,0.21,0.205,0.205,360000,0.0
238,2010-03-25,0.21,0.21,0.205,0.205,20000,0.0
239,2010-03-26,0.2,0.205,0.2,0.205,1440000,0.0
240,2010-03-29,0.2,0.2,0.2,0.2,500000,0.0
241,2010-03-30,0.2,0.2,0.2,0.2,300000,0.0
242,2010-03-31,0.2,0.2,0.195,0.195,1870000,0.0
243,2010-05-04,0.195,0.2,0.195,0.2,410000,0.0
244,2010-05-05,0.195,0.195,0.185,0.19,1710000,0.0
245,2010-05-06,0.195,0.195,0.19,0.195,1350000,0.0
246,2010-05-07,0.19,0.19,0.19,0.19,310000,0.0
247,2010-05-11,0.195,0.195,0.195,0.195,900000,-19500.0
248,2010-05-12,0.195,0.195,0.195,0.195,80000,0.0
249,2010-05-13,0.195,0.195,0.19,0.19,280000,0.0
250,2010-05-14,0.19,0.195,0.19,0.195,210000,0.0
251,2010-05-17,0.19,0.19,0.19,0.19,700000,0.0
252,2010-05-18,0.19,0.19,0.185,0.19,1000000,0.0
253,2010-05-19,0.19,0.19,0.19,0.19,100000,0.0
254,2010-05-20,0.185,0.19,0.185,0.19,160000,0.0
255,2010-05-21,0.185,0.19,0.18,0.185,4730000,-1900.0
256,2010-05-24,0.185,0.185,0.185,0.185,200000,0.0
257,2010-05-25,0.18,0.18,0.175,0.18,1130000,0.0
258,2010-05-26,0.175,0.19,0.175,0.19,60000,0.0
259,2010-05-27,0.175,0.19,0.175,0.19,260000,0.0
260,2010-05-28,0.17,0.185,0.17,0.185,940000,-107100.0
261,2010-05-31,0.18,0.185,0.18,0.185,30000,0.0
262,2010-07-26,0.2,0.2,0.2,0.2,500000,0.0
263,2010-07-27,0.19,0.2,0.19,0.19,420000,0.0
264,2010-07-29,0.19,0.19,0.19,0.19,1840000,0.0
265,2010-07-30,0.185,0.18600000000000005,0.185,0.18600000000000005,650000,0.0
266,2010-08-02,0.18600000000000005,0.18600000000000005,0.18600000000000005,0.18600000000000005,1860000,0.0
267,2010-08-03,0.21,0.215,0.19,0.195,5650000,63000.0
268,2010-08-04,0.19,0.19,0.185,0.19,4120000,96700.0
269,2010-08-05,0.19,0.19,0.19,0.19,2050000,-13300.0
270,2010-08-06,0.18600000000000005,0.19,0.185,0.185,4210000,-18500.0
271,2010-08-09,0.19,0.19,0.185,0.185,1160000,-18500.0
272,2010-08-10,0.18100000000000002,0.18600000000000005,0.18100000000000002,0.18600000000000005,570000,0.0
273,2010-08-11,0.183,0.183,0.183,0.183,450000,-73200.0
274,2010-08-17,0.18899999999999997,0.18899999999999997,0.18899999999999997,0.18899999999999997,10000,0.0
275,2010-08-18,0.19,0.192,0.184,0.184,770000,0.0
276,2010-08-19,0.19,0.19,0.184,0.185,1450000,9400.0
277,2010-08-20,0.19,0.196,0.18600000000000005,0.18600000000000005,2430000,-93000.0
278,2010-08-23,0.193,0.193,0.193,0.193,10000,0.0
279,2010-08-24,0.184,0.19,0.182,0.19,510000,0.0
280,2010-08-26,0.188,0.192,0.188,0.188,390000,0.0
281,2010-08-27,0.182,0.188,0.182,0.188,1000000,0.0
282,2010-08-31,0.187,0.19,0.183,0.183,4180000,0.0
283,2010-09-01,0.184,0.18899999999999997,0.184,0.18600000000000005,3600000,0.0
284,2010-09-02,0.18899999999999997,0.19,0.183,0.183,950000,0.0
285,2010-09-03,0.185,0.19,0.185,0.188,2310000,0.0
286,2010-09-06,0.188,0.192,0.18600000000000005,0.192,3450000,3840.0
287,2010-09-07,0.185,0.185,0.185,0.185,210000,0.0
288,2010-09-08,0.18899999999999997,0.191,0.18600000000000005,0.191,2300000,0.0
289,2010-09-13,0.195,0.21,0.195,0.204,15960000,0.0
290,2010-09-14,0.204,0.204,0.195,0.204,570000,0.0
291,2010-09-15,0.209,0.209,0.20800000000000002,0.20800000000000002,20000,0.0
292,2010-09-16,0.20600000000000002,0.207,0.20600000000000002,0.20600000000000002,460000,0.0
293,2010-09-17,0.20600000000000002,0.20800000000000002,0.20600000000000002,0.20600000000000002,1410000,0.0
294,2010-09-20,0.21,0.21,0.21,0.21,100000,0.0
295,2010-09-21,0.20600000000000002,0.20600000000000002,0.187,0.205,800000,0.0
296,2010-09-23,0.204,0.204,0.2,0.2,250000,0.0
297,2010-09-24,0.205,0.209,0.2,0.20800000000000002,2610000,-24000.0
298,2010-09-27,0.20800000000000002,0.21,0.2,0.209,1940000,0.0
299,2010-09-28,0.213,0.213,0.213,0.213,10000,0.0
300,2010-09-29,0.209,0.209,0.195,0.205,1490000,0.0
301,2010-10-01,0.195,0.2,0.195,0.2,410000,0.0
302,2010-10-05,0.195,0.195,0.192,0.192,1600000,0.0
303,2010-10-06,0.193,0.193,0.188,0.188,5780000,0.0
304,2010-10-07,0.185,0.185,0.185,0.185,10000,0.0
305,2010-10-08,0.185,0.185,0.185,0.185,10000,0.0
306,2010-10-11,0.185,0.185,0.185,0.185,10000,0.0
307,2010-10-12,0.185,0.185,0.185,0.185,1000000,-148000.0
308,2010-10-13,0.185,0.185,0.183,0.183,1120000,0.0
309,2010-10-14,0.183,0.183,0.182,0.182,250000,0.0
310,2010-10-15,0.192,0.192,0.192,0.192,10000,0.0
311,2010-10-18,0.182,0.182,0.182,0.182,1500000,0.0
312,2010-10-19,0.18100000000000002,0.18100000000000002,0.179,0.18,1860000,0.0
313,2010-10-20,0.172,0.172,0.172,0.172,10000,0.0
314,2010-10-22,0.18,0.182,0.18,0.182,1050000,0.0
315,2010-10-26,0.17600000000000002,0.182,0.17600000000000002,0.18,780000,0.0
316,2010-10-27,0.18,0.18,0.17800000000000002,0.17800000000000002,1180000,0.0
317,2010-10-28,0.175,0.175,0.174,0.174,2900000,0.0
318,2010-10-29,0.174,0.17800000000000002,0.174,0.17800000000000002,1910000,0.0
319,2010-11-02,0.17800000000000002,0.179,0.17300000000000001,0.17800000000000002,2350000,0.0
320,2010-11-03,0.18,0.18,0.175,0.175,1650000,0.0
321,2010-11-04,0.17300000000000001,0.175,0.17300000000000001,0.175,610000,0.0
322,2010-11-05,0.175,0.17800000000000002,0.175,0.17800000000000002,27410000,0.0
323,2010-11-08,0.19,0.239,0.19,0.21600000000000005,83340000,348550.0
324,2010-11-09,0.223,0.223,0.195,0.195,27570000,40100.0
325,2010-11-10,0.198,0.203,0.191,0.193,6330000,0.0
326,2010-11-11,0.193,0.19699999999999998,0.18,0.19399999999999998,5820000,18500.0
327,2010-11-12,0.195,0.195,0.185,0.188,780000,0.0
328,2010-11-15,0.182,0.18899999999999997,0.182,0.18899999999999997,1570000,18300.0
329,2010-11-17,0.18100000000000002,0.18600000000000005,0.18,0.18,1420000,-9000.0
330,2010-11-18,0.179,0.18100000000000002,0.177,0.177,2590000,-12670.0
331,2010-11-19,0.18,0.18,0.175,0.17600000000000002,2350000,17600.0
332,2010-11-22,0.175,0.177,0.174,0.177,4130000,21240.0
333,2010-11-23,0.174,0.177,0.172,0.177,2810000,0.0
334,2010-11-24,0.17,0.175,0.17,0.175,1620000,-51600.0
335,2010-11-25,0.172,0.17800000000000002,0.171,0.17800000000000002,1440000,0.0
336,2010-11-26,0.17300000000000001,0.174,0.17300000000000001,0.174,1620000,0.0
337,2010-11-30,0.17300000000000001,0.17300000000000001,0.165,0.17,3280000,0.0
338,2010-12-01,0.166,0.171,0.166,0.166,950000,-33200.0
339,2010-12-02,0.16699999999999998,0.16699999999999998,0.165,0.166,5240000,0.0
340,2010-12-03,0.163,0.16699999999999998,0.163,0.165,1090000,0.0
341,2010-12-06,0.17,0.17,0.17,0.17,10000,0.0
342,2010-12-07,0.17,0.174,0.16899999999999998,0.174,2710000,-34200.0
343,2010-12-08,0.172,0.172,0.168,0.168,120000,0.0
344,2010-12-10,0.168,0.168,0.16699999999999998,0.16699999999999998,530000,0.0
345,2010-12-13,0.165,0.17,0.165,0.17,550000,0.0
346,2010-12-14,0.168,0.168,0.168,0.168,300000,0.0
347,2010-12-15,0.165,0.17,0.165,0.17,770000,0.0
348,2010-12-16,0.16399999999999998,0.165,0.16399999999999998,0.165,1020000,0.0
349,2010-12-17,0.16399999999999998,0.165,0.16399999999999998,0.165,410000,0.0
350,2010-12-20,0.166,0.166,0.166,0.166,60000,0.0
351,2010-12-21,0.16899999999999998,0.16899999999999998,0.16899999999999998,0.16899999999999998,280000,0.0
352,2010-12-22,0.16899999999999998,0.16899999999999998,0.165,0.16899999999999998,1340000,0.0
353,2010-12-23,0.16899999999999998,0.174,0.16899999999999998,0.174,1920000,0.0
354,2010-12-28,0.174,0.185,0.174,0.175,8460000,0.0
355,2010-12-29,0.174,0.18,0.174,0.17600000000000002,1470000,0.0
356,2010-12-30,0.17,0.179,0.16899999999999998,0.17800000000000002,4320000,0.0
357,2011-01-03,0.175,0.17800000000000002,0.175,0.17800000000000002,330000,0.0
358,2011-01-04,0.17800000000000002,0.18,0.17800000000000002,0.18,1250000,0.0
359,2011-01-05,0.18,0.184,0.18,0.18,3300000,36000.0
360,2011-01-06,0.18,0.183,0.18,0.183,910000,0.0
361,2011-01-07,0.185,0.19,0.185,0.18899999999999997,960000,0.0
362,2011-01-10,0.185,0.188,0.185,0.188,470000,0.0
363,2011-01-11,0.18100000000000002,0.185,0.18,0.185,1940000,0.0
364,2011-01-12,0.185,0.195,0.185,0.191,2950000,0.0
365,2011-01-13,0.195,0.2,0.19,0.19,3250000,0.0
366,2011-01-14,0.195,0.195,0.195,0.195,50000,0.0
367,2011-01-17,0.183,0.19,0.182,0.19,500000,0.0
368,2011-01-18,0.18899999999999997,0.18899999999999997,0.18,0.185,1420000,-37000.0
369,2011-01-19,0.179,0.179,0.17,0.171,6000000,-176800.0
370,2011-01-21,0.171,0.171,0.171,0.171,330000,0.0
371,2011-01-24,0.171,0.171,0.171,0.171,760000,0.0
372,2011-01-25,0.172,0.172,0.172,0.172,890000,-17200.0
373,2011-01-26,0.172,0.172,0.172,0.172,1790000,-17200.0
374,2011-01-27,0.16899999999999998,0.16899999999999998,0.168,0.168,600000,0.0
375,2011-01-28,0.17,0.172,0.17,0.172,530000,-17000.0
376,2011-01-31,0.168,0.168,0.165,0.165,820000,0.0
377,2011-02-01,0.165,0.165,0.165,0.165,30000,0.0
378,2011-02-02,0.166,0.166,0.165,0.165,220000,0.0
379,2011-02-03,0.165,0.166,0.165,0.166,370000,0.0
380,2011-02-04,0.166,0.172,0.166,0.172,650000,0.0
