Date,Unnamed: 0,Open,High,Low,Close,Volume,OtherData,EMA-18,EMA-50,EMA-100
2006-08-01,0,14.0,14.25,13.5,13.75,8216800.0,57090250.0,,,
2006-08-02,1,13.0,13.25,13.0,13.0,6440700.0,-14060800.0,,,
2006-08-03,2,13.5,13.75,13.5,13.5,4728800.0,9705575.0,,,
2006-08-04,3,13.5,13.5,13.25,13.25,10707300.0,6711550.0,,,
2006-08-07,4,13.25,13.75,13.25,13.75,3519600.0,5845800.0,,,
2006-08-08,5,13.75,14.0,13.5,13.5,14830800.0,39153450.0,,,
2006-08-09,6,13.5,13.75,13.5,13.5,20636600.0,130125.0,,,
2006-08-10,7,13.75,13.75,13.0,13.25,6741200.0,5474475.0,,,
2006-08-11,8,13.25,13.5,13.25,13.5,5611900.0,39422300.0,,,
2006-08-14,9,13.5,13.5,13.25,13.25,930200.0,-7792325.0,,,
2006-08-15,10,13.25,13.5,13.25,13.25,2092100.0,1177300.0,,,
2006-08-16,11,13.25,13.5,13.25,13.25,1164900.0,-6840675.0,,,
2006-08-17,12,13.5,13.75,13.5,13.5,1424900.0,-3634775.0,,,
2006-12-04,13,14.5,15.0,14.5,15.0,7915600.0,24895600.0,,,
2006-12-05,14,15.0,15.25,14.75,15.0,5971300.0,63518950.0,,,
2006-12-06,15,15.0,15.0,14.75,15.0,5716700.0,40354400.0,,,
2006-12-07,16,14.75,14.75,14.5,14.75,25551100.0,291626800.0,,,
2006-12-08,17,14.75,14.75,14.5,14.75,4434700.0,-19578375.0,13.819444444444445,,
2006-12-11,18,14.5,14.75,14.25,14.75,8442700.0,-38357850.0,13.917397660818713,,
2006-12-12,19,14.75,14.75,14.5,14.75,9467300.0,1970650.0,14.00504001231148,,
2006-12-13,20,14.5,14.75,14.5,14.5,7449600.0,5453450.0,14.057141063647112,,
2006-12-14,21,14.5,14.75,14.5,14.75,6376500.0,-6578000.0,14.130073583263204,,
2006-12-15,22,14.75,15.0,14.5,15.0,11740800.0,50254200.0,14.221644785024974,,
2006-12-18,23,15.0,15.5,15.0,15.25,14164800.0,119930650.0,14.329892702390769,,
2006-12-19,24,15.25,15.25,15.0,15.0,20511100.0,46720200.0,14.400430312665426,,
2006-12-20,25,15.25,15.25,15.0,15.25,10581400.0,57184375.0,14.489858700805906,,
2006-12-21,26,15.25,15.5,15.0,15.25,5117900.0,-6230650.0,14.569873574405287,,
2006-12-22,27,15.25,15.25,15.25,15.25,1408400.0,6408050.0,14.64146582973104,,
2006-12-27,28,15.25,15.25,15.0,15.25,3270700.0,21810550.0,14.705522058180403,,
2006-12-28,29,15.25,15.5,15.0,15.5,3986800.0,42956425.0,14.789151315214045,,
2006-12-29,30,15.5,15.5,15.0,15.25,3454600.0,27419400.0,14.837661703086253,,
2006-11-02,31,15.25,15.25,15.0,15.25,3478100.0,39819275.0,14.881065734340329,,
2006-11-03,32,15.25,15.5,15.25,15.5,3552700.0,31436625.0,14.946216709672925,,
2006-11-06,33,15.25,15.25,15.25,15.25,2191400.0,730475.0,14.97819389812841,,
2006-11-07,34,15.25,15.5,15.25,15.25,7386400.0,14794650.0,15.006805066746473,,
2006-11-08,35,15.25,15.25,14.75,15.0,5352100.0,-2297100.0,15.006088743931052,,
2006-11-09,36,15.0,15.25,15.0,15.0,3093300.0,-11329500.0,15.005447823517256,,
2006-11-10,37,15.0,15.0,14.75,14.75,2061800.0,-2484500.0,14.978558578936491,,
2006-11-13,38,14.75,15.0,14.75,15.0,4611500.0,7245000.0,14.980815570627387,,
2006-11-14,39,15.0,15.25,14.75,15.25,7607400.0,19960975.0,15.009150773719243,,
2006-11-15,40,15.0,15.25,15.0,15.25,3472800.0,18277975.0,15.03450332385406,,
2006-11-16,41,15.0,15.25,15.0,15.25,6576500.0,28451950.0,15.057187184501,,
2006-11-17,42,15.0,15.0,15.0,15.0,2671100.0,-7102500.0,15.051167480869315,,
2006-11-20,43,15.0,15.25,15.0,15.25,16913600.0,210797500.0,15.072097219725174,,
2006-11-21,44,15.25,15.25,14.75,15.0,9212400.0,32409225.0,15.064508038701474,,
2006-11-22,45,14.75,15.0,14.75,15.0,24054100.0,-15800925.0,15.05771771883816,,
2006-11-23,46,15.0,15.0,14.5,14.5,3415300.0,-31431575.0,14.999010590539408,,
2006-11-24,47,14.25,14.75,14.25,14.5,8208800.0,-7677350.0,14.946483159956312,,
2006-11-27,48,14.5,14.75,14.5,14.5,4587500.0,46478300.0,14.89948493259249,,
2006-11-28,49,14.5,14.5,14.25,14.5,3823700.0,-19822950.0,14.857433887056436,14.59,
