,Date,Open,High,Low,Close,Volume,OtherData
0,2010-04-16,52.0,52.0,51.5,52.0,23700,0.0
1,2010-04-19,52.0,52.0,51.5,51.5,1900,0.0
2,2010-04-20,51.5,51.5,51.0,51.0,1100,0.0
3,2010-04-21,51.0,51.0,49.5,50.5,38100,0.0
4,2010-04-22,50.5,50.5,49.0,50.0,23300,0.0
5,2010-04-23,50.0,50.0,50.0,50.0,500,0.0
6,2010-04-26,50.0,50.0,50.0,50.0,600,0.0
7,2010-04-27,50.0,50.0,50.0,50.0,100,0.0
8,2010-04-28,50.0,50.0,48.0,49.5,3400,0.0
9,2010-04-29,49.5,49.5,47.5,49.5,5700,0.0
10,2010-04-30,49.5,49.5,49.0,49.5,5700,0.0
11,2010-07-01,44.5,44.5,44.5,44.5,700,0.0
12,2010-07-07,44.0,44.0,44.0,44.0,200,0.0
13,2010-07-08,44.0,44.0,43.5,43.5,1000,0.0
14,2010-07-09,44.0,44.0,43.5,44.0,2100,0.0
15,2010-07-12,44.0,44.0,43.0,44.0,4500,0.0
16,2010-07-13,44.0,44.0,44.0,44.0,4700,0.0
17,2010-07-14,44.0,44.0,44.0,44.0,2400,0.0
18,2010-07-15,44.0,44.0,44.0,44.0,1600,0.0
19,2010-07-16,44.0,44.0,44.0,44.0,800,0.0
20,2010-07-19,44.0,44.0,44.0,44.0,600,0.0
21,2010-07-20,44.0,47.0,44.0,47.0,64800,-60850.0
22,2010-07-21,47.0,49.0,47.0,49.0,43900,-244400.0
23,2010-06-01,47.5,47.5,47.0,47.5,3500,47000.0
24,2010-06-02,47.5,48.0,47.5,48.0,24700,286500.0
25,2010-06-03,47.5,47.5,47.5,47.5,600,0.0
26,2010-06-04,47.5,47.5,47.5,47.5,2800,14250.0
27,2010-06-07,47.5,47.5,47.5,47.5,1000,0.0
28,2010-06-08,47.5,47.5,47.0,47.0,2900,0.0
29,2010-06-09,47.0,47.0,47.0,47.0,700,0.0
30,2010-06-10,47.0,47.0,46.5,47.0,1100,0.0
31,2010-06-11,47.0,47.0,46.0,47.0,5000,0.0
32,2010-06-15,47.0,47.0,46.5,47.0,21400,154950.0
33,2010-06-16,47.0,47.0,47.0,47.0,300,0.0
34,2010-06-17,46.5,46.5,46.5,46.5,200,0.0
35,2010-06-18,46.5,46.5,45.5,45.5,1900,0.0
36,2010-06-21,45.5,45.5,45.0,45.0,2100,0.0
37,2010-06-22,45.0,45.0,45.0,45.0,1600,40500.0
38,2010-06-23,45.0,45.0,44.5,45.0,2700,0.0
39,2010-06-24,45.0,45.0,45.0,45.0,2100,31500.0
40,2010-06-25,45.0,45.0,45.0,45.0,2000,31500.0
41,2010-06-28,45.0,45.0,45.0,45.0,400,0.0
42,2010-06-29,45.0,45.0,44.5,45.0,1200,35900.0
43,2010-05-04,49.5,49.5,49.5,49.5,500,0.0
44,2010-05-05,49.0,50.0,49.0,49.0,32500,0.0
45,2010-05-06,49.0,49.0,48.5,49.0,9200,0.0
46,2010-05-07,49.0,49.0,48.5,48.5,500,0.0
47,2010-05-11,48.5,48.5,48.0,48.5,11400,9700.0
48,2010-05-12,48.5,48.5,47.5,48.0,7800,342250.0
49,2010-05-13,47.5,48.0,47.5,48.0,8300,23850.0
50,2010-05-14,48.0,48.0,48.0,48.0,14000,-48000.0
