,Date,Open,High,Low,Close,Volume,OtherData
0,2015-11-12,4.78,5.3,4.41,4.49,731000,32760
1,2015-11-13,4.0,4.33,3.72,4.0,24000,0
2,2015-11-16,4.08,4.5,4.0,4.0,149000,0
3,2015-11-17,3.99,4.0,3.99,4.0,3000,0
4,2015-11-20,3.27,3.65,3.27,3.61,53000,0
5,2015-11-23,3.45,3.55,3.06,3.2,122000,0
6,2015-11-24,3.07,3.1,3.06,3.06,58000,0
7,2015-11-25,3.01,3.14,3.01,3.05,32000,-15050
8,2015-11-26,3.1,3.28,3.1,3.25,38000,0
9,2015-11-27,3.25,3.83,3.25,3.5,103000,0
10,2015-12-01,3.61,3.88,3.6,3.68,41000,0
11,2015-12-02,3.7,3.87,3.7,3.87,77000,11100
12,2015-12-03,3.87,4.25,3.5,3.65,531000,60200
13,2015-12-04,3.55,3.6,3.51,3.52,80000,0
14,2015-12-07,3.41,3.48,3.41,3.48,55000,0
15,2015-12-08,3.79,3.79,3.36,3.36,118000,0
16,2015-12-09,3.33,3.34,3.33,3.34,54000,0
17,2015-12-10,3.32,3.45,3.17,3.45,172000,0
18,2015-12-11,3.45,3.45,3.45,3.45,20000,0
19,2015-12-14,3.5,3.5,3.3,3.47,106000,-34500
20,2015-12-15,3.31,3.32,3.3,3.3,26000,0
21,2015-12-16,3.22,3.3,3.22,3.3,28000,0
22,2015-12-17,3.3,3.3,3.2,3.2,82000,0
23,2015-12-18,3.19,3.19,3.16,3.16,30000,0
24,2015-12-21,3.17,3.17,3.17,3.17,6000,0
25,2015-12-22,3.16,3.3,3.11,3.11,57000,0
26,2015-12-23,3.35,3.35,3.12,3.12,5000,0
27,2015-12-28,3.1,3.1,3.09,3.09,32000,-31000
28,2015-12-29,3.2,3.28,3.2,3.28,7000,0
29,2016-01-04,3.1,3.29,3.1,3.29,132000,0
30,2016-01-05,3.1,3.2,3.09,3.1,57000,0
31,2016-01-06,3.19,3.19,3.1,3.1,38000,0
32,2016-01-07,3.1,3.15,3.0,3.1,112000,0
33,2016-01-11,3.0,3.14,2.9,3.14,132000,0
34,2016-01-12,3.14,3.19,3.1,3.15,95000,0
35,2016-01-13,3.18,3.3,3.18,3.3,78000,0
36,2016-01-14,3.24,3.29,3.1,3.1,30000,0
37,2016-01-15,3.01,3.1,2.81,2.81,91000,0
38,2016-01-18,2.81,3.12,2.81,3.12,35000,0
39,2016-01-19,3.12,3.14,3.12,3.14,11000,0
40,2016-01-20,3.01,3.14,3.01,3.14,9000,0
41,2016-01-21,3.14,3.15,3.14,3.15,27000,31500
42,2016-01-22,3.17,3.24,3.1,3.12,15000,0
43,2016-01-26,3.01,3.15,3.01,3.15,3000,0
44,2016-01-27,3.02,3.14,3.02,3.14,4000,0
45,2016-01-28,3.02,3.08,3.0,3.0,28000,0
46,2016-01-29,3.01,3.1,3.01,3.1,16000,0
47,2016-02-01,3.14,3.14,3.14,3.14,1000,0
48,2016-02-02,3.14,3.15,3.02,3.15,32000,0
49,2016-02-03,3.15,3.28,3.15,3.28,23000,0
50,2016-02-04,3.27,3.49,3.17,3.49,126000,0
51,2016-02-05,3.3,3.45,3.25,3.45,16000,0
52,2016-02-09,3.03,3.33,3.01,3.33,30000,16050
53,2016-02-10,3.25,3.4,3.25,3.4,14000,0
54,2016-02-11,3.24,3.35,3.18,3.3,23000,0
55,2016-02-12,3.3,3.58,3.3,3.57,61000,0
56,2016-02-15,3.57,3.7,3.4,3.6,55000,0
57,2016-02-16,3.6,3.6,3.6,3.6,2000,0
58,2016-02-17,3.6,3.6,3.55,3.55,7000,0
59,2016-02-18,3.55,3.55,3.48,3.48,13000,0
60,2016-02-19,3.48,3.75,3.34,3.74,61000,0
61,2016-02-22,3.74,3.74,3.4,3.6,59000,0
62,2016-02-23,3.72,3.78,3.7,3.7,11000,0
63,2016-02-26,3.7,3.7,3.7,3.7,23000,0
64,2016-02-29,3.7,3.78,3.7,3.78,10000,0
65,2016-03-02,3.76,3.77,3.76,3.77,2000,0
66,2016-03-04,2.4,3.69,2.4,3.56,661000,526130
67,2016-03-07,3.55,3.74,3.55,3.7,8000,0
68,2016-03-08,3.56,3.7,3.54,3.7,5000,-10680
69,2016-03-09,3.5,3.66,3.5,3.66,7000,0
70,2016-03-11,3.66,3.66,3.66,3.66,5000,0
71,2016-03-14,3.64,3.65,3.64,3.65,6000,0
72,2016-03-15,3.3,3.65,3.3,3.65,18000,0
73,2016-03-16,3.5,3.64,3.5,3.64,12000,0
74,2016-03-17,3.65,3.65,3.5,3.65,12000,0
75,2016-03-18,3.65,3.65,3.65,3.65,1000,0
76,2016-03-21,3.25,3.7,3.25,3.7,57000,0
77,2016-03-22,3.69,3.69,3.69,3.69,19000,0
78,2016-03-23,3.69,3.69,3.69,3.69,1000,0
79,2016-03-28,3.69,3.85,3.68,3.74,24000,0
80,2016-03-29,3.34,3.79,3.34,3.79,3000,0
81,2016-03-30,3.79,3.85,3.78,3.85,101000,0
82,2016-03-31,3.9,4.4,3.75,4.19,504000,-640
83,2016-04-01,4.19,4.48,4.0,4.47,194000,0
84,2016-04-04,4.49,4.58,4.2,4.3,123000,0
85,2016-04-05,4.01,4.3,4.0,4.28,40000,60000
86,2016-04-06,4.28,4.28,4.26,4.26,3000,0
87,2016-04-07,4.26,4.26,3.91,4.2,46000,0
88,2016-04-08,4.22,4.4,3.92,4.19,87000,60000
89,2016-04-11,4.18,4.4,4.0,4.4,130000,60000
90,2016-04-12,4.4,4.4,4.0,4.12,132000,0
91,2016-04-13,4.18,4.34,3.96,4.08,86000,3980
92,2016-04-14,3.94,4.04,3.94,4.04,33000,0
93,2016-04-15,4.04,4.26,3.99,4.13,93000,0
94,2016-04-18,4.1,4.1,3.9,4.06,58000,0
95,2016-04-19,3.75,4.21,3.71,4.21,32000,0
96,2016-04-20,4.0,4.1,4.0,4.0,57000,0
97,2016-04-21,4.1,4.23,3.9,4.0,218000,0
98,2016-04-22,4.15,4.15,4.0,4.0,23000,0
99,2016-04-25,4.0,4.2,4.0,4.0,99000,0
100,2016-04-26,4.0,4.3,4.0,4.2,20000,0
101,2016-04-27,4.2,4.3,4.01,4.14,25000,0
102,2016-04-28,4.01,4.28,4.01,4.28,10000,0
103,2016-04-29,4.25,4.46,4.12,4.12,109000,-4450
104,2016-05-02,4.1,4.26,4.0,4.02,57000,0
105,2016-05-03,4.01,4.01,4.0,4.0,25000,0
106,2016-05-04,3.99,4.24,3.96,4.18,50000,0
107,2016-05-11,4.0,4.14,4.0,4.14,51000,0
108,2016-05-12,3.92,4.49,3.92,4.49,282000,-133500
109,2016-05-13,4.5,6.73,4.49,6.73,3696000,31840
110,2016-05-16,8.0,10.08,7.52,10.08,4170500,42875
111,2016-05-17,11.48,15.0,9.03,14.88,13303100,-61320
112,2016-05-18,14.98,17.48,10.86,11.04,9531900,-796786
113,2016-05-19,10.6,12.5,6.7,7.3,10829000,627382
114,2016-05-20,7.4,7.8,3.71,4.03,48467800,1810948
115,2016-05-23,4.32,4.6,4.1,4.25,17192000,31830
116,2016-05-24,4.33,4.45,4.0,4.04,6029000,-8710
117,2016-05-25,4.06,4.29,3.8,3.97,8751000,562350
118,2016-05-26,4.05,4.58,4.05,4.35,14296000,-111060
119,2016-05-27,4.5,4.55,4.2,4.24,5137000,-489590
120,2016-05-30,4.2,4.35,4.15,4.18,2340000,46050
121,2016-05-31,4.16,4.16,3.9,4.08,2288000,172210
122,2016-06-01,4.08,4.1,3.9,4.0,977000,0
123,2016-06-02,3.95,4.2,3.94,4.01,1562000,544840
124,2016-06-03,4.08,4.08,4.0,4.02,685000,-360200
125,2016-06-06,4.0,4.11,4.0,4.05,972000,4000
126,2016-06-07,4.08,4.08,3.99,3.99,1358000,-52090
127,2016-06-08,3.99,4.06,3.98,4.01,983000,-87780
128,2016-06-09,4.01,4.34,4.01,4.1,6873000,86870
129,2016-06-10,4.12,4.15,4.07,4.07,777000,0
130,2016-06-13,4.07,4.07,3.98,4.01,1321000,284130
131,2016-06-15,3.94,4.05,3.86,3.98,1282000,7770
132,2016-06-16,3.92,4.0,3.87,3.91,848000,3890
133,2016-06-17,3.91,3.94,3.85,3.91,1242000,39080
134,2016-06-20,3.91,4.05,3.83,4.02,1071000,77950
135,2016-06-21,4.01,4.25,3.98,3.99,3604000,-307940
136,2016-06-23,3.99,3.99,3.88,3.88,1451000,0
137,2016-06-24,3.89,3.93,3.74,3.8,1204000,-19450
138,2016-06-27,3.77,3.8,3.6,3.71,880000,-52650
139,2016-06-28,3.7,3.95,3.63,3.77,738000,0
140,2016-06-29,3.89,3.89,3.7,3.7,785000,0
141,2016-06-30,3.71,3.9,3.7,3.72,1405000,114800
142,2016-07-01,3.72,3.82,3.7,3.7,445000,0
143,2016-07-04,3.7,3.75,3.6,3.68,975000,0
144,2016-07-05,3.72,3.92,3.69,3.81,1466000,-57850
145,2016-07-07,3.82,3.84,3.71,3.74,579000,0
146,2016-07-08,3.74,3.88,3.74,3.8,1022000,-116400
147,2016-07-11,3.97,5.7,3.97,5.4,37723000,3197270
148,2016-07-12,5.65,6.13,4.41,4.56,27665400,458854
149,2016-07-13,4.78,5.2,4.6,5.17,10426000,-2050740
150,2016-07-14,6.0,6.48,5.6,5.7,41503700,68830
151,2016-07-15,5.9,6.25,5.8,6.05,14667000,-1677931
152,2016-07-18,6.05,6.08,5.72,5.9,3137300,-77320
153,2016-07-19,6.05,7.0,6.01,6.81,14210600,-72958
154,2016-07-20,7.4,8.45,7.2,8.08,26215800,684529
155,2016-07-21,8.55,8.6,4.91,5.0,77505100,4970446
156,2016-07-22,4.88,5.43,4.48,5.27,27444300,1620733
157,2016-07-25,5.47,5.88,5.25,5.85,15656800,-1296834
158,2016-07-26,5.7,5.7,5.0,5.14,20278700,12318
159,2016-07-27,5.2,5.36,5.07,5.15,6489700,-737129
160,2016-07-28,5.0,5.1,4.75,4.91,8440800,360368
161,2016-07-29,4.9,4.91,4.75,4.89,5782000,61880
162,2016-08-01,4.9,5.2,4.89,5.02,2637000,-126250
163,2016-08-03,5.17,5.17,4.95,5.02,1969700,154820
164,2016-08-04,5.04,5.1,4.97,4.98,1420500,100130
165,2016-08-05,4.99,5.12,4.97,4.98,2300000,125940
166,2016-08-08,5.0,5.24,5.0,5.17,3396000,-20190
167,2016-08-09,5.21,5.39,5.1,5.1,2979100,-76920
168,2016-08-10,5.12,5.12,4.99,4.99,2436900,192178
169,2016-08-11,5.0,5.21,4.99,5.19,2995000,202860
170,2016-08-12,5.23,5.94,5.12,5.94,17492100,269938
171,2016-08-15,6.05,6.3,5.0,5.35,31059600,1974835
172,2016-08-16,5.0,5.09,4.66,4.85,11457000,576973
173,2016-08-17,4.85,5.09,4.82,4.9,2111000,19400
174,2016-08-18,4.97,4.97,4.66,4.87,3493000,-47580
175,2016-08-19,4.88,4.88,4.68,4.75,2402000,251450
