,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,3.0,3.0,3.0,3.0,62000,0
1,2006-08-02,2.95,2.95,2.95,2.95,2000,0
2,2006-08-03,3.0,3.0,3.0,3.0,3000,0
3,2006-08-04,3.0,3.0,3.0,3.0,4000,0
4,2006-08-10,3.0,3.0,3.0,3.0,3000,0
5,2006-08-15,2.95,2.95,2.95,2.95,29000,0
6,2006-08-16,2.9,2.9,2.9,2.9,5000,0
7,2006-12-05,3.5,3.5,3.5,3.5,30000,105000
8,2006-12-07,3.6,3.6,3.6,3.6,27000,0
9,2006-12-11,3.6,3.6,3.6,3.6,13000,0
10,2006-12-13,3.6,3.8,3.6,3.8,15000,0
11,2006-12-15,3.7,3.7,3.7,3.7,6000,0
12,2006-12-18,3.7,3.8,3.7,3.8,200000,-604200
13,2006-12-19,3.75,3.75,3.75,3.75,194000,-468750
14,2006-12-22,3.7,3.7,3.6,3.6,23000,-22100
15,2006-12-28,3.6,3.7,3.6,3.7,136000,281100
16,2006-12-29,3.7,3.7,3.7,3.7,27000,99900
17,2006-11-02,3.5,3.5,3.5,3.5,15000,0
18,2006-11-03,3.6,3.7,3.5,3.7,92000,0
19,2006-11-06,3.65,3.65,3.65,3.65,9000,0
20,2006-11-07,3.65,3.7,3.65,3.7,41000,0
21,2006-11-08,3.7,3.8,3.7,3.7,87000,0
22,2006-11-09,3.8,3.8,3.8,3.8,40000,38000
23,2006-11-10,3.8,3.95,3.8,3.95,109000,0
24,2006-11-13,3.9,3.9,3.8,3.8,74000,11550
25,2006-11-14,3.9,3.9,3.85,3.85,21000,0
26,2006-11-15,3.85,3.85,3.85,3.85,24000,0
27,2006-11-16,3.85,3.85,3.8,3.8,72000,154000
28,2006-11-17,3.8,3.8,3.8,3.8,2000,-7600
29,2006-11-20,3.8,3.8,3.8,3.8,101000,-372400
30,2006-11-21,3.7,3.7,3.7,3.7,23000,0
31,2006-11-22,3.55,3.55,3.2,3.4,103000,0
32,2006-11-23,3.5,3.8,3.5,3.8,365000,-380000
33,2006-11-24,3.75,3.75,3.75,3.75,5000,0
34,2006-11-27,3.8,3.8,3.75,3.75,202000,-737200
35,2006-11-28,3.5,3.5,3.5,3.5,1000,0
36,2006-11-29,3.5,3.6,3.5,3.5,60000,0
37,2006-11-30,3.5,3.5,3.5,3.5,61000,0
38,2006-10-03,3.25,3.3,3.25,3.3,194000,0
39,2006-10-04,3.4,3.4,3.3,3.3,35000,0
40,2006-10-05,3.3,3.4,3.3,3.4,150000,-102300
41,2006-10-06,3.45,3.45,3.45,3.45,136000,0
42,2006-10-10,3.3,3.3,3.3,3.3,20000,0
43,2006-10-11,3.3,3.3,3.3,3.3,15000,0
44,2006-10-12,3.3,3.35,3.3,3.3,90000,0
45,2006-10-13,3.3,3.3,3.3,3.3,22000,0
46,2006-10-16,3.4,3.5,3.4,3.5,13000,0
47,2006-10-17,3.5,3.5,3.2,3.3,174000,0
48,2006-10-18,3.3,3.3,3.25,3.3,38000,0
49,2006-10-19,3.5,3.5,3.5,3.5,23000,0
50,2006-10-20,3.5,3.5,3.4,3.5,20000,0
51,2006-10-23,3.3,3.4,3.3,3.4,11000,0
52,2006-10-25,3.35,3.35,3.35,3.35,7000,0
53,2006-10-26,3.55,3.55,3.35,3.35,14000,0
54,2006-10-27,3.5,3.55,3.5,3.5,87000,0
55,2006-10-30,3.55,3.55,3.55,3.55,35000,0
56,2006-10-31,3.3,3.55,3.3,3.55,11000,0
57,2006-09-01,3.0,3.0,3.0,3.0,15000,45000
58,2006-09-05,3.0,3.0,3.0,3.0,4000,0
59,2006-09-07,3.0,3.0,3.0,3.0,10000,0
60,2006-09-08,3.0,3.0,3.0,3.0,5000,0
61,2006-09-11,2.95,2.95,2.95,2.95,6000,0
62,2006-09-12,3.0,3.0,2.95,3.0,613000,0
63,2006-09-13,3.0,3.0,3.0,3.0,120000,0
64,2006-09-14,2.95,3.0,2.95,3.0,21000,0
65,2006-09-15,3.0,3.0,3.0,3.0,35000,0
66,2006-09-19,3.1,3.1,3.1,3.1,28000,0
67,2006-09-20,3.1,3.2,3.1,3.2,38000,0
68,2006-09-21,3.1,3.1,3.1,3.1,30000,0
69,2006-09-22,3.1,3.1,3.1,3.1,10000,0
70,2006-09-26,3.1,3.1,3.1,3.1,41000,0
71,2006-09-27,3.1,3.2,3.1,3.2,12000,0
72,2007-04-02,3.85,3.85,3.85,3.85,3000,11550
73,2007-04-03,3.85,3.85,3.85,3.85,6000,23100
74,2007-04-04,3.85,3.85,3.85,3.85,85000,327250
75,2007-04-11,3.85,3.85,3.85,3.85,50000,192500
76,2007-04-12,3.85,3.9,3.85,3.85,133000,334950
77,2007-04-13,3.85,3.85,3.85,3.85,12000,42350
78,2007-04-16,4.0,4.0,4.0,4.0,277000,0
79,2007-04-17,4.05,5.0,4.05,4.7,467000,-24000
80,2007-04-18,4.7,4.7,4.3,4.5,197000,0
81,2007-04-19,4.6,4.65,4.5,4.6,232000,650100
82,2007-04-20,4.55,4.6,4.55,4.6,54000,-128800
83,2007-04-23,4.55,4.6,4.55,4.55,151000,-442750
84,2007-04-24,4.5,4.5,4.5,4.5,111000,45000
85,2007-04-25,4.5,4.5,4.45,4.5,144000,62900
86,2007-04-26,4.55,4.6,4.55,4.6,73000,32200
87,2007-04-27,4.5,4.5,4.5,4.5,12000,54000
88,2007-04-30,4.5,4.6,4.5,4.6,215000,402600
89,2007-08-02,5.5,5.6,5.5,5.5,1118000,5044800
90,2007-08-03,5.5,5.6,5.5,5.5,239000,781000
91,2007-08-06,5.5,5.5,5.3,5.4,750000,270000
92,2007-08-07,5.5,5.5,5.5,5.5,580000,-93500
93,2007-08-08,5.4,5.5,5.4,5.5,36000,108000
94,2007-08-09,5.6,5.6,5.5,5.6,1120000,-104400
95,2007-08-10,5.5,5.5,5.5,5.5,35000,0
96,2007-08-13,5.7,5.7,5.7,5.7,7000,39900
97,2007-08-14,5.6,5.6,5.5,5.6,1104000,78200
98,2007-08-15,5.5,5.5,5.4,5.4,81000,-231800
99,2007-08-16,5.4,5.4,5.3,5.4,550000,444900
100,2007-08-17,5.4,5.4,5.2,5.2,587000,1067700
101,2007-08-21,5.3,5.3,5.2,5.2,60000,313000
102,2007-08-22,5.2,5.2,5.2,5.2,423000,-156000
103,2007-08-23,5.2,5.2,5.2,5.2,39000,5200
104,2007-08-28,5.2,5.2,5.2,5.2,618000,-1497600
105,2007-08-29,5.2,5.2,5.1,5.2,206000,-93600
106,2007-08-30,5.2,5.3,5.2,5.2,363000,-1354600
107,2007-08-31,5.1,5.2,5.1,5.1,1425000,-5212000
108,2007-12-03,4.85,4.85,4.85,4.85,66000,145500
109,2007-12-04,4.8,4.85,4.8,4.8,137000,0
110,2007-12-05,4.8,5.0,4.8,5.0,9000,0
111,2007-12-06,4.9,5.0,4.9,5.0,39000,0
112,2007-12-07,4.85,4.95,4.85,4.95,75000,0
113,2007-12-10,4.9,4.9,4.85,4.85,100000,-242500
114,2007-12-11,4.85,4.85,4.85,4.85,236000,-189150
115,2007-12-13,4.85,4.95,4.85,4.95,60000,-253200
116,2007-12-14,4.85,4.85,4.85,4.85,147000,14550
117,2007-12-17,4.85,4.9,4.85,4.9,177000,-355200
118,2007-12-18,4.85,4.9,4.85,4.9,110000,-240100
119,2007-12-19,4.95,5.1,4.95,5.1,121000,-253450
120,2007-12-20,5.0,5.0,5.0,5.0,723000,-3085000
121,2007-12-26,5.3,5.3,5.3,5.3,725000,0
122,2007-12-27,5.4,5.4,5.3,5.3,117000,-106000
123,2007-12-28,5.3,5.3,5.2,5.2,215000,0
124,2007-02-01,3.6,3.6,3.55,3.55,3000,0
125,2007-02-02,3.7,3.8,3.7,3.8,93000,-113400
126,2007-02-07,3.6,3.6,3.6,3.6,5000,0
127,2007-02-08,3.6,3.6,3.6,3.6,9000,0
128,2007-02-09,3.65,3.8,3.65,3.8,4000,0
129,2007-02-13,3.6,3.6,3.6,3.6,22000,0
130,2007-02-15,3.8,3.9,3.8,3.85,632000,0
131,2007-02-19,4.0,4.0,3.9,3.9,59000,-172000
132,2007-02-20,3.95,4.0,3.9,3.95,311000,-1204300
133,2007-02-21,3.95,3.95,3.95,3.95,5000,-15800
134,2007-02-22,3.95,3.95,3.95,3.95,152000,-521400
135,2007-02-23,3.95,3.95,3.95,3.95,50000,-71100
136,2007-02-26,3.95,3.95,3.95,3.95,32000,0
137,2007-02-27,3.95,4.0,3.95,3.95,69000,0
138,2007-02-28,3.9,3.9,3.9,3.9,81000,0
139,2007-01-03,3.8,3.8,3.8,3.8,517000,258400
140,2007-01-04,3.8,3.8,3.75,3.8,650000,551100
141,2007-01-05,3.85,3.85,3.85,3.85,31000,0
142,2007-01-08,3.7,3.7,3.7,3.7,7000,25900
143,2007-01-09,3.7,3.8,3.7,3.8,55000,207200
144,2007-01-10,3.8,3.8,3.8,3.8,15000,0
145,2007-01-11,3.85,3.85,3.85,3.85,295000,0
146,2007-01-12,3.85,3.9,3.85,3.9,207000,0
147,2007-01-16,3.9,3.9,3.8,3.8,153000,11400
148,2007-01-19,3.8,3.8,3.8,3.8,36000,98800
149,2007-01-22,3.8,3.8,3.8,3.8,15000,57000
150,2007-01-23,3.8,3.8,3.8,3.8,53000,201400
151,2007-01-26,3.8,3.8,3.8,3.8,100000,0
