,Date,Open,High,Low,Close,Volume,OtherData
0,2009-08-03,12.75,13.75,12.75,13.5,164900.0,0.0
1,2009-08-04,13.75,13.75,13.5,13.5,124700.0,0.0
2,2009-08-06,13.5,13.5,13.25,13.5,87100.0,0.0
3,2009-08-07,13.75,14.0,13.75,14.0,198200.0,0.0
4,2009-08-10,14.0,14.0,13.75,13.75,59600.0,550000.0
5,2009-08-11,13.75,14.25,13.75,14.0,59500.0,0.0
6,2009-08-13,14.0,14.0,14.0,14.0,26000.0,-42000.0
7,2009-08-14,14.0,14.0,14.0,14.0,107000.0,-28000.0
8,2009-08-17,13.75,14.0,13.75,14.0,14500.0,0.0
9,2009-08-18,13.75,13.75,13.75,13.75,105000.0,0.0
10,2009-08-19,13.75,14.0,13.75,14.0,4300.0,0.0
11,2009-08-20,13.5,14.0,13.25,14.0,7000.0,-7000.0
12,2009-08-24,13.75,14.0,13.75,14.0,8200.0,0.0
13,2009-08-25,13.5,13.75,13.0,13.75,12300.0,0.0
14,2009-08-27,13.5,13.5,13.5,13.5,71600.0,0.0
15,2009-08-28,13.75,13.75,13.75,13.75,4100.0,0.0
16,2009-12-01,28.0,29.0,27.0,28.5,1770100.0,-275000.0
17,2009-12-02,29.0,29.5,28.0,28.0,726400.0,0.0
18,2009-12-03,28.0,28.0,27.0,27.5,519000.0,-21550.0
19,2009-12-04,27.0,27.5,26.5,27.0,830600.0,0.0
20,2009-12-07,27.5,28.0,27.0,27.0,1143500.0,-13625000.0
21,2009-12-08,27.0,28.0,27.0,27.0,662200.0,0.0
22,2009-12-09,27.0,27.5,26.5,27.0,303500.0,0.0
23,2009-12-10,27.0,27.0,25.0,25.0,1082300.0,40000.0
24,2009-12-11,25.0,26.0,24.75,25.0,513900.0,0.0
25,2009-12-14,25.0,25.5,24.75,25.0,272200.0,0.0
26,2009-12-15,25.5,25.5,24.5,25.0,101300.0,0.0
27,2009-12-16,25.0,25.5,24.5,24.75,322300.0,-1732500.0
28,2009-12-17,25.0,25.0,24.5,24.5,217100.0,0.0
29,2009-12-18,24.5,24.75,24.0,24.0,348600.0,-26675.0
30,2009-12-21,24.5,26.0,24.5,25.5,1076800.0,433500.0
31,2009-12-22,25.5,25.5,24.0,24.25,518500.0,7200.0
32,2009-12-23,24.5,24.5,24.25,24.5,78200.0,489850.0
33,2009-12-28,24.5,25.5,24.25,25.0,161500.0,0.0
34,2009-12-29,25.5,25.5,24.75,24.75,1658800.0,-37500000.0
35,2009-07-01,12.5,13.0,12.5,12.75,32500.0,0.0
36,2009-07-02,12.5,12.5,12.25,12.25,6700.0,31850.0
37,2009-07-03,13.0,13.0,12.25,12.25,8300.0,0.0
38,2009-07-06,12.25,12.25,12.0,12.0,4300.0,0.0
39,2009-07-07,12.0,12.5,12.0,12.0,11000.0,0.0
40,2009-07-08,12.0,12.25,12.0,12.0,17700.0,0.0
41,2009-07-09,12.25,12.25,12.25,12.25,136000.0,0.0
42,2009-07-10,12.0,12.0,11.5,12.0,19000.0,0.0
43,2009-07-13,11.75,11.75,11.75,11.75,5000.0,0.0
44,2009-07-14,11.75,11.75,11.75,11.75,3000.0,0.0
45,2009-07-15,11.75,11.75,11.5,11.75,11200.0,-57500.0
46,2009-07-16,12.0,12.25,12.0,12.0,5600.0,0.0
47,2009-07-20,12.75,12.75,12.0,12.5,4200.0,0.0
48,2009-07-23,12.0,12.25,12.0,12.25,1500.0,0.0
49,2009-07-24,11.5,11.5,11.5,11.5,6000.0,0.0
50,2009-07-27,11.75,12.25,11.75,12.25,3500.0,0.0
51,2009-07-28,11.75,11.75,11.5,11.5,8700.0,0.0
52,2009-07-29,11.75,11.75,11.75,11.75,2200.0,0.0
53,2009-07-30,11.5,12.5,11.5,12.5,448800.0,0.0
54,2009-07-31,12.0,13.75,12.0,13.75,71600.0,0.0
55,2009-06-01,22.75,22.75,22.75,22.75,20000.0,0.0
56,2009-06-02,20.0,20.0,20.0,20.0,1000.0,0.0
57,2009-06-03,20.0,21.5,20.0,21.5,121400.0,0.0
58,2009-06-05,17.5,17.5,17.5,17.5,3000.0,0.0
59,2009-06-08,17.5,18.0,17.5,17.75,1720800.0,0.0
60,2009-06-09,17.75,18.75,11.0,12.75,1213300.0,-427125.0
61,2009-06-10,13.0,13.0,12.0,12.75,1114400.0,0.0
62,2009-06-11,12.75,12.75,11.25,12.75,1060600.0,24000.0
63,2009-06-15,12.75,13.0,12.5,13.0,504500.0,0.0
64,2009-06-16,12.25,13.0,12.0,13.0,509800.0,28800.0
65,2009-06-17,12.75,12.75,11.75,12.5,93300.0,0.0
66,2009-06-18,12.75,12.75,11.75,12.25,43300.0,0.0
67,2009-06-19,12.0,13.0,12.0,13.0,17100.0,0.0
68,2009-06-22,13.25,13.25,12.75,12.75,31700.0,0.0
69,2009-06-23,12.75,12.75,12.0,12.5,40200.0,0.0
70,2009-06-24,12.5,12.75,12.5,12.5,91700.0,0.0
71,2009-06-25,12.5,12.75,12.25,12.5,62000.0,0.0
72,2009-06-26,12.5,13.5,12.5,13.25,11000.0,0.0
73,2009-06-29,14.0,14.5,14.0,14.5,5500.0,0.0
74,2009-06-30,14.0,14.0,14.0,14.0,72000.0,-28000.0
75,2009-05-25,23.5,23.5,23.5,23.5,1000.0,0.0
76,2009-05-26,23.5,25.0,23.5,25.0,744800.0,-3350000.0
77,2009-05-27,24.75,24.75,23.5,23.5,600.0,0.0
