,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,1.84,1.84,1.82,1.82,133000.0,-36400.0
1,2006-08-02,1.8,1.82,1.8,1.82,429000.0,-363000.0
2,2006-08-03,1.8,1.84,1.8,1.82,1360000.0,0.0
3,2006-08-04,1.82,1.82,1.8,1.8,1166000.0,0.0
4,2006-08-07,1.8,1.84,1.8,1.84,1442000.0,0.0
5,2006-08-08,1.82,1.84,1.82,1.84,230000.0,-101200.0
6,2006-08-09,1.86,1.86,1.86,1.86,461000.0,0.0
7,2006-08-11,1.86,1.86,1.86,1.86,200000.0,0.0
8,2006-08-14,1.88,1.88,1.84,1.86,197000.0,-186000.0
9,2006-08-15,1.86,1.88,1.86,1.86,397000.0,0.0
10,2006-08-16,1.86,1.86,1.86,1.86,379000.0,0.0
11,2006-08-17,1.86,1.86,1.86,1.86,270000.0,0.0
12,2006-12-04,2.75,2.85,2.75,2.8,813000.0,0.0
13,2006-12-05,2.85,2.85,2.85,2.85,1216000.0,0.0
14,2006-12-06,2.9,2.9,2.85,2.85,436000.0,0.0
15,2006-12-07,2.85,2.85,2.8,2.85,1822000.0,0.0
16,2006-12-08,2.85,2.85,2.8,2.8,1195000.0,0.0
17,2006-12-11,2.8,2.8,2.75,2.8,499000.0,560000.0
18,2006-12-12,2.85,2.85,2.75,2.85,2223000.0,1839750.0
19,2006-12-13,2.85,2.85,2.85,2.85,2530000.0,0.0
20,2006-12-14,2.85,2.85,2.8,2.8,372000.0,0.0
21,2006-12-15,2.8,2.85,2.8,2.85,1106000.0,0.0
22,2006-12-18,2.85,2.85,2.8,2.85,457000.0,0.0
23,2006-12-19,2.85,2.9,2.85,2.9,1521000.0,-1740000.0
24,2006-12-20,2.85,2.85,2.85,2.85,19000.0,0.0
25,2006-12-21,2.9,2.9,2.9,2.9,5000.0,0.0
26,2006-12-22,2.85,2.85,2.85,2.85,322000.0,0.0
27,2006-12-27,2.8,2.85,2.8,2.85,78000.0,0.0
28,2006-12-28,2.9,2.9,2.85,2.9,58000.0,0.0
29,2006-12-29,2.85,2.85,2.8,2.85,230000.0,356250.0
30,2006-11-02,2.65,2.7,2.6,2.7,734000.0,0.0
31,2006-11-03,2.75,2.75,2.65,2.7,725000.0,-116100.0
32,2006-11-06,2.7,2.75,2.7,2.7,478000.0,0.0
33,2006-11-07,2.7,2.85,2.7,2.8,1024000.0,0.0
34,2006-11-08,2.75,2.75,2.7,2.75,3819000.0,-8250000.0
35,2006-11-09,2.8,2.8,2.75,2.8,241000.0,0.0
