Date,Unnamed: 0,Open,High,Low,Close,Volume,OtherData,EMA-18,EMA-50,EMA-100
2007-08-01,0,5.1,5.1,4.9,5.0,41022000.0,25249200.0,,,
2007-08-02,1,5.0,5.0,4.6,4.8,8217000.0,132350.0,,,
2007-08-03,2,4.8,4.8,4.5,4.6,9910000.0,651000.0,,,
2007-08-06,3,4.4,4.4,4.2,4.3,15347000.0,-23973950.0,,,
2007-08-07,4,4.35,4.85,4.35,4.75,7431000.0,-2858100.0,,,
2007-08-08,5,4.6,4.85,4.55,4.8,20629000.0,-40993750.0,,,
2007-08-09,6,4.85,5.1,4.85,5.0,6841000.0,12132500.0,,,
2007-08-10,7,4.7,4.9,4.65,4.85,7924000.0,7328100.0,,,
2007-08-15,8,4.85,4.85,4.35,4.35,26975000.0,-49306250.0,,,
2007-08-16,9,4.3,4.3,3.8,3.9,38912000.0,-67857300.0,,,
2007-08-17,10,4.0,4.35,3.95,4.0,27263000.0,-5606500.0,,,
2007-08-21,11,4.3,4.5,4.3,4.45,15151000.0,-14005500.0,,,
2007-08-22,12,4.45,4.55,4.35,4.55,3937000.0,3022350.0,,,
2007-08-23,13,4.7,5.1,4.7,4.95,15571000.0,19056150.0,,,
2007-08-24,14,4.9,4.9,4.75,4.85,18429000.0,8031550.0,,,
2007-08-28,15,4.9,4.95,4.9,4.95,3006000.0,2164300.0,,,
2007-08-29,16,4.75,4.8,4.6,4.75,10125000.0,-10972750.0,,,
2007-08-30,17,4.8,5.2,4.8,5.2,17256000.0,-12123850.0,4.669444444444443,,
2007-08-31,18,5.1,5.4,5.1,5.4,7458000.0,26186100.0,4.746345029239767,,
2007-12-03,19,5.1,5.3,5.1,5.1,2571000.0,3488600.0,4.78357186826716,,
2007-12-04,20,5.1,5.2,5.1,5.2,1055000.0,-2550000.0,4.827406408449564,,
2007-12-05,21,5.1,5.3,5.1,5.3,3248000.0,-2716000.0,4.877153102296976,,
2007-12-06,22,5.2,5.4,5.2,5.3,1434000.0,-1368300.0,4.92166330205519,,
2007-12-07,23,5.4,5.4,5.2,5.3,1889000.0,-1561100.0,4.961488217628328,,
2007-12-10,24,5.3,5.4,5.1,5.4,2187000.0,-135000.0,5.00764735261482,,
2007-12-11,25,5.4,5.4,5.3,5.3,3438000.0,-6995400.0,5.0384213154974695,,
2007-12-12,26,5.2,5.3,5.1,5.3,784000.0,-374200.0,5.065955913866159,,
2007-12-13,27,5.3,5.3,5.2,5.3,358000.0,-159000.0,5.090592133459193,,
2007-12-14,28,5.3,5.3,5.2,5.2,11870000.0,104000.0,5.102108750989805,,
2007-12-17,29,5.1,5.2,5.0,5.0,747000.0,0.0,5.091360461411932,,
2007-12-18,30,5.0,5.2,4.95,5.0,718000.0,-847000.0,5.081743570736991,,
2007-12-19,31,5.0,5.1,5.0,5.0,193000.0,-251500.0,5.073138984343623,,
2007-12-20,32,5.0,5.0,4.95,4.95,243000.0,-760000.0,5.060176985991664,,
2007-12-26,33,5.3,5.3,5.1,5.1,766000.0,-674300.0,5.064368882203066,,
2007-12-27,34,5.2,5.3,5.1,5.2,808000.0,-2896400.0,5.0786458419711655,,
2007-12-28,35,5.1,5.3,5.1,5.3,5571000.0,6759000.0,5.101946279658411,,
2007-07-16,36,6.2,6.2,5.7,5.8,139564000.0,-166097900.0,5.175425618641737,,
2007-07-17,37,5.7,5.7,5.5,5.5,116151000.0,-22828400.0,5.209591342995237,,
2007-07-18,38,5.6,5.8,5.5,5.6,38920000.0,2693200.0,5.250686991101001,,
2007-07-19,39,5.6,5.7,5.5,5.5,10521000.0,-34579700.0,5.276930465721948,,
2007-07-23,40,5.5,5.6,5.5,5.5,4516000.0,7177000.0,5.3004114693301645,,
2007-07-25,41,5.6,5.6,5.5,5.5,12963000.0,22674000.0,5.321420788348042,,
2007-07-26,42,5.5,5.6,5.5,5.5,28376000.0,-13920500.0,5.340218600100879,,
2007-07-27,43,5.4,5.4,5.3,5.3,29543000.0,5099500.0,5.335985063248155,,
2007-07-30,44,5.3,5.3,5.1,5.1,48217000.0,1152600.0,5.311144530274665,,
2007-07-31,45,5.2,5.3,5.1,5.1,5427000.0,-326900.0,5.288918790245752,,
