,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,0.23,0.25,0.23,0.23,5200000.0,-161000.0
1,2006-08-02,0.225,0.225,0.225,0.225,1030000.0,0.0
2,2006-08-03,0.22,0.225,0.22,0.225,230000.0,0.0
3,2006-08-04,0.225,0.235,0.225,0.23,1260000.0,-161000.0
4,2006-08-08,0.22,0.22,0.21,0.21,1420000.0,-288600.0
5,2006-08-09,0.215,0.215,0.215,0.215,300000.0,0.0
6,2006-08-10,0.215,0.23,0.215,0.22,5770000.0,-745650.0
7,2006-08-11,0.225,0.225,0.22,0.22,1260000.0,0.0
8,2006-08-14,0.215,0.215,0.215,0.215,70000.0,0.0
9,2006-08-16,0.215,0.215,0.21,0.21,500000.0,0.0
10,2006-08-17,0.21,0.215,0.21,0.215,1200000.0,-63000.0
11,2006-12-04,0.33,0.34,0.32,0.32,2250000.0,0.0
12,2006-12-05,0.33,0.34,0.32,0.32,3390000.0,-577500.0
13,2006-12-06,0.31,0.33,0.3,0.33,1620000.0,0.0
14,2006-12-07,0.32,0.32,0.3,0.31,5760000.0,0.0
15,2006-12-08,0.31,0.31,0.3,0.3,8040000.0,0.0
16,2006-12-11,0.29,0.32,0.29,0.31,2200000.0,0.0
17,2006-12-12,0.33,0.39,0.33,0.36,46170000.0,-4056500.0
18,2006-12-13,0.37,0.37,0.36,0.36,10560000.0,-1571000.0
19,2006-12-14,0.36,0.36,0.36,0.36,4970000.0,0.0
20,2006-12-15,0.38,0.41,0.38,0.39,66340000.0,-2896600.0
21,2006-12-18,0.39,0.41,0.39,0.4,24440000.0,36900.0
22,2006-12-19,0.4,0.4,0.36,0.38,27030000.0,-1645600.0
23,2006-12-20,0.39,0.39,0.37,0.39,10330000.0,0.0
24,2006-12-21,0.4,0.4,0.39,0.39,4010000.0,-195000.0
25,2006-12-22,0.39,0.39,0.37,0.37,6920000.0,0.0
26,2006-12-27,0.38,0.38,0.37,0.37,990000.0,0.0
27,2006-12-28,0.37,0.37,0.37,0.37,3060000.0,0.0
28,2006-12-29,0.37,0.37,0.36,0.37,2270000.0,0.0
29,2006-11-02,0.245,0.245,0.24,0.24,510000.0,0.0
30,2006-11-03,0.25,0.25,0.24,0.24,2260000.0,0.0
31,2006-11-06,0.24,0.24,0.235,0.235,840000.0,0.0
32,2006-11-07,0.235,0.24,0.235,0.24,2990000.0,0.0
33,2006-11-08,0.24,0.25,0.24,0.25,4230000.0,0.0
34,2006-11-09,0.26,0.26,0.24,0.26,11640000.0,-52000.0
35,2006-11-10,0.27,0.27,0.25,0.26,3480000.0,0.0
36,2006-11-13,0.26,0.26,0.25,0.25,3070000.0,-12500.0
37,2006-11-14,0.245,0.245,0.24,0.245,930000.0,0.0
38,2006-11-15,0.25,0.27,0.25,0.26,8510000.0,0.0
39,2006-11-16,0.27,0.32,0.27,0.31,49760000.0,0.0
40,2006-11-17,0.32,0.33,0.31,0.32,35440000.0,-64000.0
41,2006-11-20,0.33,0.36,0.33,0.33,42690000.0,70000.0
42,2006-11-21,0.34,0.35,0.32,0.33,10820000.0,0.0
43,2006-11-22,0.33,0.34,0.33,0.34,9940000.0,33000.0
44,2006-11-23,0.35,0.41,0.35,0.4,88160000.0,95000.0
45,2006-11-24,0.43,0.46,0.42,0.43,97460000.0,-2751500.0
46,2006-11-27,0.43,0.43,0.39,0.39,25980000.0,-390000.0
47,2006-11-28,0.38,0.38,0.37,0.38,22140000.0,0.0
48,2006-11-29,0.37,0.37,0.34,0.36,31070000.0,-1564800.0
49,2006-11-30,0.36,0.36,0.34,0.34,4200000.0,0.0
50,2006-10-02,0.24,0.24,0.24,0.24,800000.0,0.0
51,2006-10-03,0.24,0.24,0.24,0.24,200000.0,0.0
52,2006-10-05,0.24,0.24,0.24,0.24,300000.0,-48000.0
53,2006-10-09,0.235,0.235,0.235,0.235,1450000.0,0.0
54,2006-10-10,0.235,0.235,0.235,0.235,190000.0,0.0
55,2006-10-11,0.23,0.23,0.22,0.22,3880000.0,-862300.0
56,2006-10-12,0.22,0.235,0.22,0.22,20600000.0,-4152950.0
57,2006-10-13,0.235,0.24,0.23,0.24,3970000.0,0.0
58,2006-10-16,0.245,0.26,0.235,0.24,4160000.0,0.0
59,2006-10-17,0.24,0.24,0.23,0.23,3720000.0,0.0
60,2006-10-18,0.235,0.235,0.235,0.235,1150000.0,0.0
61,2006-10-19,0.24,0.245,0.24,0.24,4970000.0,0.0
62,2006-10-20,0.245,0.26,0.245,0.25,8970000.0,0.0
63,2006-10-23,0.25,0.25,0.245,0.25,3210000.0,0.0
64,2006-10-25,0.26,0.27,0.26,0.26,6350000.0,0.0
65,2006-10-26,0.27,0.27,0.25,0.26,2370000.0,0.0
66,2006-10-27,0.26,0.26,0.245,0.25,2510000.0,0.0
67,2006-10-30,0.25,0.25,0.245,0.245,1060000.0,0.0
68,2006-10-31,0.25,0.25,0.245,0.245,2360000.0,-49000.0
69,2006-09-01,0.27,0.27,0.26,0.27,7320000.0,0.0
70,2006-09-04,0.27,0.27,0.26,0.26,5940000.0,0.0
71,2006-09-05,0.28,0.29,0.27,0.27,13800000.0,0.0
72,2006-09-06,0.27,0.27,0.26,0.26,3100000.0,0.0
73,2006-09-07,0.26,0.26,0.26,0.26,1850000.0,0.0
74,2006-09-08,0.25,0.25,0.23,0.25,3770000.0,38500.0
75,2006-09-11,0.25,0.25,0.25,0.25,200000.0,0.0
76,2006-09-12,0.24,0.24,0.23,0.23,6400000.0,-347300.0
77,2006-09-13,0.225,0.225,0.21,0.21,3070000.0,0.0
78,2006-09-14,0.215,0.22,0.21,0.22,2700000.0,0.0
79,2006-09-15,0.225,0.235,0.225,0.23,1750000.0,-181700.0
80,2006-09-18,0.235,0.25,0.235,0.24,2560000.0,0.0
81,2006-09-19,0.245,0.245,0.235,0.235,710000.0,49000.0
82,2006-09-20,0.235,0.24,0.235,0.235,810000.0,0.0
83,2006-09-21,0.24,0.245,0.24,0.24,2600000.0,0.0
84,2006-09-22,0.24,0.24,0.235,0.235,1650000.0,70500.0
85,2006-09-25,0.24,0.245,0.24,0.245,800000.0,-73500.0
86,2006-09-26,0.25,0.26,0.24,0.245,1060000.0,-2400.0
