,Date,Open,High,Low,Close,Volume,OtherData
0,2016-10-20,0.061,0.076,0.055999999999999994,0.06,1353610000,-56410
1,2016-10-21,0.061,0.065,0.054000000000000006,0.054000000000000006,681730000,927000
2,2016-10-24,0.055,0.057,0.052000000000000005,0.055,144070000,68740
3,2016-10-25,0.055999999999999994,0.057999999999999996,0.055,0.057999999999999996,124750000,56000
4,2016-10-26,0.06,0.062,0.057999999999999996,0.059000000000000004,248960000,238800
5,2016-10-27,0.06,0.06,0.055999999999999994,0.057,94000000,369410
6,2016-10-28,0.057999999999999996,0.057999999999999996,0.055999999999999994,0.057,64500000,3280
7,2016-11-02,0.057,0.057,0.053,0.053,61360000,55000
8,2016-11-03,0.052000000000000005,0.053,0.051,0.052000000000000005,71710000,132300
9,2016-11-04,0.052000000000000005,0.055999999999999994,0.052000000000000005,0.055,61450000,60100
10,2016-11-07,0.055,0.055,0.053,0.054000000000000006,29270000,-54000
11,2016-11-08,0.055,0.057,0.052000000000000005,0.054000000000000006,69120000,117450
12,2016-11-09,0.054000000000000006,0.054000000000000006,0.049,0.052000000000000005,69230000,165030
13,2016-11-11,0.053,0.054000000000000006,0.05,0.051,57830000,-1000
14,2016-11-14,0.05,0.05,0.045,0.048,61170000,-109500
15,2016-11-15,0.047,0.05,0.046,0.046,40700000,-31200
16,2016-11-16,0.048,0.053,0.045,0.052000000000000005,362000000,309000
17,2016-11-17,0.051,0.054000000000000006,0.048,0.05,81200000,56900
18,2016-11-18,0.05,0.05,0.045,0.047,275100000,179600
19,2016-11-21,0.047,0.048,0.046,0.047,27800000,45000
20,2016-11-22,0.047,0.047,0.04,0.042,252600000,260900
21,2016-11-23,0.040999999999999995,0.044000000000000004,0.04,0.040999999999999995,103700000,38000
22,2016-11-24,0.040999999999999995,0.042,0.04,0.042,40600000,-4600
23,2016-11-25,0.042,0.044000000000000004,0.040999999999999995,0.042,31500000,-107000
24,2016-11-28,0.042,0.042,0.040999999999999995,0.040999999999999995,8900000,-58400
25,2016-11-29,0.040999999999999995,0.042,0.04,0.04,39400000,-29200
26,2016-12-01,0.039,0.043,0.039,0.042,37200000,86300
27,2016-12-02,0.043,0.044000000000000004,0.040999999999999995,0.042,30100000,21499
28,2016-12-05,0.042,0.042,0.04,0.04,11900000,0
29,2016-12-06,0.040999999999999995,0.040999999999999995,0.04,0.04,22500000,0
30,2016-12-07,0.040999999999999995,0.040999999999999995,0.039,0.04,19100000,96000
31,2016-12-08,0.040999999999999995,0.042,0.04,0.042,10000000,41000
32,2016-12-09,0.042,0.045,0.040999999999999995,0.044000000000000004,73700000,70400
33,2016-12-12,0.047,0.057999999999999996,0.046,0.05,1725700000,-1219700
34,2016-12-13,0.05,0.051,0.047,0.049,120730000,-141000
35,2016-12-14,0.05,0.05,0.045,0.046,174200000,-48000
36,2016-12-15,0.046,0.049,0.044000000000000004,0.047,305200000,-3000
37,2016-12-16,0.048,0.05,0.045,0.046,211600000,0
38,2016-12-19,0.046,0.046,0.040999999999999995,0.042,211300000,746600
39,2016-12-20,0.040999999999999995,0.042,0.036000000000000004,0.04,916500000,103200
40,2016-12-21,0.04,0.043,0.04,0.04,87100000,193900
41,2016-12-22,0.040999999999999995,0.042,0.04,0.042,30700000,-25400
42,2016-12-23,0.040999999999999995,0.040999999999999995,0.039,0.04,87100000,-19000
43,2016-12-27,0.04,0.04,0.038,0.04,78600000,41800
44,2016-12-28,0.04,0.040999999999999995,0.04,0.04,20100000,-40000
45,2016-12-29,0.04,0.043,0.04,0.042,47600000,0
46,2017-01-03,0.042,0.042,0.04,0.042,33700000,0
47,2017-01-04,0.040999999999999995,0.042,0.040999999999999995,0.040999999999999995,66700000,16600
48,2017-01-05,0.042,0.047,0.042,0.047,217800000,92500
49,2017-01-06,0.047,0.049,0.045,0.047,238500000,-811600
50,2017-01-09,0.047,0.054000000000000006,0.046,0.051,321800000,776100
51,2017-01-10,0.052000000000000005,0.055999999999999994,0.05,0.05,349450000,-31000
52,2017-01-11,0.051,0.052000000000000005,0.049,0.052000000000000005,110590000,33150
53,2017-01-12,0.053,0.055,0.052000000000000005,0.053,157260000,-104760
54,2017-01-13,0.054000000000000006,0.054000000000000006,0.052000000000000005,0.053,78300000,-53000
55,2017-01-16,0.053,0.053,0.05,0.052000000000000005,90430000,0
56,2017-01-17,0.053,0.053,0.051,0.052000000000000005,35420000,0
57,2017-01-18,0.051,0.052000000000000005,0.051,0.052000000000000005,38160000,-26000
58,2017-01-19,0.052000000000000005,0.057999999999999996,0.052000000000000005,0.055,343070000,-97440
59,2017-01-20,0.055999999999999994,0.057,0.053,0.054000000000000006,135770000,54000
60,2017-01-23,0.054000000000000006,0.055,0.053,0.054000000000000006,35470000,-11000
61,2017-01-24,0.055,0.055999999999999994,0.053,0.054000000000000006,69020000,-178000
62,2017-01-25,0.055,0.055,0.054000000000000006,0.054000000000000006,33880000,108000
63,2017-01-26,0.054000000000000006,0.055,0.053,0.055,28430000,50760
64,2017-01-27,0.055,0.055,0.054000000000000006,0.054000000000000006,22280000,-43200
65,2017-01-30,0.055,0.055999999999999994,0.054000000000000006,0.055999999999999994,63000000,206000
66,2017-01-31,0.057,0.063,0.057,0.061,668870000,-1188500
67,2017-02-01,0.061,0.062,0.057999999999999996,0.06,120400000,-12000
68,2017-02-02,0.06,0.065,0.059000000000000004,0.063,294190000,-1552980
