,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,4.25,4.25,4.15,4.15,1409000,0.0
1,2006-08-02,4.25,4.3,4.0,4.1,2373000,0.0
2,2006-08-03,4.2,4.2,4.1,4.15,926000,0.0
3,2006-08-04,4.15,4.3,4.15,4.15,2750000,0.0
4,2006-08-07,4.1,4.2,4.05,4.05,940000,0.0
5,2006-08-08,4.1,4.1,3.8,3.8,3268000,0.0
6,2006-08-09,3.8,3.8,3.65,3.75,1885000,0.0
7,2006-08-10,3.95,4.15,3.8,4.1,4907000,0.0
8,2006-08-11,4.3,4.4,4.3,4.3,6088000,0.0
9,2006-08-14,4.3,4.65,4.25,4.65,8700000,0.0
10,2006-08-15,4.7,4.9,4.65,4.75,3974000,0.0
11,2006-08-16,4.65,4.7,4.55,4.7,3339000,0.0
12,2006-08-17,4.75,5.0,4.75,4.95,3142000,0.0
13,2006-12-04,6.4,6.4,6.0,6.0,5066000,0.0
14,2006-12-05,6.2,6.4,6.2,6.3,1206000,0.0
15,2006-12-06,6.4,6.4,6.2,6.2,522000,0.0
16,2006-12-07,6.2,6.2,6.1,6.2,553000,0.0
17,2006-12-08,6.2,6.3,6.1,6.3,350000,0.0
18,2006-12-11,6.2,6.2,6.1,6.1,1278000,0.0
19,2006-12-12,6.0,6.2,6.0,6.1,1081000,0.0
20,2006-12-13,6.2,6.2,6.2,6.2,665000,0.0
21,2006-12-14,6.2,6.2,6.1,6.2,723000,0.0
22,2006-12-15,6.0,6.1,6.0,6.0,4961000,0.0
23,2006-12-18,5.9,6.0,5.8,5.8,3219000,0.0
24,2006-12-19,5.8,5.8,5.6,5.7,2020000,0.0
25,2006-12-20,5.7,5.8,5.7,5.7,756000,0.0
26,2006-12-21,5.8,5.9,5.8,5.9,677000,0.0
27,2006-12-22,5.9,5.9,5.8,5.8,196000,0.0
28,2006-12-27,5.8,5.9,5.8,5.9,331000,0.0
29,2006-12-28,6.0,6.1,6.0,6.0,1340000,0.0
30,2006-12-29,6.0,6.1,6.0,6.0,683000,0.0
31,2006-11-02,6.7,6.8,6.6,6.7,1135000,0.0
32,2006-11-03,6.8,6.9,6.6,6.6,2113000,0.0
33,2006-11-06,6.8,6.8,6.6,6.6,2019000,0.0
34,2006-11-07,6.6,6.7,6.6,6.7,636000,0.0
35,2006-11-08,6.7,6.7,6.6,6.6,1352000,0.0
36,2006-11-09,6.5,6.7,6.5,6.7,1775000,0.0
37,2006-11-10,7.0,7.4,6.8,7.3,7303000,0.0
38,2006-11-13,7.3,7.6,7.2,7.3,4015000,0.0
39,2006-11-14,7.2,7.3,7.1,7.2,1185000,0.0
40,2006-11-15,7.2,7.2,7.0,7.0,1906000,0.0
41,2006-11-16,7.1,7.1,6.9,7.0,1458000,0.0
42,2006-11-17,7.0,7.0,6.8,6.9,989000,0.0
43,2006-11-20,6.9,6.9,6.7,6.7,1495000,0.0
44,2006-11-21,6.8,6.8,6.6,6.6,866000,0.0
45,2006-11-22,6.8,6.9,6.8,6.8,1687000,0.0
46,2006-11-23,6.8,6.8,6.6,6.7,1124000,0.0
47,2006-11-24,6.8,6.8,6.8,6.8,519000,0.0
48,2006-11-27,6.9,6.9,6.7,6.7,839000,0.0
49,2006-11-28,6.7,6.8,6.6,6.7,2116000,0.0
50,2006-11-29,6.7,6.7,6.3,6.4,1080000,0.0
51,2006-11-30,6.5,6.5,6.4,6.4,437000,0.0
52,2006-10-02,6.1,6.5,6.0,6.4,1770000,0.0
53,2006-10-03,6.5,6.5,6.3,6.3,2536000,0.0
54,2006-10-04,6.0,6.2,5.9,6.0,3943000,0.0
55,2006-10-05,6.0,6.1,6.0,6.1,2467000,0.0
56,2006-10-06,6.1,6.1,5.7,5.9,1600000,0.0
