,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,4.15,4.3,4.15,4.2,138000,21000
1,2006-08-02,4.3,4.35,4.05,4.1,991000,-760200
2,2006-08-03,4.1,4.25,4.1,4.25,393000,-205000
3,2006-08-04,4.25,4.3,4.15,4.2,868000,-263650
4,2006-08-07,4.2,4.25,4.1,4.15,609000,0
5,2006-08-08,4.15,4.15,3.9,3.9,841000,-4150
6,2006-08-09,3.75,3.85,3.65,3.85,1230000,0
7,2006-08-10,3.9,4.1,3.9,4.1,3235000,-2535500
8,2006-08-11,4.25,4.45,4.25,4.35,4455000,-645000
9,2006-08-14,4.3,4.65,4.25,4.65,2423000,90000
10,2006-08-15,4.75,4.9,4.65,4.75,2469000,1916700
11,2006-08-16,4.8,4.8,4.55,4.65,976000,9200
12,2006-08-17,4.8,5.0,4.8,4.95,1587000,-405000
13,2006-12-04,6.7,6.7,6.3,6.3,706000,0
14,2006-12-05,6.5,6.6,6.5,6.6,162000,0
15,2006-12-06,6.6,6.6,6.4,6.4,205000,0
16,2006-12-07,6.4,6.4,6.4,6.4,31000,-32000
17,2006-12-08,6.4,6.4,6.4,6.4,176000,416000
18,2006-12-11,6.4,6.7,6.4,6.6,372000,2192700
19,2006-12-12,6.3,6.4,6.3,6.3,296000,1260000
20,2006-12-13,6.3,6.4,6.3,6.4,245000,100800
21,2006-12-14,6.3,6.3,6.3,6.3,262000,315000
22,2006-12-15,6.3,6.3,6.1,6.1,506000,297600
23,2006-12-18,6.1,6.1,5.9,5.9,1721000,353300
24,2006-12-19,5.8,5.8,5.6,5.7,2143000,1094000
25,2006-12-20,5.7,5.9,5.7,5.9,294000,-88000
26,2006-12-21,5.9,6.0,5.9,6.0,692000,240000
27,2006-12-22,6.0,6.0,6.0,6.0,210000,300000
28,2006-12-27,6.0,6.0,5.9,6.0,117000,0
29,2006-12-28,6.0,6.3,6.0,6.2,624000,-62000
30,2006-12-29,6.2,6.2,6.0,6.0,175000,372000
31,2006-11-02,6.8,6.9,6.6,6.6,623000,101500
32,2006-11-03,6.8,6.9,6.7,6.8,1496000,-34000
33,2006-11-06,6.8,6.8,6.6,6.8,579000,-1543600
34,2006-11-07,6.8,6.8,6.7,6.7,338000,-142800
35,2006-11-08,6.7,6.7,6.6,6.6,749000,33000
36,2006-11-09,6.6,6.8,6.5,6.8,2415000,-330000
37,2006-11-10,7.1,7.5,6.9,7.4,3547000,-1165200
38,2006-11-13,7.5,7.7,7.3,7.3,2708000,3852600
39,2006-11-14,7.4,7.4,7.2,7.4,676000,14400
40,2006-11-15,7.4,7.4,7.2,7.2,684000,0
41,2006-11-16,7.1,7.2,7.0,7.1,668000,0
42,2006-11-17,7.1,7.2,7.0,7.1,573000,700000
43,2006-11-20,6.9,7.0,6.9,6.9,821000,0
