,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-02,0.33,0.35,0.33,0.35,970000.0,0.0
1,2006-08-03,0.4,0.43,0.4,0.43,350000.0,0.0
2,2006-08-04,0.4,0.4,0.4,0.4,40000.0,0.0
3,2006-08-07,0.37,0.37,0.33,0.33,70000.0,9900.0
4,2006-08-08,0.33,0.33,0.33,0.33,30000.0,9900.0
5,2006-08-09,0.34,0.34,0.34,0.34,10000.0,3400.0
6,2006-08-11,0.34,0.34,0.34,0.34,60000.0,20400.0
7,2006-12-08,0.47,0.47,0.47,0.47,70000.0,32900.0
8,2006-12-11,0.48,0.48,0.48,0.48,50000.0,0.0
9,2006-12-12,0.49,0.49,0.49,0.49,30000.0,0.0
10,2006-12-13,0.49,0.49,0.49,0.49,200000.0,63700.0
11,2006-12-14,0.48,0.48,0.48,0.48,80000.0,0.0
12,2006-12-15,0.48,0.48,0.48,0.48,40000.0,0.0
13,2006-12-21,0.47,0.47,0.47,0.47,190000.0,0.0
14,2006-12-22,0.48,0.48,0.48,0.48,50000.0,0.0
15,2006-12-27,0.49,0.49,0.48,0.48,80000.0,0.0
16,2006-12-28,0.49,0.49,0.49,0.49,50000.0,0.0
17,2006-12-29,0.49,0.49,0.49,0.49,130000.0,0.0
18,2006-11-02,0.32,0.32,0.32,0.32,10000.0,0.0
19,2006-11-03,0.33,0.33,0.33,0.33,70000.0,0.0
20,2006-11-07,0.34,0.34,0.34,0.34,10000.0,0.0
21,2006-11-08,0.38,0.38,0.37,0.37,130000.0,0.0
22,2006-11-09,0.37,0.37,0.37,0.37,110000.0,0.0
23,2006-11-10,0.38,0.38,0.38,0.38,30000.0,0.0
24,2006-11-13,0.38,0.45,0.38,0.45,620000.0,0.0
25,2006-11-14,0.46,0.54,0.46,0.54,1280000.0,-92000.0
26,2006-11-15,0.58,0.58,0.53,0.53,2410000.0,-233700.0
27,2006-11-16,0.55,0.55,0.54,0.54,880000.0,-165000.0
28,2006-11-17,0.54,0.54,0.54,0.54,350000.0,0.0
29,2006-11-20,0.53,0.53,0.51,0.51,390000.0,0.0
30,2006-11-21,0.42,0.46,0.42,0.46,410000.0,0.0
31,2006-11-23,0.42,0.42,0.42,0.42,90000.0,0.0
32,2006-11-24,0.46,0.46,0.46,0.46,10000.0,0.0
33,2006-11-27,0.46,0.46,0.46,0.46,50000.0,23000.0
34,2006-11-29,0.48,0.5,0.48,0.49,290000.0,24500.0
35,2006-11-30,0.5,0.51,0.5,0.51,210000.0,0.0
36,2006-10-02,0.34,0.34,0.34,0.34,100000.0,0.0
37,2006-10-03,0.34,0.34,0.34,0.34,150000.0,0.0
38,2006-10-04,0.34,0.34,0.34,0.34,30000.0,0.0
39,2006-10-06,0.35,0.36,0.35,0.36,140000.0,0.0
40,2006-10-10,0.35,0.35,0.35,0.35,30000.0,0.0
41,2006-10-13,0.39,0.39,0.38,0.38,100000.0,0.0
42,2006-10-16,0.38,0.38,0.38,0.38,100000.0,0.0
43,2006-10-17,0.33,0.36,0.33,0.36,460000.0,0.0
44,2006-10-18,0.36,0.36,0.36,0.36,20000.0,0.0
45,2006-10-19,0.36,0.36,0.36,0.36,180000.0,0.0
46,2006-10-30,0.35,0.35,0.35,0.35,50000.0,0.0
47,2006-09-01,0.36,0.36,0.36,0.36,10000.0,0.0
48,2006-09-07,0.37,0.37,0.37,0.37,80000.0,0.0
49,2006-09-11,0.35,0.35,0.35,0.35,40000.0,0.0
50,2006-09-22,0.34,0.34,0.34,0.34,150000.0,0.0
51,2006-09-26,0.34,0.34,0.34,0.34,150000.0,0.0
52,2007-04-03,0.45,0.45,0.45,0.45,50000.0,0.0
53,2007-04-10,0.45,0.48,0.45,0.48,210000.0,0.0
54,2007-04-11,0.48,0.48,0.48,0.48,80000.0,0.0
55,2007-04-12,0.47,0.47,0.47,0.47,100000.0,0.0
56,2007-04-13,0.46,0.46,0.46,0.46,40000.0,0.0
57,2007-04-16,0.47,0.47,0.46,0.46,400000.0,0.0
58,2007-04-23,0.45,0.45,0.45,0.45,160000.0,0.0
59,2007-04-26,0.46,0.47,0.46,0.47,200000.0,0.0
60,2007-04-27,0.45,0.45,0.45,0.45,40000.0,0.0
61,2007-04-30,0.45,0.45,0.44,0.45,450000.0,0.0
62,2007-08-01,0.64,0.7,0.64,0.7,440000.0,70000.0
63,2007-08-02,0.7,0.7,0.69,0.69,200000.0,0.0
64,2007-08-03,0.66,0.66,0.62,0.62,410000.0,0.0
65,2007-08-06,0.61,0.61,0.61,0.61,300000.0,0.0
66,2007-08-07,0.63,0.64,0.63,0.64,300000.0,0.0
67,2007-08-08,0.65,0.67,0.65,0.67,200000.0,0.0
68,2007-08-10,0.64,0.66,0.62,0.62,590000.0,0.0
69,2007-08-14,0.61,0.61,0.61,0.61,330000.0,0.0
70,2007-08-15,0.61,0.61,0.6,0.6,500000.0,0.0
71,2007-08-17,0.61,0.67,0.57,0.57,1680000.0,860000.0
72,2007-08-21,0.64,0.67,0.64,0.67,1540000.0,1025800.0
73,2007-08-22,0.67,0.67,0.67,0.67,10000.0,0.0
74,2007-08-30,0.68,0.69,0.68,0.69,330000.0,0.0
75,2007-08-31,0.7,0.72,0.7,0.72,290000.0,0.0
76,2007-12-04,0.63,0.63,0.63,0.63,250000.0,0.0
77,2007-12-05,0.65,0.65,0.63,0.63,210000.0,0.0
78,2007-12-06,0.65,0.65,0.65,0.65,240000.0,0.0
79,2007-12-07,0.63,0.65,0.63,0.65,40000.0,0.0
80,2007-12-11,0.63,0.63,0.62,0.62,250000.0,-156600.0
81,2007-12-26,0.56,0.56,0.56,0.56,10000.0,0.0
82,2007-12-27,0.62,0.62,0.62,0.62,70000.0,0.0
83,2007-02-02,0.49,0.49,0.46,0.46,270000.0,0.0
84,2007-02-05,0.46,0.46,0.46,0.46,330000.0,0.0
85,2007-02-06,0.46,0.46,0.46,0.46,220000.0,0.0
86,2007-02-07,0.46,0.46,0.46,0.46,200000.0,0.0
87,2007-02-08,0.45,0.45,0.45,0.45,450000.0,0.0
88,2007-02-09,0.44,0.44,0.43,0.43,590000.0,0.0
89,2007-02-12,0.43,0.43,0.43,0.43,200000.0,0.0
90,2007-02-13,0.43,0.43,0.43,0.43,160000.0,0.0
91,2007-02-14,0.43,0.44,0.43,0.43,850000.0,0.0
92,2007-02-15,0.42,0.43,0.42,0.43,880000.0,0.0
93,2007-02-19,0.45,0.46,0.45,0.46,100000.0,0.0
94,2007-02-20,0.45,0.51,0.45,0.5,1570000.0,0.0
95,2007-02-21,0.52,0.54,0.51,0.51,810000.0,0.0
96,2007-02-22,0.5,0.5,0.5,0.5,100000.0,0.0
97,2007-02-23,0.5,0.5,0.5,0.5,550000.0,200000.0
