,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,2.8,2.9,2.8,2.9,4655000.0,12656000.0
1,2006-08-02,2.9,2.9,2.9,2.9,170000.0,0.0
2,2006-08-03,2.95,2.95,2.85,2.9,106000.0,142500.0
3,2006-08-04,2.9,2.9,2.85,2.9,641000.0,695200.0
4,2006-08-08,2.85,2.95,2.85,2.95,143000.0,0.0
5,2006-08-09,2.9,2.9,2.9,2.9,33000.0,0.0
6,2006-08-10,2.9,2.9,2.9,2.9,320000.0,783000.0
7,2006-08-11,2.9,2.9,2.9,2.9,60000.0,168200.0
8,2006-08-14,2.95,2.95,2.95,2.95,72000.0,0.0
9,2006-08-16,2.95,2.95,2.95,2.95,185000.0,0.0
10,2006-08-17,2.95,2.95,2.95,2.95,101000.0,0.0
11,2006-12-04,4.2,4.2,4.1,4.1,70000.0,0.0
12,2006-12-05,4.1,4.1,4.0,4.0,518000.0,1958100.0
13,2006-12-06,4.15,4.15,4.15,4.15,263000.0,622500.0
14,2006-12-07,4.15,4.15,4.15,4.15,70000.0,290500.0
15,2006-12-11,4.15,4.15,4.15,4.15,5000.0,0.0
16,2006-12-12,4.0,4.15,4.0,4.15,471000.0,725500.0
17,2006-12-14,4.15,4.15,4.15,4.15,1248000.0,5137700.0
18,2006-12-15,4.15,4.15,4.15,4.15,980000.0,3598050.0
19,2006-12-18,4.15,4.2,4.15,4.2,711000.0,933750.0
20,2006-12-19,4.2,4.25,4.2,4.2,229000.0,0.0
21,2006-12-21,4.15,4.15,4.15,4.15,150000.0,0.0
22,2006-12-22,4.1,4.1,4.1,4.1,16000.0,0.0
23,2006-12-28,3.95,3.95,3.95,3.95,18000.0,0.0
24,2006-12-29,4.0,4.1,4.0,4.1,112000.0,0.0
25,2006-11-02,4.3,4.3,4.3,4.3,219000.0,249400.0
26,2006-11-03,4.3,4.3,4.3,4.3,23000.0,0.0
27,2006-11-06,4.4,4.4,4.2,4.2,1718000.0,6930000.0
28,2006-11-07,4.2,4.2,4.2,4.2,200000.0,840000.0
29,2006-11-09,4.2,4.2,4.15,4.2,446000.0,1239200.0
30,2006-11-10,4.25,4.25,4.25,4.25,84000.0,0.0
31,2006-11-13,4.2,4.2,4.2,4.2,20000.0,0.0
32,2006-11-14,4.1,4.2,4.1,4.2,306000.0,1260700.0
33,2006-11-15,4.2,4.2,4.2,4.2,110000.0,420000.0
34,2006-11-16,4.2,4.25,4.2,4.25,245000.0,949500.0
35,2006-11-17,4.3,4.3,4.2,4.2,357000.0,880500.0
36,2006-11-20,4.25,4.25,4.2,4.2,61000.0,210000.0
37,2006-11-21,4.2,4.25,4.1,4.1,435000.0,0.0
38,2006-11-22,4.15,4.15,4.1,4.1,3094000.0,0.0
39,2006-11-23,4.1,4.1,4.1,4.1,50000.0,0.0
40,2006-11-24,4.2,4.2,4.2,4.2,485000.0,1617000.0
41,2006-11-27,4.2,4.2,4.2,4.2,400000.0,1680000.0
42,2006-11-28,4.2,4.2,4.2,4.2,450000.0,1890000.0
43,2006-11-29,4.2,4.2,4.2,4.2,424000.0,1570800.0
44,2006-11-30,4.2,4.2,4.2,4.2,57000.0,205800.0
45,2006-10-02,3.6,3.6,3.6,3.6,330000.0,1080000.0
46,2006-10-03,3.6,3.6,3.55,3.55,328000.0,1065000.0
47,2006-10-04,3.6,3.85,3.6,3.8,1298000.0,1005200.0
48,2006-10-05,3.75,3.75,3.6,3.6,442000.0,1019100.0
49,2006-10-06,3.5,3.7,3.5,3.7,89000.0,0.0
50,2006-10-09,3.65,3.7,3.65,3.7,515000.0,730000.0
51,2006-10-10,3.7,3.7,3.7,3.7,50000.0,0.0
52,2006-10-11,3.7,4.0,3.7,3.95,121000.0,0.0
53,2006-10-12,3.9,3.95,3.9,3.9,220000.0,0.0
54,2006-10-13,3.85,3.85,3.85,3.85,19000.0,0.0
55,2006-10-16,3.85,3.9,3.85,3.9,200000.0,597900.0
56,2006-10-17,3.9,3.9,3.9,3.9,70000.0,195000.0
57,2006-10-18,3.9,3.9,3.9,3.9,184000.0,585000.0
58,2006-10-19,3.9,4.3,3.9,4.2,675000.0,-410000.0
59,2006-10-20,4.2,4.2,4.15,4.15,122000.0,0.0
60,2006-10-23,4.15,4.15,4.15,4.15,65000.0,0.0
61,2006-10-25,4.15,4.15,4.0,4.0,25000.0,0.0
62,2006-10-26,4.1,4.15,4.1,4.15,205000.0,0.0
63,2006-10-27,4.2,4.3,4.2,4.3,211000.0,210000.0
64,2006-10-30,4.3,4.3,4.3,4.3,11000.0,0.0
65,2006-10-31,4.2,4.2,4.2,4.2,56000.0,0.0
66,2006-09-01,3.05,3.05,3.05,3.05,3000.0,0.0
67,2006-09-04,3.1,3.1,3.1,3.1,105000.0,0.0
68,2006-09-05,3.15,3.15,3.1,3.15,656000.0,0.0
69,2006-09-07,3.05,3.15,3.05,3.15,367000.0,0.0
70,2006-09-08,3.15,3.2,3.15,3.2,535000.0,0.0
71,2006-09-11,3.2,3.2,3.2,3.2,30000.0,0.0
72,2006-09-13,3.15,3.2,3.15,3.2,446000.0,0.0
73,2006-09-14,3.2,3.2,3.2,3.2,100000.0,0.0
74,2006-09-18,3.25,3.35,3.2,3.3,541000.0,-330000.0
75,2006-09-19,3.35,3.7,3.35,3.7,1253000.0,107200.0
76,2006-09-20,3.55,3.65,3.55,3.6,680000.0,674500.0
77,2006-09-21,3.6,3.65,3.6,3.65,670000.0,1080000.0
78,2006-09-22,3.6,3.6,3.6,3.6,367000.0,1249200.0
79,2006-09-25,3.6,3.7,3.6,3.6,552000.0,1800000.0
80,2006-09-26,3.6,3.6,3.6,3.6,1427000.0,4057200.0
81,2006-09-27,3.6,3.6,3.6,3.6,750000.0,2689200.0
82,2007-04-03,4.3,4.4,4.3,4.4,431000.0,1289400.0
83,2007-04-04,4.45,4.6,4.4,4.6,252000.0,80100.0
84,2007-04-10,4.6,4.7,4.6,4.7,625000.0,1427200.0
85,2007-04-11,4.75,4.75,4.7,4.75,441000.0,733500.0
86,2007-04-12,4.75,4.75,4.7,4.7,375000.0,638000.0
87,2007-04-13,4.7,4.75,4.6,4.75,278000.0,427500.0
88,2007-04-16,4.75,4.85,4.75,4.8,1071000.0,574500.0
89,2007-04-17,4.8,5.6,4.8,5.1,1071000.0,2337900.0
90,2007-04-18,4.85,4.85,4.85,4.85,50000.0,242500.0
91,2007-04-19,4.85,4.85,4.85,4.85,150000.0,630500.0
92,2007-04-20,4.85,4.9,4.85,4.9,467000.0,1807100.0
93,2007-04-23,4.9,5.0,4.9,5.0,896000.0,2366000.0
94,2007-04-24,4.95,4.95,4.9,4.9,630000.0,2457500.0
95,2007-04-25,4.95,4.95,4.9,4.9,410000.0,1575500.0
96,2007-04-26,4.95,5.2,4.95,5.2,1582000.0,4076500.0
97,2007-04-27,5.2,5.3,5.1,5.2,365000.0,1443600.0
98,2007-04-30,5.2,5.5,5.2,5.4,612000.0,1949300.0
99,2007-08-01,4.9,4.9,4.8,4.8,66000.0,0.0
100,2007-08-02,4.7,4.7,4.7,4.7,15000.0,0.0
101,2007-08-03,4.5,4.5,4.5,4.5,18000.0,0.0
102,2007-08-06,4.2,4.2,4.1,4.15,118000.0,-187500.0
103,2007-08-07,4.15,4.5,4.15,4.4,30000.0,0.0
104,2007-08-09,4.4,4.4,4.2,4.2,98000.0,0.0
105,2007-08-10,4.2,4.2,4.2,4.2,32000.0,0.0
106,2007-08-13,4.2,4.2,4.2,4.2,36000.0,0.0
107,2007-08-16,3.6,4.1,3.6,4.1,155000.0,0.0
108,2007-08-17,4.1,4.1,4.1,4.1,130000.0,0.0
109,2007-08-21,4.1,4.9,4.1,4.9,713000.0,0.0
110,2007-08-22,4.65,4.65,4.55,4.55,71000.0,-298000.0
111,2007-08-23,4.2,4.2,4.2,4.2,80000.0,-252000.0
112,2007-08-29,4.0,4.0,4.0,4.0,619000.0,-456000.0
113,2007-08-30,4.0,4.0,4.0,4.0,627000.0,-1708000.0
114,2007-08-31,4.0,4.0,4.0,4.0,173000.0,-676000.0
115,2007-12-04,3.85,3.85,3.85,3.85,25000.0,0.0
116,2007-12-05,3.85,3.9,3.85,3.9,35000.0,0.0
117,2007-12-06,3.9,4.5,3.9,3.9,1033000.0,0.0
118,2007-12-07,3.8,3.8,3.8,3.8,2000.0,0.0
119,2007-12-11,3.8,3.85,3.8,3.85,2851000.0,0.0
120,2007-12-12,3.95,3.95,3.9,3.9,410000.0,390000.0
121,2007-12-13,3.9,3.9,3.9,3.9,200000.0,-390000.0
122,2007-12-17,3.8,3.8,3.8,3.8,5532000.0,0.0
