,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,1.58,1.58,1.56,1.56,80000.0,0.0
1,2006-08-02,1.54,1.54,1.54,1.54,50000.0,0.0
2,2006-08-14,1.5,1.5,1.5,1.5,50000.0,0.0
3,2006-08-16,1.52,1.52,1.52,1.52,20000.0,0.0
4,2006-12-04,2.06,2.06,1.96,1.96,240000.0,0.0
5,2006-12-05,1.96,2.08,1.96,2.08,663000.0,0.0
6,2006-12-06,1.7,2.32,1.7,2.24,1123000.0,0.0
7,2006-12-07,2.28,2.28,1.98,1.98,181000.0,0.0
8,2006-12-08,2.2,2.2,1.9,1.9,1552000.0,0.0
9,2006-12-11,1.9,1.9,1.76,1.76,135000.0,0.0
10,2006-12-13,1.88,2.1,1.88,2.08,51000.0,0.0
11,2006-12-14,1.94,1.94,1.94,1.94,25000.0,0.0
12,2006-12-15,1.98,1.98,1.92,1.92,51000.0,0.0
13,2006-12-18,1.88,1.88,1.88,1.88,10000.0,0.0
14,2006-12-19,1.88,1.88,1.88,1.88,24000.0,0.0
15,2006-12-20,1.96,1.96,1.88,1.88,54000.0,0.0
16,2006-12-22,1.82,1.82,1.82,1.82,80000.0,0.0
17,2006-12-27,1.76,1.76,1.52,1.52,310000.0,0.0
18,2006-12-28,1.56,1.56,1.52,1.52,200000.0,0.0
19,2006-11-02,1.52,1.52,1.52,1.52,10000.0,0.0
20,2006-11-06,1.52,1.52,1.52,1.52,1000.0,0.0
21,2006-11-09,1.52,1.52,1.52,1.52,45000.0,0.0
22,2006-11-13,1.5,1.5,1.5,1.5,20000.0,0.0
23,2006-11-14,1.52,1.52,1.5,1.5,22000.0,0.0
24,2006-11-15,1.52,1.52,1.5,1.5,58000.0,0.0
25,2006-11-16,1.98,2.0,1.72,1.72,95000.0,0.0
26,2006-11-17,1.8,1.8,1.8,1.8,550000.0,0.0
27,2006-11-20,1.92,2.0,1.92,2.0,2151000.0,0.0
28,2006-11-21,2.0,2.0,1.98,1.98,27000.0,0.0
29,2006-11-22,2.0,2.7,2.0,2.6,577000.0,0.0
30,2006-11-23,2.7,3.0,2.7,2.8,1039000.0,0.0
31,2006-11-24,2.8,2.9,2.4,2.9,813000.0,0.0
32,2006-11-27,3.0,3.6,3.0,3.05,959000.0,0.0
33,2006-11-28,3.0,3.0,2.5,2.5,725000.0,0.0
34,2006-11-29,2.5,2.5,2.1,2.1,585000.0,0.0
35,2006-11-30,2.2,2.4,2.08,2.08,419000.0,0.0
36,2006-10-10,1.96,1.96,1.96,1.96,20000.0,0.0
37,2006-10-16,1.52,1.52,1.52,1.52,13000.0,0.0
38,2006-10-18,1.52,1.52,1.52,1.52,25000.0,0.0
39,2006-10-26,1.52,1.52,1.52,1.52,35000.0,0.0
40,2006-09-01,1.5,1.5,1.5,1.5,19000.0,0.0
41,2006-09-04,1.54,1.54,1.54,1.54,30000.0,0.0
42,2006-09-05,1.52,1.52,1.52,1.52,13000.0,0.0
43,2006-09-14,1.48,1.48,1.48,1.48,30000.0,0.0
44,2006-09-25,1.4,1.42,1.4,1.42,20000.0,0.0
45,2007-04-13,1.7,1.7,1.7,1.7,6000.0,0.0
46,2007-04-17,1.68,1.68,1.68,1.68,8000.0,0.0
47,2007-04-18,1.66,1.66,1.66,1.66,6000.0,0.0
48,2007-04-19,1.7,1.7,1.7,1.7,10000.0,0.0
49,2007-04-20,2.0,2.14,2.0,2.04,241000.0,0.0
50,2007-04-23,2.1,2.1,2.04,2.04,55000.0,0.0
51,2007-04-24,2.04,2.08,2.04,2.08,172000.0,0.0
52,2007-04-25,2.12,2.32,2.12,2.12,755000.0,0.0
53,2007-04-26,2.2,2.26,1.92,1.92,150000.0,0.0
54,2007-08-01,2.3,2.3,2.2,2.2,230000.0,0.0
55,2007-08-02,2.3,2.32,2.3,2.3,509000.0,0.0
56,2007-08-03,2.24,2.3,2.0,2.2,1020000.0,0.0
57,2007-08-06,2.0,2.1,2.0,2.08,860000.0,0.0
58,2007-08-07,2.1,2.1,2.04,2.06,310000.0,0.0
