,Date,Open,High,Low,Close,Volume,OtherData
0,2006-12-14,2.0,2.0,2.0,2.0,2000.0,0.0
1,2006-12-15,2.0,2.0,2.0,2.0,3000.0,0.0
2,2006-11-22,2.2,2.2,2.2,2.2,40000.0,0.0
3,2006-11-23,2.5,2.9,2.5,2.85,256000.0,0.0
4,2006-11-24,2.85,2.9,2.85,2.9,80000.0,0.0
5,2006-11-27,2.95,3.3,2.95,3.1,187000.0,0.0
6,2006-11-28,2.6,2.6,2.6,2.6,10000.0,0.0
7,2006-09-07,1.48,1.48,1.48,1.48,10000.0,0.0
8,2007-04-13,1.7,1.7,1.6,1.6,20000.0,0.0
9,2007-04-17,1.7,1.7,1.7,1.7,5000.0,0.0
10,2007-04-18,1.7,1.7,1.7,1.7,8000.0,0.0
11,2007-04-19,1.76,1.76,1.76,1.76,7000.0,0.0
12,2007-04-20,1.9,2.3,1.9,2.12,39000.0,0.0
13,2007-04-25,2.38,2.38,2.3,2.3,10000.0,0.0
14,2007-04-26,2.16,2.16,2.16,2.16,10000.0,0.0
15,2007-08-01,2.4,2.55,2.4,2.55,58000.0,0.0
16,2007-08-02,2.34,2.55,2.3,2.5,605000.0,0.0
17,2007-08-03,2.34,2.5,2.18,2.5,659000.0,0.0
18,2007-08-06,2.2,2.55,2.2,2.55,164000.0,0.0
19,2007-08-07,2.48,2.55,2.48,2.55,25000.0,0.0
20,2007-08-09,2.5,2.5,2.5,2.5,1000.0,0.0
21,2007-08-10,2.42,2.44,2.42,2.44,42000.0,0.0
22,2007-08-13,2.5,2.5,2.5,2.5,1000.0,0.0
23,2007-08-14,2.48,2.75,2.48,2.75,120000.0,0.0
24,2007-08-15,2.6,2.75,2.5,2.75,427000.0,0.0
25,2007-08-16,2.75,3.0,2.5,3.0,1680000.0,0.0
26,2007-08-17,2.95,3.35,2.6,3.35,3094000.0,0.0
27,2007-08-21,3.45,3.45,3.2,3.2,858000.0,0.0
28,2007-08-22,3.25,3.4,3.2,3.4,680000.0,0.0
29,2007-08-23,3.15,3.7,2.95,3.7,3228000.0,-7000.0
30,2007-08-24,3.4,3.6,3.4,3.5,1661000.0,0.0
31,2007-08-28,3.5,3.55,3.3,3.55,1757000.0,0.0
32,2007-08-29,3.3,3.5,3.3,3.5,291000.0,0.0
33,2007-08-30,3.5,3.5,3.35,3.45,222000.0,0.0
34,2007-08-31,3.35,3.4,3.35,3.35,463000.0,0.0
35,2007-12-05,2.48,2.8,2.46,2.8,91000.0,0.0
36,2007-12-06,2.6,2.7,2.6,2.7,26000.0,0.0
37,2007-12-07,2.6,2.8,2.6,2.8,42000.0,0.0
38,2007-12-10,2.8,2.8,2.8,2.8,40000.0,0.0
39,2007-12-28,2.8,2.8,2.8,2.8,30000.0,0.0
40,2007-02-14,1.86,1.86,1.82,1.82,60000.0,0.0
41,2007-02-15,1.8,1.8,1.8,1.8,6000.0,0.0
42,2007-02-21,1.8,1.8,1.8,1.8,10000.0,0.0
43,2007-02-23,1.9,1.9,1.9,1.9,4000.0,0.0
44,2007-02-26,1.78,1.9,1.78,1.88,34000.0,0.0
45,2007-01-02,1.5,1.5,1.5,1.5,35000.0,0.0
46,2007-01-18,1.9,1.9,1.9,1.9,10000.0,0.0
47,2007-01-23,1.9,1.9,1.9,1.9,50000.0,0.0
48,2007-01-26,1.86,1.86,1.8,1.8,9000.0,0.0
49,2007-07-02,2.0,2.0,2.0,2.0,5000.0,0.0
50,2007-07-04,2.46,2.46,2.14,2.22,98000.0,0.0
51,2007-07-05,2.3,2.3,2.3,2.3,40000.0,0.0
52,2007-07-06,2.2,2.6,2.2,2.6,12646000.0,0.0
53,2007-07-09,2.8,3.1,2.7,2.7,10970000.0,-740750.0
54,2007-07-10,2.95,2.95,2.6,2.75,633000.0,-492800.0
55,2007-07-11,2.65,2.85,2.65,2.85,250000.0,0.0
56,2007-07-12,2.85,2.95,2.75,2.9,730000.0,-85500.0
57,2007-07-13,2.8,2.85,2.8,2.8,200000.0,0.0
58,2007-07-16,2.75,2.85,2.75,2.85,9171000.0,0.0
59,2007-07-17,2.75,2.8,2.7,2.75,291000.0,0.0
60,2007-07-18,2.85,2.85,2.7,2.75,56000.0,0.0
61,2007-07-19,2.75,2.75,2.46,2.75,751000.0,0.0
62,2007-07-25,2.5,2.6,2.5,2.6,154000.0,0.0
63,2007-07-26,2.42,2.7,2.42,2.7,1002000.0,0.0
64,2007-07-27,2.42,2.6,2.42,2.6,521000.0,0.0
65,2007-07-30,2.65,2.65,2.55,2.6,28000.0,0.0
66,2007-07-31,2.26,2.6,2.26,2.6,252000.0,0.0
67,2007-06-06,2.0,2.2,2.0,2.2,60000.0,0.0
68,2007-06-07,2.2,2.4,2.2,2.4,88000.0,208000.0
69,2007-06-08,1.9,1.9,1.9,1.9,10000.0,0.0
70,2007-06-18,2.4,2.4,2.4,2.4,16000.0,0.0
71,2007-06-19,2.8,3.3,2.8,2.9,197000.0,0.0
72,2007-06-20,2.7,2.8,2.7,2.8,35000.0,0.0
73,2007-06-21,2.8,2.8,2.7,2.7,16000.0,0.0
74,2007-06-22,3.2,3.2,3.2,3.2,50000.0,0.0
75,2007-06-25,2.6,2.6,2.6,2.6,20000.0,0.0
76,2007-06-26,2.9,3.15,2.9,2.9,440000.0,814950.0
77,2007-06-27,2.8,2.8,2.4,2.4,125000.0,0.0
78,2007-06-28,2.4,2.4,2.28,2.28,218000.0,0.0
79,2007-06-29,2.2,2.2,2.0,2.0,110000.0,0.0
80,2007-03-08,2.0,2.0,2.0,2.0,60000.0,120000.0
81,2007-03-23,1.86,1.86,1.86,1.86,30000.0,0.0
82,2007-03-30,1.52,1.52,1.52,1.52,4000.0,0.0
83,2007-05-04,1.9,1.9,1.9,1.9,8000.0,0.0
84,2007-05-16,2.2,2.2,2.2,2.2,80000.0,176000.0
85,2007-11-07,2.9,3.1,2.8,3.0,513000.0,0.0
86,2007-11-08,2.85,3.0,2.8,2.95,194000.0,0.0
87,2007-11-13,2.5,3.0,2.5,3.0,26000.0,0.0
88,2007-11-20,2.65,3.0,2.65,3.0,132000.0,-5300.0
89,2007-11-26,2.9,2.95,2.9,2.95,22000.0,0.0
90,2007-11-28,2.6,2.9,2.6,2.9,149000.0,0.0
91,2007-11-29,2.95,2.95,2.95,2.95,1000.0,0.0
92,2007-10-02,3.4,3.4,3.4,3.4,100000.0,0.0
93,2007-10-09,3.35,3.4,3.3,3.3,617000.0,0.0
