,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-17,1.22,1.22,1.22,1.22,2000,0
1,2006-12-05,1.14,1.14,1.14,1.14,25000,0
2,2006-12-06,1.14,1.14,1.14,1.14,25000,0
3,2006-12-07,1.14,1.2,1.14,1.2,107000,0
4,2006-12-08,1.18,1.2,1.16,1.2,34000,0
5,2006-12-12,1.2,1.24,1.2,1.24,121000,0
6,2006-12-13,1.22,1.22,1.2,1.22,131000,0
7,2006-12-14,1.22,1.22,1.22,1.22,534000,0
8,2006-12-15,1.22,1.24,1.22,1.24,405000,0
9,2006-12-18,1.24,1.24,1.24,1.24,245000,0
10,2006-12-19,1.24,1.28,1.24,1.28,911000,0
11,2006-12-20,1.3,1.3,1.3,1.3,830000,0
12,2006-12-21,1.3,1.3,1.3,1.3,150000,0
13,2006-12-27,1.3,1.32,1.3,1.32,330000,0
14,2006-12-28,1.32,1.32,1.32,1.32,190000,0
15,2006-12-29,1.3,1.3,1.3,1.3,1000,0
16,2006-11-02,1.14,1.14,1.14,1.14,65000,0
17,2006-11-07,1.14,1.14,1.14,1.14,1000,0
18,2006-11-08,1.14,1.14,1.14,1.14,69000,0
19,2006-11-15,1.48,1.48,1.2,1.2,90000,0
20,2006-11-16,1.2,1.2,1.2,1.2,10000,0
21,2006-11-23,1.18,1.2,1.18,1.18,152000,0
22,2006-11-24,1.18,1.18,1.18,1.18,25000,0
23,2006-11-27,1.18,1.18,1.18,1.18,78000,0
24,2006-11-28,1.18,1.18,1.18,1.18,186000,0
25,2006-11-29,1.18,1.18,1.18,1.18,2000,0
26,2006-11-30,1.18,1.18,1.16,1.16,53000,0
27,2006-10-02,1.14,1.14,1.14,1.14,15000,0
28,2006-10-04,1.16,1.16,1.16,1.16,6000,0
29,2006-10-05,1.18,1.18,1.16,1.16,142000,0
30,2006-10-06,1.14,1.14,1.14,1.14,135000,0
31,2006-10-09,1.16,1.16,1.16,1.16,35000,0
32,2006-10-10,1.14,1.14,1.14,1.14,1000,0
33,2006-10-11,1.14,1.14,1.14,1.14,2000,0
34,2006-10-12,1.14,1.14,1.14,1.14,42000,0
35,2006-09-05,1.2,1.2,1.2,1.2,2000,0
36,2006-09-12,1.22,1.22,1.22,1.22,2000,0
37,2006-09-15,1.28,1.28,1.2,1.2,110000,0
38,2006-09-18,1.2,1.2,1.2,1.2,60000,0
39,2006-09-27,1.14,1.14,1.14,1.14,12000,0
40,2007-04-02,1.48,1.48,1.48,1.48,100000,0
41,2007-04-03,1.48,1.5,1.48,1.48,115000,0
42,2007-04-04,1.48,1.5,1.48,1.5,184000,0
43,2007-04-10,1.5,1.5,1.5,1.5,94000,0
44,2007-04-11,1.5,1.5,1.5,1.5,15000,0
45,2007-04-12,1.48,1.48,1.48,1.48,15000,0
46,2007-04-13,1.5,1.5,1.5,1.5,50000,0
47,2007-04-16,1.48,1.5,1.48,1.5,97000,0
48,2007-04-19,1.5,1.5,1.5,1.5,103000,0
49,2007-04-20,1.48,1.52,1.48,1.52,303000,0
50,2007-04-23,1.54,1.54,1.5,1.5,110000,0
51,2007-04-24,1.5,1.5,1.5,1.5,446000,0
52,2007-04-25,1.5,1.52,1.5,1.52,616000,0
53,2007-04-26,1.52,1.52,1.52,1.52,400000,0
54,2007-08-01,1.64,1.64,1.64,1.64,24000,0
55,2007-08-02,1.6,1.6,1.6,1.6,5000,0
56,2007-08-07,1.6,1.6,1.6,1.6,10000,0
57,2007-08-08,1.6,1.7,1.6,1.7,10000,0
58,2007-08-10,1.5,1.68,1.5,1.6,3000,0
59,2007-08-14,1.6,1.6,1.6,1.6,3000,0
60,2007-08-17,1.4,1.4,1.3,1.4,34000,0
61,2007-08-22,1.4,1.4,1.4,1.4,14000,0
62,2007-08-24,1.6,1.72,1.6,1.7,617000,0
63,2007-08-28,1.68,1.78,1.68,1.76,1087000,0
64,2007-08-29,1.6,1.78,1.6,1.76,421000,0
65,2007-08-30,1.7,1.7,1.7,1.7,990000,0
66,2007-08-31,1.78,1.9,1.78,1.9,1576000,66000
67,2007-12-03,1.3,1.3,1.3,1.3,12000,0
68,2007-12-04,1.3,1.5,1.28,1.3,3243000,5520
69,2007-12-05,1.3,1.3,1.26,1.26,1170000,0
70,2007-12-06,1.28,1.28,1.26,1.28,389000,0
71,2007-12-07,1.28,1.3,1.28,1.28,325000,0
72,2007-12-10,1.28,1.28,1.26,1.26,398000,0
73,2007-12-11,1.26,1.26,1.26,1.26,578000,0
74,2007-12-12,1.26,1.26,1.26,1.26,191000,0
75,2007-12-13,1.26,1.26,1.24,1.24,294000,0
76,2007-12-14,1.26,1.26,1.26,1.26,130000,0
77,2007-12-17,1.22,1.22,1.2,1.22,487000,0
78,2007-12-18,1.2,1.2,1.18,1.2,224000,0
79,2007-12-19,1.2,1.2,1.2,1.2,1157000,0
80,2007-12-26,1.26,1.26,1.26,1.26,256000,0
81,2007-12-27,1.28,1.28,1.26,1.26,150000,0
82,2007-12-28,1.26,1.26,1.26,1.26,383000,0
83,2007-02-01,1.6,1.6,1.56,1.56,436000,0
84,2007-02-05,1.52,1.52,1.5,1.5,405000,0
85,2007-02-07,1.5,1.5,1.5,1.5,59000,0
86,2007-02-08,1.5,1.5,1.5,1.5,30000,0
87,2007-02-13,1.46,1.46,1.46,1.46,13000,0
88,2007-02-15,1.5,1.52,1.5,1.52,12000,0
89,2007-02-19,1.44,1.44,1.44,1.44,7000,0
90,2007-02-20,1.44,1.46,1.44,1.46,4000,0
91,2007-02-26,1.56,1.56,1.56,1.56,111000,0
92,2007-01-02,1.34,1.34,1.34,1.34,150000,0
93,2007-01-03,1.3,1.34,1.3,1.34,300000,0
