,Date,Open,High,Low,Close,Volume,OtherData
0,2006-12-21,3.25,3.25,3.2,3.2,15000,0
1,2006-10-05,3.2,3.2,3.2,3.2,35000,0
2,2007-08-03,3.0,3.0,2.5,2.5,21000,0
3,2007-08-15,2.7,2.7,2.7,2.7,1000,0
4,2007-08-17,2.7,2.7,2.7,2.7,21000,0
5,2007-08-31,4.0,4.0,4.0,4.0,10000,40000
6,2007-12-11,3.2,3.2,3.2,3.2,1000,0
7,2007-01-10,3.0,3.0,3.0,3.0,8000,0
8,2007-07-11,3.0,3.0,3.0,3.0,1000,0
9,2007-07-23,3.5,3.5,3.5,3.5,17000,0
10,2007-07-30,3.0,3.0,3.0,3.0,2000,0
11,2007-07-31,3.0,3.0,3.0,3.0,19000,0
12,2007-09-18,3.3,3.3,3.3,3.3,5000,0
13,2007-09-19,4.6,4.6,4.6,4.6,2000,0
14,2008-04-09,3.0,3.0,3.0,3.0,10000,0
15,2008-08-12,2.95,2.95,2.95,2.95,1000,0
16,2008-01-10,3.3,3.3,3.3,3.3,4000,0
17,2008-09-11,2.0,2.0,2.0,2.0,1000,0
18,2009-12-07,1.24,1.24,1.24,1.24,1000,0
19,2009-02-12,1.2,1.2,1.2,1.2,2000,0
20,2009-02-25,1.2,1.2,1.2,1.2,2000,0
21,2009-01-08,2.0,2.0,2.0,2.0,5000,0
22,2009-01-30,1.2,1.2,1.2,1.2,1000,0
23,2009-06-22,1.24,1.24,1.24,1.24,1000,0
24,2009-11-03,1.2,1.2,1.2,1.2,25000,0
25,2009-11-06,1.3,1.3,1.3,1.3,1000,0
26,2009-11-25,1.24,1.24,1.24,1.24,1000,0
27,2009-10-12,1.2,1.2,1.2,1.2,2000,0
28,2009-09-11,1.3,1.3,1.3,1.3,2000,0
29,2010-02-24,1.2,1.2,1.2,1.2,2000,0
30,2010-06-25,1.2,1.2,1.2,1.2,2000,0
31,2010-03-01,1.2,1.2,1.2,1.2,13000,0
32,2010-03-24,1.2,1.2,1.2,1.2,1000,0
33,2010-08-04,1.2,1.2,1.2,1.2,2000,0
34,2010-10-29,1.21,1.3,1.21,1.3,17000,0
35,2010-12-09,1.4,1.4,1.4,1.4,1000,0
36,2011-01-11,1.4,1.4,1.4,1.4,1000,0
37,2011-02-16,1.99,1.99,1.99,1.99,1000,0
38,2011-03-07,2.0,2.0,2.0,2.0,2000,0
39,2011-03-24,1.31,1.31,1.31,1.31,1000,0
40,2011-04-27,1.88,1.88,1.88,1.88,1000,0
41,2011-05-26,1.88,2.24,1.88,2.24,19000,0
42,2011-06-29,1.5,1.5,1.5,1.5,5000,0
43,2011-08-24,1.85,1.85,1.85,1.85,66000,0
44,2011-11-28,1.93,1.93,1.93,1.93,4000,0
45,2011-12-23,2.0,2.0,2.0,2.0,1000,0
46,2012-01-12,2.1,2.1,2.1,2.1,2000,0
47,2012-01-25,2.1,2.1,2.1,2.1,7000,0
48,2012-02-24,2.19,2.19,2.19,2.19,1000,0
