,Date,Open,High,Low,Close,Volume,OtherData
0,2013-05-17,101.5,105.1,101.5,104.0,19989300.0,-525792596.0
1,2013-05-20,105.5,105.5,101.8,102.0,4044830.0,-24761146.0
2,2013-05-21,102.2,103.3,102.0,102.8,1949410.0,-26161652.0
3,2013-05-22,102.8,103.0,101.5,101.9,1256120.0,-20694426.0
4,2013-05-23,101.8,101.8,97.2,97.2,4851320.0,-82389769.0
5,2013-05-24,97.55,99.0,97.55,98.7,500860.0,-12056192.0
6,2013-05-27,98.6,98.8,97.0,97.5,608420.0,-13655199.0
7,2013-05-28,97.5,97.8,97.0,97.75,286850.0,-5315507.0
8,2013-05-29,98.0,98.9,97.1,97.55,685550.0,-19170076.0
9,2013-05-30,97.6,97.6,94.0,94.3,1755130.0,-2647303.0
10,2013-05-31,94.5,94.5,92.8,92.85,1053530.0,34315493.0
11,2013-06-03,92.85,93.0,91.5,91.55,1238720.0,-43112911.0
12,2013-06-04,91.55,92.7,91.15,91.15,605690.0,12844312.0
13,2013-06-05,91.15,91.5,90.25,90.25,962790.0,23141972.0
14,2013-06-06,90.2,94.0,90.0,90.05,1031330.0,-1813175.0
15,2013-06-07,90.25,91.0,90.25,90.8,347140.0,-11074266.0
16,2013-06-10,90.9,92.0,90.8,91.2,1158620.0,-78863583.0
17,2013-06-11,91.1,91.2,88.2,89.5,673310.0,27702742.0
18,2013-06-13,88.5,88.5,86.4,86.5,1767020.0,73585455.0
19,2013-06-14,87.5,88.8,87.5,88.7,719800.0,-3851004.0
20,2013-06-17,89.0,89.5,88.5,89.5,215600.0,1493901.0
21,2013-06-18,89.5,91.0,89.5,89.9,166070.0,-1143887.0
22,2013-06-19,90.5,90.5,88.0,89.0,240260.0,-4927465.0
23,2013-06-20,87.0,88.0,86.0,87.0,225120.0,-4217437.0
24,2013-06-21,85.0,85.0,80.5,81.3,500090.0,-25539374.0
25,2013-06-24,80.6,82.5,79.0,79.0,431320.0,-5273815.0
26,2013-06-25,78.0,78.5,68.0,75.0,463450.0,-13967887.0
27,2013-06-26,75.0,81.5,75.0,79.6,322140.0,-1651468.0
28,2013-06-27,81.0,83.0,80.0,80.5,168430.0,-3950674.0
29,2013-06-28,82.0,82.0,79.5,80.0,192460.0,-2680308.0
30,2013-07-01,80.0,81.0,79.0,79.95,121140.0,-1328902.0
31,2013-07-02,79.95,84.0,79.95,79.95,857180.0,-21911062.0
32,2013-07-03,79.95,80.1,79.85,79.95,188560.0,-11931125.0
