,Date,Open,High,Low,Close,Volume,OtherData
0,2006-12-04,9.5,9.5,9.5,9.5,70000,0.0
1,2006-12-05,9.2,9.2,9.2,9.2,47000,0.0
2,2006-12-06,9.0,9.0,9.0,9.0,10000,0.0
3,2006-12-07,9.0,9.0,9.0,9.0,7000,0.0
4,2006-12-08,9.0,9.0,9.0,9.0,39000,0.0
5,2006-12-11,9.0,9.3,9.0,9.3,60000,0.0
6,2006-12-12,9.1,9.1,9.1,9.1,1000,0.0
7,2006-12-13,9.0,9.1,9.0,9.1,13000,0.0
8,2006-12-14,9.5,9.5,9.4,9.4,116000,0.0
9,2006-12-15,9.5,9.6,9.4,9.6,566000,0.0
10,2006-12-18,9.5,9.5,9.2,9.2,135000,0.0
11,2006-12-19,9.5,9.5,9.3,9.5,79000,0.0
12,2006-12-20,9.3,9.5,9.3,9.3,76000,0.0
13,2006-12-21,9.5,9.5,9.4,9.4,115000,0.0
14,2006-12-27,9.3,9.3,9.3,9.3,25000,0.0
15,2006-12-28,9.3,9.3,9.3,9.3,5000,0.0
16,2006-12-29,9.5,9.5,9.3,9.3,75000,0.0
17,2006-11-03,9.2,9.2,9.2,9.2,2000,0.0
18,2006-11-06,9.2,9.2,9.2,9.2,4000,0.0
19,2006-11-07,9.0,9.1,9.0,9.1,3000,0.0
20,2006-11-09,9.1,9.1,9.1,9.1,2000,0.0
21,2006-11-10,9.2,9.2,9.2,9.2,20000,0.0
22,2006-11-13,9.2,9.2,9.2,9.2,12000,0.0
23,2006-11-14,9.2,9.2,9.2,9.2,8000,0.0
24,2006-11-15,9.2,9.2,9.2,9.2,6000,0.0
25,2006-11-17,9.3,9.3,9.2,9.2,37000,0.0
26,2006-11-20,9.2,9.2,9.1,9.1,9000,0.0
27,2006-11-21,9.1,9.1,9.0,9.0,28000,0.0
28,2006-11-23,9.0,9.0,9.0,9.0,7000,0.0
29,2006-11-24,9.0,9.2,9.0,9.2,80000,0.0
30,2006-11-27,9.3,9.3,9.1,9.1,47000,0.0
31,2006-11-28,9.1,9.1,9.1,9.1,51000,0.0
32,2006-11-29,9.0,9.0,9.0,9.0,8000,0.0
33,2006-11-30,9.2,9.2,9.1,9.1,23000,0.0
34,2006-10-03,9.9,9.9,9.9,9.9,40000,0.0
