,Date,Open,High,Low,Close,Volume,OtherData
0,2006-12-04,25.5,25.5,25.5,25.5,5000.0,127500.0
1,2006-12-05,24.5,24.5,24.5,24.5,3000.0,73500.0
2,2006-12-13,25.0,25.0,25.0,25.0,20000.0,500000.0
3,2006-12-14,24.0,24.5,24.0,24.5,65000.0,1591500.0
4,2006-12-15,25.0,25.0,25.0,25.0,10000.0,250000.0
5,2006-12-18,24.75,25.0,24.75,25.0,60000.0,1497500.0
6,2006-12-19,24.25,24.25,24.0,24.0,90000.0,1925000.0
7,2006-12-20,25.0,25.0,24.75,24.75,20000.0,496250.0
8,2006-11-16,23.0,23.0,23.0,23.0,200.0,4600.0
9,2006-11-20,23.0,23.0,23.0,23.0,100.0,2300.0
10,2006-09-01,28.0,28.0,28.0,28.0,2100.0,0.0
11,2006-09-08,28.0,28.0,28.0,28.0,200.0,5600.0
12,2006-09-11,26.0,26.0,26.0,26.0,200.0,-5200.0
13,2006-09-14,20.0,20.0,20.0,20.0,10000.0,0.0
14,2006-09-18,25.0,25.0,25.0,25.0,3600.0,90000.0
15,2006-09-20,25.0,27.0,25.0,27.0,7400.0,194600.0
16,2007-04-11,27.0,27.0,27.0,27.0,1600.0,0.0
17,2007-04-13,27.0,27.0,27.0,27.0,300.0,8100.0
18,2007-04-19,27.0,27.0,27.0,27.0,6300.0,170100.0
19,2007-04-27,27.0,27.0,27.0,27.0,2700.0,72900.0
20,2007-08-02,27.0,27.0,27.0,27.0,400.0,-10800.0
21,2007-12-04,27.0,27.0,27.0,27.0,2800.0,0.0
22,2007-12-10,25.5,28.0,25.5,28.0,23500.0,-127500.0
23,2007-12-11,27.0,27.0,27.0,27.0,100.0,0.0
24,2007-12-12,25.0,25.0,25.0,25.0,100.0,0.0
25,2007-12-13,26.0,26.0,26.0,26.0,5000.0,-130000.0
26,2007-12-27,26.0,26.0,26.0,26.0,10000.0,-260000.0
27,2007-02-01,35.0,35.0,35.0,35.0,2000.0,56000.0
28,2007-02-13,34.0,35.0,34.0,35.0,1000.0,17000.0
29,2007-02-19,35.0,35.0,35.0,35.0,5000.0,0.0
30,2007-01-02,25.0,25.0,25.0,25.0,800.0,20000.0
31,2007-01-09,27.0,27.0,27.0,27.0,100.0,2700.0
32,2007-01-10,27.0,27.0,27.0,27.0,1500.0,40500.0
33,2007-01-16,28.0,28.0,28.0,28.0,400.0,11200.0
34,2007-01-22,28.0,29.5,28.0,29.5,4900.0,5900.0
35,2007-01-24,29.0,29.0,29.0,29.0,4700.0,136300.0
36,2007-01-25,29.5,29.5,29.5,29.5,300.0,8850.0
37,2007-07-16,28.0,28.0,28.0,28.0,600.0,16800.0
38,2007-06-04,27.5,27.5,27.5,27.5,100.0,2750.0
39,2007-06-25,27.0,27.0,27.0,27.0,2500.0,0.0
40,2007-06-28,27.5,27.5,27.0,27.0,1400.0,38000.0
41,2007-03-13,35.0,35.0,35.0,35.0,500.0,17500.0
42,2007-03-21,32.0,32.0,32.0,32.0,1800.0,57600.0
43,2007-03-28,27.0,27.0,27.0,27.0,1900.0,51300.0
44,2007-05-10,27.0,27.0,27.0,27.0,500.0,13500.0
45,2007-05-15,27.0,27.0,27.0,27.0,7700.0,72900.0
46,2007-05-24,27.5,27.5,27.5,27.5,400.0,11000.0
47,2007-10-17,27.0,27.0,27.0,27.0,5000.0,0.0
48,2007-09-18,27.0,27.0,27.0,27.0,8100.0,18900.0
49,2008-08-01,21.0,24.0,21.0,24.0,3000.0,46200.0
50,2008-08-04,21.0,24.0,19.0,22.0,13600.0,-2200.0
51,2008-08-06,20.5,20.5,20.5,20.5,15000.0,0.0
52,2008-08-07,23.5,23.5,23.5,23.5,100.0,0.0
53,2008-08-11,23.0,23.0,23.0,23.0,3000.0,69000.0
54,2008-08-19,17.0,17.0,15.0,15.25,32600.0,-396150.0
55,2008-08-20,16.0,16.0,16.0,16.0,1900.0,0.0
56,2008-08-21,17.0,17.0,16.0,16.0,4700.0,0.0
57,2008-08-22,16.5,17.0,16.5,17.0,2800.0,0.0
58,2008-08-26,16.5,16.5,16.5,16.5,1000.0,0.0
59,2008-08-28,16.75,16.75,16.75,16.75,300.0,0.0
60,2008-08-29,16.25,16.25,16.25,16.25,4200.0,0.0
61,2008-12-04,9.5,9.5,9.5,9.5,1000.0,0.0
62,2008-12-12,9.6,9.6,9.6,9.6,1000.0,0.0
63,2008-02-01,31.0,32.0,31.0,31.0,800.0,0.0
64,2008-02-04,31.0,31.0,30.0,30.5,1800.0,0.0
65,2008-02-05,30.0,30.0,29.5,29.5,300.0,0.0
66,2008-02-06,31.0,31.0,31.0,31.0,100.0,0.0
67,2008-02-07,30.0,30.0,30.0,30.0,1000.0,0.0
68,2008-02-08,30.0,30.0,30.0,30.0,300.0,0.0
69,2008-02-11,30.0,31.0,30.0,31.0,300.0,0.0
70,2008-02-12,30.5,30.5,30.5,30.5,1600.0,0.0
71,2008-02-15,28.5,30.0,28.0,28.0,400.0,0.0
72,2008-02-20,28.5,29.0,28.5,29.0,200.0,0.0
73,2008-02-21,25.0,28.5,22.75,28.0,900.0,0.0
74,2008-02-22,25.0,27.0,25.0,26.0,1200.0,0.0
75,2008-02-28,28.0,28.0,28.0,28.0,100.0,0.0
76,2008-01-03,25.5,25.5,24.0,24.0,3100.0,0.0
77,2008-01-09,24.0,24.0,24.0,24.0,200.0,0.0
78,2008-01-10,23.75,23.75,23.5,23.5,400.0,0.0
79,2008-01-11,23.25,23.25,22.75,22.75,800.0,0.0
80,2008-01-15,24.0,27.0,24.0,27.0,1100.0,0.0
81,2008-01-16,25.0,31.0,25.0,31.0,6600.0,15800.0
82,2008-01-17,29.0,30.0,28.0,28.0,2100.0,0.0
83,2008-01-18,28.0,28.0,28.0,28.0,500.0,0.0
84,2008-01-22,25.0,26.0,23.0,26.0,700.0,0.0
85,2008-01-23,26.5,26.5,25.0,25.0,400.0,0.0
86,2008-01-24,26.0,32.0,26.0,30.5,15500.0,-1800.0
87,2008-01-25,34.0,40.0,32.0,38.0,13600.0,64950.0
88,2008-01-28,40.0,42.0,37.5,37.5,6100.0,0.0
89,2008-01-29,35.5,35.5,30.0,30.0,2100.0,0.0
90,2008-01-30,31.0,32.0,30.5,32.0,4300.0,0.0
91,2008-01-31,31.0,31.0,31.0,31.0,800.0,0.0
92,2008-07-01,21.0,21.0,21.0,21.0,100.0,0.0
93,2008-07-09,20.0,20.0,20.0,20.0,100.0,0.0
94,2008-07-10,20.0,20.0,20.0,20.0,200.0,0.0
95,2008-07-11,18.5,18.5,18.5,18.5,300.0,-5550.0
96,2008-07-14,19.5,22.5,19.5,22.5,400.0,0.0
97,2008-07-15,22.5,22.5,22.0,22.0,3400.0,-72000.0
98,2008-07-18,20.0,20.0,20.0,20.0,5000.0,-6000.0
99,2008-07-23,19.0,20.0,19.0,20.0,200.0,0.0
100,2008-07-24,18.0,18.0,18.0,18.0,1000.0,0.0
101,2008-07-25,20.0,23.0,20.0,21.0,8100.0,0.0
102,2008-07-28,22.5,22.5,21.0,21.0,400.0,0.0
103,2008-07-29,18.0,20.0,18.0,20.0,13600.0,-239500.0
104,2008-07-30,18.0,20.0,18.0,20.0,200.0,-2000.0
105,2008-07-31,18.25,21.0,18.25,21.0,3700.0,65175.0
106,2008-03-04,27.0,28.0,27.0,28.0,1700.0,0.0
107,2008-03-05,28.5,28.5,28.5,28.5,1100.0,0.0
108,2008-05-13,30.0,30.0,30.0,30.0,100.0,0.0
109,2008-05-16,30.0,30.0,29.0,29.0,700.0,17400.0
