,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,10.5,10.75,10.5,10.75,32000,10750
1,2006-08-02,10.5,10.75,10.5,10.75,37000,0
2,2006-08-03,10.5,10.5,10.5,10.5,14000,0
3,2006-08-04,10.5,10.5,10.5,10.5,23300,4200
4,2006-08-07,10.5,10.5,10.25,10.25,50300,0
5,2006-08-08,8.3,8.3,8.0,8.0,5000,0
6,2006-08-14,8.5,8.5,8.5,8.5,1000,0
7,2006-08-15,8.3,8.3,8.3,8.3,10000,0
8,2006-08-17,8.3,8.3,8.3,8.3,5000,0
9,2006-12-08,8.5,8.5,8.5,8.5,13000,0
10,2006-12-11,8.5,8.5,8.5,8.5,1000,0
11,2006-12-12,8.6,8.6,8.5,8.5,8000,0
12,2006-12-13,8.5,8.6,8.5,8.6,7000,0
13,2006-12-15,9.0,9.5,9.0,9.5,35000,0
14,2006-12-18,9.4,9.5,9.0,9.0,20000,0
15,2006-12-19,9.0,9.0,9.0,9.0,66000,0
16,2006-12-21,9.0,9.3,9.0,9.3,39000,36000
17,2006-12-22,9.3,9.3,9.3,9.3,55000,511500
18,2006-12-28,9.3,9.7,9.3,9.7,19000,9300
19,2006-12-29,9.4,9.7,9.4,9.7,5243000,48966400
20,2006-11-02,9.2,9.2,9.2,9.2,2000,0
21,2006-11-06,9.1,9.2,9.1,9.2,24000,0
22,2006-11-07,9.1,9.1,9.0,9.0,221000,0
23,2006-11-08,9.0,9.0,8.8,8.8,86000,0
24,2006-11-09,8.8,8.8,8.8,8.8,64000,0
25,2006-11-10,8.7,8.7,8.7,8.7,48000,0
26,2006-11-15,8.7,8.8,8.7,8.8,75000,0
27,2006-11-16,8.8,8.8,8.7,8.7,27000,0
28,2006-11-17,8.7,8.8,8.7,8.8,37000,0
29,2006-11-20,8.7,8.7,8.7,8.7,22000,0
30,2006-11-21,8.6,8.6,8.6,8.6,28000,0
31,2006-11-22,8.6,8.6,8.6,8.6,27000,0
32,2006-11-23,8.7,8.7,8.6,8.6,40000,0
33,2006-11-27,8.6,8.6,8.5,8.5,92000,0
34,2006-11-28,8.5,8.5,8.5,8.5,9000,0
35,2006-11-30,8.5,8.5,8.5,8.5,5000,0
36,2006-10-03,8.3,8.3,8.3,8.3,7000,0
37,2006-10-05,8.3,8.3,8.3,8.3,52000,0
38,2006-10-06,8.3,8.3,8.3,8.3,72000,0
39,2006-10-09,8.3,8.3,8.3,8.3,10000,0
40,2006-10-11,8.3,8.3,8.3,8.3,30000,0
41,2006-10-12,8.3,8.3,8.3,8.3,17000,0
42,2006-10-13,8.3,8.3,8.3,8.3,2000,0
43,2006-10-23,8.5,8.5,8.5,8.5,1000,0
44,2006-10-25,8.4,9.0,8.4,9.0,49000,0
45,2006-10-27,9.0,9.0,9.0,9.0,7000,0
46,2006-10-30,9.0,9.0,9.0,9.0,24000,0
47,2006-10-31,9.0,9.0,9.0,9.0,1000,0
48,2006-09-04,8.4,8.4,8.4,8.4,4000,0
49,2006-09-06,8.4,8.4,8.4,8.4,6000,0
50,2006-09-08,8.4,8.4,8.4,8.4,10000,0
51,2006-09-11,8.3,8.3,8.3,8.3,1848000,-15338400
52,2006-09-13,8.3,8.3,8.3,8.3,1000,0
53,2006-09-15,8.4,8.4,8.4,8.4,35000,0
54,2006-09-19,8.5,8.5,8.5,8.5,1000,0
55,2006-09-20,8.4,8.4,8.3,8.3,166000,0
56,2006-09-21,8.3,8.3,8.3,8.3,61000,0
57,2006-09-22,8.3,8.3,8.1,8.1,75000,0
58,2007-04-02,10.25,10.25,10.25,10.25,25000,246000
59,2007-04-03,10.5,10.5,10.5,10.5,6500,0
60,2007-04-04,10.5,10.5,10.5,10.5,4200,0
61,2007-04-10,10.5,11.0,10.5,10.75,68200,-78750
62,2007-04-11,11.0,11.75,11.0,11.75,250800,1485950
63,2007-04-12,11.5,11.5,11.5,11.5,71000,575000
64,2007-04-13,11.5,11.5,11.5,11.5,114000,920000
65,2007-04-16,11.75,12.25,11.5,12.25,204400,1589075
66,2007-04-17,12.5,13.25,12.5,13.25,672600,3997250
67,2007-04-18,12.5,12.75,12.5,12.75,100800,0
68,2007-04-19,13.25,13.25,12.5,12.5,69800,182500
69,2007-04-20,12.5,13.0,12.5,13.0,118500,1527925
70,2007-04-23,13.0,13.0,13.0,13.0,108000,832000
71,2007-04-24,12.75,13.0,12.75,13.0,42100,427700
72,2007-04-25,13.25,13.25,13.25,13.25,45400,347150
73,2007-04-26,13.25,13.75,13.25,13.75,76100,561600
74,2007-04-27,13.5,13.5,13.5,13.5,10600,0
75,2007-04-30,13.5,13.5,13.5,13.5,140000,1636200
76,2007-08-01,13.25,13.25,13.25,13.25,30300,0
77,2007-08-02,13.25,13.25,13.25,13.25,34600,0
78,2007-08-06,12.75,12.75,12.5,12.5,61000,0
79,2007-08-09,12.75,12.75,12.75,12.75,11600,147900
80,2007-08-13,12.5,12.5,12.5,12.5,16200,0
81,2007-08-14,12.5,12.5,12.5,12.5,102700,736250
82,2007-08-15,12.25,12.5,12.25,12.5,43700,537500
83,2007-08-16,12.25,12.5,11.75,12.0,213600,1150000
84,2007-08-17,11.75,11.75,11.75,11.75,100000,1175000
85,2007-08-21,12.0,12.0,12.0,12.0,48500,582000
86,2007-08-22,12.0,12.0,12.0,12.0,2900,0
87,2007-08-23,12.0,12.0,12.0,12.0,100,0
88,2007-08-28,12.0,12.0,12.0,12.0,5800,0
89,2007-08-29,12.0,12.5,12.0,12.5,38400,-396000
90,2007-08-30,12.5,12.5,12.5,12.5,10000,0
91,2007-08-31,12.5,12.5,12.5,12.5,20000,0
92,2007-12-04,13.25,13.25,12.5,12.75,48000,0
93,2007-12-05,13.25,13.25,13.25,13.25,7000,0
94,2007-12-06,13.25,13.25,13.0,13.0,49100,-353600
95,2007-12-07,13.0,13.0,13.0,13.0,1000,0
96,2007-12-12,13.25,13.25,13.25,13.25,2000,0
97,2007-12-14,13.0,13.0,13.0,13.0,3000,0
98,2007-12-26,13.75,13.75,13.5,13.5,2000,0
99,2007-12-27,13.75,13.75,13.75,13.75,1000,0
100,2007-12-28,14.0,14.25,14.0,14.25,42500,0
101,2007-02-01,10.0,10.0,10.0,10.0,24000,200000
102,2007-02-02,10.0,10.0,10.0,10.0,13000,130000
103,2007-02-06,10.25,10.25,10.25,10.25,26000,205000
104,2007-02-07,10.25,10.25,10.25,10.25,26200,0
105,2007-02-08,10.25,10.25,10.25,10.25,1000,0
106,2007-02-09,10.25,10.25,10.25,10.25,20700,0
107,2007-02-12,10.25,10.25,10.25,10.25,500,0
108,2007-02-13,10.25,10.25,10.25,10.25,300,0
109,2007-02-14,10.25,10.25,10.25,10.25,1200,0
110,2007-02-15,10.25,10.25,10.0,10.0,16000,0
111,2007-02-20,10.5,10.5,10.5,10.5,29000,0
112,2007-02-21,10.5,10.5,10.25,10.5,128000,0
113,2007-02-22,10.5,10.5,10.5,10.5,8000,0
114,2007-02-23,10.5,10.5,10.5,10.5,18000,0
115,2007-02-26,10.75,10.75,10.5,10.75,106500,0
116,2007-02-28,10.0,10.0,10.0,10.0,69900,0
117,2007-01-02,9.7,10.0,9.7,10.0,22000,0
118,2007-01-03,10.25,10.25,10.25,10.25,9000,0
119,2007-01-04,10.0,10.25,9.8,9.8,60300,0
120,2007-01-05,10.25,10.25,10.25,10.25,1000,0
121,2007-01-08,10.0,11.0,10.0,11.0,21900,0
122,2007-01-09,10.0,10.0,10.0,10.0,31000,10000
123,2007-01-10,10.25,10.5,10.25,10.5,16000,0
124,2007-01-11,10.25,10.25,10.25,10.25,32000,0
125,2007-01-12,10.25,10.25,10.25,10.25,33200,0
126,2007-01-15,10.25,10.25,10.25,10.25,5500,0
127,2007-01-16,10.25,10.25,10.25,10.25,14600,0
128,2007-01-17,10.25,10.25,10.0,10.0,8000,0
129,2007-01-18,10.25,10.25,10.25,10.25,9000,0
130,2007-01-19,10.25,10.25,10.25,10.25,50000,0
131,2007-01-22,10.25,10.25,10.25,10.25,6000,0
132,2007-01-25,10.25,10.5,10.0,10.5,102000,0
133,2007-01-26,10.0,10.0,10.0,10.0,21000,0
134,2007-01-31,10.0,10.0,10.0,10.0,40000,400000
135,2007-07-02,13.25,13.25,13.25,13.25,15000,0
136,2007-07-03,13.25,13.5,13.25,13.25,2400,0
137,2007-07-04,13.5,13.75,13.5,13.75,185600,0
138,2007-07-05,13.75,14.0,13.75,14.0,53100,0
139,2007-07-06,13.5,13.5,13.25,13.25,2400,0
140,2007-07-09,13.25,13.75,13.25,13.5,17400,0
141,2007-07-10,14.5,14.5,13.5,13.5,10100,0
142,2007-07-11,13.75,13.75,13.75,13.75,5100,0
143,2007-07-12,13.5,14.0,13.5,14.0,4100,0
144,2007-07-13,13.75,13.75,13.5,13.75,8600,0
145,2007-07-17,13.75,13.75,13.75,13.75,100,0
146,2007-07-18,13.5,13.75,13.5,13.75,5500,0
147,2007-07-19,14.0,14.0,13.5,13.75,8800,0
148,2007-07-23,13.5,13.75,13.5,13.75,5000,0
149,2007-07-25,13.5,13.5,13.5,13.5,23300,0
150,2007-07-26,13.25,13.25,13.25,13.25,27600,0
151,2007-07-27,13.25,13.25,13.25,13.25,12300,0
152,2007-07-30,13.25,13.25,13.25,13.25,34300,0
153,2007-07-31,13.25,13.25,13.25,13.25,15100,0
154,2007-06-01,12.0,12.0,12.0,12.0,4800,57600
155,2007-06-05,12.0,12.0,12.0,12.0,10300,96000
156,2007-06-07,12.0,12.25,12.0,12.25,22500,183750
157,2007-06-08,12.25,12.25,12.25,12.25,6200,75950
158,2007-06-12,12.5,12.5,12.5,12.5,22000,237500
159,2007-06-13,12.5,12.5,12.5,12.5,3000,0
160,2007-06-14,12.5,12.5,12.5,12.5,12000,0
161,2007-06-15,12.5,12.5,12.5,12.5,6000,0
162,2007-06-19,12.25,12.25,12.25,12.25,10900,0
163,2007-06-20,12.75,13.0,12.75,13.0,20000,0
164,2007-06-26,12.5,12.5,12.5,12.5,42600,0
165,2007-06-28,12.5,12.5,12.5,12.5,99500,0
166,2007-06-29,12.5,13.0,12.5,13.0,182400,0
167,2007-03-01,10.0,10.0,10.0,10.0,33000,0
168,2007-03-02,9.9,9.9,9.8,9.8,27000,0
169,2007-03-05,9.8,9.8,9.7,9.7,9000,-39200
170,2007-03-06,9.6,9.6,9.6,9.6,1000,0
171,2007-03-07,11.0,11.0,11.0,11.0,1000,0
172,2007-03-09,9.8,9.8,9.8,9.8,4500,0
173,2007-03-14,10.0,10.0,9.8,9.8,87000,-413600
174,2007-03-15,9.8,9.8,9.8,9.8,5000,0
175,2007-03-16,9.8,9.8,9.8,9.8,117000,0
176,2007-03-21,9.9,9.9,9.9,9.9,118000,0
177,2007-03-23,9.9,9.9,9.8,9.9,17000,0
178,2007-03-26,10.25,10.25,10.25,10.25,49000,451000
179,2007-03-27,10.0,10.25,10.0,10.25,55700,567925
180,2007-03-28,10.25,10.25,10.25,10.25,95000,922500
181,2007-05-02,13.5,13.75,13.5,13.75,25300,330800
182,2007-05-03,13.5,14.0,13.5,14.0,172400,1902250
183,2007-05-04,14.0,14.0,14.0,14.0,6000,0
184,2007-05-07,13.75,13.75,13.75,13.75,4500,0
185,2007-05-08,13.75,13.75,13.5,13.5,121200,1389150
186,2007-05-09,13.5,13.5,13.5,13.5,7800,105300
