,Date,Open,High,Low,Close,Volume,OtherData
0,2010-08-25,24.0,24.0,24.0,24.0,1000,0.0
1,2010-09-08,20.0,20.0,20.0,20.0,1000,0.0
2,2010-09-14,18.0,18.0,18.0,18.0,6000,0.0
3,2010-09-15,15.0,18.0,15.0,15.5,113000,0.0
4,2010-09-16,15.5,15.5,15.5,15.5,1000,0.0
5,2010-09-17,18.0,18.0,18.0,18.0,50000,0.0
6,2010-09-20,18.0,18.0,18.0,18.0,42000,0.0
7,2010-09-23,15.5,16.0,15.5,16.0,14000,0.0
8,2010-09-27,15.0,15.5,15.0,15.0,2500,0.0
9,2010-10-04,13.0,13.5,13.0,13.5,16500,0.0
10,2010-10-05,15.0,15.0,13.5,13.5,2700,6750.0
11,2010-10-06,15.0,16.5,15.0,16.5,6400,0.0
12,2010-10-07,17.0,17.0,17.0,17.0,5200,0.0
13,2010-10-11,14.0,14.0,14.0,14.0,16000,0.0
14,2010-10-12,14.0,14.0,13.0,13.0,53800,0.0
15,2010-10-13,13.0,13.0,12.9,12.9,6500,0.0
16,2010-10-18,13.0,13.0,13.0,13.0,2700,0.0
17,2010-10-20,13.0,13.0,13.0,13.0,1700,0.0
18,2010-10-21,12.0,12.0,12.0,12.0,12000,0.0
19,2010-10-22,12.0,12.0,12.0,12.0,10400,0.0
20,2010-10-27,12.0,12.0,12.0,12.0,8000,0.0
21,2010-10-29,13.0,15.0,13.0,15.0,5300,0.0
22,2010-11-08,12.0,13.0,12.0,13.0,11000,0.0
23,2010-11-10,12.1,12.1,12.1,12.1,5200,0.0
24,2010-11-11,12.02,12.02,12.0,12.0,300,0.0
25,2010-11-23,13.0,13.0,13.0,13.0,1400,0.0
26,2010-11-24,13.0,13.0,13.0,13.0,4700,0.0
27,2010-11-25,13.0,13.0,13.0,13.0,1800,0.0
28,2010-11-26,15.0,15.0,15.0,15.0,2200,-7500.0
29,2010-12-07,16.0,17.0,16.0,17.0,15800,0.0
30,2010-12-08,16.0,18.4,16.0,18.4,50100,0.0
31,2010-12-09,19.0,20.7,19.0,20.7,32000,0.0
32,2010-12-10,22.0,22.0,20.0,20.0,10500,0.0
33,2010-12-13,20.0,20.05,20.0,20.05,6100,0.0
34,2010-12-14,22.0,22.5,21.5,21.5,63600,0.0
35,2010-12-15,21.0,21.0,21.0,21.0,3000,0.0
36,2010-12-16,20.0,20.0,20.0,20.0,29400,0.0
37,2010-12-17,20.0,22.0,20.0,22.0,8000,0.0
38,2010-12-21,22.0,22.95,22.0,22.95,5000,0.0
39,2010-12-23,22.95,23.0,22.95,23.0,40000,0.0
40,2010-12-28,23.0,23.0,23.0,23.0,100,0.0
41,2010-12-29,23.5,28.8,23.5,28.8,120200,0.0
42,2010-12-30,28.0,30.0,28.0,29.0,2050700,0.0
43,2011-01-05,25.0,27.9,25.0,25.0,57700,0.0
44,2011-01-06,28.8,28.8,28.8,28.8,100,0.0
45,2011-01-07,25.0,25.0,25.0,25.0,100,0.0
46,2011-01-12,25.0,25.0,25.0,25.0,21000,0.0
47,2011-01-14,25.0,25.0,23.0,23.0,12000,0.0
48,2011-01-17,23.0,23.0,22.0,22.0,30100,0.0
49,2011-01-18,22.0,22.0,21.0,22.0,106600,0.0
50,2011-01-19,21.0,21.0,21.0,21.0,1000,0.0
51,2011-01-21,21.0,21.0,21.0,21.0,20000,0.0
52,2011-01-24,20.15,20.15,20.15,20.15,2000,0.0
53,2011-01-25,20.15,20.15,20.15,20.15,3000,0.0
54,2011-01-27,21.0,21.0,21.0,21.0,10000,0.0
55,2011-02-04,21.0,21.0,20.0,20.0,35000,0.0
56,2011-02-07,20.0,20.0,20.0,20.0,5000,0.0
57,2011-02-09,19.0,19.0,19.0,19.0,300000,0.0
58,2011-02-17,19.0,19.0,19.0,19.0,1000,0.0
59,2011-02-18,19.1,19.2,17.0,17.0,13100,0.0
60,2011-02-21,18.0,18.0,18.0,18.0,10000,0.0
61,2011-02-22,18.0,18.0,18.0,18.0,5000,0.0
62,2011-02-24,17.0,17.0,17.0,17.0,5000,0.0
63,2011-02-25,17.0,17.0,16.5,16.5,15200,0.0
64,2011-03-14,15.0,15.0,15.0,15.0,10000,0.0
65,2011-03-17,12.2,15.0,12.2,15.0,3007000,0.0
66,2011-03-18,17.6,17.9,17.6,17.9,4000,0.0
67,2011-03-21,18.0,18.0,18.0,18.0,2000,0.0
68,2011-03-22,18.4,20.5,18.4,20.5,6800,0.0
69,2011-03-23,20.0,20.0,20.0,20.0,1501000,0.0
70,2011-03-24,20.0,20.0,15.2,15.2,1000100,0.0
71,2011-03-25,19.88,19.88,17.0,18.0,1005400,0.0
72,2011-03-29,17.0,20.0,17.0,20.0,600,0.0
73,2011-03-30,20.0,20.0,20.0,20.0,26300,0.0
74,2011-03-31,19.0,20.0,19.0,20.0,9700,0.0
75,2011-04-07,19.0,19.1,19.0,19.1,7500,0.0
76,2011-04-08,19.0,19.0,19.0,19.0,600,0.0
77,2011-04-18,17.0,17.0,17.0,17.0,1900,0.0
78,2011-04-19,17.02,17.02,17.02,17.02,30000,0.0
79,2011-04-20,17.02,17.04,17.02,17.04,80000,0.0
80,2011-04-27,20.0,20.0,20.0,20.0,50100,0.0
81,2011-04-28,20.0,20.0,20.0,20.0,159800,0.0
82,2011-06-14,17.5,17.5,17.5,17.5,1500,0.0
83,2011-06-16,17.5,17.5,17.5,17.5,3500,0.0
84,2011-06-21,17.04,17.04,17.04,17.04,1500,0.0
85,2011-06-23,17.04,17.04,17.0,17.0,3000,0.0
