,Date,Open,High,Low,Close,Volume,OtherData
0,2008-02-05,101.0,101.0,101.0,101.0,100,0
1,2008-02-15,88.0,88.0,75.0,75.0,400,0
2,2008-01-17,14.0,14.0,14.0,14.0,1000,0
3,2008-01-18,21.0,21.0,21.0,21.0,1000,0
4,2008-01-21,25.5,30.0,25.5,30.0,2600,0
5,2008-01-22,40.5,40.5,40.5,40.5,1000,0
6,2008-01-23,48.0,54.0,48.0,54.0,1300,0
7,2008-01-24,60.0,69.0,60.0,69.0,1200,0
8,2008-01-25,76.5,88.0,76.5,88.0,1300,0
9,2008-01-28,100.0,100.0,96.5,96.5,900,0
10,2008-01-29,100.0,101.0,100.0,101.0,500,0
11,2008-01-30,100.0,100.0,100.0,100.0,40,0
12,2008-01-31,102.0,102.0,102.0,102.0,100,0
13,2008-11-19,75.0,75.0,75.0,75.0,400,0
14,2009-03-17,75.0,75.0,75.0,75.0,800,0
15,2009-03-26,76.0,76.0,76.0,76.0,100,0
16,2011-03-08,38.0,38.0,38.0,38.0,900,0
17,2011-03-31,57.0,57.0,57.0,57.0,100,0
18,2011-05-20,60.0,60.0,60.0,60.0,300,0
19,2011-05-25,60.0,60.0,60.0,60.0,170,0
20,2011-06-17,30.0,30.0,30.0,30.0,500,-15000
21,2011-07-06,30.5,30.5,30.5,30.5,100,0
22,2011-09-16,30.5,30.5,30.5,30.5,100,0
23,2012-02-17,31.0,31.0,31.0,31.0,200,0
24,2012-03-15,34.1,34.1,34.1,34.1,100,0
25,2012-03-20,51.15,51.15,51.15,51.15,100,0
26,2012-06-19,52.0,52.0,52.0,52.0,340,0
27,2012-06-20,52.0,52.0,30.0,30.0,120,0
28,2012-07-03,30.05,30.2,30.05,30.2,15800,0
29,2012-10-23,15.1,15.1,15.1,15.1,100,0
30,2012-11-05,22.65,22.65,22.65,22.65,1000,0
31,2014-04-24,33.9,33.9,33.9,33.9,100,0
32,2014-05-09,22.7,27.0,22.65,26.5,2800,0
33,2014-05-12,26.55,26.55,26.5,26.5,600,0
34,2014-06-03,26.5,26.5,26.5,26.5,300,0
35,2014-07-04,30.0,34.0,30.0,34.0,300,0
36,2014-07-22,30.0,30.0,30.0,30.0,100,0
37,2014-07-23,35.0,35.0,35.0,35.0,200,0
38,2014-08-20,35.0,35.0,35.0,35.0,300,0
39,2014-10-22,52.5,52.5,52.5,52.5,100,0
40,2014-11-07,52.5,52.5,52.5,52.5,20,0
41,2014-11-18,26.25,26.25,26.25,26.25,10,0
42,2015-05-14,39.2,39.35,39.2,39.35,200,0
43,2015-06-05,20.3,20.3,20.3,20.3,200,0
44,2015-12-01,18.5,18.5,18.5,18.5,200,0
45,2016-02-18,18.48,18.48,18.48,18.48,200,0
46,2016-03-16,13.2,13.2,13.2,13.2,200,0
47,2016-03-28,15.0,19.8,15.0,19.8,1400,0
48,2016-03-29,29.7,29.7,29.7,29.7,100,0
49,2016-03-30,44.55,44.55,44.55,44.55,1600,0
50,2016-03-31,44.55,44.55,44.55,44.55,300,0
51,2016-04-05,44.55,44.55,44.55,44.55,200,0
52,2016-04-25,22.3,22.3,22.3,22.3,300,0
53,2016-06-23,12.02,12.02,12.02,12.02,600,0
