,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,1.08,1.08,1.04,1.04,14441000.0,-10695720.0
1,2006-08-02,1.04,1.04,1.02,1.04,3147000.0,-1248000.0
2,2006-08-03,1.04,1.06,1.02,1.02,2506000.0,-1736940.0
3,2006-08-04,1.04,1.04,1.04,1.04,5235000.0,-4305600.0
4,2006-08-07,1.04,1.04,1.02,1.02,6387000.0,-3320800.0
5,2006-08-08,1.02,1.02,1.02,1.02,3859000.0,0.0
6,2006-08-09,1.02,1.02,1.02,1.02,3651000.0,-2040000.0
7,2006-08-10,1.02,1.02,1.0,1.02,1039000.0,204000.0
8,2006-08-11,1.02,1.02,1.0,1.0,5998000.0,-2004000.0
9,2006-08-14,1.0,1.0,1.0,1.0,900000.0,-100000.0
10,2006-08-15,1.02,1.02,1.0,1.0,1500000.0,0.0
11,2006-08-16,1.0,1.0,1.0,1.0,1970000.0,0.0
12,2006-08-17,1.02,1.04,1.02,1.04,5000000.0,0.0
13,2006-12-04,1.14,1.18,1.14,1.16,4603000.0,57000.0
14,2006-12-05,1.16,1.2,1.14,1.14,2171000.0,57000.0
15,2006-12-06,1.14,1.16,1.12,1.12,1043000.0,-560000.0
16,2006-12-07,1.14,1.14,1.1,1.12,3877000.0,-1568000.0
17,2006-12-08,1.12,1.12,1.12,1.12,2787000.0,-1851360.0
18,2006-12-11,1.12,1.14,1.12,1.14,684000.0,0.0
19,2006-12-12,1.14,1.18,1.12,1.12,15427000.0,-9167420.0
20,2006-12-13,1.12,1.14,1.12,1.14,1728000.0,0.0
21,2006-12-14,1.14,1.16,1.14,1.14,2397000.0,0.0
22,2006-12-15,1.16,1.16,1.14,1.14,8252000.0,-4159720.0
23,2006-12-18,1.14,1.14,1.14,1.14,3016000.0,34200.0
24,2006-12-19,1.14,1.16,1.08,1.08,17595000.0,-12299660.0
25,2006-12-20,1.08,1.14,1.06,1.14,63548000.0,-44901060.0
26,2006-12-21,1.14,1.14,1.12,1.12,5278000.0,-163020.0
27,2006-12-22,1.12,1.12,1.1,1.12,643000.0,0.0
28,2006-12-27,1.12,1.12,1.12,1.12,17574000.0,-112000.0
29,2006-12-28,1.14,1.14,1.12,1.14,1471000.0,0.0
30,2006-12-29,1.14,1.14,1.12,1.12,7917000.0,0.0
31,2006-11-02,1.12,1.12,1.1,1.1,3422000.0,0.0
32,2006-11-03,1.08,1.1,1.08,1.1,3505000.0,324000.0
33,2006-11-06,1.1,1.1,1.08,1.1,1691000.0,0.0
