,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,0.185,0.185,0.185,0.185,700000.0,0.0
1,2006-08-03,0.18,0.18,0.18,0.18,2100000.0,0.0
2,2006-08-04,0.185,0.195,0.18,0.18,1610000.0,0.0
3,2006-08-08,0.18,0.18,0.18,0.18,550000.0,0.0
4,2006-08-09,0.175,0.175,0.175,0.175,420000.0,0.0
5,2006-08-10,0.18,0.18,0.18,0.18,1150000.0,0.0
6,2006-08-11,0.18,0.185,0.18,0.18,2560000.0,0.0
7,2006-08-14,0.18,0.18,0.18,0.18,200000.0,0.0
8,2006-08-15,0.185,0.205,0.185,0.2,24700000.0,1576000.0
9,2006-08-16,0.21,0.21,0.195,0.195,9760000.0,604500.0
10,2006-08-17,0.195,0.195,0.19,0.19,6750000.0,760000.0
11,2006-12-04,0.19,0.19,0.185,0.185,1800000.0,282500.0
12,2006-12-05,0.18,0.2,0.17,0.175,16070000.0,797500.0
13,2006-12-06,0.175,0.18,0.17,0.18,17480000.0,1509650.0
14,2006-12-07,0.18,0.18,0.18,0.18,5510000.0,0.0
15,2006-12-08,0.185,0.195,0.185,0.185,12070000.0,1070250.0
16,2006-12-11,0.18,0.18,0.18,0.18,2580000.0,0.0
17,2006-12-12,0.18,0.19,0.18,0.18,7680000.0,18000.0
18,2006-12-13,0.19,0.19,0.19,0.19,3430000.0,323000.0
19,2006-12-14,0.19,0.19,0.185,0.185,2300000.0,0.0
20,2006-12-15,0.19,0.19,0.18,0.18,9710000.0,0.0
21,2006-12-18,0.19,0.195,0.19,0.19,6300000.0,487500.0
22,2006-12-19,0.19,0.195,0.18,0.18,14260000.0,0.0
23,2006-12-20,0.18,0.19,0.18,0.185,7430000.0,760000.0
24,2006-12-21,0.19,0.19,0.19,0.19,2030000.0,0.0
25,2006-12-22,0.185,0.185,0.185,0.185,1470000.0,0.0
26,2006-12-27,0.19,0.19,0.19,0.19,3390000.0,0.0
27,2006-12-28,0.19,0.19,0.19,0.19,7150000.0,0.0
28,2006-12-29,0.195,0.195,0.19,0.19,10800000.0,0.0
29,2006-11-21,0.18,0.2,0.18,0.19,21560000.0,-380000.0
30,2006-11-22,0.19,0.2,0.19,0.2,17800000.0,-1180000.0
31,2006-11-23,0.2,0.225,0.2,0.21,49150000.0,58000.0
32,2006-11-24,0.22,0.225,0.215,0.215,16490000.0,-1343800.0
33,2006-11-27,0.22,0.22,0.2,0.2,12810000.0,-784250.0
34,2006-11-28,0.195,0.2,0.19,0.19,6320000.0,-1071150.0
35,2006-11-29,0.195,0.195,0.195,0.195,6750000.0,-473850.0
36,2006-11-30,0.19,0.195,0.19,0.19,3600000.0,0.0
37,2006-10-03,0.185,0.185,0.185,0.185,100000.0,0.0
38,2006-10-04,0.185,0.185,0.185,0.185,1000000.0,0.0
39,2006-10-05,0.185,0.195,0.185,0.195,2000000.0,0.0
40,2006-10-06,0.185,0.185,0.185,0.185,1400000.0,0.0
41,2006-10-09,0.18,0.18,0.18,0.18,250000.0,0.0
42,2006-10-10,0.185,0.185,0.185,0.185,390000.0,0.0
43,2006-10-11,0.185,0.185,0.17,0.175,20280000.0,620200.0
44,2006-10-12,0.175,0.18,0.175,0.18,400000.0,0.0
45,2006-09-01,0.215,0.22,0.215,0.215,6390000.0,671350.0
46,2006-09-04,0.225,0.225,0.215,0.215,6850000.0,129000.0
47,2006-09-05,0.215,0.215,0.205,0.205,3510000.0,572650.0
48,2006-09-06,0.205,0.205,0.2,0.2,3000000.0,410000.0
49,2006-09-08,0.2,0.2,0.2,0.2,1900000.0,0.0
50,2006-09-11,0.215,0.215,0.215,0.215,140000.0,0.0
51,2006-09-12,0.2,0.2,0.185,0.185,10100000.0,740000.0
52,2006-09-13,0.185,0.185,0.185,0.185,250000.0,0.0
53,2006-09-14,0.185,0.19,0.185,0.19,830000.0,0.0
54,2006-09-15,0.19,0.195,0.19,0.19,600000.0,0.0
55,2006-09-18,0.19,0.19,0.19,0.19,150000.0,0.0
56,2006-09-19,0.195,0.195,0.195,0.195,300000.0,0.0
57,2006-09-20,0.19,0.19,0.18,0.18,4340000.0,601200.0
58,2006-09-21,0.185,0.185,0.185,0.185,1300000.0,0.0
59,2006-09-22,0.19,0.205,0.19,0.195,3000000.0,294500.0
60,2006-09-25,0.195,0.195,0.185,0.185,11560000.0,0.0
61,2006-09-26,0.19,0.19,0.19,0.19,100000.0,0.0
62,2006-09-27,0.185,0.195,0.185,0.195,400000.0,0.0
63,2007-04-02,0.25,0.26,0.245,0.25,7150000.0,0.0
64,2007-04-03,0.25,0.26,0.25,0.25,3420000.0,0.0
65,2007-04-04,0.25,0.25,0.25,0.25,100000.0,0.0
66,2007-04-10,0.26,0.26,0.26,0.26,5610000.0,0.0
67,2007-04-11,0.26,0.26,0.26,0.26,5310000.0,0.0
68,2007-04-12,0.25,0.25,0.25,0.25,5970000.0,0.0
69,2007-04-13,0.25,0.25,0.24,0.24,9890000.0,125000.0
70,2007-04-16,0.245,0.25,0.245,0.25,6420000.0,1300000.0
71,2007-04-17,0.25,0.25,0.24,0.24,12010000.0,24000.0
72,2007-04-18,0.25,0.25,0.25,0.25,7430000.0,0.0
73,2007-04-19,0.25,0.25,0.245,0.245,2250000.0,-25000.0
74,2007-04-20,0.245,0.245,0.24,0.245,2560000.0,38400.0
75,2007-04-23,0.25,0.28,0.25,0.28,84870000.0,1350000.0
76,2007-04-24,0.28,0.28,0.27,0.28,24760000.0,0.0
77,2007-04-25,0.28,0.28,0.26,0.27,30430000.0,2600000.0
78,2007-04-26,0.27,0.27,0.26,0.26,6720000.0,0.0
79,2007-04-27,0.26,0.26,0.25,0.25,7250000.0,445000.0
80,2007-04-30,0.25,0.26,0.25,0.26,2200000.0,0.0
81,2007-08-01,0.26,0.26,0.25,0.26,6710000.0,271200.0
82,2007-08-02,0.26,0.26,0.25,0.25,9300000.0,1450000.0
83,2007-08-03,0.24,0.245,0.2,0.215,9390000.0,0.0
84,2007-08-06,0.215,0.23,0.2,0.22,9720000.0,0.0
85,2007-08-07,0.225,0.225,0.225,0.225,2220000.0,337500.0
86,2007-08-08,0.225,0.235,0.225,0.235,5660000.0,0.0
87,2007-08-09,0.24,0.24,0.235,0.235,3790000.0,0.0
88,2007-08-10,0.22,0.22,0.21,0.21,21260000.0,42000.0
89,2007-08-13,0.22,0.22,0.215,0.215,1420000.0,0.0
90,2007-08-14,0.215,0.215,0.2,0.2,13190000.0,0.0
91,2007-08-15,0.2,0.2,0.19,0.195,320000.0,0.0
92,2007-08-16,0.19,0.19,0.185,0.185,3020000.0,19000.0
93,2007-08-17,0.185,0.185,0.17,0.17,5250000.0,0.0
94,2007-08-21,0.19,0.195,0.185,0.19,10890000.0,-570000.0
95,2007-08-22,0.185,0.19,0.185,0.19,4840000.0,0.0
96,2007-08-23,0.19,0.195,0.19,0.19,15930000.0,-585000.0
97,2007-08-24,0.19,0.19,0.19,0.19,5150000.0,190000.0
98,2007-08-28,0.185,0.185,0.185,0.185,7890000.0,0.0
99,2007-08-29,0.18,0.18,0.18,0.18,5580000.0,0.0
100,2007-08-30,0.185,0.19,0.185,0.19,5610000.0,0.0
101,2007-08-31,0.19,0.19,0.19,0.19,1000000.0,0.0
102,2007-12-03,0.195,0.205,0.195,0.205,7140000.0,340000.0
103,2007-12-04,0.205,0.205,0.205,0.205,1100000.0,0.0
104,2007-12-05,0.2,0.205,0.2,0.2,1320000.0,0.0
105,2007-12-06,0.205,0.205,0.2,0.2,460000.0,0.0
106,2007-12-07,0.205,0.22,0.205,0.215,3890000.0,0.0
107,2007-12-10,0.2,0.2,0.2,0.2,500000.0,0.0
108,2007-12-11,0.2,0.2,0.2,0.2,630000.0,0.0
109,2007-12-18,0.19,0.195,0.185,0.19,8750000.0,-190000.0
110,2007-12-19,0.19,0.19,0.19,0.19,6000000.0,380000.0
111,2007-12-20,0.19,0.195,0.19,0.19,17430000.0,1026000.0
112,2007-12-26,0.19,0.19,0.19,0.19,600000.0,0.0
113,2007-12-27,0.19,0.19,0.19,0.19,300000.0,0.0
114,2007-12-28,0.19,0.19,0.19,0.19,7920000.0,0.0
115,2007-02-01,0.33,0.35,0.32,0.34,28000000.0,4842600.0
116,2007-02-02,0.35,0.35,0.32,0.33,14400000.0,0.0
117,2007-02-05,0.34,0.34,0.32,0.33,19470000.0,-121200.0
118,2007-02-06,0.33,0.36,0.33,0.35,34220000.0,6265500.0
119,2007-02-07,0.35,0.35,0.33,0.33,19270000.0,33000.0
120,2007-02-08,0.33,0.34,0.32,0.33,6880000.0,-33000.0
121,2007-02-09,0.34,0.35,0.33,0.34,7280000.0,-35000.0
122,2007-02-12,0.34,0.35,0.33,0.33,11430000.0,66000.0
123,2007-02-13,0.33,0.33,0.32,0.33,33950000.0,6600000.0
