,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-04,0.7,0.7,0.7,0.7,50000,0.0
1,2006-08-08,0.7,0.7,0.7,0.7,50000,0.0
2,2006-08-09,0.65,0.65,0.65,0.65,30000,-19500.0
3,2006-08-11,0.65,0.65,0.65,0.65,200000,0.0
4,2006-08-14,0.62,0.62,0.62,0.62,50000,0.0
5,2006-08-16,0.65,0.65,0.62,0.62,250000,0.0
6,2006-08-17,0.6,0.6,0.6,0.6,10000,0.0
7,2006-12-05,0.71,0.71,0.71,0.71,20000,0.0
8,2006-12-11,0.69,0.69,0.69,0.69,50000,0.0
9,2006-12-15,0.8,0.8,0.8,0.8,250000,0.0
10,2006-12-19,0.8,0.8,0.8,0.8,100000,0.0
11,2006-12-21,0.8,0.8,0.8,0.8,30000,0.0
12,2006-12-22,0.78,0.78,0.75,0.75,160000,-97500.0
13,2006-12-27,0.73,0.73,0.73,0.73,100000,0.0
14,2006-12-28,0.7,0.7,0.7,0.7,100000,0.0
15,2006-12-29,0.78,0.8,0.78,0.8,1000000,0.0
16,2006-11-03,0.76,0.76,0.76,0.76,20000,0.0
17,2006-11-06,0.76,0.76,0.76,0.76,20000,0.0
18,2006-11-08,0.76,0.76,0.76,0.76,50000,0.0
19,2006-11-09,0.72,0.72,0.72,0.72,80000,0.0
20,2006-11-10,0.73,0.77,0.73,0.77,240000,65700.0
21,2006-11-13,0.77,0.78,0.77,0.77,290000,0.0
22,2006-11-14,0.77,0.8,0.77,0.8,830000,0.0
23,2006-11-15,0.79,0.8,0.78,0.8,290000,0.0
24,2006-11-16,0.8,0.8,0.78,0.78,430000,0.0
25,2006-11-17,0.78,0.8,0.78,0.8,240000,0.0
26,2006-11-20,0.8,0.8,0.8,0.8,100000,0.0
27,2006-11-21,0.82,0.82,0.82,0.82,30000,0.0
28,2006-11-27,0.82,0.82,0.82,0.82,320000,-262400.0
29,2006-11-29,0.72,0.72,0.72,0.72,130000,0.0
30,2006-11-30,0.71,0.71,0.71,0.71,100000,0.0
31,2006-10-02,0.7,0.7,0.7,0.7,20000,0.0
32,2006-10-04,0.7,0.7,0.65,0.65,40000,0.0
33,2006-10-06,0.7,0.7,0.7,0.7,170000,0.0
34,2006-10-10,0.7,0.7,0.7,0.7,50000,0.0
35,2006-10-12,0.68,0.68,0.68,0.68,10000,0.0
36,2006-10-23,0.7,0.7,0.7,0.7,10000,0.0
37,2006-10-27,0.75,0.75,0.75,0.75,50000,0.0
38,2006-10-30,0.78,0.78,0.78,0.78,100000,0.0
39,2006-10-31,0.8,0.8,0.76,0.76,60000,0.0
40,2006-09-05,0.62,0.62,0.62,0.62,50000,0.0
41,2006-09-19,0.64,0.64,0.64,0.64,20000,0.0
42,2006-09-27,0.64,0.64,0.64,0.64,10000,0.0
43,2007-04-03,0.68,0.75,0.68,0.71,80000,0.0
44,2007-04-04,0.7,0.72,0.7,0.7,350000,-35000.0
45,2007-04-12,0.66,0.66,0.66,0.66,80000,0.0
46,2007-04-13,0.66,0.67,0.66,0.67,100000,0.0
47,2007-04-23,0.67,0.67,0.67,0.67,30000,0.0
48,2007-04-24,0.7,0.7,0.67,0.69,240000,0.0
49,2007-08-01,1.2,1.24,1.2,1.22,666000,0.0
50,2007-08-02,1.24,1.24,1.2,1.2,1638000,60000.0
51,2007-08-03,1.2,1.24,1.2,1.24,2127000,0.0
52,2007-08-06,1.22,1.26,1.2,1.26,685000,-45600.0
53,2007-08-07,1.26,1.36,1.26,1.36,1008000,0.0
54,2007-08-08,1.4,1.98,1.4,1.6,22870000,-265200.0
55,2007-08-09,1.78,1.92,1.72,1.84,37116000,349000.0
56,2007-08-10,1.72,1.86,1.68,1.84,14521000,0.0
57,2007-08-13,1.9,1.94,1.82,1.84,21605000,-184000.0
58,2007-08-14,1.8,1.82,1.7,1.78,8284000,17800.0
59,2007-08-15,1.7,1.8,1.66,1.74,14052000,-88000.0
60,2007-08-16,1.7,1.74,1.64,1.64,12193000,0.0
61,2007-08-17,1.66,1.76,1.66,1.74,17493000,-88000.0
62,2007-08-21,1.8,1.96,1.8,1.94,16676000,-396600.0
63,2007-08-22,2.0,2.04,1.92,1.94,40501000,-157600.0
64,2007-08-23,1.98,1.98,1.84,1.94,23310000,0.0
65,2007-08-24,1.94,1.94,1.86,1.88,4933000,0.0
66,2007-08-28,1.86,2.06,1.86,2.02,21461000,-190000.0
67,2007-08-29,2.0,2.0,1.92,1.98,7146000,0.0
68,2007-08-30,2.04,2.12,2.02,2.12,24041000,-190800.0
69,2007-08-31,2.12,2.14,2.08,2.14,10843000,21400.0
70,2007-12-03,1.96,1.96,1.94,1.96,758000,0.0
71,2007-12-04,1.96,1.98,1.96,1.98,45000,0.0
72,2007-12-05,1.98,1.98,1.96,1.98,22000,0.0
73,2007-12-06,1.9,1.92,1.9,1.9,338000,0.0
74,2007-12-07,1.9,1.94,1.88,1.94,496000,0.0
75,2007-12-10,1.9,1.9,1.9,1.9,117000,0.0
76,2007-12-11,1.9,1.96,1.9,1.94,726000,0.0
77,2007-12-12,1.94,1.94,1.88,1.94,120000,0.0
78,2007-12-13,1.94,1.94,1.92,1.94,190000,0.0
79,2007-12-14,1.94,1.94,1.86,1.86,437000,0.0
80,2007-12-17,1.86,1.9,1.86,1.88,716000,0.0
81,2007-12-18,1.86,1.9,1.84,1.9,268000,0.0
82,2007-12-19,1.86,1.92,1.86,1.9,320000,0.0
83,2007-12-26,1.82,1.88,1.82,1.88,126000,0.0
84,2007-12-27,1.88,1.9,1.86,1.86,120000,0.0
85,2007-12-28,1.82,1.82,1.8,1.8,120000,0.0
86,2007-02-02,0.68,0.7,0.68,0.69,380000,-69000.0
87,2007-02-05,0.68,0.68,0.68,0.68,90000,0.0
88,2007-02-07,0.68,0.68,0.68,0.68,100000,0.0
89,2007-02-08,0.66,0.68,0.66,0.68,30000,0.0
90,2007-02-09,0.68,0.68,0.68,0.68,210000,0.0
91,2007-02-13,0.66,0.66,0.66,0.66,110000,0.0
92,2007-02-14,0.67,0.67,0.67,0.67,100000,60300.0
93,2007-02-15,0.69,0.73,0.69,0.73,630000,0.0
94,2007-02-21,0.76,0.76,0.73,0.73,500000,-298000.0
95,2007-02-22,0.7,0.7,0.7,0.7,100000,-70000.0
96,2007-02-23,0.68,0.7,0.68,0.7,300000,0.0
97,2007-02-26,0.71,0.71,0.7,0.7,2120000,-1352000.0
98,2007-02-28,0.68,0.68,0.68,0.68,170000,0.0
99,2007-01-02,0.8,0.8,0.8,0.8,260000,0.0
100,2007-01-03,0.85,0.85,0.81,0.81,2290000,-1725500.0
101,2007-01-04,0.78,0.81,0.78,0.81,110000,0.0
102,2007-01-05,0.8,0.8,0.77,0.77,120000,0.0
103,2007-01-08,0.76,0.76,0.76,0.76,1140000,-760000.0
104,2007-01-09,0.74,0.74,0.72,0.72,520000,-232000.0
105,2007-01-12,0.71,0.71,0.71,0.71,470000,-177500.0
106,2007-01-15,0.7,0.7,0.7,0.7,220000,-147000.0
107,2007-01-16,0.7,0.7,0.7,0.7,580000,-329000.0
