,Date,Open,High,Low,Close,Volume,OtherData
0,2014-05-14,3.28,3.28,2.71,2.79,70934000.0,487010.0
1,2014-05-15,2.81,2.95,2.79,2.83,3499000.0,0.0
2,2014-05-16,2.9,2.9,2.77,2.8,1680000.0,884210.0
3,2014-05-19,2.8,2.95,2.8,2.9,766000.0,0.0
4,2014-05-20,2.9,2.9,2.8,2.87,1033000.0,0.0
5,2014-05-21,2.81,2.83,2.64,2.67,1776000.0,334800.0
6,2014-05-22,2.65,2.75,2.65,2.68,1034000.0,0.0
7,2014-05-23,2.69,2.78,2.69,2.72,135000.0,0.0
8,2014-05-26,2.72,2.78,2.69,2.69,592000.0,0.0
9,2014-05-27,2.66,2.68,2.6,2.65,433000.0,0.0
10,2014-05-28,2.64,2.73,2.62,2.71,256000.0,0.0
11,2014-05-29,2.63,2.71,2.61,2.63,756000.0,0.0
12,2014-05-30,2.61,2.61,2.5,2.55,807000.0,0.0
13,2014-06-02,2.6,2.67,2.58,2.67,49000.0,26000.0
14,2014-06-03,2.61,2.61,2.51,2.51,1409000.0,-25600.0
15,2014-06-04,2.51,2.6,2.5,2.5,813000.0,0.0
16,2014-06-05,2.52,2.77,2.51,2.57,2882000.0,55000.0
17,2014-06-06,2.67,2.95,2.66,2.74,2685000.0,0.0
18,2014-06-09,2.75,2.88,2.75,2.79,1514000.0,0.0
19,2014-06-10,2.78,2.78,2.7,2.7,474000.0,-54430.0
20,2014-06-11,2.77,2.77,2.65,2.65,82000.0,0.0
21,2014-06-13,2.64,2.64,2.56,2.58,411000.0,0.0
22,2014-06-16,2.58,2.75,2.55,2.65,855000.0,0.0
23,2014-06-17,2.61,2.74,2.56,2.63,779000.0,0.0
24,2014-06-18,2.6,2.61,2.5,2.58,1269000.0,20160.0
25,2014-06-19,2.54,2.6,2.53,2.53,316000.0,0.0
26,2014-06-20,2.52,2.57,2.52,2.55,117000.0,0.0
27,2014-06-23,2.58,2.65,2.55,2.6,377000.0,-2610.0
28,2014-06-24,2.64,2.65,2.59,2.59,202000.0,-18480.0
29,2014-06-25,2.62,2.78,2.61,2.76,1146000.0,0.0
30,2014-06-26,2.76,2.76,2.66,2.66,509000.0,0.0
31,2014-06-27,2.66,2.85,2.66,2.72,2533000.0,0.0
32,2014-06-30,2.71,2.94,2.65,2.9,3883000.0,146000.0
33,2014-07-01,2.95,2.96,2.76,2.83,2090000.0,-116650.0
34,2014-07-02,2.85,2.9,2.77,2.79,569000.0,0.0
35,2014-07-03,2.8,2.8,2.7,2.7,1022000.0,0.0
36,2014-07-04,2.72,2.87,2.7,2.79,2195000.0,0.0
37,2014-07-07,2.8,2.8,2.74,2.74,239000.0,0.0
38,2014-07-08,2.74,2.74,2.72,2.72,172000.0,0.0
39,2014-07-09,2.72,2.72,2.69,2.69,739000.0,567000.0
40,2014-07-10,2.74,2.74,2.69,2.7,201000.0,0.0
41,2014-07-11,2.71,2.71,2.6,2.6,2239000.0,753900.0
42,2014-07-14,2.6,2.65,2.56,2.56,470000.0,0.0
43,2014-07-15,2.56,2.62,2.52,2.52,811000.0,296040.0
44,2014-07-17,2.52,2.64,2.5,2.6,1096000.0,0.0
45,2014-07-18,2.52,2.61,2.5,2.6,103000.0,0.0
