,Date,Open,High,Low,Close,Volume,OtherData
0,2008-08-01,1.96,1.96,1.96,1.96,10000,0.0
1,2008-08-04,1.88,1.88,1.88,1.88,10000,0.0
2,2008-08-22,1.44,1.44,1.44,1.44,19000,0.0
3,2008-12-04,1.02,1.02,1.02,1.02,60000,0.0
4,2008-12-05,1.02,1.02,1.02,1.02,5000,0.0
5,2008-12-08,1.02,1.02,1.0,1.0,65000,0.0
6,2008-12-17,1.06,1.06,1.04,1.04,110000,0.0
7,2008-07-07,1.4,1.4,1.4,1.4,122000,0.0
8,2008-07-08,1.4,1.4,1.4,1.4,22700000,0.0
9,2008-07-09,1.36,1.36,1.36,1.36,50000,0.0
10,2008-07-11,1.34,1.34,1.34,1.34,31000,0.0
11,2008-07-15,1.34,1.34,1.34,1.34,54000,0.0
12,2008-07-17,1.32,1.32,1.32,1.32,30000,0.0
13,2008-07-23,1.3,1.3,1.3,1.3,100000,0.0
14,2008-07-31,1.32,1.32,1.32,1.32,46000,0.0
15,2008-11-04,1.06,1.06,1.06,1.06,10000,0.0
16,2008-11-05,1.06,1.06,1.06,1.06,5000,0.0
17,2008-11-11,1.06,1.06,1.06,1.06,10000,0.0
18,2008-11-12,1.06,1.06,1.06,1.06,20000,0.0
19,2008-11-13,1.0,1.0,1.0,1.0,27000,0.0
20,2008-11-20,1.02,1.02,1.02,1.02,20000,0.0
21,2008-11-24,1.02,1.02,1.02,1.02,115000,0.0
22,2008-11-26,1.0,1.0,1.0,1.0,16000,0.0
23,2008-10-03,1.4,1.4,1.4,1.4,200000,0.0
24,2008-10-07,1.28,1.28,1.2,1.2,71000,0.0
25,2008-10-08,1.2,1.2,1.2,1.2,100000,78000.0
26,2008-10-17,1.24,1.24,1.24,1.24,61000,0.0
27,2008-10-20,1.2,1.2,1.2,1.2,15000,0.0
28,2008-10-23,1.2,1.2,1.2,1.2,7000,0.0
29,2008-10-24,1.18,1.18,1.16,1.16,20000,0.0
30,2008-10-28,1.1,1.1,1.0,1.0,30000,0.0
31,2008-10-29,1.0,1.0,1.0,1.0,40000,0.0
32,2008-09-05,1.44,1.44,1.44,1.44,535000,0.0
33,2008-09-15,1.44,1.44,1.44,1.44,7000,0.0
34,2008-09-17,1.44,1.44,1.44,1.44,10000,0.0
35,2009-04-27,0.98,0.98,0.98,0.98,20000,0.0
36,2009-04-29,0.93,0.93,0.93,0.93,130000,0.0
37,2009-08-03,1.24,1.24,1.24,1.24,240000,-49600.0
38,2009-08-04,1.24,1.24,1.24,1.24,1600000,-1960440.0
39,2009-08-11,1.28,1.28,1.28,1.28,1000,0.0
40,2009-08-14,1.28,1.28,1.28,1.28,9000,0.0
41,2009-08-17,1.28,1.28,1.2,1.28,374000,0.0
42,2009-08-18,1.28,1.3,1.28,1.3,3000,-1300.0
43,2009-08-24,1.2,1.24,1.2,1.2,533000,-641200.0
44,2009-08-25,1.3,1.3,1.2,1.2,479000,-575000.0
45,2009-08-26,1.2,1.24,1.2,1.24,150000,-124000.0
46,2009-08-27,1.24,1.24,1.2,1.2,382000,-447560.0
47,2009-08-28,1.2,1.22,1.2,1.22,28000,0.0
48,2009-12-02,1.32,1.32,1.32,1.32,4000,0.0
49,2009-12-03,1.32,1.32,1.32,1.32,24000,0.0
50,2009-12-04,1.34,1.34,1.3,1.3,115000,0.0
51,2009-12-09,1.3,1.3,1.28,1.28,91000,0.0
52,2009-12-10,1.28,1.28,1.26,1.28,95000,0.0
53,2009-12-11,1.3,1.3,1.3,1.3,3000,0.0
54,2009-12-14,1.3,1.3,1.28,1.28,51000,0.0
55,2009-12-15,1.26,1.3,1.24,1.26,37000,0.0
56,2009-12-16,1.26,1.3,1.26,1.3,153000,0.0
57,2009-12-17,1.28,1.28,1.28,1.28,2000,0.0
58,2009-12-18,1.28,1.28,1.28,1.28,5000,0.0
59,2009-12-21,1.38,1.38,1.38,1.38,23000,0.0
60,2009-12-22,1.36,1.36,1.36,1.36,4000,0.0
61,2009-12-23,1.3,1.3,1.3,1.3,1000,0.0
62,2009-12-28,1.3,1.32,1.3,1.32,7000,0.0
63,2009-12-29,1.32,1.32,1.32,1.32,1000,1320.0
64,2009-02-02,1.3,1.3,1.3,1.3,1000,0.0
65,2009-02-03,1.12,1.12,1.1,1.1,103000,0.0
66,2009-02-04,1.3,1.3,1.3,1.3,2000,0.0
67,2009-02-06,1.2,1.2,1.2,1.2,12000,0.0
68,2009-02-12,1.12,1.12,1.12,1.12,7000,0.0
69,2009-02-16,1.12,1.12,1.12,1.12,10000,0.0
70,2009-02-19,1.12,1.12,1.1,1.1,66000,0.0
71,2009-02-20,1.1,1.3,1.1,1.1,646000,-643500.0
72,2009-02-23,1.08,1.08,1.08,1.08,224000,0.0
73,2009-02-25,1.06,1.06,1.06,1.06,65000,0.0
74,2009-02-26,1.06,1.06,1.0,1.02,532000,-222200.0
75,2009-02-27,1.02,1.02,1.0,1.0,140000,-20600.0
76,2009-01-05,1.16,1.16,1.16,1.16,15000,0.0
77,2009-01-06,1.14,1.14,1.14,1.14,5000,0.0
78,2009-01-13,1.14,1.2,1.14,1.2,150000,0.0
79,2009-01-14,1.2,1.2,1.2,1.2,100000,0.0
80,2009-07-03,1.22,1.22,1.22,1.22,103000,0.0
81,2009-07-06,1.22,1.22,1.22,1.22,7000,0.0
82,2009-07-08,1.22,1.24,1.22,1.24,119000,0.0
83,2009-07-09,1.24,1.24,1.24,1.24,50000,0.0
84,2009-07-10,1.22,1.24,1.22,1.24,52000,0.0
85,2009-07-13,1.24,1.28,1.24,1.28,8000,0.0
86,2009-07-16,1.22,1.22,1.22,1.22,5000,0.0
87,2009-07-23,1.24,1.24,1.22,1.24,1065000,-1316300.0
88,2009-07-24,1.24,1.26,1.22,1.24,3704000,-3782280.0
89,2009-07-27,1.24,1.24,1.22,1.22,342000,-238080.0
90,2009-07-28,1.22,1.24,1.22,1.24,463000,-231880.0
91,2009-07-29,1.24,1.24,1.24,1.24,850000,-1054000.0
92,2009-07-30,1.24,1.24,1.24,1.24,150000,-186000.0
93,2009-07-31,1.24,1.24,1.24,1.24,50000,-62000.0
94,2009-06-01,1.3,1.3,1.28,1.28,4000,-2600.0
95,2009-06-02,1.28,1.28,1.28,1.28,3000,0.0
96,2009-06-03,1.3,1.3,1.3,1.3,124000,-141700.0
97,2009-06-04,1.3,1.3,1.3,1.3,30000,-39000.0
98,2009-06-05,1.3,1.3,1.3,1.3,1000,-1300.0
99,2009-06-08,1.3,1.3,1.3,1.3,39000,-36400.0
100,2009-06-15,1.28,1.28,1.28,1.28,250000,0.0
101,2009-06-16,1.3,1.3,1.3,1.3,1000,0.0
102,2009-06-17,1.28,1.28,1.28,1.28,5000,0.0
103,2009-06-18,1.3,1.3,1.3,1.3,201000,-39000.0
104,2009-06-19,1.3,1.3,1.3,1.3,300000,-130000.0
105,2009-06-22,1.24,1.24,1.24,1.24,54000,0.0
106,2009-06-23,1.24,1.24,1.24,1.24,1000,0.0
107,2009-06-25,1.24,1.24,1.24,1.24,1000,0.0
108,2009-06-26,1.2,1.2,1.2,1.2,20000,0.0
109,2009-06-29,1.22,1.22,1.22,1.22,57000,0.0
110,2009-06-30,1.24,1.24,1.24,1.24,1000,0.0
111,2009-03-02,1.0,1.0,1.0,1.0,50000,-50000.0
112,2009-03-03,0.99,0.99,0.98,0.98,180000,0.0
113,2009-03-04,0.98,0.98,0.98,0.98,200000,0.0
114,2009-03-06,0.98,0.98,0.98,0.98,500000,0.0
115,2009-03-09,0.98,0.98,0.98,0.98,500000,0.0
116,2009-03-10,0.98,0.98,0.97,0.97,400000,0.0
117,2009-03-12,0.98,0.98,0.97,0.97,250000,0.0
118,2009-03-13,0.97,0.97,0.97,0.97,100000,0.0
119,2009-03-16,0.97,0.97,0.93,0.93,460000,-433800.0
120,2009-03-20,0.93,0.93,0.93,0.93,80000,0.0
121,2009-03-24,0.93,0.93,0.93,0.93,10000,0.0
122,2009-05-06,1.0,1.36,1.0,1.36,60000,22000.0
123,2009-05-07,1.36,1.36,1.34,1.34,13000,1360.0
124,2009-05-08,1.34,1.34,1.34,1.34,8000,0.0
125,2009-05-11,1.36,1.36,1.32,1.32,6000,0.0
126,2009-05-13,1.36,1.36,1.36,1.36,3000,-2720.0
127,2009-05-15,1.34,1.36,1.34,1.34,201000,-182840.0
128,2009-05-18,1.34,1.34,1.32,1.32,2000,-1340.0
129,2009-05-19,1.34,1.34,1.34,1.34,3000,-4020.0
130,2009-05-20,1.34,1.34,1.32,1.32,3000,-1340.0
131,2009-05-21,1.26,1.26,1.26,1.26,5000,-1260.0
132,2009-05-25,1.3,1.32,1.3,1.3,196000,-201140.0
133,2009-05-26,1.28,1.28,1.28,1.28,4000,0.0
134,2009-05-27,1.3,1.3,1.3,1.3,6000,-7800.0
135,2009-05-28,1.28,1.28,1.28,1.28,15000,0.0
136,2009-05-29,1.3,1.32,1.3,1.3,130000,-169400.0
137,2009-11-03,1.18,1.18,1.18,1.18,1000,0.0
138,2009-11-04,1.22,1.22,1.18,1.18,300000,0.0
139,2009-11-05,1.2,1.22,1.2,1.22,272000,0.0
140,2009-11-11,1.22,1.22,1.22,1.22,148000,0.0
141,2009-11-12,1.26,1.3,1.26,1.3,1247000,-1480080.0
142,2009-11-13,1.3,1.5,1.3,1.46,1100000,0.0
143,2009-11-16,1.48,1.48,1.44,1.46,401000,0.0
144,2009-11-17,1.48,1.48,1.46,1.46,518000,-73000.0
145,2009-11-18,1.48,1.56,1.48,1.56,542000,0.0
146,2009-11-19,1.6,1.6,1.54,1.54,127000,0.0
147,2009-11-20,1.48,1.5,1.36,1.4,159000,0.0
148,2009-11-24,1.24,1.24,1.24,1.24,121000,0.0
149,2009-11-25,1.5,1.5,1.48,1.48,13000,0.0
150,2009-11-26,1.5,1.5,1.3,1.3,2000,0.0
151,2009-11-27,1.3,1.34,1.3,1.34,251000,99160.0
152,2009-10-01,1.18,1.18,1.18,1.18,1000,0.0
153,2009-10-02,1.18,1.18,1.18,1.18,37000,0.0
154,2009-10-05,1.2,1.2,1.2,1.2,2000,0.0
155,2009-10-06,1.2,1.2,1.18,1.18,70000,0.0
156,2009-10-08,1.2,1.2,1.2,1.2,5000,0.0
157,2009-10-12,1.2,1.2,1.2,1.2,22000,0.0
158,2009-10-13,1.2,1.2,1.2,1.2,6000,0.0
159,2009-10-14,1.22,1.24,1.22,1.24,332000,-390600.0
160,2009-10-15,1.24,1.24,1.2,1.2,526000,-633080.0
161,2009-10-16,1.18,1.18,1.18,1.18,15000,0.0
162,2009-10-20,1.22,1.24,1.2,1.2,718000,-838580.0
163,2009-10-21,1.24,1.24,1.18,1.18,973000,-706120.0
164,2009-10-29,1.18,1.2,1.18,1.2,21000,11800.0
165,2009-10-30,1.18,1.18,1.18,1.18,239000,106200.0
166,2009-09-01,1.22,1.22,1.22,1.22,5000,0.0
167,2009-09-02,1.22,1.22,1.22,1.22,103000,4880.0
168,2009-09-03,1.22,1.22,1.22,1.22,16000,0.0
169,2009-09-04,1.24,1.24,1.24,1.24,328000,-260400.0
170,2009-09-09,1.24,1.24,1.24,1.24,50000,-62000.0
171,2009-09-10,1.22,1.22,1.22,1.22,14000,0.0
172,2009-09-11,1.24,1.24,1.2,1.2,427000,-468340.0
173,2009-09-14,1.2,1.2,1.18,1.18,3000,0.0
174,2009-09-15,1.2,1.2,1.2,1.2,10000,0.0
175,2009-09-24,1.2,1.2,1.2,1.2,3000,0.0
176,2009-09-25,1.2,1.2,1.2,1.2,1000,0.0
177,2009-09-28,1.2,1.2,1.2,1.2,250000,22800.0
178,2009-09-29,1.18,1.18,1.18,1.18,53000,0.0
179,2010-04-05,1.48,1.48,1.48,1.48,2000,0.0
180,2010-04-07,1.48,1.48,1.48,1.48,32000,0.0
181,2010-04-12,1.52,1.7,1.52,1.7,44000,0.0
182,2010-04-13,1.6,1.6,1.6,1.6,1000,0.0
183,2010-04-14,1.6,1.6,1.6,1.6,1000,0.0
184,2010-04-16,1.6,1.6,1.52,1.52,21000,0.0
185,2010-04-21,1.52,1.52,1.52,1.52,65000,0.0
186,2010-04-22,1.54,1.54,1.54,1.54,1000,0.0
187,2010-04-23,1.54,1.58,1.5,1.5,17000,0.0
188,2010-04-29,1.56,1.56,1.56,1.56,21000,0.0
189,2010-02-02,1.4,1.4,1.4,1.4,420000,0.0
190,2010-02-03,1.4,1.4,1.4,1.4,204000,0.0
191,2010-02-04,1.4,1.42,1.4,1.42,29000,0.0
192,2010-02-05,1.42,1.42,1.42,1.42,10000,0.0
193,2010-02-08,1.4,1.4,1.4,1.4,327000,0.0
194,2010-02-09,1.4,1.4,1.4,1.4,200000,0.0
195,2010-02-12,1.42,1.42,1.42,1.42,104000,0.0
196,2010-02-16,1.44,1.44,1.44,1.44,610000,0.0
197,2010-02-17,1.5,1.5,1.5,1.5,1000,0.0
198,2010-02-18,1.46,1.46,1.46,1.46,78000,0.0
199,2010-02-22,1.46,1.46,1.46,1.46,4000,0.0
200,2010-02-23,1.46,1.46,1.44,1.44,28000,0.0
201,2010-02-25,1.42,1.42,1.42,1.42,2000,0.0
202,2010-02-26,1.46,1.46,1.46,1.46,10000,0.0
203,2010-01-05,1.3,1.3,1.3,1.3,60000,0.0
204,2010-01-06,1.3,1.3,1.3,1.3,15000,0.0
205,2010-01-08,1.34,1.34,1.34,1.34,148000,-29480.0
206,2010-01-12,1.34,1.34,1.34,1.34,55000,0.0
207,2010-01-13,1.34,1.38,1.34,1.38,220000,0.0
208,2010-01-14,1.38,1.4,1.38,1.4,140000,0.0
209,2010-01-15,1.4,1.4,1.38,1.38,291000,-341060.0
210,2010-01-18,1.4,1.4,1.38,1.38,127000,-176260.0
211,2010-01-19,1.38,1.38,1.38,1.38,1000,0.0
212,2010-01-21,1.36,1.36,1.36,1.36,2000,0.0
213,2010-01-22,1.38,1.38,1.36,1.36,386000,0.0
214,2010-01-25,1.36,1.36,1.36,1.36,10000,0.0
215,2010-01-26,1.4,1.4,1.4,1.4,1662000,-2262400.0
216,2010-01-27,1.4,1.4,1.4,1.4,253000,0.0
217,2010-01-28,1.4,1.4,1.4,1.4,221000,0.0
218,2010-01-29,1.4,1.4,1.4,1.4,23000,0.0
219,2010-07-01,1.56,1.56,1.56,1.56,177000,0.0
220,2010-07-02,1.54,1.56,1.54,1.56,361000,0.0
221,2010-07-06,1.56,1.58,1.56,1.58,51000,0.0
222,2010-07-08,1.58,1.58,1.58,1.58,10000,12640.0
223,2010-07-09,1.56,1.56,1.56,1.56,142000,0.0
224,2010-07-12,1.54,1.54,1.54,1.54,18000,0.0
225,2010-07-13,1.54,1.54,1.54,1.54,10000,0.0
226,2010-07-15,1.54,1.54,1.54,1.54,2000,0.0
227,2010-07-16,1.56,1.56,1.54,1.56,241000,0.0
228,2010-07-19,1.54,1.54,1.54,1.54,2000,0.0
229,2010-07-20,1.58,1.58,1.54,1.54,152000,0.0
230,2010-07-21,1.54,1.54,1.54,1.54,37000,0.0
231,2010-06-01,1.58,1.58,1.54,1.54,926000,-696160.0
232,2010-06-02,1.54,1.58,1.54,1.58,1063000,-1645180.0
233,2010-06-03,1.58,1.58,1.58,1.58,1997000,-3155260.0
234,2010-06-07,1.6,1.6,1.6,1.6,26000,0.0
235,2010-06-08,1.6,1.6,1.6,1.6,1000,0.0
236,2010-06-10,1.58,1.6,1.58,1.6,19000,0.0
237,2010-06-15,1.6,1.6,1.6,1.6,8000,0.0
238,2010-06-16,1.6,1.6,1.58,1.58,27000,0.0
239,2010-06-17,1.58,1.6,1.56,1.56,158000,-120080.0
240,2010-06-18,1.58,1.58,1.58,1.58,2000,0.0
241,2010-06-24,1.58,1.6,1.56,1.56,472000,-672380.0
242,2010-06-28,1.56,1.56,1.56,1.56,26000,0.0
243,2010-06-29,1.6,1.6,1.6,1.6,4000,0.0
244,2010-03-02,1.5,1.5,1.4,1.4,14000,0.0
245,2010-03-03,1.4,1.4,1.4,1.4,7000,0.0
246,2010-03-08,1.4,1.4,1.4,1.4,505000,0.0
247,2010-03-09,1.4,1.4,1.4,1.4,987000,0.0
248,2010-03-10,1.42,1.44,1.42,1.42,54000,0.0
249,2010-03-11,1.42,1.42,1.42,1.42,50000,0.0
250,2010-03-12,1.4,1.42,1.4,1.42,60000,57000.0
251,2010-03-15,1.4,1.4,1.4,1.4,24000,0.0
252,2010-03-16,1.42,1.42,1.42,1.42,126000,0.0
253,2010-03-17,1.44,1.44,1.44,1.44,110000,0.0
254,2010-03-18,1.44,1.44,1.42,1.42,101000,0.0
255,2010-03-19,1.42,1.42,1.42,1.42,49000,0.0
256,2010-03-23,1.42,1.42,1.42,1.42,21000,0.0
257,2010-03-24,1.48,1.48,1.46,1.46,80000,0.0
258,2010-03-25,1.46,1.46,1.46,1.46,5000,0.0
259,2010-03-26,1.46,1.46,1.46,1.46,2000,0.0
260,2010-03-29,1.48,1.48,1.48,1.48,313000,0.0
261,2010-03-30,1.5,1.5,1.5,1.5,1000,0.0
262,2010-03-31,1.48,1.48,1.48,1.48,55000,0.0
263,2010-05-04,1.48,1.48,1.48,1.48,20000,0.0
264,2010-05-05,1.5,1.5,1.5,1.5,40000,0.0
265,2010-05-06,1.5,1.5,1.5,1.5,5000,0.0
266,2010-05-07,1.5,1.5,1.5,1.5,71000,0.0
267,2010-05-11,1.52,1.54,1.52,1.54,6000,1540.0
268,2010-05-12,1.54,1.54,1.54,1.54,36000,0.0
269,2010-05-14,1.54,1.54,1.54,1.54,2000,0.0
270,2010-05-18,1.54,1.54,1.54,1.54,2000,0.0
271,2010-05-19,1.54,1.54,1.54,1.54,63000,0.0
272,2010-05-20,1.52,1.52,1.52,1.52,20000,0.0
273,2010-05-21,1.52,1.54,1.52,1.54,55000,-77000.0
274,2010-05-24,1.52,1.52,1.52,1.52,3000,0.0
275,2010-05-25,1.6,1.6,1.6,1.6,4000,0.0
276,2010-05-26,1.58,1.58,1.54,1.54,1006000,-1540080.0
277,2010-05-27,1.58,1.58,1.58,1.58,28000,0.0
278,2010-05-31,1.58,1.58,1.58,1.58,2000,-3160.0
279,2010-07-26,1.6,1.6,1.6,1.6,1000,-1600.0
280,2010-07-27,1.56,1.56,1.54,1.54,449000,-691780.0
281,2010-07-29,1.56,1.56,1.54,1.54,16000,0.0
282,2010-07-30,1.54,1.56,1.54,1.56,18000,6240.0
283,2010-08-04,1.56,1.62,1.54,1.54,606000,-802320.0
284,2010-08-09,1.58,1.58,1.54,1.54,50000,20420.0
285,2010-08-10,1.54,1.54,1.54,1.54,107000,9240.0
286,2010-08-17,1.54,1.54,1.54,1.54,34000,0.0
287,2010-08-18,1.54,1.54,1.54,1.54,165000,0.0
288,2010-08-20,1.6,1.65,1.6,1.64,1071000,-1641000.0
289,2010-08-23,1.64,1.64,1.64,1.64,604000,-984000.0
290,2010-08-26,1.63,1.63,1.56,1.56,6000,0.0
291,2010-08-27,1.56,1.63,1.56,1.63,327000,14220.0
292,2010-09-01,1.63,1.63,1.6,1.6,184000,0.0
293,2010-09-02,1.63,1.63,1.6,1.6,102000,0.0
294,2010-09-03,1.6,1.65,1.6,1.6,1313000,-821000.0
295,2010-09-06,1.6,1.6,1.56,1.6,199000,0.0
296,2010-09-07,1.54,1.54,1.54,1.54,46000,0.0
297,2010-09-13,1.65,1.65,1.6,1.64,137000,-6560.0
298,2010-09-14,1.6,1.6,1.6,1.6,30000,0.0
299,2010-09-15,1.58,1.6,1.56,1.6,412000,156000.0
300,2010-09-20,1.54,1.54,1.54,1.54,1000,0.0
301,2010-09-23,1.56,1.56,1.56,1.56,9000,0.0
302,2010-09-28,1.62,1.64,1.62,1.64,98000,0.0
303,2010-09-29,1.66,1.66,1.66,1.66,3000,0.0
304,2010-09-30,1.66,1.69,1.66,1.69,52000,-38870.0
305,2010-10-01,1.69,1.69,1.69,1.69,1000,-1690.0
306,2010-10-04,1.68,1.68,1.68,1.68,10000,0.0
307,2010-10-05,1.68,1.68,1.68,1.68,3000,0.0
308,2010-10-06,1.64,1.67,1.64,1.67,59000,24150.0
