,Date,Open,High,Low,Close,Volume,OtherData
0,2012-03-14,29.8,31.0,29.5,29.5,127400.0,240000.0
1,2012-03-15,29.05,29.5,28.45,28.45,130900.0,630215.0
2,2012-03-16,28.8,42.65,28.8,42.55,1422500.0,5692070.0
3,2012-03-19,48.0,49.0,38.6,39.0,1481100.0,2021900.0
4,2012-03-20,39.3,39.4,34.0,35.0,1041100.0,-3008050.0
5,2012-03-21,35.6,37.5,35.0,35.5,911300.0,-3546535.0
6,2012-03-22,35.5,38.25,35.5,35.65,693000.0,435625.0
7,2012-03-23,35.5,36.1,35.5,35.5,159900.0,-195250.0
8,2012-03-26,35.5,38.0,35.45,36.0,561600.0,-562300.0
9,2012-03-27,36.2,36.7,34.0,34.1,349500.0,10440.0
10,2012-03-28,34.2,34.55,33.25,33.8,264900.0,132400.0
11,2012-03-29,33.55,33.95,33.0,33.5,221000.0,66495.0
12,2012-03-30,33.95,33.95,33.25,33.45,52500.0,67450.0
13,2012-04-02,33.5,34.35,33.35,33.6,48300.0,-413770.0
14,2012-04-03,33.6,34.0,31.0,31.0,405200.0,-1358275.0
15,2012-04-04,29.0,34.5,28.8,30.3,1150600.0,14770870.0
16,2012-04-10,30.3,30.3,29.05,29.75,298400.0,2967960.0
17,2012-04-11,29.8,29.8,27.5,27.5,325000.0,280000.0
18,2012-04-12,27.7,28.65,25.35,25.5,756400.0,3539535.0
19,2012-04-13,25.45,25.45,20.0,21.0,1348800.0,363550.0
20,2012-04-16,21.8,21.8,19.0,19.5,605600.0,437695.0
21,2012-04-17,19.5,19.5,14.72,15.98,1623400.0,-2864282.0
22,2012-04-18,15.74,15.74,13.5,13.5,1493600.0,-4541878.0
23,2012-04-19,12.0,12.98,11.0,11.8,2771900.0,3006382.0
24,2012-04-20,11.8,15.2,11.8,15.0,7094500.0,6624482.0
25,2012-04-23,15.8,16.2,12.76,13.08,8971200.0,-7421520.0
26,2012-04-24,12.6,12.6,11.52,11.8,2538100.0,1379276.0
27,2012-04-25,11.82,12.04,11.46,11.6,1548600.0,191052.0
28,2012-04-26,11.6,12.06,11.6,11.64,920900.0,-1137772.0
29,2012-04-27,11.98,14.3,11.72,12.0,2467400.0,-4027948.0
30,2012-05-02,12.0,12.0,8.5,9.01,197135900.0,-491460040.0
31,2012-05-03,9.0,9.75,8.99,9.4,188560900.0,-349066511.0
32,2012-05-04,9.52,9.9,9.52,9.7,62633100.0,63366836.0
33,2012-05-07,9.73,9.73,9.56,9.6,21772800.0,-1597554.0
34,2012-05-08,9.7,9.98,9.7,9.75,36206600.0,-144381144.0
35,2012-05-09,9.75,9.75,9.45,9.5,33067200.0,-76222733.0
36,2012-05-10,9.5,9.5,9.1,9.1,45212400.0,-12852568.0
37,2012-05-11,9.17,9.2,8.9,9.0,39015800.0,-237749.0
38,2012-05-14,9.0,9.0,8.18,8.21,25658200.0,-65844159.0
39,2012-05-15,8.3,8.47,8.13,8.46,37369000.0,-119304887.0
40,2012-05-16,8.72,8.75,8.3,8.45,17122300.0,-31789316.0
41,2012-05-17,8.49,8.6,8.22,8.32,24361800.0,-45059174.0
42,2012-05-18,8.32,8.35,8.22,8.31,6152700.0,-18885673.0
43,2012-05-21,8.31,8.35,8.19,8.24,7223200.0,-44772136.0
44,2012-05-22,8.3,8.74,8.3,8.42,14732000.0,-21369998.0
45,2012-05-23,8.54,8.79,8.4,8.41,6403500.0,-15122663.0
46,2012-05-24,8.5,8.5,8.3,8.34,4267300.0,-1413564.0
47,2012-05-25,8.5,8.62,8.48,8.5,3225100.0,3062306.0
48,2012-05-28,8.5,8.53,8.44,8.5,1031300.0,1755608.0
49,2012-05-29,8.5,9.1,8.5,8.78,11599000.0,-8879213.0
50,2012-05-30,9.02,9.15,8.86,9.0,10428700.0,18202643.0
51,2012-05-31,8.9,9.14,8.75,8.98,3933700.0,-9319195.0
