,Date,Open,High,Low,Close,Volume,OtherData
0,2006-12-05,25.0,25.0,25.0,25.0,100.0,0.0
1,2006-12-06,35.0,35.0,35.0,35.0,600.0,0.0
2,2006-10-06,18.0,18.0,18.0,18.0,1800.0,0.0
3,2006-10-18,18.0,18.0,18.0,18.0,600.0,-10800.0
4,2008-02-18,38.0,38.0,38.0,38.0,200.0,0.0
5,2008-11-05,37.0,37.0,37.0,37.0,5400.0,0.0
6,2009-12-22,30.0,30.0,30.0,30.0,100.0,0.0
7,2009-12-23,32.0,32.0,32.0,32.0,100.0,0.0
8,2009-02-16,30.0,30.0,30.0,30.0,146200.0,0.0
9,2009-02-17,30.0,30.0,30.0,30.0,1000.0,0.0
10,2009-10-15,30.0,30.0,30.0,30.0,100.0,0.0
11,2009-09-14,30.0,30.0,30.0,30.0,100.0,0.0
12,2010-04-23,63.0,63.0,61.5,61.5,7200.0,-447270.0
13,2010-04-28,80.0,92.0,80.0,92.0,10200.0,661900.0
14,2010-02-09,100.0,100.0,100.0,100.0,300.0,0.0
15,2010-02-19,70.0,70.0,70.0,70.0,300.0,0.0
16,2010-02-22,69.0,69.0,69.0,69.0,200.0,0.0
17,2010-01-05,28.0,28.0,28.0,28.0,500.0,-14000.0
18,2010-01-06,28.0,28.0,28.0,28.0,1000.0,-28000.0
19,2010-01-08,31.0,31.0,31.0,31.0,500.0,0.0
20,2010-01-14,32.5,37.0,32.5,37.0,400.0,13900.0
21,2010-01-15,42.0,45.0,42.0,45.0,600.0,0.0
22,2010-01-18,54.0,67.0,54.0,67.0,2800.0,0.0
23,2010-01-19,87.0,89.0,87.0,89.0,400.0,0.0
24,2010-01-20,82.0,82.0,82.0,82.0,1200.0,0.0
25,2010-01-22,82.0,100.0,82.0,100.0,1000.0,0.0
26,2010-03-01,65.0,102.0,65.0,102.0,1200.0,0.0
27,2010-10-01,46.0,92.0,46.0,92.0,7510.0,-276000.0
28,2010-10-06,90.0,128.0,90.0,92.0,9970.0,831500.0
29,2010-10-07,90.0,90.0,90.0,90.0,150.0,0.0
30,2011-01-27,47.0,72.0,47.0,72.0,1000.0,0.0
31,2011-02-28,67.0,67.0,67.0,67.0,150.0,0.0
32,2011-04-12,60.0,60.0,60.0,60.0,200.0,0.0
33,2011-05-09,53.5,61.5,53.5,61.5,45800.0,-2368900.0
34,2011-05-10,61.5,75.0,61.5,75.0,350.0,0.0
35,2011-05-11,75.0,75.0,75.0,75.0,190.0,0.0
36,2011-05-13,60.0,75.0,60.0,75.0,1400.0,-75750.0
37,2011-05-16,55.5,73.0,55.5,73.0,20.0,-1285.0
38,2011-05-17,79.0,79.0,79.0,79.0,480.0,-37920.0
39,2011-05-19,88.0,112.0,81.0,100.0,24730.0,1878404.0
40,2011-05-20,111.0,138.0,111.0,135.0,46800.0,2566190.0
41,2011-05-23,120.0,120.0,70.3,70.3,530.0,61200.0
42,2011-05-24,100.0,105.0,60.2,60.2,3250.0,168250.0
43,2011-05-25,89.9,90.0,75.0,75.0,7100.0,0.0
44,2011-05-27,75.0,75.0,75.0,75.0,20.0,0.0
45,2011-06-02,89.0,89.0,58.0,58.0,90.0,0.0
46,2011-06-03,60.0,60.0,56.5,57.0,1330.0,0.0
47,2011-06-07,55.8,55.8,55.8,55.8,90.0,0.0
48,2011-06-08,68.0,70.0,68.0,70.0,110.0,0.0
49,2011-06-14,70.0,70.0,56.2,56.2,70.0,0.0
50,2011-06-16,63.0,63.0,63.0,63.0,30.0,0.0
51,2011-06-17,56.5,56.5,56.5,56.5,10.0,0.0
52,2011-06-21,56.2,56.5,56.2,56.2,120.0,0.0
53,2011-06-27,63.0,67.0,63.0,67.0,100.0,0.0
54,2011-07-01,56.6,56.6,56.6,56.6,10.0,0.0
55,2011-07-04,65.0,65.0,65.0,65.0,10.0,0.0
56,2011-07-28,65.0,65.0,65.0,65.0,10.0,0.0
57,2011-08-04,56.0,56.0,56.0,56.0,10.0,0.0
58,2011-08-05,65.0,65.0,65.0,65.0,50.0,0.0
59,2011-08-08,57.0,57.0,56.0,56.0,500.0,0.0
60,2011-08-23,56.5,56.5,56.5,56.5,30.0,0.0
61,2011-09-26,45.5,45.5,45.0,45.0,2990.0,0.0
62,2011-10-07,56.0,56.0,56.0,56.0,600.0,0.0
63,2011-10-13,58.5,58.5,58.5,58.5,200.0,0.0
64,2011-10-25,61.0,61.0,61.0,61.0,100.0,0.0
65,2011-11-10,55.0,55.0,55.0,55.0,10.0,0.0
66,2011-11-16,55.0,55.0,55.0,55.0,50.0,0.0
67,2011-11-17,50.5,55.0,50.5,53.0,2830.0,0.0
68,2011-11-21,68.0,76.0,68.0,75.0,360.0,0.0
