Date,Unnamed: 0,Open,High,Low,Close,Volume,OtherData,EMA-18,EMA-50,EMA-100
2006-08-01,0,54.0,55.0,53.5,53.5,1567400.0,34467100.0,,,
2006-08-02,1,52.5,52.5,51.0,51.5,1687800.0,-41381500.0,,,
2006-08-03,2,52.0,53.5,52.0,53.5,1241000.0,16528050.0,,,
2006-08-04,3,53.5,53.5,53.0,53.0,337900.0,3611950.0,,,
2006-08-07,4,52.5,53.5,52.5,53.0,452200.0,18366750.0,,,
2006-08-08,5,53.0,54.0,53.0,53.5,593900.0,18628800.0,,,
2006-08-09,6,53.5,53.5,53.0,53.5,1274000.0,10416200.0,,,
2006-08-10,7,52.5,53.0,52.0,53.0,1120500.0,-5373700.0,,,
2006-08-11,8,52.5,53.0,52.5,52.5,720500.0,23058000.0,,,
2006-08-14,9,52.5,52.5,52.5,52.5,307200.0,2541000.0,,,
2006-08-15,10,52.0,52.5,52.0,52.0,839500.0,1430400.0,,,
2006-08-16,11,52.5,54.0,52.5,54.0,1954100.0,47613450.0,,,
2006-08-17,12,54.0,54.0,53.5,54.0,596400.0,15714200.0,,,
2006-12-04,13,62.0,63.5,61.5,63.0,2990300.0,48197450.0,,,
2006-12-05,14,63.0,63.0,62.5,63.0,1256900.0,12833100.0,,,
2006-12-06,15,62.5,62.5,61.5,62.0,2051200.0,-4937500.0,,,
2006-12-07,16,62.0,63.0,62.0,63.0,2604900.0,15599650.0,,,
2006-12-08,17,62.5,63.0,62.5,63.0,739000.0,3101450.0,55.75,,
2006-12-11,18,63.0,63.0,62.5,62.5,1597800.0,9596000.0,56.46052631578947,,
2006-12-12,19,62.5,63.5,62.5,63.0,3363700.0,31034900.0,57.148891966759,,
2006-12-13,20,63.0,63.5,63.0,63.0,3761400.0,-12976550.0,57.76479807552121,,
2006-12-14,21,63.5,63.5,63.0,63.5,6869200.0,-6124100.0,58.36850354125582,,
2006-12-15,22,63.5,64.5,63.5,64.0,6183000.0,-31977800.0,58.961292642176254,,
2006-12-18,23,64.5,65.5,64.0,65.0,2217600.0,-13239250.0,59.59694604826297,,
2006-12-19,24,65.0,65.0,63.0,63.0,3940800.0,-94453550.0,59.95516225370897,,
2006-12-20,25,63.0,63.0,62.0,62.0,1590000.0,-11458900.0,60.17040833226593,,
2006-12-21,26,62.0,62.0,61.5,61.5,1668100.0,-28681200.0,60.310365349922144,,
2006-12-22,27,62.0,62.5,61.5,62.5,2481500.0,-26387200.0,60.54085320782507,,
2006-12-27,28,62.5,63.0,62.0,63.0,559800.0,-6661550.0,60.79971076489612,,
2006-12-28,29,62.5,63.0,62.5,62.5,825900.0,5003350.0,60.97868857911757,,
2006-12-29,30,63.0,63.5,63.0,63.5,561700.0,13306900.0,61.24408978131573,,
2006-11-02,31,62.5,62.5,62.0,62.5,1484200.0,9400050.0,61.37629085696671,,
2006-11-03,32,62.5,63.0,62.5,62.5,2845000.0,-39406250.0,61.494576029917575,,
2006-11-06,33,62.5,63.0,62.5,63.0,1589000.0,44458750.0,61.65304171097888,,
2006-11-07,34,63.0,63.5,62.5,63.0,2474100.0,69847950.0,61.794826794033746,,
2006-11-08,35,62.5,63.0,62.5,63.0,2913300.0,50032450.0,61.92168713150386,,
2006-11-09,36,63.0,63.5,63.0,63.5,2155000.0,10327900.0,62.08782532818768,,
2006-11-10,37,63.5,63.5,62.5,62.5,3822100.0,12738900.0,62.13121213574687,,
2006-11-13,38,62.5,63.0,62.5,63.0,1244500.0,19305950.0,62.22266348987878,,
2006-11-14,39,62.5,63.0,62.5,62.5,1460900.0,59209450.0,62.251856806733635,,
2006-11-15,40,63.0,63.0,63.0,63.0,2266600.0,15976800.0,62.33060872181431,,
2006-11-16,41,63.0,64.0,62.5,64.0,3803000.0,40556600.0,62.50633411951807,,
2006-11-17,42,64.0,64.5,63.5,64.0,739200.0,-1821150.0,62.663562106937206,,
2006-11-20,43,64.0,64.0,63.0,63.5,2973300.0,-16195350.0,62.75160820094382,,
