,Date,Open,High,Low,Close,Volume,OtherData
0,2012-05-23,7.4,7.75,6.66,7.7,12891000.0,-11354764.0
1,2012-05-24,7.56,7.7,7.35,7.35,1675000.0,-1747473.0
2,2012-05-25,7.5,8.0,7.5,7.95,5837800.0,-646585.0
3,2012-05-28,8.02,9.5,8.02,9.44,11620700.0,1826941.0
4,2012-05-29,9.7,11.6,9.5,11.42,14749700.0,-247870.0
5,2012-05-30,11.6,14.1,11.56,13.94,16457800.0,2505814.0
6,2012-05-31,14.04,17.1,14.04,16.94,17742400.0,3655698.0
7,2012-06-01,17.1,22.4,17.1,22.0,27316700.0,-6554885.0
8,2012-06-04,22.6,24.0,14.0,23.95,38196700.0,-4081325.0
9,2012-06-05,23.9,23.9,12.0,12.88,30121900.0,52832.0
10,2012-06-06,13.12,13.48,9.8,10.92,21169600.0,7668262.0
11,2012-06-07,11.04,11.58,11.04,11.54,10328600.0,1968778.0
12,2012-06-08,11.8,12.5,11.6,12.4,11648800.0,1372534.0
13,2012-06-11,12.52,13.24,12.52,13.2,13426600.0,1295820.0
14,2012-06-13,13.32,14.1,13.3,14.0,17716100.0,851030.0
15,2012-06-14,14.16,14.7,9.0,9.51,40584600.0,-4393374.0
16,2012-06-15,10.2,11.48,9.8,9.95,9687500.0,448026.0
17,2012-06-18,10.5,12.34,10.5,12.3,23812100.0,-3866910.0
18,2012-06-19,12.5,13.12,10.2,10.78,25515000.0,2621664.0
19,2012-06-20,10.98,10.98,10.04,10.14,4844100.0,-2787962.0
20,2012-06-21,10.06,10.06,9.28,9.31,6338900.0,549509.0
21,2012-06-22,8.98,9.42,8.5,9.08,3383900.0,-405396.0
22,2012-06-25,9.3,9.98,9.21,9.3,2753100.0,35130.0
23,2012-06-26,9.18,9.25,9.08,9.1,836600.0,-101052.0
24,2012-06-27,9.15,9.25,8.63,8.78,2642700.0,675009.0
25,2012-06-28,8.82,8.94,8.45,8.72,1828000.0,1776485.0
26,2012-06-29,8.72,9.25,8.72,9.0,2081100.0,2851134.0
27,2012-07-02,9.25,9.25,8.95,8.95,2240100.0,1791760.0
28,2012-07-03,8.96,9.58,8.9,9.39,4550400.0,2844176.0
29,2012-07-04,9.48,9.59,9.31,9.31,4966400.0,-434335.0
30,2012-07-05,9.46,9.5,9.32,9.41,2118200.0,191136.0
31,2012-07-06,9.33,10.18,9.32,9.94,8521800.0,-1724006.0
32,2012-07-09,10.02,10.5,9.8,10.1,5522300.0,543468.0
33,2012-07-10,10.2,10.3,9.73,9.73,3282900.0,-405390.0
34,2012-07-11,9.67,10.1,9.53,9.53,2148000.0,151850.0
35,2012-07-12,9.55,9.73,9.51,9.53,695700.0,115950.0
36,2012-07-13,9.51,9.65,9.4,9.4,755500.0,-49924.0
37,2012-07-16,9.51,9.7,9.39,9.39,346100.0,-140400.0
38,2012-07-17,9.41,9.41,9.2,9.3,380500.0,10329.0
39,2012-07-18,9.3,9.49,9.08,9.2,324100.0,-80056.0
40,2012-07-19,9.1,9.2,8.65,8.76,1529400.0,459342.0
41,2012-07-20,8.78,8.85,8.7,8.73,569100.0,-14830.0
42,2012-07-23,8.73,8.73,8.2,8.35,1094000.0,169930.0
43,2012-07-24,8.3,8.35,8.08,8.21,517800.0,-602607.0
44,2012-07-25,8.33,8.5,8.2,8.4,780000.0,-147860.0
45,2012-07-26,8.45,8.58,8.0,8.4,563100.0,194196.0
46,2012-07-27,8.31,8.45,8.3,8.42,207800.0,0.0
47,2012-07-30,8.43,8.45,8.36,8.41,154800.0,0.0
48,2012-07-31,8.4,8.4,8.2,8.21,250700.0,2499.0
49,2012-08-01,8.21,8.21,7.65,7.7,2242700.0,-634661.0
50,2012-08-02,7.69,7.69,5.2,5.7,8696500.0,-4393014.0
51,2012-08-03,5.7,6.3,5.7,5.94,3017400.0,101059.0
52,2012-08-06,6.1,7.1,6.1,7.1,3730200.0,-539288.0
53,2012-08-08,7.19,7.2,6.75,6.78,812300.0,75475.0
54,2012-08-09,6.88,6.88,6.36,6.4,624600.0,51598.0
55,2012-08-10,6.5,6.5,6.12,6.3,273200.0,0.0
56,2012-08-13,6.3,6.3,6.02,6.1,278700.0,-73340.0
57,2012-08-14,6.1,6.37,6.1,6.2,168900.0,-73695.0
58,2012-08-15,6.26,6.26,6.12,6.12,326200.0,-397355.0
59,2012-08-16,6.12,6.12,5.75,5.92,420200.0,-169233.0
60,2012-08-17,5.8,6.1,5.75,5.92,294400.0,0.0
61,2012-08-22,6.29,6.29,5.84,5.87,190100.0,2940.0
62,2012-08-23,5.95,6.0,5.84,5.86,146600.0,0.0
63,2012-08-24,5.86,5.99,5.78,5.99,156100.0,6995.0
64,2012-08-28,6.02,6.1,5.79,5.95,145100.0,28593.0
65,2012-08-29,5.95,6.0,5.8,5.8,74100.0,0.0
66,2012-08-30,5.81,5.81,5.75,5.76,161500.0,-14510.0
67,2012-08-31,5.76,5.78,5.65,5.65,256600.0,0.0
68,2012-09-03,5.7,5.7,5.55,5.58,157000.0,0.0
69,2012-09-04,5.65,5.79,5.6,5.72,269100.0,57282.0
70,2012-09-05,5.68,5.68,5.6,5.6,134800.0,-1704.0
71,2012-09-06,5.6,5.65,5.6,5.6,103700.0,0.0
72,2012-09-07,5.6,5.62,5.58,5.59,206700.0,2795.0
73,2012-09-10,5.6,5.73,5.48,5.49,446100.0,0.0
74,2012-09-11,5.49,5.5,5.42,5.42,168000.0,-47628.0
75,2012-09-12,5.42,5.44,5.36,5.36,323500.0,0.0
76,2012-09-13,5.36,5.43,5.36,5.36,147300.0,0.0
77,2012-09-14,5.38,5.44,5.38,5.4,129600.0,-2710.0
78,2012-09-17,5.4,5.45,5.36,5.37,176400.0,-32220.0
79,2012-09-18,5.37,6.8,5.37,6.8,2451500.0,-48630.0
80,2012-09-19,6.9,7.2,6.5,6.52,5842500.0,-6489.0
81,2012-09-20,6.54,6.6,6.2,6.34,812400.0,31390.0
82,2012-09-21,6.34,6.34,6.0,6.07,1051200.0,60600.0
83,2012-09-24,6.03,6.03,5.85,5.85,391700.0,55875.0
84,2012-09-25,5.98,6.0,5.85,5.88,200800.0,87750.0
85,2012-09-26,5.86,6.39,5.86,6.29,1974500.0,0.0
86,2012-09-27,6.35,6.38,6.13,6.15,1532200.0,-31420.0
87,2012-09-28,6.16,6.23,6.13,6.17,1308600.0,421960.0
88,2012-10-01,6.21,6.54,6.2,6.42,3088200.0,-63620.0
89,2012-10-02,6.45,6.52,6.25,6.25,2441700.0,-41252.0
90,2012-10-03,6.25,6.35,6.1,6.2,1896000.0,186000.0
91,2012-10-04,6.2,6.25,6.08,6.08,2007300.0,184245.0
