,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-03,4.1,4.1,4.1,4.1,2000,0
1,2006-08-10,2.6,2.6,2.6,2.6,20000,0
2,2006-08-17,3.85,3.85,3.85,3.85,2000,0
3,2006-11-10,6.9,6.9,6.8,6.9,113000,0
4,2006-11-13,6.8,6.8,6.8,6.8,10000,0
5,2006-10-03,4.2,4.2,4.2,4.2,2000,0
6,2006-10-06,4.5,4.5,4.5,4.5,2000,0
7,2006-10-11,5.0,5.0,4.4,4.5,17000,-30000
8,2006-10-18,4.6,4.6,4.6,4.6,5000,0
9,2006-10-20,4.7,4.7,4.7,4.7,2000,0
10,2006-09-05,3.2,3.2,3.2,3.2,13000,0
11,2006-09-06,4.45,4.45,4.45,4.45,2000,0
12,2006-09-11,4.3,4.45,4.3,4.45,18000,0
13,2007-08-03,2.55,2.55,2.55,2.55,3000,0
14,2007-08-16,2.55,2.55,2.55,2.55,5000,0
15,2007-12-11,2.08,2.08,2.08,2.08,2000,0
16,2007-02-14,4.2,4.2,4.2,4.2,2000,0
17,2007-02-15,2.6,2.6,2.6,2.6,1000,0
18,2007-02-19,3.9,3.9,3.4,3.4,21000,0
19,2007-02-21,2.85,2.85,2.85,2.85,110000,0
20,2007-02-27,4.15,4.15,4.15,4.15,2000,0
21,2007-06-12,4.1,4.1,4.1,4.1,2000,0
22,2007-06-13,4.1,4.1,4.1,4.1,3000,0
23,2007-06-15,2.65,2.65,2.65,2.65,115000,0
24,2007-06-18,2.8,2.8,2.8,2.8,2000,0
25,2007-06-19,4.1,4.1,4.1,4.1,2000,0
26,2007-06-21,4.1,4.1,4.1,4.1,2000,0
27,2007-06-25,2.9,2.9,2.9,2.9,1000,0
28,2007-06-26,4.2,4.2,4.2,4.2,2000,0
29,2007-03-05,4.75,4.75,4.75,4.75,2000,0
30,2007-03-09,4.75,4.75,4.75,4.75,3000,0
31,2007-03-13,3.0,4.95,3.0,4.95,22000,0
32,2007-05-29,6.6,6.6,6.6,6.6,117000,0
33,2007-11-19,3.4,3.45,3.4,3.45,12000,0
34,2007-10-16,3.3,3.3,3.3,3.3,10000,0
35,2007-10-17,3.3,3.3,3.3,3.3,12000,0
36,2007-10-30,2.3,2.3,2.3,2.3,112000,0
37,2007-09-18,3.65,3.65,3.65,3.65,112000,0
38,2007-09-26,2.24,2.24,2.24,2.24,2000,0
39,2008-02-11,1.98,1.98,1.98,1.98,20000,0
40,2008-02-18,2.9,2.9,2.9,2.9,1000,0
41,2008-01-15,1.32,1.32,1.32,1.32,5000,0
42,2008-03-14,1.74,1.74,1.74,1.74,5000,0
43,2008-03-26,2.55,2.55,2.55,2.55,1000,0
44,2008-05-02,3.75,3.75,3.75,3.75,2000,0
45,2008-05-08,2.26,3.0,2.26,3.0,8000,0
46,2008-11-05,2.95,3.05,2.95,3.05,18000,0
47,2008-11-13,2.95,2.95,2.95,2.95,5000,0
48,2008-09-02,3.15,3.15,3.15,3.15,1000,0
49,2009-08-03,4.4,4.4,4.4,4.4,1000,0
