,Date,Open,High,Low,Close,Volume,OtherData
0,2010-10-26,132.0,133.5,128.0,133.0,25915530.0,1414918236.0
1,2010-10-27,132.0,132.3,129.5,131.0,6935780.0,197004578.0
2,2010-10-28,131.0,131.0,125.0,125.1,4317190.0,-99436054.0
3,2010-10-29,125.4,125.4,124.1,124.5,4807270.0,-227162.0
4,2010-11-02,124.5,124.5,123.5,124.0,3709150.0,200369229.0
5,2010-11-03,124.1,124.1,116.0,119.8,6999150.0,-6024722.0
6,2010-11-04,119.8,123.0,119.8,122.4,2053840.0,13849225.0
7,2010-11-05,123.0,123.0,121.7,121.8,2435220.0,108785920.0
8,2010-11-08,121.8,121.8,116.9,117.0,3185300.0,-11856741.0
9,2010-11-09,117.0,124.5,117.0,124.5,2563480.0,82486124.0
10,2010-11-10,122.4,125.5,122.4,125.1,3178570.0,226759404.0
11,2010-11-11,124.5,127.2,124.5,126.0,2296270.0,26437318.0
12,2010-11-12,126.0,126.5,124.4,125.6,1388250.0,67631730.0
13,2010-11-15,125.3,125.6,123.5,124.0,3258830.0,-2275243.0
14,2010-11-17,123.8,123.8,119.0,120.1,2069040.0,-6489688.0
15,2010-11-18,120.3,126.0,120.3,125.5,1700400.0,58657681.0
16,2010-11-19,125.9,129.4,125.9,129.0,2329510.0,139941172.0
17,2010-11-22,129.0,129.0,126.7,127.3,2350910.0,6656774.0
18,2010-11-23,127.3,127.6,126.5,127.3,1509570.0,-24115385.0
19,2010-11-24,126.5,126.6,125.5,125.5,1847340.0,1363652.0
20,2010-11-25,125.5,126.0,125.0,125.0,2115120.0,-941702.0
21,2010-11-26,125.0,125.5,125.0,125.0,1291980.0,-9107298.0
22,2010-11-30,125.0,125.5,125.0,125.5,988640.0,55932035.0
23,2010-12-01,125.0,125.5,125.0,125.5,299250.0,-3880146.0
24,2010-12-02,126.0,126.5,125.8,126.1,316640.0,20748540.0
25,2010-12-03,126.0,127.0,125.9,127.0,409390.0,-4077393.0
26,2010-12-06,127.0,127.0,126.0,126.0,1006210.0,14547312.0
27,2010-12-07,125.5,125.6,125.0,125.0,712680.0,659718.0
28,2010-12-08,125.0,125.1,124.6,124.7,2208170.0,75699653.0
29,2010-12-09,124.9,124.9,118.0,119.5,1058370.0,-62238622.0
30,2010-12-10,120.0,120.0,117.5,117.5,2633110.0,-40848535.0
31,2010-12-13,118.5,118.5,116.7,116.7,686200.0,-13753227.0
32,2010-12-14,116.6,116.6,116.2,116.5,915760.0,-13148434.0
33,2010-12-15,116.0,116.0,113.2,113.4,2127250.0,-55902209.0
34,2010-12-16,114.0,114.0,109.5,110.0,2217970.0,-50830864.0
35,2010-12-17,109.9,110.0,82.0,106.0,3138020.0,-164958035.0
36,2010-12-20,106.0,107.8,105.0,106.2,3326770.0,-68796823.0
37,2010-12-21,106.0,106.3,105.9,106.3,1109650.0,-36032526.0
38,2010-12-22,106.3,107.0,106.3,106.6,827810.0,-15376260.0
39,2010-12-23,107.0,112.0,106.2,112.0,849170.0,-15995047.0
40,2010-12-28,109.9,111.0,109.0,111.0,877030.0,-41517780.0
41,2010-12-29,111.0,111.0,110.0,110.5,749480.0,-14838515.0
42,2010-12-30,110.5,113.4,110.1,113.4,725730.0,19038302.0
43,2011-01-03,114.0,114.0,113.0,114.0,829310.0,-23863954.0
44,2011-01-04,113.8,113.8,110.0,111.0,882990.0,12437397.0
45,2011-01-05,110.9,110.9,106.9,106.9,1449120.0,37188296.0
46,2011-01-06,108.0,108.0,105.5,105.6,1156560.0,-17969245.0
47,2011-01-07,106.0,106.8,104.8,104.9,548690.0,5383761.0
48,2011-01-10,105.0,105.0,99.8,102.0,1695820.0,-64185140.0
49,2011-01-11,104.0,104.0,100.3,100.3,874870.0,-43319164.0
50,2011-01-12,100.2,101.9,100.2,101.5,1801890.0,-36434185.0
51,2011-01-13,102.0,102.0,100.5,100.8,2375550.0,18225921.0
52,2011-01-14,100.8,101.0,99.3,99.65,1101440.0,-25029825.0
53,2011-01-17,99.5,99.5,98.7,98.95,1933790.0,5062926.0
54,2011-01-18,98.0,98.0,92.8,93.0,1413850.0,-72162977.0
55,2011-01-19,93.0,93.0,86.0,90.2,3259050.0,-93179665.0
56,2011-01-20,90.2,91.9,89.7,91.6,2348430.0,-65527334.0
57,2011-01-21,92.0,94.75,91.6,94.6,2009570.0,-58642915.0
58,2011-01-24,94.7,94.7,90.5,92.9,1328100.0,-55653176.0
59,2011-01-25,94.0,94.2,92.9,93.0,3201500.0,-102758708.0
60,2011-01-26,93.6,94.8,93.5,94.7,1213600.0,-21864729.0
61,2011-01-27,94.8,99.5,94.8,99.2,2147650.0,4270380.0
62,2011-01-28,99.2,100.0,98.7,99.2,1379540.0,-8102013.0
63,2011-01-31,98.55,98.55,97.0,98.0,597460.0,-5448255.0
64,2011-02-01,98.0,98.95,96.5,97.0,554370.0,-10367038.0
65,2011-02-02,97.0,97.2,96.0,97.0,748890.0,48228670.0
66,2011-02-03,98.0,98.0,97.0,97.15,608630.0,51255347.0
67,2011-02-04,99.0,99.0,97.5,98.0,1459760.0,31380009.0
68,2011-02-07,98.0,98.1,98.0,98.0,1401600.0,34522643.0
69,2011-02-08,98.1,98.1,98.0,98.0,286190.0,1305272.0
70,2011-02-09,99.95,99.95,97.75,98.0,1941580.0,42091382.0
71,2011-02-10,98.0,98.0,94.05,94.05,1437900.0,75311576.0
72,2011-02-11,94.05,94.05,92.05,92.3,142870.0,-1776463.0
73,2011-02-14,92.3,92.3,89.5,89.75,985630.0,-33353929.0
74,2011-02-15,90.0,91.0,89.75,90.0,1733230.0,-29390952.0
75,2011-02-16,90.0,90.0,89.25,89.35,1657050.0,-601498.0
76,2011-02-17,89.4,89.4,89.2,89.25,2699840.0,-13702979.0
77,2011-02-18,90.0,90.5,89.75,89.8,688670.0,-4624931.0
78,2011-02-21,89.85,89.9,89.65,89.7,2470440.0,-75261.0
