,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,0.43,0.43,0.35,0.35,58200000.0,-102100.0
1,2006-08-02,0.34,0.35,0.32,0.32,10140000.0,-34000.0
2,2006-08-03,0.33,0.33,0.3,0.31,6140000.0,0.0
3,2006-08-04,0.3,0.31,0.3,0.3,4890000.0,0.0
4,2006-08-07,0.3,0.31,0.3,0.31,980000.0,0.0
5,2006-08-08,0.31,0.34,0.31,0.33,22780000.0,0.0
6,2006-08-09,0.32,0.34,0.32,0.33,5390000.0,0.0
7,2006-08-10,0.35,0.35,0.3,0.3,5750000.0,0.0
8,2006-08-11,0.31,0.33,0.31,0.32,2710000.0,0.0
9,2006-08-14,0.32,0.32,0.32,0.32,1260000.0,-320000.0
10,2006-08-15,0.32,0.33,0.32,0.33,2100000.0,0.0
11,2006-08-16,0.33,0.34,0.32,0.32,2780000.0,0.0
12,2006-08-17,0.32,0.33,0.32,0.33,2380000.0,0.0
13,2006-12-04,0.4,0.41,0.4,0.4,4400000.0,0.0
14,2006-12-06,0.4,0.4,0.4,0.4,1500000.0,0.0
15,2006-12-07,0.4,0.4,0.4,0.4,1500000.0,0.0
16,2006-12-08,0.4,0.4,0.39,0.39,1650000.0,0.0
17,2006-12-11,0.39,0.4,0.39,0.4,2600000.0,0.0
18,2006-12-12,0.39,0.39,0.39,0.39,680000.0,0.0
19,2006-12-13,0.4,0.4,0.4,0.4,600000.0,0.0
20,2006-12-14,0.4,0.4,0.4,0.4,1300000.0,0.0
21,2006-12-15,0.41,0.42,0.41,0.42,3400000.0,0.0
22,2006-12-18,0.42,0.43,0.42,0.42,3170000.0,0.0
23,2006-12-19,0.41,0.41,0.41,0.41,3300000.0,0.0
24,2006-12-20,0.41,0.42,0.41,0.41,1610000.0,0.0
25,2006-12-21,0.4,0.4,0.4,0.4,2120000.0,0.0
26,2006-12-28,0.41,0.41,0.41,0.41,2570000.0,0.0
27,2006-12-29,0.42,0.43,0.42,0.42,5950000.0,-860000.0
28,2006-11-02,0.42,0.42,0.41,0.41,4540000.0,-331800.0
29,2006-11-03,0.41,0.41,0.41,0.41,2500000.0,0.0
30,2006-11-06,0.42,0.43,0.42,0.42,7820000.0,-1353800.0
31,2006-11-07,0.42,0.42,0.42,0.42,10740000.0,-2940000.0
32,2006-11-08,0.42,0.42,0.41,0.41,3920000.0,0.0
33,2006-11-09,0.41,0.42,0.4,0.41,2500000.0,0.0
34,2006-11-10,0.41,0.41,0.41,0.41,3160000.0,0.0
35,2006-11-13,0.41,0.41,0.41,0.41,270000.0,0.0
36,2006-11-14,0.41,0.41,0.41,0.41,150000.0,0.0
37,2006-11-15,0.41,0.41,0.41,0.41,1120000.0,-20500.0
38,2006-11-16,0.41,0.41,0.41,0.41,1160000.0,0.0
39,2006-11-17,0.41,0.41,0.41,0.41,510000.0,0.0
40,2006-11-20,0.41,0.43,0.41,0.42,2980000.0,0.0
41,2006-11-21,0.42,0.42,0.41,0.41,3930000.0,0.0
42,2006-11-22,0.42,0.42,0.41,0.41,1240000.0,0.0
43,2006-11-23,0.42,0.43,0.42,0.43,10270000.0,-1634000.0
44,2006-11-24,0.43,0.43,0.42,0.43,3510000.0,-86000.0
45,2006-11-27,0.43,0.43,0.42,0.42,3900000.0,0.0
46,2006-11-28,0.41,0.41,0.41,0.41,2000000.0,0.0
47,2006-11-29,0.4,0.4,0.4,0.4,2830000.0,0.0
48,2006-11-30,0.4,0.4,0.4,0.4,2400000.0,0.0
49,2006-10-02,0.33,0.33,0.32,0.32,1040000.0,0.0
50,2006-10-03,0.32,0.32,0.32,0.32,1100000.0,0.0
51,2006-10-04,0.31,0.31,0.31,0.31,2250000.0,31000.0
52,2006-10-05,0.32,0.32,0.32,0.32,100000.0,0.0
53,2006-10-06,0.33,0.34,0.33,0.34,1180000.0,0.0
54,2006-10-09,0.36,0.36,0.32,0.32,60000.0,0.0
55,2006-10-12,0.33,0.33,0.33,0.33,100000.0,0.0
56,2006-10-13,0.34,0.35,0.34,0.35,220000.0,0.0
57,2006-10-16,0.36,0.37,0.35,0.36,1430000.0,0.0
