,Date,Open,High,Low,Close,Volume,OtherData
0,2011-11-18,7.9,8.27,7.81,7.95,14073100.0,-1762895.0
1,2011-11-21,7.95,8.1,7.47,7.7,6263700.0,-69138.0
2,2011-11-22,7.41,7.8,7.41,7.6,2516500.0,-76000.0
3,2011-11-23,7.59,7.68,7.56,7.68,1568300.0,1725.0
4,2011-11-24,7.6,7.62,7.54,7.6,1106400.0,0.0
5,2011-11-25,7.6,7.6,7.46,7.59,3852500.0,150000.0
6,2011-11-28,7.59,7.63,7.41,7.6,380300.0,0.0
7,2011-11-29,7.6,7.62,7.5,7.6,339100.0,0.0
8,2011-12-01,7.66,7.9,7.66,7.9,2232400.0,888642.0
9,2011-12-02,7.89,8.22,7.81,8.18,4929000.0,-161000.0
10,2011-12-05,8.2,8.33,8.11,8.19,1162100.0,0.0
11,2011-12-06,8.2,8.2,8.0,8.1,624800.0,0.0
12,2011-12-07,8.1,8.2,7.95,8.13,601600.0,160000.0
13,2011-12-08,8.0,8.08,7.85,8.05,401200.0,300200.0
14,2011-12-09,8.08,8.08,7.85,8.0,2656000.0,0.0
15,2011-12-12,8.0,8.0,7.85,7.85,137200.0,0.0
16,2011-12-13,7.82,8.1,7.8,8.05,712400.0,0.0
17,2011-12-14,8.03,8.05,7.83,8.03,272200.0,-142964.0
18,2011-12-15,7.92,8.07,7.92,8.01,526700.0,-1472370.0
19,2011-12-16,8.0,8.02,7.9,8.01,263400.0,0.0
20,2011-12-19,7.91,8.0,7.91,8.0,118600.0,0.0
21,2011-12-20,8.0,8.01,7.93,8.0,199900.0,-160000.0
22,2011-12-21,8.0,8.12,7.91,8.1,2081600.0,0.0
23,2011-12-22,8.11,8.12,7.95,8.1,395900.0,810.0
24,2011-12-23,8.0,8.07,7.97,8.0,243700.0,0.0
25,2011-12-26,7.95,8.0,7.92,8.0,76300.0,39750.0
26,2011-12-27,8.08,8.08,7.96,8.07,89300.0,-1614.0
27,2011-12-28,8.09,8.09,7.99,8.05,202000.0,0.0
28,2011-12-29,8.01,8.2,8.01,8.2,1930700.0,-711148.0
29,2012-01-02,7.95,8.18,7.95,8.15,64400.0,0.0
30,2012-01-03,8.02,8.09,8.0,8.01,286000.0,0.0
31,2012-01-04,8.0,8.08,7.95,7.99,315500.0,-39800.0
32,2012-01-05,7.96,7.96,7.9,7.94,252300.0,0.0
33,2012-01-06,7.9,7.94,7.86,7.94,132800.0,-876742.0
34,2012-01-09,7.86,7.98,7.86,7.9,84900.0,0.0
35,2012-01-10,7.9,7.9,7.86,7.9,70900.0,0.0
36,2012-01-11,8.0,8.0,7.85,7.88,213300.0,-368050.0
37,2012-01-12,7.86,7.9,7.86,7.9,119900.0,-257808.0
38,2012-01-13,7.84,7.99,7.84,7.9,70900.0,0.0
39,2012-01-16,7.98,7.98,7.82,7.9,110300.0,0.0
40,2012-01-17,7.98,7.98,7.8,7.84,123300.0,0.0
41,2012-01-18,7.95,7.95,7.95,7.95,100.0,0.0
42,2012-01-19,7.84,7.94,7.73,7.94,104400.0,0.0
43,2012-01-20,7.71,7.9,7.71,7.9,21900.0,0.0
44,2012-01-24,7.9,7.9,7.73,7.9,43400.0,0.0
45,2012-01-25,7.73,7.88,7.73,7.88,54200.0,0.0
46,2012-01-26,7.72,7.9,7.72,7.9,134600.0,0.0
47,2012-01-27,7.74,7.89,7.71,7.89,152500.0,0.0
48,2012-01-30,7.8,7.88,7.75,7.88,12100.0,0.0
49,2012-01-31,7.7,7.86,7.62,7.86,205200.0,0.0
50,2012-02-01,7.86,7.9,7.6,7.9,269400.0,0.0
51,2012-02-02,7.88,7.9,7.7,7.9,23200.0,0.0
52,2012-02-03,7.7,7.9,7.66,7.9,18400.0,0.0
53,2012-02-07,7.69,7.8,7.69,7.8,10500.0,0.0
54,2012-02-08,7.7,7.8,7.7,7.8,12500.0,0.0
