,Date,Open,High,Low,Close,Volume,OtherData
0,2016-07-18,11.2,11.36,10.8,11.1,264903600,331679640
1,2016-07-19,11.12,11.12,10.82,11.0,44822300,176038860
2,2016-07-20,11.0,11.04,10.9,10.96,32516600,133593244
3,2016-07-21,11.0,11.7,10.98,11.7,45945200,105757806
4,2016-07-22,11.8,12.06,11.8,11.94,49363400,80467100
5,2016-07-25,12.06,12.96,12.06,12.46,52297700,135778168
6,2016-07-26,12.48,12.5,12.2,12.36,27934500,49361210
7,2016-07-27,12.34,12.34,11.86,12.04,27667900,-35517070
8,2016-07-28,12.06,12.3,12.04,12.18,24810900,81119864
9,2016-07-29,12.18,12.24,11.86,11.9,23319700,25326328
10,2016-08-01,11.88,12.18,11.76,12.16,11571300,21965032
11,2016-08-03,12.0,12.1,11.7,12.0,15765900,59172974
12,2016-08-04,12.0,12.02,11.94,12.0,8353100,55378796
13,2016-08-05,12.04,12.32,12.04,12.3,15027000,-10100172
14,2016-08-08,12.3,12.3,12.0,12.0,4246200,-10577516
15,2016-08-09,12.1,12.28,12.0,12.04,10247800,-5153350
16,2016-08-10,12.1,12.18,12.02,12.1,17689300,-25571116
17,2016-08-11,12.08,12.08,11.82,11.98,14426900,15090888
18,2016-08-12,11.9,11.94,11.74,11.82,10091500,30022982
19,2016-08-15,11.82,11.96,11.46,11.54,19592800,33743362
20,2016-08-16,11.58,11.78,11.56,11.7,22178100,-52667804
21,2016-08-17,11.6,12.42,11.6,12.42,42736500,4296342
22,2016-08-18,12.36,12.52,12.2,12.38,21514900,41595660
23,2016-08-19,12.38,12.72,12.38,12.66,17174600,49445850
24,2016-08-22,12.66,12.8,12.5,12.66,18110800,17762632
25,2016-08-23,12.64,12.64,12.3,12.4,12306400,-30438512
26,2016-08-24,12.38,12.4,12.1,12.14,6560800,10243520
27,2016-08-25,12.1,12.34,12.04,12.3,6262600,13417790
28,2016-08-26,12.3,12.4,12.16,12.2,6981700,-3613338
29,2016-08-30,12.2,12.34,11.9,12.2,7871700,-8712804
30,2016-08-31,12.0,12.2,11.98,12.18,4325900,-16210646
31,2016-09-01,12.16,12.16,11.98,12.0,24726400,-34167816
32,2016-09-02,12.06,12.16,11.98,12.02,5589200,11689928
33,2016-09-05,12.0,12.14,12.0,12.04,7579900,44134098
34,2016-09-06,12.04,12.1,11.94,12.0,14627300,61796604
35,2016-09-07,12.0,12.14,11.88,12.0,11020600,26824426
36,2016-09-08,12.0,12.0,11.9,11.92,2656800,16856906
37,2016-09-09,11.94,12.04,11.92,11.96,2541100,17188552
38,2016-09-13,11.98,11.98,11.8,11.82,8501200,28281648
39,2016-09-14,11.8,11.8,11.5,11.62,7651400,13355536
40,2016-09-15,11.64,11.78,11.6,11.68,9436000,7472074
41,2016-09-16,11.7,11.72,11.66,11.68,7490400,1303928
42,2016-09-19,11.68,11.7,11.6,11.68,2552000,1582112
43,2016-09-20,11.66,11.66,11.3,11.5,13719900,-7290186
44,2016-09-21,11.64,11.98,11.64,11.88,33067300,24910852
45,2016-09-22,12.0,12.26,11.98,12.04,28001900,-7176132
46,2016-09-23,12.18,12.2,11.96,12.1,22485600,38342958
47,2016-09-26,12.12,12.12,12.0,12.06,8508900,33903265
48,2016-09-27,12.06,12.22,12.02,12.22,12334000,49086014
49,2016-09-28,12.14,12.26,12.14,12.26,13567500,91735610
50,2016-09-29,12.2,12.4,12.1,12.12,31017900,8718350
51,2016-09-30,12.12,12.18,12.0,12.0,3335000,4077024
52,2016-10-03,12.0,12.1,11.8,12.0,1941000,10434392
53,2016-10-04,12.0,12.0,11.9,12.0,2742600,12801474
54,2016-10-05,12.0,12.0,11.82,11.86,5959800,-4385270
55,2016-10-06,11.96,11.96,11.86,11.92,3818600,2952704
56,2016-10-07,11.94,11.96,11.7,11.8,1425100,-1652574
57,2016-10-10,11.8,11.82,11.54,11.68,1709800,-10816694
58,2016-10-11,11.68,11.8,11.62,11.7,4482600,-6303720
59,2016-10-12,11.7,11.7,11.44,11.5,2574800,-4974196
60,2016-10-13,11.5,11.52,11.1,11.2,6224900,-2231376
61,2016-10-14,11.22,11.32,11.04,11.12,5888200,-16397510
62,2016-10-17,11.12,11.18,10.92,10.92,11424800,-23632674
63,2016-10-18,10.96,11.02,10.86,10.98,8325800,-41778208
64,2016-10-19,11.04,11.76,10.98,11.6,34137200,-51895564
65,2016-10-20,11.58,11.9,11.34,11.74,15356700,8520786
66,2016-10-21,11.7,11.7,11.44,11.6,8748200,-22634282
67,2016-10-24,11.7,11.7,11.36,11.4,6357000,-4462052
68,2016-10-25,11.42,11.54,11.38,11.38,9156900,-37106948
69,2016-10-26,11.38,11.38,11.1,11.2,9794000,-42500258
70,2016-10-27,11.2,11.28,11.2,11.22,2200900,-10092518
71,2016-10-28,11.26,11.7,11.26,11.42,10300100,19826244
72,2016-11-02,11.42,11.42,11.18,11.2,4678000,-11946968
73,2016-11-03,11.2,11.5,11.14,11.32,7560000,-11278538
74,2016-11-04,11.36,11.66,11.3,11.54,6035800,-14888752
75,2016-11-07,11.58,11.64,11.42,11.5,2582900,-6512792
76,2016-11-08,11.5,11.82,11.44,11.7,13103900,-49756238
77,2016-11-09,11.7,11.78,11.1,11.3,3486400,4915784
78,2016-11-11,11.5,11.58,11.28,11.36,7963400,-25551552
79,2016-11-14,11.36,11.5,11.2,11.42,18181400,-30775920
80,2016-11-15,11.8,12.08,11.62,11.62,23798100,-37622954
81,2016-11-16,11.62,11.88,11.56,11.6,9309200,-56123670
82,2016-11-17,11.6,11.6,11.2,11.2,17642300,-129677324
83,2016-11-18,11.48,11.52,11.0,11.1,20048300,-53912370
84,2016-11-21,11.3,11.3,11.12,11.26,8857400,-13807878
85,2016-11-22,11.26,11.34,11.02,11.1,5220000,-4365346
86,2016-11-23,11.1,11.12,10.84,10.9,5387500,-13078488
87,2016-11-24,10.9,11.16,10.9,11.0,3076000,11203768
88,2016-11-25,11.1,11.24,11.04,11.08,5792400,-223780
89,2016-11-28,11.2,11.28,11.06,11.1,7643700,12675638
90,2016-11-29,11.22,11.22,10.64,10.64,39914100,-64413496
91,2016-12-01,10.78,10.96,10.78,10.9,10623900,40328256
92,2016-12-02,11.08,11.36,11.0,11.28,21703100,62092568
93,2016-12-05,11.3,11.42,11.26,11.3,17203000,90457116
94,2016-12-06,11.36,11.42,11.22,11.26,19621400,35070400
95,2016-12-07,11.24,11.32,11.22,11.3,13169500,3023366
96,2016-12-08,11.3,11.6,11.26,11.6,18062600,53290080
97,2016-12-09,11.6,11.88,11.48,11.86,11879400,58037390
98,2016-12-12,11.86,11.86,11.34,11.6,7618100,50662328
99,2016-12-13,11.6,11.66,11.46,11.6,5343000,27834658
100,2016-12-14,11.62,11.78,11.6,11.7,13597300,74985604
101,2016-12-15,11.68,11.84,11.5,11.74,9572500,20924664
102,2016-12-16,11.8,11.8,11.58,11.74,59457000,165047422
103,2016-12-19,11.8,11.8,11.4,11.4,2456000,18659120
104,2016-12-20,11.5,11.7,11.4,11.48,27333500,91213126
105,2016-12-21,11.5,11.66,11.48,11.6,9907700,32518504
106,2016-12-22,11.56,11.6,11.4,11.46,5082400,768008
107,2016-12-23,11.46,11.62,11.36,11.4,16161900,-3013906
108,2016-12-27,11.4,11.5,11.3,11.3,1938900,-658718
109,2016-12-28,11.3,11.4,11.24,11.24,6480200,-584948
110,2016-12-29,11.28,11.3,11.1,11.1,5629200,-3694180
111,2017-01-03,11.26,11.26,11.06,11.06,5631500,-10626854
112,2017-01-04,11.14,11.48,11.14,11.3,8531800,-36309140
113,2017-01-05,11.4,11.62,11.36,11.48,22187600,-12398384
114,2017-01-06,11.5,11.7,11.5,11.68,1938600,6293476
115,2017-01-09,11.68,11.68,11.56,11.66,756600,3679868
116,2017-01-10,11.68,11.98,11.64,11.88,8608100,11693232
117,2017-01-11,11.86,12.0,11.76,11.9,8309300,-14004534
118,2017-01-12,11.92,11.96,11.88,11.9,7027400,45652482
119,2017-01-13,11.88,11.9,11.66,11.8,10176100,1721384
120,2017-01-16,11.8,11.9,11.68,11.68,6425800,31082824
121,2017-01-17,11.78,11.78,11.52,11.52,3358000,-13560190
122,2017-01-18,11.54,11.7,11.52,11.6,4937200,-22750042
123,2017-01-19,11.6,11.76,11.44,11.46,6816000,-68513088
124,2017-01-20,11.5,11.62,11.44,11.48,8011300,-60733790
125,2017-01-23,11.5,11.78,11.5,11.6,10232300,-9862542
126,2017-01-24,11.7,11.86,11.3,11.4,9880200,-30192550
127,2017-01-25,11.52,11.58,11.28,11.32,5961500,-15793622
128,2017-01-26,11.4,11.52,11.28,11.3,8554300,-34786574
129,2017-01-27,11.34,11.44,11.26,11.28,2132900,-13379868
130,2017-01-30,11.3,11.48,11.3,11.44,1132800,2407604
131,2017-01-31,11.48,11.54,11.2,11.2,3364900,566780
132,2017-02-01,11.3,11.36,11.22,11.3,1493400,-5368058
133,2017-02-02,11.4,11.54,11.38,11.46,7171300,-27736098
134,2017-02-03,11.54,11.66,11.44,11.44,9600100,-40729484
