,Date,Open,High,Low,Close,Volume,OtherData
0,2013-11-27,26.0,26.0,24.0,25.85,1695200,6870245.0
1,2013-11-28,25.5,26.0,25.5,26.0,673300,2962300.0
2,2013-11-29,25.95,26.0,25.85,25.85,693200,-5033330.0
3,2013-12-02,26.0,26.0,25.85,25.9,67400,-155050.0
4,2013-12-03,25.7,25.8,25.5,25.5,84700,-750750.0
5,2013-12-04,25.5,25.5,25.25,25.25,351800,-2072530.0
6,2013-12-05,25.25,25.25,25.2,25.25,104500,-2078350.0
7,2013-12-06,25.0,25.2,25.0,25.2,80200,-1809440.0
8,2013-12-09,25.0,25.2,25.0,25.0,61100,-927600.0
9,2013-12-10,25.2,25.2,24.8,25.0,142100,-1522380.0
10,2013-12-11,25.0,25.0,24.8,24.9,93300,-1162700.0
11,2013-12-12,25.0,25.0,24.5,24.8,169900,-3793450.0
12,2013-12-13,24.7,24.7,24.0,24.0,325800,3554090.0
13,2013-12-16,24.0,24.0,23.85,23.85,50100,-471480.0
14,2013-12-17,23.85,24.0,23.8,24.0,43700,-4800.0
15,2013-12-18,24.2,24.2,23.8,23.8,258100,-6135220.0
16,2013-12-19,24.0,24.0,23.6,23.8,329400,-3535470.0
17,2013-12-20,23.5,23.8,23.4,23.8,106200,-576580.0
18,2013-12-23,23.9,24.1,23.9,23.9,481900,-6229600.0
19,2013-12-26,24.8,24.8,24.5,24.5,145800,-3337840.0
20,2013-12-27,24.5,24.5,24.5,24.5,300,0.0
21,2014-01-02,24.95,24.95,24.95,24.95,500,0.0
22,2014-01-06,23.0,24.8,23.0,24.8,2100,32020.0
23,2014-01-07,24.75,24.75,24.45,24.45,361600,1439040.0
24,2014-01-08,24.45,24.5,24.0,24.0,357100,71030.0
25,2014-01-09,23.5,23.55,21.5,23.0,100800,-2241040.0
26,2014-01-10,23.0,23.0,22.3,22.5,227400,-5155965.0
27,2014-01-13,22.6,23.0,22.6,22.9,99700,-2245440.0
28,2014-01-14,23.0,23.35,23.0,23.35,2800,0.0
29,2014-01-15,23.35,24.0,23.35,24.0,601300,-360150.0
30,2014-01-16,23.8,23.8,23.35,23.8,61000,0.0
31,2014-01-17,24.0,24.0,23.75,23.75,42400,769500.0
32,2014-01-20,24.0,24.2,24.0,24.0,59300,470410.0
33,2014-01-21,23.5,23.5,23.5,23.5,5000,0.0
34,2014-01-22,23.5,23.5,23.4,23.45,281900,355455.0
35,2014-01-23,23.3,23.3,23.3,23.3,41000,81550.0
36,2014-01-24,23.0,23.05,23.0,23.0,45200,246100.0
37,2014-01-27,22.9,23.0,22.8,22.8,243200,-401360.0
38,2014-01-28,22.8,22.8,22.8,22.8,473200,41040.0
39,2014-01-29,22.8,22.8,22.8,22.8,12300,228000.0
40,2014-01-30,22.8,23.45,22.8,23.45,102600,2345.0
41,2014-02-03,23.45,23.45,23.45,23.45,100,0.0
42,2014-02-04,23.45,23.5,23.45,23.45,132500,0.0
43,2014-02-05,23.45,23.45,23.45,23.45,2304800,0.0
44,2014-02-06,23.45,23.5,23.45,23.5,6300,49350.0
45,2014-02-07,24.0,25.5,24.0,25.5,227400,312245.0
46,2014-02-10,24.0,24.0,24.0,24.0,1000,0.0
47,2014-02-11,25.75,25.95,25.75,25.85,144200,-38775.0
48,2014-02-13,24.95,25.7,24.35,25.7,196000,0.0
49,2014-02-14,25.9,25.9,24.4,25.8,33000,310800.0
50,2014-02-17,25.95,25.95,25.0,25.9,800,5090.0
51,2014-02-18,24.6,25.95,24.6,25.9,394000,7738765.0
52,2014-02-19,25.9,26.25,25.5,26.05,88900,1558250.0
53,2014-02-20,25.85,26.1,25.85,26.0,3400,62365.0
54,2014-02-21,26.1,26.65,26.1,26.5,268500,2525945.0
55,2014-02-24,26.0,27.1,26.0,27.0,626100,-2108700.0
56,2014-02-25,26.15,26.95,26.15,26.95,630100,16439500.0
57,2014-02-26,26.95,27.25,26.95,26.95,180200,2339255.0
58,2014-02-27,26.95,27.0,26.5,27.0,297000,7991610.0
59,2014-02-28,26.45,27.4,26.45,27.4,41700,837390.0
60,2014-03-03,27.0,27.0,27.0,27.0,71100,1919700.0
61,2014-03-04,27.0,27.1,27.0,27.1,100000,2700640.0
62,2014-03-05,27.0,27.1,27.0,27.1,5500,0.0
63,2014-03-06,27.1,27.1,27.0,27.1,93300,2459150.0
64,2014-03-07,27.2,27.2,27.1,27.1,15300,280160.0
65,2014-03-10,27.0,27.0,27.0,27.0,2500,0.0
66,2014-03-11,27.0,27.05,27.0,27.05,7000,-10820.0
67,2014-03-12,27.1,27.1,27.05,27.05,10200,0.0
68,2014-03-13,27.0,27.0,27.0,27.0,2800,0.0
69,2014-03-14,27.0,27.0,27.0,27.0,17800,0.0
70,2014-03-17,27.1,27.2,27.0,27.0,36100,54000.0
71,2014-03-18,27.0,27.0,27.0,27.0,28100,0.0
72,2014-03-19,27.0,27.0,27.0,27.0,2800,0.0
73,2014-03-20,27.0,27.45,27.0,27.0,338900,5386700.0
74,2014-03-21,27.45,27.45,27.0,27.3,5300,81690.0
75,2014-03-24,27.0,27.0,27.0,27.0,17200,464400.0
76,2014-03-25,27.4,27.4,27.4,27.4,12500,328800.0
77,2014-03-26,27.2,27.9,27.2,27.9,60100,0.0
78,2014-03-27,27.9,27.9,27.9,27.9,132400,-3587940.0
79,2014-03-28,26.9,27.85,26.9,27.8,180100,4823900.0
80,2014-03-31,27.75,27.9,27.65,27.8,275400,1004360.0
81,2014-04-01,27.8,28.0,27.7,28.0,115700,2266140.0
82,2014-04-02,28.5,29.2,28.5,29.0,614700,11458290.0
83,2014-04-03,29.0,32.5,29.0,31.0,474200,1096695.0
84,2014-04-04,30.5,31.8,30.5,31.5,264400,2477845.0
85,2014-04-07,30.0,32.0,29.15,31.7,147900,2207700.0
86,2014-04-08,31.7,32.0,31.3,32.0,120000,2189270.0
87,2014-04-10,32.0,33.9,32.0,33.35,284400,1262295.0
88,2014-04-11,34.0,35.0,33.05,34.0,531600,6893420.0
89,2014-04-14,34.0,36.0,34.0,35.2,147400,-274235.0
90,2014-04-15,35.4,35.9,35.2,35.75,265000,413485.0
91,2014-04-16,35.9,36.05,35.0,35.3,156600,1238120.0
92,2014-04-21,35.3,35.3,35.3,35.3,310200,-7060000.0
93,2014-04-22,35.3,35.45,35.3,35.45,387200,1524975.0
94,2014-04-23,35.45,35.45,34.0,35.0,120600,2970450.0
95,2014-04-24,34.0,35.0,33.8,34.3,123700,3572955.0
96,2014-04-25,34.95,34.95,34.0,34.0,29800,-1006970.0
97,2014-04-28,32.5,34.0,32.5,34.0,1700,0.0
98,2014-04-29,33.9,34.0,32.5,32.5,111200,-772020.0
99,2014-04-30,33.0,33.0,32.5,32.5,32300,-988750.0
100,2014-05-02,32.5,32.5,32.5,32.5,166700,-188500.0
101,2014-05-05,32.5,33.0,32.5,32.6,72900,228200.0
102,2014-05-06,32.5,32.5,32.0,32.4,116800,1116485.0
103,2014-05-07,31.75,32.5,31.75,32.5,28700,899420.0
104,2014-05-08,32.5,33.0,32.3,32.5,280900,1417260.0
105,2014-05-09,32.5,32.5,32.0,32.0,67400,154350.0
106,2014-05-12,32.0,32.0,32.0,32.0,1300,3200.0
107,2014-05-13,33.0,33.05,33.0,33.05,2300,49575.0
108,2014-05-14,33.0,33.0,33.0,33.0,18400,-29700.0
109,2014-05-15,33.15,35.95,33.15,35.0,405600,-3954135.0
110,2014-05-16,35.0,36.1,33.05,36.0,396700,-1092450.0
111,2014-05-19,36.05,40.0,36.05,38.0,462400,-4431855.0
112,2014-05-20,38.2,38.2,38.0,38.0,61300,953935.0
113,2014-05-21,36.15,36.55,36.15,36.55,6200,152835.0
114,2014-05-22,36.6,38.9,36.6,38.9,2600,58640.0
115,2014-05-23,38.5,38.5,38.5,38.5,3200,38500.0
116,2014-05-26,36.7,37.0,36.7,37.0,34000,806600.0
117,2014-05-27,36.7,37.0,36.7,36.75,2800,0.0
118,2014-05-28,36.8,36.8,36.5,36.7,11600,22020.0
119,2014-05-29,36.5,36.5,36.5,36.5,7800,200750.0
120,2014-05-30,36.5,39.5,36.0,39.0,36300,640410.0
121,2014-06-02,38.0,38.0,38.0,38.0,4000,76000.0
122,2014-06-03,39.6,46.0,39.6,41.0,297800,-6952165.0
123,2014-06-04,42.0,44.0,42.0,43.0,382800,-2149090.0
124,2014-06-05,43.0,44.9,43.0,44.0,466400,-6291205.0
125,2014-06-06,44.0,44.0,42.05,44.0,779300,29816250.0
126,2014-06-09,44.5,45.0,42.05,44.0,56800,58220.0
127,2014-06-10,44.0,44.0,42.05,42.05,6579800,279504755.0
128,2014-06-11,44.0,44.0,42.05,43.0,83600,-257990.0
129,2014-06-13,42.4,42.4,40.7,42.0,6000,-134600.0
130,2014-06-16,41.0,42.0,41.0,42.0,6200,75600.0
131,2014-06-17,42.0,42.0,40.55,41.7,3300,41585.0
132,2014-06-18,41.7,43.85,41.5,43.85,11000,183310.0
133,2014-06-19,43.85,45.0,43.0,44.0,1878200,74810.0
134,2014-06-20,44.0,44.0,44.0,44.0,200,0.0
135,2014-06-23,43.0,45.0,43.0,45.0,79100,960300.0
136,2014-06-24,45.0,45.2,43.05,43.2,22600,-31690.0
137,2014-06-25,43.2,43.2,43.2,43.2,400,0.0
138,2014-06-26,43.2,43.3,43.2,43.2,2000,-56170.0
139,2014-06-27,43.0,43.0,42.0,42.0,900,-12900.0
140,2014-06-30,42.0,43.0,42.0,43.0,1736600,-1285700.0
141,2014-07-01,44.5,44.5,43.0,43.0,47400,281815.0
142,2014-07-02,43.0,44.2,43.0,44.15,206500,6696180.0
143,2014-07-03,44.0,44.1,44.0,44.1,71000,1760895.0
144,2014-07-04,44.2,44.55,44.2,44.55,279100,759450.0
145,2014-07-07,45.0,45.0,44.3,45.0,123400,1023280.0
146,2014-07-08,45.0,45.5,45.0,45.05,728500,3024680.0
147,2014-07-09,45.0,47.0,45.0,45.5,79500,-332355.0
148,2014-07-10,45.5,45.5,45.1,45.2,100500,488000.0
149,2014-07-11,45.0,45.2,45.0,45.2,352400,591700.0
150,2014-07-14,45.0,45.2,45.0,45.2,85900,2362500.0
151,2014-07-17,45.2,46.0,45.0,45.5,332800,1928120.0
152,2014-07-18,46.0,48.75,45.5,46.9,69600,-1222000.0
153,2014-07-21,47.0,47.7,46.9,46.9,15500,-521700.0
154,2014-07-22,46.9,46.9,45.5,46.0,3600,0.0
155,2014-07-23,45.4,47.0,45.0,45.65,29600,-149240.0
156,2014-07-24,46.85,47.0,46.0,46.6,84900,476025.0
157,2014-07-25,46.9,48.0,46.6,47.55,424500,-2620355.0
158,2014-07-28,47.55,53.0,47.55,51.2,108700,-895530.0
159,2014-07-30,52.5,56.8,52.5,53.5,190610,-7840812.0
160,2014-07-31,54.05,54.05,51.0,51.0,192320,-517086.0
161,2014-08-01,50.0,51.0,49.5,51.0,1318550,27909510.0
162,2014-08-04,52.0,55.0,52.0,52.0,23440,91890.0
163,2014-08-05,52.95,52.95,51.0,51.2,32190,-858547.0
164,2014-08-06,52.0,52.5,52.0,52.5,6860,0.0
165,2014-08-07,53.0,53.0,52.4,52.5,46690,-838025.0
166,2014-08-08,52.5,52.5,52.5,52.5,744780,-1227450.0
167,2014-08-11,52.5,52.6,52.5,52.6,65210,-3002651.0
168,2014-08-12,53.0,53.0,52.3,52.6,240520,-340594.0
169,2014-08-13,52.6,53.0,52.0,53.0,16340,500.0
170,2014-08-14,52.95,53.0,52.1,52.6,1514730,-372841.0
171,2014-08-15,52.6,54.9,52.5,53.45,37590,-669776.0
172,2014-08-18,50.05,50.05,43.5,43.5,191200,412170.0
173,2014-08-19,43.55,45.45,43.55,44.6,46200,-280665.0
174,2014-08-20,44.65,44.65,42.2,44.2,18900,-302310.0
175,2014-08-22,44.2,44.2,42.4,42.4,74400,-1264330.0
176,2014-08-26,42.4,42.4,41.05,42.0,18900,-360580.0
177,2014-08-27,42.0,45.0,41.0,41.0,56500,-1409200.0
178,2014-08-28,41.05,41.05,40.0,40.5,96000,1298705.0
179,2014-08-29,40.5,42.1,40.5,42.0,169500,2349135.0
180,2014-09-01,42.5,43.0,42.5,43.0,113000,-1715880.0
181,2014-09-02,42.05,43.45,42.05,42.5,23800,12265.0
182,2014-09-03,41.0,42.0,40.7,42.0,721200,-567000.0
183,2014-09-04,41.0,41.0,40.8,40.9,75100,-507670.0
184,2014-09-05,40.5,40.5,40.0,40.0,85000,1977145.0
185,2014-09-08,40.0,40.4,40.0,40.4,39700,619320.0
186,2014-09-09,40.0,42.0,40.0,41.0,174200,-3284400.0
187,2014-09-10,41.0,41.5,41.0,41.0,344100,-1276815.0
188,2014-09-11,41.7,41.7,41.0,41.1,92000,-3479235.0
