,Date,Open,High,Low,Close,Volume,OtherData
0,2011-12-28,82.0,82.0,41.0,41.0,1029660,0.0
1,2011-12-29,61.5,61.5,61.5,61.5,500,0.0
2,2012-02-03,82.0,92.25,82.0,92.25,20000,0.0
3,2012-02-06,138.3,138.3,135.0,137.0,2020,0.0
4,2012-03-05,140.0,195.0,140.0,145.0,1940,0.0
5,2012-03-06,160.0,199.0,160.0,192.0,470,0.0
6,2012-03-07,180.0,180.0,180.0,180.0,20,0.0
7,2012-03-08,121.1,145.0,121.0,145.0,290,0.0
8,2012-03-15,150.0,150.0,150.0,150.0,20,0.0
9,2012-03-16,170.0,220.0,170.0,220.0,220,0.0
10,2012-03-19,250.0,250.0,250.0,250.0,100,0.0
11,2012-04-25,299.8,299.8,299.8,299.8,200,0.0
12,2012-04-26,300.0,300.0,290.0,290.0,130,0.0
13,2012-05-10,145.0,279.0,145.0,279.0,170,0.0
14,2012-07-10,250.0,279.0,250.0,279.0,100,0.0
15,2012-07-23,160.0,180.0,141.0,180.0,590,0.0
16,2012-07-24,150.1,179.0,150.1,156.0,240,0.0
17,2012-07-25,156.0,156.0,140.0,140.0,170,0.0
18,2012-07-26,141.0,141.0,141.0,141.0,60,0.0
19,2012-08-06,139.5,139.5,139.5,139.5,10,0.0
20,2012-08-13,169.0,169.0,168.0,169.0,140,0.0
21,2012-08-14,100.0,100.0,100.0,100.0,140,0.0
22,2012-08-16,101.1,101.1,90.0,90.0,200,0.0
23,2012-08-24,120.0,120.0,120.0,120.0,20,0.0
24,2012-09-12,100.1,100.1,100.0,100.0,110,0.0
25,2012-09-13,100.0,100.1,100.0,100.0,580,0.0
26,2012-10-03,80.1,80.1,80.0,80.0,100,0.0
27,2012-10-09,80.0,80.0,80.0,80.0,20,0.0
28,2012-10-17,80.0,80.0,80.0,80.0,70,0.0
29,2012-10-31,99.45,99.45,99.45,99.45,90,0.0
30,2012-11-09,90.0,90.0,90.0,90.0,30,0.0
31,2012-12-04,103.0,103.0,103.0,103.0,10,0.0
32,2012-12-19,100.0,102.9,100.0,102.9,110,0.0
33,2013-01-04,120.0,125.0,115.0,125.0,170,0.0
34,2013-01-08,62.5,124.0,62.5,124.0,20,0.0
35,2013-01-10,73.0,73.0,73.0,73.0,20,0.0
36,2013-01-21,104.0,104.0,104.0,104.0,20,0.0
37,2013-03-22,85.0,85.0,85.0,85.0,40,0.0
38,2013-05-06,73.05,73.05,73.05,73.05,100,0.0
39,2013-05-07,100.0,100.0,100.0,100.0,100,0.0
40,2013-05-28,73.25,73.25,73.25,73.25,10,0.0
41,2013-06-21,109.8,109.8,109.0,109.8,60,0.0
42,2013-06-24,109.8,109.8,109.8,109.8,10,0.0
43,2013-06-26,73.2,73.2,73.2,73.2,20,0.0
44,2013-06-28,73.0,73.0,73.0,73.0,30,0.0
45,2013-07-09,73.0,73.0,73.0,73.0,41500,0.0
46,2013-08-23,73.0,73.0,73.0,73.0,138100,0.0
47,2013-09-11,73.0,73.0,73.0,73.0,30,0.0
48,2013-10-02,109.5,109.5,109.5,109.5,10,0.0
49,2013-10-03,120.0,120.0,120.0,120.0,30,0.0
50,2013-10-07,138.0,180.0,138.0,173.0,260,0.0
51,2013-10-08,173.0,246.0,173.0,246.0,190,0.0
52,2013-10-09,228.0,228.0,228.0,228.0,10,0.0
53,2013-10-10,194.0,219.0,194.0,219.0,40,0.0
54,2013-10-11,200.0,200.0,129.0,129.0,130,0.0
55,2013-11-13,148.3,190.0,148.3,190.0,60,0.0
56,2013-11-28,189.0,220.0,189.0,215.0,100,0.0
57,2013-11-29,258.0,258.0,258.0,258.0,10,0.0
58,2013-12-05,200.0,200.0,200.0,200.0,100,0.0
59,2013-12-06,200.0,200.0,200.0,200.0,80,0.0
60,2013-12-12,210.0,210.0,210.0,210.0,20,0.0
61,2014-01-16,107.5,107.5,107.5,107.5,10,1075.0
62,2014-01-17,130.0,130.0,130.0,130.0,20,0.0
63,2014-01-20,130.0,140.0,130.0,140.0,120,0.0
64,2014-01-21,120.0,130.0,120.0,130.0,90,0.0
65,2014-01-24,150.0,150.0,150.0,150.0,10,0.0
66,2014-01-29,150.0,150.0,150.0,150.0,20,0.0
67,2014-01-30,120.0,120.0,120.0,120.0,20,0.0
68,2014-02-04,120.0,120.0,120.0,120.0,10,0.0
69,2014-02-05,120.0,120.0,120.0,120.0,10,0.0
70,2014-02-17,80.0,120.0,80.0,120.0,60,0.0
71,2014-03-17,100.0,100.0,85.0,100.0,90,0.0
72,2014-03-19,120.0,129.9,102.0,115.0,90,0.0
73,2014-04-07,100.0,100.0,100.0,100.0,10,0.0
74,2014-04-08,103.7,103.7,103.7,103.7,30,0.0
75,2014-04-28,104.0,104.0,104.0,104.0,120,0.0
76,2014-05-13,70.1,85.0,70.1,85.0,40,0.0
77,2014-06-03,72.05,72.05,72.0,72.0,100,6480.0
78,2014-06-04,85.0,94.95,85.0,94.95,40,0.0
79,2014-06-05,95.0,95.0,95.0,95.0,10,0.0
80,2014-06-19,115.0,142.5,115.0,142.5,380,-1425.0
81,2014-06-20,198.0,213.6,198.0,213.6,360,0.0
82,2014-06-23,320.4,320.4,290.0,298.0,360,0.0
83,2014-06-24,445.0,445.0,299.0,299.0,420,0.0
84,2014-06-25,180.0,180.0,150.0,177.0,3360,17600.0
85,2014-06-26,180.0,181.3,180.0,181.0,810,5434.0
86,2014-06-27,181.0,181.0,177.0,177.0,740,0.0
87,2014-06-30,177.0,177.0,170.0,170.0,260,0.0
88,2014-07-03,170.0,172.0,170.0,172.0,20,0.0
89,2014-07-08,174.0,174.0,173.0,173.0,100,-1730.0
90,2014-07-10,173.0,173.0,150.0,150.0,40,0.0
91,2014-07-23,100.0,100.0,100.0,100.0,600,0.0
92,2014-07-30,120.0,120.0,120.0,120.0,20,0.0
93,2014-07-31,120.0,120.0,120.0,120.0,170,0.0
94,2014-08-04,120.0,120.0,120.0,120.0,10,0.0
95,2014-08-07,180.0,180.0,180.0,180.0,500,-1800.0
96,2014-08-08,180.0,185.8,180.0,180.0,520,0.0
97,2014-08-11,116.0,116.5,116.0,116.5,20,0.0
98,2014-08-12,162.0,163.0,121.1,121.1,60,0.0
99,2014-08-13,122.2,128.5,121.1,128.5,190,0.0
100,2014-08-14,161.0,162.0,161.0,162.0,260,0.0
101,2014-08-15,162.0,162.0,162.0,162.0,10,0.0
102,2014-08-18,162.0,162.0,162.0,162.0,50,0.0
103,2014-08-20,140.0,140.0,140.0,140.0,30,0.0
104,2014-08-22,140.1,140.1,140.0,140.0,90,0.0
105,2014-08-26,141.0,141.1,141.0,141.0,70,0.0
106,2014-08-27,140.0,141.0,140.0,141.0,120,0.0
107,2014-08-28,141.0,141.0,141.0,141.0,10,0.0
108,2014-09-01,140.0,140.0,140.0,140.0,30,0.0
109,2014-09-02,125.0,125.0,125.0,125.0,70,0.0
110,2014-09-05,126.0,126.0,125.0,125.0,340,0.0
111,2014-09-09,125.0,125.0,125.0,125.0,10,0.0
112,2014-09-10,125.0,125.0,125.0,125.0,40,0.0
113,2014-09-12,125.0,125.0,125.0,125.0,50,0.0
114,2014-09-16,125.0,125.0,125.0,125.0,20,0.0
115,2014-09-22,125.0,125.0,125.0,125.0,20,0.0
116,2014-09-24,125.0,125.0,100.0,100.0,650,0.0
117,2014-09-25,144.0,144.0,140.0,140.0,20,0.0
118,2014-09-29,140.0,140.0,139.9,140.0,160,0.0
119,2014-10-01,149.0,149.0,149.0,149.0,30,0.0
120,2014-10-31,100.0,100.0,100.0,100.0,10,0.0
121,2014-11-05,100.0,100.0,100.0,100.0,20,0.0
122,2014-11-07,100.0,100.0,100.0,100.0,220,0.0
123,2014-11-12,100.0,100.0,100.0,100.0,100,0.0
124,2014-11-20,102.0,120.0,102.0,120.0,180,0.0
125,2014-11-26,115.0,115.0,115.0,115.0,70,0.0
126,2014-11-28,121.0,121.0,121.0,121.0,30,0.0
127,2014-12-01,120.0,120.0,120.0,120.0,250,0.0
128,2014-12-03,120.0,120.0,120.0,120.0,100,0.0
129,2015-01-09,120.0,120.0,120.0,120.0,20,0.0
130,2015-01-30,75.1,85.0,75.1,85.0,90,0.0
131,2015-02-02,100.0,100.0,100.0,100.0,10,0.0
132,2015-02-12,95.0,95.0,95.0,95.0,60,0.0
133,2015-03-06,100.0,100.0,99.0,100.0,90,0.0
134,2015-03-17,100.0,100.0,100.0,100.0,220,0.0
135,2015-04-06,90.0,150.0,90.0,150.0,1110,0.0
136,2015-04-07,225.0,225.0,212.0,225.0,4420,-13350.0
137,2015-04-08,250.0,300.0,225.0,243.0,3590,0.0
138,2015-04-10,243.2,244.0,146.0,200.0,810,-14000.0
139,2015-04-13,200.0,200.0,200.0,200.0,50,-6000.0
140,2015-04-14,195.0,195.0,131.0,141.0,150,-248.0
141,2015-04-15,141.0,196.0,141.0,194.0,400,-1940.0
142,2015-04-16,194.0,194.0,194.0,194.0,10,0.0
143,2015-04-17,193.0,194.0,193.0,194.0,60,0.0
144,2015-04-20,141.0,185.0,141.0,185.0,60,0.0
145,2015-04-21,199.0,199.0,199.0,199.0,20,0.0
146,2015-04-22,146.0,180.0,146.0,174.0,250,0.0
147,2015-04-23,220.0,220.0,165.0,185.0,150,0.0
148,2015-04-24,166.0,198.0,166.0,175.0,260,0.0
149,2015-04-27,170.0,170.0,170.0,170.0,770,0.0
150,2015-04-28,170.0,170.0,169.0,169.0,1050,0.0
151,2015-04-29,159.0,159.0,145.0,150.0,360,0.0
152,2015-04-30,150.0,150.0,150.0,150.0,100,0.0
153,2015-05-04,150.0,150.0,150.0,150.0,70,0.0
154,2015-05-05,132.0,132.0,132.0,132.0,10,0.0
155,2015-05-07,131.0,135.0,131.0,135.0,110,0.0
156,2015-05-08,135.0,135.0,135.0,135.0,20,0.0
157,2015-05-11,125.0,125.0,125.0,125.0,30,0.0
158,2015-05-12,125.1,125.1,125.1,125.1,10,-1251.0
159,2015-05-13,125.0,125.0,125.0,125.0,50,-1250.0
160,2015-05-14,127.0,127.0,127.0,127.0,200,0.0
161,2015-05-18,125.0,125.0,125.0,125.0,70,0.0
162,2015-05-22,139.9,145.0,139.0,145.0,180,0.0
163,2015-05-25,145.0,145.0,145.0,145.0,70,0.0
164,2015-05-26,100.0,100.0,100.0,100.0,20,0.0
165,2015-05-27,105.0,105.0,105.0,105.0,50,0.0
166,2015-05-28,101.0,101.0,101.0,101.0,90,0.0
167,2015-06-01,102.0,102.0,102.0,102.0,70,0.0
168,2015-06-10,106.0,106.0,105.0,105.0,130,0.0
169,2015-06-15,107.0,107.0,107.0,107.0,20,0.0
