,Date,Open,High,Low,Close,Volume,OtherData
0,2017-08-08,11.04,11.22,10.56,10.56,136394000,31492999
1,2017-08-09,10.56,10.62,9.5,10.04,58050400,-1712641
2,2017-08-10,10.1,10.38,9.95,9.99,10687700,13954300
3,2017-08-11,9.97,9.97,9.35,9.58,10538800,2852887
4,2017-08-14,9.53,9.8,9.45,9.5,6202800,-4513484
5,2017-08-15,9.51,10.14,9.5,10.12,9648200,9267222
6,2017-08-16,10.2,10.46,10.14,10.3,8789300,-2492280
7,2017-08-17,10.36,10.54,10.2,10.42,6395200,-4177092
8,2017-08-18,10.38,10.48,10.2,10.26,3049200,1080630
9,2017-08-22,10.24,10.24,9.98,10.0,3121000,2200701
10,2017-08-23,10.04,10.34,10.0,10.22,3056900,6028
11,2017-08-24,10.24,10.5,10.08,10.5,6928500,-287902
12,2017-08-25,10.5,10.76,10.38,10.72,10080500,-13503714
13,2017-08-29,10.72,10.76,10.42,10.42,5127200,158730
14,2017-08-30,10.46,10.54,10.18,10.18,3162900,104090
15,2017-08-31,10.18,10.32,10.08,10.24,2659300,102100
16,2017-09-04,10.36,10.4,10.26,10.3,1026400,51500
17,2017-09-05,10.32,10.68,10.32,10.5,5866500,-335284
18,2017-09-06,10.52,10.68,10.46,10.46,2923800,-4043294
19,2017-09-07,10.46,10.6,10.46,10.5,2262600,-101944
20,2017-09-08,10.5,10.64,10.5,10.56,1612600,-738364
21,2017-09-11,10.56,10.84,10.56,10.78,20883500,-27662110
22,2017-09-13,10.88,10.9,10.48,10.48,9443400,-334060
23,2017-09-14,10.48,10.64,10.34,10.54,3283700,0
24,2017-09-15,10.6,10.62,10.28,10.34,3426700,2573860
25,2017-09-18,10.48,10.54,10.28,10.36,2340600,951080
26,2017-09-19,10.48,10.7,10.4,10.54,4917700,-3448924
27,2017-09-20,10.64,10.64,10.38,10.4,2579500,2510580
28,2017-09-21,10.4,10.5,10.38,10.44,2094700,718288
29,2017-09-22,10.5,10.5,10.22,10.22,4510500,10863940
30,2017-09-25,10.24,10.36,10.04,10.04,3952600,294310
31,2017-09-26,10.04,10.04,9.86,9.97,4755400,1351652
32,2017-09-27,9.98,10.1,9.94,9.94,1831300,-2539931
33,2017-09-28,9.97,10.08,9.9,9.9,1816700,1818193
34,2017-09-29,9.9,10.2,9.9,10.2,1846000,4917389
35,2017-10-02,10.28,10.28,9.98,10.0,1212600,-220412
36,2017-10-03,9.98,10.18,9.96,10.0,754700,91996
37,2017-10-04,9.96,10.0,9.95,9.95,1010400,-41046
38,2017-10-05,9.94,9.99,9.92,9.92,760100,797593
39,2017-10-06,9.95,9.98,9.92,9.94,915700,203669
40,2017-10-09,9.94,9.97,9.92,9.92,630500,14910
41,2017-10-10,9.93,10.0,9.59,9.7,4636500,306907
42,2017-10-11,9.7,9.73,9.56,9.56,2586200,755742
43,2017-10-12,9.56,9.65,9.55,9.59,1195700,151822
44,2017-10-13,9.6,9.67,9.5,9.56,1960800,271850
45,2017-10-17,9.6,9.63,9.39,9.4,3390000,-9732475
46,2017-10-18,9.4,9.44,9.01,9.15,5404000,-758291
47,2017-10-19,9.15,9.58,9.15,9.43,3341400,8812428
48,2017-10-20,9.49,10.08,9.3,10.0,8504500,12480000
49,2017-10-23,10.12,10.36,9.7,9.7,7785700,-317851
50,2017-10-24,9.7,9.94,9.7,9.82,2137400,6391688
51,2017-10-25,9.8,9.9,9.54,9.56,1251600,641264
52,2017-10-26,9.55,9.7,9.5,9.52,926900,17244
53,2017-10-27,9.52,9.52,9.4,9.4,1912600,36783
54,2017-10-30,9.4,9.52,9.39,9.49,435000,935522
55,2017-11-02,9.49,9.49,9.31,9.4,1266100,-5631
56,2017-11-03,9.42,9.77,9.41,9.77,1331400,-43845
57,2017-11-06,9.78,9.8,9.38,9.38,2500300,932790
58,2017-11-07,9.37,9.45,9.31,9.38,1477700,80371
59,2017-11-09,9.38,9.94,9.36,9.57,3720800,-13014
60,2017-11-10,9.66,9.66,9.32,9.35,1618400,109464
61,2017-11-13,9.38,9.49,9.17,9.24,3714100,4833810
62,2017-11-14,9.18,9.31,9.17,9.25,650500,83160
63,2017-11-15,9.3,9.3,9.22,9.27,484400,0
64,2017-11-16,9.3,9.47,9.13,9.2,4942600,27605587
65,2017-11-17,9.25,9.37,9.25,9.27,477300,229005
66,2017-11-20,9.3,9.3,9.13,9.15,1067000,163085
67,2017-11-21,9.15,9.18,9.11,9.15,799500,51183
68,2017-11-22,9.15,9.16,9.04,9.11,3037800,9119037
69,2017-11-23,9.11,9.13,9.01,9.1,1488900,39034
70,2017-11-24,9.12,9.12,9.0,9.02,966900,25244
71,2017-11-27,9.02,9.05,8.64,9.05,5572500,9128309
