,Date,Open,High,Low,Close,Volume,OtherData
0,2010-12-09,4.15,4.2,4.01,4.2,7655000,495470
1,2010-12-10,4.09,4.09,3.89,3.89,2416000,-287660
2,2010-12-13,3.93,3.99,3.88,3.88,838000,59100
3,2010-12-14,3.69,3.85,3.69,3.79,945000,11430
4,2010-12-15,3.7,3.7,3.31,3.35,1194000,-30540
5,2010-12-16,3.3,3.32,3.15,3.16,613000,70100
6,2010-12-17,3.1,3.1,2.98,2.99,417000,155920
7,2010-12-20,3.0,3.36,3.0,3.12,3707000,0
8,2010-12-21,3.18,3.29,3.18,3.22,86000,3160
9,2010-12-22,3.22,3.23,3.2,3.2,35000,9620
10,2010-12-23,3.2,3.22,3.19,3.19,93000,12860
11,2010-12-28,3.18,3.18,3.1,3.1,58000,38140
12,2010-12-29,3.1,3.1,3.07,3.07,242000,18420
13,2010-12-30,3.1,3.1,3.0,3.0,448000,15000
14,2011-01-03,2.96,3.02,2.96,3.02,65000,0
15,2011-01-04,3.05,3.23,3.05,3.16,202000,-74780
16,2011-01-05,3.05,3.05,3.05,3.05,55000,9150
17,2011-01-06,3.0,3.15,3.0,3.09,270000,-3000
18,2011-01-07,3.02,3.02,3.02,3.02,11000,0
19,2011-01-10,3.05,3.05,3.01,3.03,27000,0
20,2011-01-11,3.0,3.05,2.99,3.0,399000,0
21,2011-01-12,3.0,3.0,2.98,2.98,172000,30000
22,2011-01-13,3.0,3.03,3.0,3.02,184000,39360
23,2011-01-14,3.0,3.09,3.0,3.03,55000,0
24,2011-01-17,3.0,3.0,2.9,3.0,272000,0
25,2011-01-18,3.0,3.03,3.0,3.0,139000,6020
26,2011-01-19,2.99,3.0,2.99,3.0,64000,30000
27,2011-01-20,2.99,3.0,2.99,3.0,3000,0
28,2011-01-21,3.0,3.0,3.0,3.0,15000,0
29,2011-01-25,3.05,3.05,3.0,3.0,75000,0
30,2011-01-26,3.0,3.0,3.0,3.0,52000,0
31,2011-01-27,3.0,3.04,3.0,3.04,58000,12040
32,2011-01-28,3.04,3.04,2.98,2.98,33000,-3040
33,2011-01-31,2.98,2.98,2.95,2.95,48000,0
34,2011-02-01,2.95,2.95,2.92,2.92,114000,0
35,2011-02-02,2.92,2.92,2.92,2.92,60000,0
36,2011-02-03,2.88,2.92,2.88,2.92,7000,2880
37,2011-02-04,2.9,2.92,2.9,2.92,25000,0
38,2011-02-07,2.9,2.9,2.88,2.88,148000,0
39,2011-02-08,2.87,2.87,2.87,2.87,50000,0
40,2011-02-09,2.85,2.86,2.82,2.82,168000,22780
41,2011-02-10,2.82,2.82,2.75,2.75,299000,-421770
42,2011-02-11,2.77,2.8,2.77,2.8,75000,0
43,2011-02-15,2.88,2.99,2.8,2.99,243000,8400
44,2011-02-16,2.99,2.99,2.99,2.99,90000,0
45,2011-02-18,2.86,2.9,2.86,2.9,11000,-29000
46,2011-02-21,2.8,2.8,2.75,2.75,97000,0
47,2011-02-24,2.76,2.76,2.76,2.76,4000,0
48,2011-02-25,2.76,2.76,2.75,2.75,79000,-126500
49,2011-02-28,2.75,2.77,2.75,2.76,35000,0
50,2011-03-01,2.75,2.75,2.75,2.75,15000,0
51,2011-03-04,2.76,2.76,2.76,2.76,22000,0
52,2011-03-07,2.75,2.76,2.75,2.76,12000,0
53,2011-03-08,2.75,2.76,2.75,2.76,27000,0
54,2011-03-10,2.73,2.76,2.7,2.73,71000,0
55,2011-03-11,2.71,2.71,2.66,2.66,90000,-2700
56,2011-03-14,2.68,2.7,2.68,2.7,10000,-5360
57,2011-03-15,2.7,2.7,2.7,2.7,35000,0
58,2011-03-16,2.7,2.7,2.7,2.7,25000,0
59,2011-03-17,2.68,2.68,2.66,2.66,8000,0
60,2011-03-18,2.7,2.7,2.7,2.7,4000,10800
61,2011-03-21,2.7,2.7,2.68,2.7,125000,0
62,2011-03-22,2.7,2.8,2.7,2.8,95000,0
63,2011-03-23,2.89,2.89,2.89,2.89,11000,0
64,2011-03-24,2.87,2.87,2.87,2.87,9000,0
65,2011-03-25,2.87,2.87,2.87,2.87,53000,0
66,2011-03-28,2.85,2.85,2.72,2.72,77000,0
67,2011-03-29,2.8,2.8,2.79,2.79,31000,2800
68,2011-03-30,2.78,2.79,2.78,2.79,54000,0
69,2011-03-31,2.79,2.79,2.76,2.76,8000,0
70,2011-04-01,2.79,2.8,2.79,2.79,1226000,0
71,2011-04-04,2.75,2.75,2.75,2.75,32000,0
72,2011-04-05,2.75,2.75,2.75,2.75,30000,0
73,2011-04-07,2.75,2.75,2.72,2.72,133000,0
74,2011-04-08,2.71,2.71,2.71,2.71,114000,0
75,2011-04-11,2.71,2.71,2.71,2.71,75000,0
76,2011-04-12,2.72,2.72,2.71,2.71,95000,0
77,2011-04-13,2.7,2.75,2.7,2.75,95000,13750
78,2011-04-14,2.75,2.75,2.71,2.71,130000,0
79,2011-04-15,2.75,2.85,2.73,2.73,162000,0
80,2011-04-18,2.7,2.75,2.7,2.74,55000,0
81,2011-04-19,2.72,2.72,2.72,2.72,80000,0
82,2011-04-20,2.75,2.75,2.71,2.71,47000,0
83,2011-04-25,2.71,2.71,2.71,2.71,5000,0
84,2011-04-26,2.71,2.71,2.69,2.69,36000,0
85,2011-04-27,2.69,2.69,2.69,2.69,8000,0
86,2011-04-28,2.67,2.67,2.66,2.66,64000,0
87,2011-04-29,2.66,2.7,2.66,2.7,23000,0
88,2011-05-03,2.68,2.68,2.68,2.68,33000,0
89,2011-05-05,2.68,2.68,2.66,2.67,45000,0
90,2011-05-06,2.66,2.66,2.5,2.5,65000,0
91,2011-05-09,2.55,2.55,2.5,2.5,235000,7530
92,2011-05-10,2.5,2.5,2.5,2.5,1000,0
93,2011-05-11,2.51,2.51,2.51,2.51,10000,0
94,2011-05-12,2.65,2.65,2.6,2.6,25000,0
95,2011-05-13,2.52,2.52,2.52,2.52,20000,0
96,2011-05-17,2.55,2.55,2.55,2.55,37000,0
97,2011-05-18,2.55,2.55,2.53,2.53,6000,0
98,2011-05-19,2.53,2.53,2.53,2.53,4000,0
99,2011-05-20,2.53,2.53,2.5,2.5,147000,0
100,2011-05-23,2.49,2.5,2.49,2.5,12000,24900
101,2011-05-24,2.48,2.48,2.48,2.48,103000,0
102,2011-05-25,2.48,2.48,2.48,2.48,3000,0
103,2011-05-26,2.48,2.48,2.48,2.48,2000,0
104,2011-05-31,2.68,2.68,2.68,2.68,4000,0
105,2011-06-02,2.48,2.48,2.38,2.38,169000,0
106,2011-06-03,2.53,2.53,2.44,2.44,22000,0
107,2011-06-06,2.53,2.53,2.49,2.49,37000,0
108,2011-06-07,2.49,2.53,2.49,2.53,50000,0
109,2011-06-08,2.54,2.55,2.54,2.55,38000,-15300
110,2011-06-09,2.5,2.6,2.5,2.6,16000,0
111,2011-06-10,2.57,2.58,2.57,2.58,21000,0
112,2011-06-14,2.56,2.56,2.5,2.5,80000,0
113,2011-06-15,2.6,2.6,2.5,2.5,152000,0
114,2011-06-16,2.44,2.5,2.44,2.5,4000,0
115,2011-06-17,2.66,2.66,2.64,2.65,116000,282930
116,2011-06-27,2.52,2.52,2.52,2.52,1000,0
117,2011-06-28,2.52,2.63,2.52,2.63,104000,263000
118,2011-06-29,2.63,2.64,2.63,2.64,3000,0
119,2011-07-01,2.52,2.52,2.52,2.52,5000,0
120,2011-07-04,2.54,2.6,2.52,2.54,91000,0
121,2011-07-05,2.6,2.6,2.5,2.5,16000,26000
122,2011-07-06,2.62,2.62,2.62,2.62,21000,0
123,2011-07-07,2.64,2.64,2.62,2.62,6000,0
124,2011-07-08,2.56,2.56,2.56,2.56,4000,0
125,2011-07-11,2.5,2.51,2.5,2.51,19000,0
126,2011-07-12,2.51,2.54,2.51,2.54,33000,0
127,2011-07-14,2.64,2.64,2.52,2.54,9000,0
128,2011-07-15,2.55,2.55,2.55,2.55,3000,7650
129,2011-07-18,2.54,2.56,2.54,2.56,74000,7620
130,2011-07-19,2.52,2.52,2.5,2.5,32000,0
131,2011-07-20,2.6,2.6,2.5,2.5,4000,0
132,2011-07-21,2.55,2.55,2.55,2.55,52000,0
133,2011-07-22,2.5,2.6,2.49,2.49,100000,12500
134,2011-07-25,2.5,2.5,2.5,2.5,2000,0
135,2011-07-28,2.5,2.5,2.5,2.5,80000,0
136,2011-07-29,2.55,2.55,2.53,2.53,51000,12750
137,2011-08-01,2.5,2.5,2.5,2.5,20000,0
138,2011-08-02,2.55,2.55,2.5,2.5,16000,0
139,2011-08-03,2.5,2.5,2.44,2.44,40000,0
140,2011-08-04,2.46,2.46,2.46,2.46,1000,0
141,2011-08-05,2.46,2.5,2.44,2.44,72000,0
142,2011-08-08,2.64,2.7,2.41,2.41,83000,0
143,2011-08-09,2.41,2.41,2.38,2.38,138000,120500
144,2011-08-10,2.39,2.42,2.39,2.42,73000,9680
145,2011-08-11,2.4,2.4,2.36,2.36,80000,0
146,2011-08-15,2.4,2.4,2.4,2.4,1000,0
147,2011-08-16,2.51,2.64,2.51,2.52,175000,12600
148,2011-08-17,2.54,2.55,2.5,2.5,49000,12500
149,2011-08-19,2.54,2.54,2.52,2.52,16000,0
150,2011-08-22,2.54,2.58,2.54,2.58,119000,0
151,2011-08-23,2.5,2.53,2.2,2.53,672000,0
152,2011-08-24,2.53,2.53,2.53,2.53,4000,0
153,2011-08-25,2.51,2.52,2.51,2.52,80000,0
154,2011-08-26,2.6,2.7,2.45,2.51,277000,2620
155,2011-08-31,2.7,2.7,2.65,2.65,32000,0
156,2011-09-01,2.65,2.65,2.65,2.65,21000,0
157,2011-09-02,2.65,2.68,2.64,2.65,70000,0
158,2011-09-05,2.5,2.55,2.5,2.54,85000,0
159,2011-09-06,2.68,2.68,2.52,2.52,21000,0
160,2011-09-07,2.53,2.53,2.53,2.53,2000,0
161,2011-09-08,2.55,2.55,2.55,2.55,14000,0
162,2011-09-09,2.53,2.53,2.53,2.53,139000,25300
163,2011-09-12,2.68,2.68,2.51,2.52,105000,25200
164,2011-09-13,2.52,2.68,2.52,2.68,8000,0
165,2011-09-14,2.65,2.65,2.51,2.55,52000,-2650
166,2011-09-16,2.55,2.55,2.55,2.55,7000,0
167,2011-09-19,2.55,2.55,2.55,2.55,2000,0
168,2011-09-20,2.53,2.53,2.5,2.5,119000,0
169,2011-09-21,2.69,2.69,2.69,2.69,8000,0
170,2011-09-22,2.65,2.65,2.65,2.65,19000,-26500
