,Date,Open,High,Low,Close,Volume,OtherData
0,2014-05-06,15.5,16.04,15.0,15.2,60827600.0,209089874.0
1,2014-05-07,15.3,15.36,14.6,14.62,18573300.0,81975106.0
2,2014-05-08,14.64,14.96,14.62,14.92,9239000.0,40675920.0
3,2014-05-09,14.98,15.3,14.98,15.3,11638600.0,48536228.0
4,2014-05-12,15.4,16.1,15.4,15.98,19706900.0,92028056.0
5,2014-05-13,16.1,16.2,15.78,15.84,5617000.0,15671146.0
6,2014-05-14,15.96,16.06,15.84,16.0,10407000.0,96702588.0
7,2014-05-15,16.0,16.06,15.82,15.96,4441700.0,51037940.0
8,2014-05-16,15.8,15.8,15.42,15.5,3236800.0,21677166.0
9,2014-05-19,15.54,16.0,15.54,16.0,3502600.0,20260856.0
10,2014-05-20,16.04,16.1,15.76,15.96,2001200.0,13744754.0
11,2014-05-21,15.9,15.92,15.62,15.8,2100600.0,21063300.0
12,2014-05-22,15.84,16.5,15.84,16.36,9032600.0,29726452.0
13,2014-05-23,16.46,16.46,16.1,16.2,2613100.0,20821914.0
14,2014-05-26,16.24,17.02,16.24,16.9,9585000.0,2790872.0
15,2014-05-27,17.0,17.0,16.7,16.74,1842700.0,176076.0
16,2014-05-28,16.86,16.96,16.76,16.82,1626300.0,12011184.0
17,2014-05-29,16.82,16.92,16.56,16.64,3673200.0,30054932.0
18,2014-05-30,16.64,16.74,16.5,16.72,1242200.0,11243072.0
19,2014-06-02,16.72,16.86,16.72,16.8,1262700.0,7997400.0
20,2014-06-03,16.8,16.9,16.8,16.82,456500.0,1679144.0
21,2014-06-04,16.96,17.2,16.8,16.86,3295000.0,20727492.0
22,2014-06-05,16.88,16.9,16.64,16.74,2270200.0,21917204.0
23,2014-06-06,16.76,16.86,16.76,16.8,2369200.0,23955026.0
24,2014-06-09,16.8,16.82,16.36,16.36,2915800.0,26350938.0
25,2014-06-10,16.52,16.6,16.34,16.42,1171500.0,12275008.0
26,2014-06-11,16.42,16.74,16.3,16.68,1359900.0,6708296.0
27,2014-06-13,16.64,16.68,16.5,16.66,782300.0,5919700.0
28,2014-06-16,16.66,16.66,16.54,16.6,583700.0,4180330.0
29,2014-06-17,16.6,16.6,16.36,16.4,1055300.0,13071448.0
30,2014-06-18,16.38,16.4,16.2,16.22,2051000.0,16548942.0
31,2014-06-19,16.32,16.48,16.3,16.32,889500.0,10293930.0
