,Date,Open,High,Low,Close,Volume,OtherData
0,2012-10-23,1.36,1.5,1.34,1.5,301547000,7387000.0
1,2012-10-24,1.67,1.68,1.42,1.5,249019000,-4390580.0
2,2012-10-25,1.53,1.57,1.38,1.5,95016000,2156320.0
3,2012-10-29,1.45,1.45,1.28,1.28,72869000,1386780.0
4,2012-10-30,1.26,1.3,1.22,1.3,38537000,-72140.0
5,2012-10-31,1.33,1.36,1.31,1.35,15410000,-81000.0
6,2012-11-05,1.3,1.38,1.27,1.3,16261000,102010.0
7,2012-11-06,1.28,1.28,1.12,1.12,67346000,1037250.0
8,2012-11-07,1.1,1.14,1.04,1.08,36124000,2728410.0
9,2012-11-08,1.09,1.09,1.06,1.09,15086000,1032170.0
10,2012-11-09,1.08,1.09,1.05,1.06,18118000,17320.0
11,2012-11-12,1.06,1.07,1.03,1.03,18607000,395860.0
12,2012-11-13,1.04,1.13,1.04,1.09,33545000,6176490.0
13,2012-11-14,1.09,1.1,1.05,1.05,11071000,10050.0
14,2012-11-15,1.06,1.06,1.03,1.03,22172000,-655900.0
15,2012-11-16,1.04,1.06,1.03,1.03,8054000,46060.0
16,2012-11-19,1.05,1.09,1.04,1.05,7984000,-3593240.0
17,2012-11-20,1.06,1.06,1.04,1.06,5187000,290000.0
18,2012-11-21,1.06,1.08,1.05,1.07,7485000,21700.0
19,2012-11-22,1.07,1.08,1.06,1.06,4626000,-1965260.0
20,2012-11-23,1.07,1.08,1.05,1.06,5258000,-21400.0
21,2012-11-26,1.06,1.07,1.06,1.07,3352000,2220.0
22,2012-11-27,1.06,1.08,1.06,1.07,2005000,0.0
23,2012-11-28,1.08,1.15,1.07,1.14,38208000,8243140.0
24,2012-11-29,1.15,1.15,1.08,1.1,8613000,13800.0
25,2012-12-03,1.1,1.12,1.06,1.07,7707000,-295950.0
26,2012-12-04,1.07,1.09,1.07,1.07,3480000,63100.0
27,2012-12-05,1.07,1.08,1.06,1.07,2267000,21200.0
28,2012-12-06,1.07,1.08,1.05,1.06,6399000,-1457830.0
29,2012-12-07,1.06,1.07,1.05,1.06,3274000,0.0
30,2012-12-10,1.06,1.07,1.04,1.06,3924000,25800.0
31,2012-12-11,1.05,1.06,1.04,1.04,4353000,-10500.0
32,2012-12-12,1.04,1.05,1.03,1.03,5092000,0.0
33,2012-12-13,1.05,1.05,1.03,1.04,2371000,-1040.0
34,2012-12-14,1.04,1.08,1.04,1.06,6809000,224700.0
35,2012-12-17,1.06,1.06,1.04,1.05,1575000,0.0
36,2012-12-18,1.05,1.05,1.02,1.03,5161000,0.0
37,2012-12-19,1.03,1.04,1.03,1.04,1531000,0.0
38,2012-12-20,1.04,1.05,1.02,1.02,1950000,-3120.0
39,2012-12-21,1.02,1.04,1.02,1.03,1339000,0.0
40,2012-12-26,1.03,1.05,1.03,1.03,3586000,0.0
41,2012-12-27,1.03,1.04,1.02,1.03,5472000,4120.0
42,2012-12-28,1.04,1.04,1.02,1.02,3183000,5150.0
