,Date,Open,High,Low,Close,Volume,OtherData
0,2013-05-14,17.6,18.1,17.18,17.86,7195600.0,11459678.0
1,2013-05-15,17.9,18.02,17.04,17.04,6544600.0,-4559124.0
2,2013-05-16,17.04,17.04,16.52,16.74,3190300.0,-761890.0
3,2013-05-17,16.74,16.74,16.6,16.62,1578900.0,-1582500.0
4,2013-05-20,16.64,17.04,16.62,16.76,1310100.0,-334100.0
5,2013-05-21,16.76,16.76,16.4,16.42,2183800.0,98450.0
6,2013-05-22,16.42,16.42,15.92,16.24,4147500.0,-1500496.0
7,2013-05-23,16.26,16.28,15.8,16.06,4518400.0,175920.0
8,2013-05-24,16.06,16.06,15.62,15.62,2705700.0,158708.0
9,2013-05-27,15.52,15.52,14.72,14.72,9365700.0,-6889388.0
10,2013-05-28,14.7,15.2,13.84,14.76,5491600.0,-2517170.0
11,2013-05-29,14.8,15.22,14.78,15.0,4743900.0,-2432690.0
12,2013-05-31,11.0,11.0,10.2,10.2,113070900.0,-776198080.0
13,2013-06-03,10.48,10.58,10.28,10.4,27443000.0,-99642170.0
14,2013-06-04,10.42,10.6,10.24,10.3,39461100.0,-116245834.0
15,2013-06-05,10.4,10.44,10.26,10.3,20499300.0,9078760.0
16,2013-06-06,10.28,10.5,10.14,10.38,11734000.0,-24554140.0
17,2013-06-07,10.38,10.72,10.38,10.6,32099200.0,-27318176.0
18,2013-06-10,10.64,10.78,10.56,10.68,31179100.0,-129367934.0
19,2013-06-11,10.72,10.72,10.22,10.22,7621700.0,-13960392.0
20,2013-06-13,10.22,10.22,9.28,9.62,10645300.0,38172830.0
21,2013-06-14,9.74,9.99,9.7,9.72,4029500.0,7533807.0
22,2013-06-17,9.7,10.14,9.4,9.95,7855300.0,15135059.0
23,2013-06-18,10.06,10.38,10.06,10.18,5762200.0,1782834.0
24,2013-06-19,10.22,10.3,9.98,10.12,3034900.0,-4465866.0
25,2013-06-20,10.1,10.1,9.7,9.73,7076400.0,18398475.0
26,2013-06-21,9.25,9.38,8.94,9.13,25163300.0,-19007554.0
27,2013-06-24,9.13,9.2,8.56,8.6,6518300.0,11061769.0
28,2013-06-25,8.57,8.72,8.0,8.7,13488300.0,16073144.0
29,2013-06-26,9.0,9.2,8.92,9.01,15935600.0,32439421.0
30,2013-06-27,9.2,9.62,9.2,9.6,18353700.0,4052656.0
31,2013-06-28,9.68,9.96,9.42,9.59,7245500.0,23510671.0
32,2013-07-01,9.57,9.78,9.49,9.69,1995800.0,4532785.0
33,2013-07-02,9.78,9.92,9.58,9.65,5409300.0,13235536.0
34,2013-07-03,9.65,10.1,9.65,9.92,11775400.0,-7629872.0
35,2013-07-04,9.9,10.16,9.9,10.0,5797200.0,-12716528.0
36,2013-07-05,10.08,10.08,9.91,9.98,1198500.0,-2154098.0
37,2013-07-08,9.98,10.0,9.65,9.72,5452700.0,478237.0
38,2013-07-09,9.76,10.16,9.65,9.82,15270900.0,10376153.0
39,2013-07-10,10.0,10.22,9.92,9.92,9854700.0,-16189045.0
40,2013-07-11,10.0,10.4,10.0,10.32,10102000.0,-2852352.0
41,2013-07-12,10.4,10.6,10.22,10.42,7778400.0,-1527046.0
42,2013-07-15,10.42,10.7,10.42,10.66,12517300.0,-15461782.0
43,2013-07-16,10.7,10.88,10.54,10.7,20014200.0,7898000.0
44,2013-07-17,10.7,10.7,10.34,10.48,4324600.0,-22935854.0
45,2013-07-18,10.5,10.9,10.5,10.88,13820200.0,32641358.0
46,2013-07-19,10.88,10.9,10.72,10.8,2460500.0,4624398.0
47,2013-07-22,10.88,10.9,10.48,10.52,2125700.0,-6422954.0
48,2013-07-23,10.6,10.76,10.5,10.64,12413100.0,-47607754.0
49,2013-07-24,10.76,11.28,10.68,11.2,47936600.0,55706328.0
50,2013-07-25,11.24,11.42,11.16,11.28,15310400.0,51034414.0
51,2013-07-26,11.32,11.4,11.14,11.16,11279000.0,1676060.0
52,2013-07-29,11.2,11.2,10.84,10.88,8349800.0,3536158.0
53,2013-07-30,10.82,10.9,10.6,10.64,13199300.0,15721162.0
54,2013-07-31,10.64,10.64,10.36,10.4,7145200.0,-4766774.0
55,2013-08-01,10.42,10.74,10.42,10.62,8514900.0,10747516.0
56,2013-08-02,10.68,10.72,10.4,10.4,5420200.0,43798.0
57,2013-08-05,10.42,10.48,10.3,10.42,4263200.0,27781788.0
58,2013-08-06,10.46,10.72,10.36,10.68,7120800.0,24218400.0
59,2013-08-07,10.68,10.74,10.52,10.68,7062200.0,20880816.0
60,2013-08-08,10.68,10.74,10.6,10.72,10125200.0,44903502.0
61,2013-08-12,10.62,10.72,10.56,10.66,5220900.0,3734302.0
62,2013-08-13,10.7,10.9,10.7,10.86,16455900.0,-15353258.0
63,2013-08-14,10.9,11.1,10.74,10.84,27725600.0,-100716332.0
64,2013-08-15,10.82,10.82,10.66,10.7,6467200.0,5591354.0
65,2013-08-16,10.7,10.7,10.46,10.5,6740000.0,2227188.0
66,2013-08-22,10.3,10.3,9.79,9.8,16235000.0,-14248701.0
67,2013-08-23,9.8,10.08,9.8,10.0,2837900.0,7056509.0
68,2013-08-27,9.92,9.92,9.4,9.58,4854000.0,1777262.0
69,2013-08-28,9.42,9.43,9.0,9.3,11073100.0,45230818.0
70,2013-08-29,9.5,9.99,9.4,9.9,2524300.0,2827920.0
71,2013-08-30,10.0,10.2,9.92,10.14,3576100.0,0.0
72,2013-09-02,10.16,10.16,9.85,10.1,3708400.0,0.0
73,2013-09-03,10.06,10.12,9.9,9.9,3480900.0,-1059944.0
74,2013-09-04,9.9,9.9,9.5,9.7,1755500.0,-3071822.0
75,2013-09-05,9.6,9.67,9.6,9.66,1633000.0,119302.0
76,2013-09-06,9.66,9.92,9.66,9.67,8826400.0,14605965.0
77,2013-09-09,9.67,9.86,9.61,9.67,1211500.0,-2042593.0
78,2013-09-10,9.7,9.88,9.7,9.8,14166800.0,25011137.0
79,2013-09-11,9.86,10.0,9.82,9.86,2287200.0,-9768938.0
80,2013-09-12,9.9,10.0,9.76,9.8,975600.0,877876.0
81,2013-09-13,9.89,9.89,9.65,9.77,657100.0,914413.0
82,2013-09-16,9.9,10.2,9.78,9.99,8060600.0,-33890286.0
83,2013-09-17,9.99,10.2,9.99,10.04,11281200.0,4896268.0
84,2013-09-18,10.04,10.04,10.0,10.02,7795200.0,-329340.0
85,2013-09-19,10.16,10.32,10.16,10.26,18227900.0,76883948.0
86,2013-09-20,10.2,10.42,10.2,10.26,8477000.0,1462196.0
87,2013-09-23,10.04,10.2,10.02,10.12,1670500.0,8405066.0
88,2013-09-24,10.18,10.24,10.08,10.1,3850800.0,20621852.0
89,2013-09-25,10.08,10.1,10.02,10.1,6493000.0,10859554.0
90,2013-09-26,10.04,10.16,10.0,10.02,4368500.0,6873298.0
91,2013-09-27,10.08,10.12,9.8,10.04,3240100.0,-12007995.0
92,2013-09-30,10.04,10.04,9.7,9.77,8512600.0,-4578716.0
93,2013-10-01,9.71,9.88,9.71,9.8,5946100.0,-7595806.0
