,Date,Open,High,Low,Close,Volume,OtherData
0,2006-12-12,1.9,1.9,1.9,1.9,2000,0
1,2006-12-14,1.9,1.9,1.9,1.9,15000,0
2,2006-12-19,2.0,2.0,2.0,2.0,500000,0
3,2006-12-21,1.8,1.8,1.8,1.8,100000,0
4,2006-12-22,1.9,1.9,1.9,1.9,50000,0
5,2006-11-07,2.0,2.0,2.0,2.0,100000,0
6,2006-11-09,1.8,1.9,1.8,1.9,10000,0
7,2006-11-29,1.8,1.8,1.8,1.8,50000,0
8,2006-11-30,1.9,1.9,1.9,1.9,55000,0
9,2006-10-11,1.6,1.6,1.6,1.6,10000,0
10,2006-10-20,1.8,1.8,1.8,1.8,10000,0
11,2006-10-25,2.0,2.0,2.0,2.0,35000,0
12,2006-10-27,2.0,2.1,2.0,2.1,130000,0
13,2006-09-19,1.2,1.2,1.2,1.2,238000,0
14,2006-09-20,1.2,1.2,1.2,1.2,162000,0
15,2006-09-21,1.22,1.22,1.22,1.22,50000,0
16,2006-09-26,1.24,1.3,1.24,1.3,200000,0
17,2007-08-13,1.8,1.8,1.8,1.8,45000,0
18,2007-08-21,1.7,1.7,1.7,1.7,10000,0
19,2007-08-23,1.7,1.7,1.7,1.7,50000,0
20,2007-08-24,1.72,1.72,1.72,1.72,50000,0
21,2007-12-10,1.82,1.82,1.82,1.82,152000,0
22,2007-12-14,1.82,1.82,1.82,1.82,66000,0
23,2007-12-17,1.84,1.84,1.82,1.82,136000,0
24,2007-12-27,1.82,1.82,1.82,1.82,230000,0
25,2007-02-13,1.74,1.74,1.74,1.74,80000,0
26,2007-02-15,1.8,1.8,1.8,1.8,100000,0
27,2007-02-19,1.9,1.9,1.9,1.9,10000,0
28,2007-01-03,1.88,1.88,1.88,1.88,20000,0
29,2007-01-16,1.86,1.86,1.86,1.86,50000,0
30,2007-01-19,1.84,1.84,1.84,1.84,100000,0
31,2007-01-22,1.84,1.84,1.84,1.84,110000,0
32,2007-01-23,1.82,1.82,1.82,1.82,100000,0
33,2007-01-24,1.8,1.82,1.8,1.8,110000,0
34,2007-01-25,1.8,1.8,1.8,1.8,40000,0
35,2007-01-26,1.8,1.8,1.76,1.76,45000,0
36,2007-01-30,1.78,1.82,1.78,1.82,130000,0
37,2007-07-03,1.76,1.76,1.76,1.76,5000,0
38,2007-07-27,1.78,1.78,1.78,1.78,130000,0
39,2007-06-13,1.8,1.8,1.8,1.8,130000,0
40,2007-06-18,1.76,1.76,1.76,1.76,30000,0
41,2007-03-08,1.72,1.72,1.72,1.72,50000,0
42,2007-03-09,1.74,1.74,1.7,1.7,110000,0
43,2007-03-19,1.72,1.72,1.72,1.72,200000,0
44,2007-03-30,1.72,1.72,1.72,1.72,80000,0
45,2007-05-02,1.7,1.72,1.7,1.7,225000,0
46,2007-05-04,1.7,1.7,1.7,1.7,250000,0
47,2007-05-08,1.7,1.7,1.7,1.7,410000,0
48,2007-05-09,1.7,1.8,1.7,1.8,360000,0
49,2007-05-23,1.8,1.8,1.8,1.8,125000,0
50,2007-05-28,1.76,1.76,1.76,1.76,87000,0
51,2007-11-13,1.82,1.82,1.82,1.82,2000,0
52,2007-11-21,1.8,1.8,1.8,1.8,160000,0
53,2007-11-22,1.82,1.82,1.82,1.82,40000,0
