,Date,Open,High,Low,Close,Volume,OtherData
0,2008-04-02,5.5,5.5,5.5,5.5,10000,0
1,2008-04-04,5.7,5.7,5.7,5.7,1000,5700
2,2008-04-08,5.7,5.7,5.7,5.7,2000,0
3,2008-04-14,5.5,5.5,5.5,5.5,3000,0
4,2008-04-15,5.5,5.5,5.5,5.5,3000,0
5,2008-04-17,5.7,5.8,5.7,5.8,12000,0
6,2008-04-22,5.7,5.7,5.7,5.7,7000,0
7,2008-04-28,5.5,5.5,5.2,5.2,14000,0
8,2008-08-01,5.0,5.0,5.0,5.0,2000,0
9,2008-08-05,5.0,5.0,5.0,5.0,10000,0
10,2008-08-06,5.0,5.0,5.0,5.0,7000,0
11,2008-08-07,7.5,7.5,7.5,7.5,10000,-75000
12,2008-08-08,11.25,11.25,10.5,10.5,38000,0
13,2008-08-11,8.0,8.0,8.0,8.0,1000,0
14,2008-08-14,5.1,5.3,5.0,5.3,68000,0
15,2008-08-15,5.5,5.7,5.5,5.7,7000,0
16,2008-08-19,6.5,6.5,6.5,6.5,9000,0
17,2008-08-21,5.7,5.7,5.5,5.5,14000,0
18,2008-08-22,5.3,5.3,5.3,5.3,11000,0
19,2008-08-26,5.0,5.0,5.0,5.0,18000,0
20,2008-08-28,4.5,4.5,4.5,4.5,18000,0
21,2008-12-02,2.9,2.9,2.9,2.9,5000,0
22,2008-12-08,2.55,2.55,2.55,2.55,15000,0
23,2008-02-05,16.0,17.0,16.0,17.0,2000,0
24,2008-02-11,16.0,16.0,16.0,16.0,1000,0
25,2008-02-22,14.0,14.0,13.5,13.5,3000,0
26,2008-02-26,12.0,12.0,12.0,12.0,2000,0
27,2008-02-29,12.5,12.5,12.5,12.5,1000,0
28,2008-01-08,12.75,12.75,12.75,12.75,2000,0
29,2008-01-09,19.0,19.0,19.0,19.0,24000,0
30,2008-01-10,26.0,26.0,19.0,19.0,3000,0
31,2008-01-11,19.0,19.0,19.0,19.0,100,0
32,2008-01-14,16.0,18.75,15.0,18.75,12500,0
33,2008-01-21,15.0,15.0,15.0,15.0,2000,0
34,2008-07-02,3.5,3.5,3.5,3.5,9000,0
35,2008-07-15,3.8,3.8,3.8,3.8,1000,0
36,2008-07-18,3.5,3.5,3.5,3.5,1000,0
37,2008-07-24,3.7,4.5,3.7,4.5,18000,0
38,2008-07-25,4.4,6.0,4.4,5.8,77000,0
39,2008-07-29,5.0,5.0,5.0,5.0,10000,0
40,2008-07-30,5.0,5.0,5.0,5.0,5000,0
41,2008-07-31,5.0,5.0,5.0,5.0,5000,0
42,2008-06-10,3.0,3.0,3.0,3.0,12000,0
43,2008-06-12,3.0,3.0,3.0,3.0,8000,0
44,2008-06-13,3.35,4.5,3.35,4.5,109000,39100
45,2008-06-16,6.0,6.4,6.0,6.4,10000,0
46,2008-06-17,6.4,6.4,6.4,6.4,4000,0
47,2008-06-18,4.5,4.5,4.5,4.5,13000,0
48,2008-06-19,4.2,4.2,3.85,3.85,15000,0
49,2008-06-24,4.35,4.35,4.35,4.35,4000,0
50,2008-06-26,4.35,4.35,4.35,4.35,3000,0
51,2008-03-12,12.0,12.0,12.0,12.0,200,0
52,2008-03-18,9.5,9.5,9.5,9.5,1000,0
53,2008-03-19,7.2,7.2,7.2,7.2,4000,0
54,2008-03-26,7.2,7.2,7.2,7.2,2000,0
55,2008-03-31,7.0,7.0,6.5,6.5,4000,-7000
56,2008-05-23,3.2,3.65,3.2,3.65,102000,-259500
57,2008-05-26,3.15,3.15,3.15,3.15,2000,0
58,2008-05-28,3.0,3.45,3.0,3.45,11000,0
59,2008-11-07,2.9,2.9,2.9,2.9,1000,0
60,2008-11-10,3.9,3.9,3.9,3.9,1000,0
61,2008-10-10,3.5,3.5,3.5,3.5,5000,0
62,2008-10-14,3.5,3.5,3.5,3.5,6000,0
63,2008-10-27,3.3,3.3,3.3,3.3,1000,0
64,2008-09-03,3.8,3.8,3.8,3.8,1000,0
65,2008-09-04,4.75,4.75,4.5,4.6,14000,0
66,2008-09-10,4.05,4.05,4.05,4.05,6000,0
67,2008-09-11,4.5,4.5,4.5,4.5,9000,0
68,2008-09-18,3.4,3.4,3.4,3.4,2000,0
69,2009-04-03,2.9,2.9,2.9,2.9,2000,0
70,2009-04-21,3.2,3.2,3.2,3.2,1000,0
71,2009-02-02,1.54,1.6,1.54,1.6,3000,0
72,2009-02-03,1.7,1.7,1.7,1.7,2000,0
73,2009-02-04,1.8,1.8,1.8,1.8,2000,0
74,2009-02-05,1.8,1.9,1.8,1.9,6000,0
75,2009-02-06,2.0,2.0,2.0,2.0,2000,0
76,2009-02-09,2.1,2.1,2.1,2.1,2000,0
77,2009-02-11,2.12,2.12,2.12,2.12,2000,0
78,2009-02-12,2.14,2.18,2.14,2.18,4000,0
79,2009-02-13,2.22,2.26,2.22,2.26,4000,0
80,2009-02-16,2.3,2.4,2.3,2.4,4000,0
81,2009-02-17,2.5,3.15,2.5,3.15,24000,0
82,2009-02-18,3.2,3.5,3.2,3.5,10000,0
83,2009-02-19,3.6,4.5,3.6,4.5,10000,0
84,2009-02-26,2.75,2.75,2.75,2.75,3000,0
85,2009-02-27,2.75,2.75,2.75,2.75,2000,0
86,2009-03-04,2.75,2.75,2.75,2.75,4000,0
87,2009-03-17,2.75,2.75,2.75,2.75,2000,0
88,2009-03-24,2.75,2.75,2.75,2.75,1000,0
89,2009-03-25,2.75,2.75,2.75,2.75,1000,0
90,2009-03-26,3.0,3.0,3.0,3.0,2000,0
