,Date,Open,High,Low,Close,Volume,OtherData
0,2006-08-01,20.5,20.5,20.5,20.5,400,0.0
1,2006-08-02,20.5,20.5,20.5,20.5,500,0.0
2,2006-08-03,20.5,20.5,20.5,20.5,500,0.0
3,2006-08-04,20.5,20.5,20.5,20.5,600,0.0
4,2006-08-07,20.5,20.5,20.5,20.5,300,0.0
5,2006-08-08,20.0,20.0,20.0,20.0,1500,0.0
6,2006-08-09,20.25,20.25,20.25,20.25,400,0.0
7,2006-08-10,20.25,20.25,20.25,20.25,300,0.0
8,2006-08-11,20.25,20.25,20.25,20.25,600,0.0
9,2006-08-14,20.25,20.25,20.25,20.25,300,0.0
10,2006-08-15,20.5,20.5,20.5,20.5,400,0.0
11,2006-08-16,20.5,20.5,20.5,20.5,300,0.0
12,2006-08-17,20.5,20.5,20.5,20.5,300,0.0
13,2006-12-04,19.0,19.0,19.0,19.0,300,0.0
14,2006-12-05,19.0,19.0,19.0,19.0,200,0.0
15,2006-12-06,19.0,19.0,19.0,19.0,300,0.0
16,2006-12-07,19.0,19.0,19.0,19.0,300,0.0
17,2006-12-08,19.0,19.0,19.0,19.0,300,0.0
18,2006-12-11,19.0,19.0,19.0,19.0,300,0.0
19,2006-12-12,19.0,19.0,19.0,19.0,600,0.0
20,2006-12-13,19.0,19.0,19.0,19.0,300,0.0
21,2006-12-14,19.0,19.0,19.0,19.0,600,0.0
22,2006-12-15,19.0,19.0,19.0,19.0,600,0.0
23,2006-12-18,19.0,19.0,19.0,19.0,300,0.0
24,2006-12-19,19.0,19.0,19.0,19.0,600,0.0
25,2006-12-20,19.0,19.0,19.0,19.0,300,0.0
26,2006-12-21,19.0,19.0,19.0,19.0,300,0.0
27,2006-12-22,19.0,19.0,19.0,19.0,400,0.0
28,2006-12-27,19.0,19.0,19.0,19.0,600,0.0
29,2006-12-28,19.0,19.0,19.0,19.0,300,0.0
30,2006-12-29,19.0,19.0,19.0,19.0,600,0.0
31,2006-11-02,20.5,20.5,20.5,20.5,300,0.0
32,2006-11-03,20.5,20.5,20.5,20.5,600,0.0
33,2006-11-06,20.5,20.5,20.5,20.5,3100,0.0
34,2006-11-07,20.5,20.5,20.5,20.5,300,0.0
35,2006-11-08,20.5,20.5,20.5,20.5,300,0.0
36,2006-11-09,20.5,20.5,20.5,20.5,400,0.0
37,2006-11-10,20.5,20.5,20.5,20.5,600,0.0
38,2006-11-13,20.5,20.5,20.5,20.5,600,0.0
39,2006-11-14,20.5,20.5,20.5,20.5,300,0.0
40,2006-11-15,20.5,20.5,20.5,20.5,300,0.0
41,2006-11-16,20.5,20.5,20.5,20.5,400,0.0
42,2006-11-17,20.5,20.5,20.5,20.5,500,0.0
43,2006-11-20,20.5,20.5,20.5,20.5,10000,0.0
44,2006-11-21,18.5,18.5,18.5,18.5,400,0.0
45,2006-11-22,18.5,18.5,18.5,18.5,300,0.0
46,2006-11-23,18.5,18.5,18.5,18.5,400,0.0
47,2006-11-24,18.5,18.5,18.5,18.5,300,0.0
48,2006-11-27,18.5,18.5,18.5,18.5,500,0.0
49,2006-11-28,18.5,18.5,18.5,18.5,600,0.0
50,2006-11-29,18.5,19.0,18.5,19.0,10600,0.0
51,2006-11-30,19.0,19.0,19.0,19.0,300,0.0
52,2006-10-02,20.5,20.5,20.5,20.5,300,0.0
53,2006-10-03,20.5,20.5,20.5,20.5,600,0.0
54,2006-10-04,20.5,20.5,20.5,20.5,300,0.0
55,2006-10-05,20.5,20.5,20.5,20.5,400,0.0
56,2006-10-06,20.5,20.5,20.5,20.5,600,0.0
57,2006-10-09,20.5,20.5,20.5,20.5,300,0.0
58,2006-10-10,20.5,20.5,20.5,20.5,600,0.0
59,2006-10-11,20.5,20.5,20.5,20.5,400,0.0
60,2006-10-12,20.5,20.5,20.5,20.5,400,0.0
61,2006-10-13,20.5,20.5,20.5,20.5,600,0.0
62,2006-10-16,20.5,20.5,20.5,20.5,600,0.0
63,2006-10-17,20.5,20.5,20.5,20.5,500,0.0
64,2006-10-18,20.5,20.5,20.5,20.5,300,0.0
65,2006-10-19,20.5,20.5,20.5,20.5,300,0.0
66,2006-10-20,20.5,20.5,20.5,20.5,600,0.0
67,2006-10-23,20.5,20.5,20.5,20.5,600,0.0
68,2006-10-25,20.5,20.5,20.5,20.5,300,0.0
69,2006-10-26,20.5,20.5,20.5,20.5,300,0.0
70,2006-10-27,20.5,20.5,20.5,20.5,600,0.0
71,2006-10-30,20.5,20.5,20.5,20.5,600,0.0
72,2006-10-31,20.5,20.5,20.5,20.5,300,0.0
73,2006-09-01,20.5,20.5,20.5,20.5,500,0.0
74,2006-09-04,20.5,20.5,20.5,20.5,300,0.0
75,2006-09-05,20.5,20.5,20.5,20.5,400,0.0
76,2006-09-06,20.5,20.5,20.5,20.5,300,0.0
77,2006-09-07,20.5,20.5,20.5,20.5,600,0.0
78,2006-09-08,20.5,20.5,20.5,20.5,600,0.0
79,2006-09-11,20.5,20.5,20.5,20.5,300,0.0
80,2006-09-12,20.5,20.5,20.5,20.5,300,0.0
81,2006-09-13,20.5,20.5,20.5,20.5,400,0.0
82,2006-09-14,20.5,20.5,20.5,20.5,300,0.0
83,2006-09-15,20.5,20.5,20.5,20.5,600,0.0
84,2006-09-18,20.5,20.5,20.5,20.5,300,0.0
85,2006-09-19,20.5,20.5,20.5,20.5,600,0.0
86,2006-09-20,20.5,20.5,20.5,20.5,400,0.0
87,2006-09-21,20.5,20.5,20.5,20.5,300,0.0
88,2006-09-22,20.5,20.5,20.5,20.5,600,0.0
89,2006-09-25,20.5,20.5,20.5,20.5,300,0.0
90,2006-09-26,20.5,20.5,20.5,20.5,300,0.0
91,2006-09-27,20.5,20.5,20.5,20.5,400,0.0
92,2007-04-02,20.0,20.0,20.0,20.0,300,0.0
93,2007-04-03,20.0,20.0,20.0,20.0,300,0.0
94,2007-04-04,20.0,20.0,20.0,20.0,600,0.0
95,2007-04-10,20.0,20.0,20.0,20.0,300,0.0
96,2007-04-11,20.0,20.0,20.0,20.0,300,0.0
97,2007-04-12,20.0,20.0,20.0,20.0,300,0.0
98,2007-04-13,20.0,20.0,20.0,20.0,600,0.0
99,2007-04-16,20.0,20.0,20.0,20.0,300,0.0
100,2007-04-17,20.0,20.0,20.0,20.0,300,0.0
101,2007-04-18,20.0,20.0,20.0,20.0,300,0.0
102,2007-04-19,20.0,20.0,20.0,20.0,300,0.0
103,2007-04-20,20.0,20.0,20.0,20.0,300,0.0
104,2007-04-23,19.75,20.0,19.75,20.0,700,0.0
105,2007-04-24,19.75,19.75,19.75,19.75,300,0.0
106,2007-04-25,19.75,19.75,19.75,19.75,400,0.0
107,2007-04-26,19.75,19.75,19.75,19.75,300,0.0
108,2007-04-27,19.5,19.5,19.5,19.5,400,0.0
109,2007-04-30,19.5,19.5,19.5,19.5,300,0.0
110,2007-08-01,20.25,20.25,20.25,20.25,300,0.0
111,2007-08-02,20.25,20.25,20.25,20.25,300,0.0
112,2007-08-03,20.25,20.25,20.25,20.25,300,0.0
113,2007-08-06,20.25,20.25,20.25,20.25,300,0.0
114,2007-08-07,20.25,20.25,20.25,20.25,300,0.0
115,2007-08-08,20.25,20.25,20.25,20.25,300,0.0
116,2007-08-09,20.25,21.25,20.25,21.25,6000,0.0
117,2007-08-10,21.25,22.25,21.25,22.25,5500,0.0
118,2007-08-13,22.25,22.25,22.25,22.25,300,0.0
119,2007-08-14,22.25,22.25,22.25,22.25,300,0.0
120,2007-08-15,22.25,22.25,22.25,22.25,300,0.0
121,2007-08-16,22.25,23.25,22.25,23.25,5000,0.0
122,2007-08-17,23.25,23.5,23.25,23.5,19000,0.0
123,2007-08-21,23.5,23.5,23.5,23.5,600,0.0
124,2007-08-22,23.5,23.5,23.5,23.5,300,0.0
125,2007-08-23,23.5,23.5,23.5,23.5,300,0.0
126,2007-08-24,23.5,23.5,23.5,23.5,600,0.0
127,2007-08-28,23.0,23.0,23.0,23.0,400,0.0
128,2007-08-29,23.0,23.0,23.0,23.0,1300,0.0
129,2007-08-30,23.0,23.0,23.0,23.0,300,0.0
130,2007-08-31,23.0,23.0,23.0,23.0,600,0.0
131,2007-12-03,23.0,23.0,23.0,23.0,300,0.0
132,2007-12-04,23.0,23.0,21.0,23.0,1100,0.0
133,2007-12-05,23.0,23.0,23.0,23.0,300,0.0
134,2007-12-06,23.0,23.0,23.0,23.0,300,0.0
135,2007-12-07,23.0,23.0,23.0,23.0,600,0.0
136,2007-12-10,23.0,23.0,23.0,23.0,300,0.0
137,2007-12-11,23.0,23.0,23.0,23.0,100300,0.0
138,2007-12-12,23.0,23.0,23.0,23.0,100000,0.0
139,2007-12-13,23.0,23.0,23.0,23.0,100000,0.0
140,2007-12-14,23.0,23.0,23.0,23.0,100000,0.0
141,2007-12-17,23.0,23.0,23.0,23.0,100000,0.0
142,2007-12-18,23.0,23.0,23.0,23.0,300,0.0
143,2007-12-19,23.0,23.25,23.0,23.25,1600,0.0
144,2007-12-20,23.25,23.5,23.25,23.5,2000,0.0
145,2007-12-26,23.75,24.0,23.75,24.0,3000,0.0
146,2007-12-27,24.25,24.5,24.25,24.5,3000,0.0
147,2007-12-28,24.75,25.0,24.75,25.0,2000,0.0
148,2007-02-01,19.75,19.75,19.75,19.75,400,0.0
149,2007-02-02,19.75,19.75,19.75,19.75,300,0.0
150,2007-02-05,19.75,19.75,19.75,19.75,400,0.0
151,2007-02-06,19.75,19.75,19.75,19.75,300,0.0
152,2007-02-07,19.75,19.75,19.75,19.75,300,0.0
153,2007-02-08,19.75,19.75,19.75,19.75,400,0.0
154,2007-02-09,19.75,19.75,19.75,19.75,600,0.0
155,2007-02-12,19.75,19.75,19.75,19.75,300,0.0
156,2007-02-13,19.75,19.75,19.75,19.75,300,0.0
