,Date,Open,High,Low,Close,Volume,OtherData
0,2014-04-07,2.4,3.0,2.4,3.0,167525000.0,10148230.0
1,2014-04-08,3.53,4.42,3.53,3.86,161918000.0,641180.0
2,2014-04-10,4.03,4.1,3.67,3.95,47265000.0,-425630.0
3,2014-04-11,3.82,3.91,3.75,3.83,11303000.0,-66800.0
4,2014-04-14,3.84,4.01,3.77,3.97,24617000.0,-143490.0
5,2014-04-15,4.01,4.07,3.9,3.97,7994000.0,-132270.0
6,2014-04-16,3.99,4.04,3.97,3.99,9959000.0,-84110.0
7,2014-04-21,4.05,4.14,4.0,4.09,10598000.0,-426900.0
8,2014-04-22,4.14,4.3,4.14,4.25,10805000.0,-120880.0
9,2014-04-23,4.3,4.62,4.3,4.36,21329000.0,-171420.0
10,2014-04-24,4.42,4.51,4.28,4.34,7489000.0,680840.0
11,2014-04-25,4.4,4.4,4.15,4.3,9296000.0,1227430.0
12,2014-04-28,4.3,4.39,4.23,4.3,3912000.0,-181620.0
13,2014-04-29,4.31,4.32,4.25,4.28,3311000.0,-166430.0
14,2014-04-30,4.3,4.37,4.27,4.31,3781000.0,159470.0
15,2014-05-02,4.32,4.36,4.31,4.36,3438000.0,86400.0
16,2014-05-05,4.37,4.47,4.37,4.41,3982000.0,286650.0
17,2014-05-06,4.42,4.53,4.41,4.47,6887000.0,899290.0
18,2014-05-07,4.5,4.75,4.5,4.7,10714000.0,269270.0
19,2014-05-08,4.76,5.01,4.76,4.94,11174000.0,1756660.0
20,2014-05-09,5.03,7.4,5.03,6.76,50992000.0,4291070.0
21,2014-05-12,7.1,7.55,6.5,6.88,61543100.0,1393431.0
22,2014-05-13,7.02,7.04,6.8,6.97,9822200.0,-449086.0
23,2014-05-14,7.0,7.96,6.9,7.73,30757600.0,4421235.0
24,2014-05-15,7.83,9.75,7.74,9.5,56170700.0,1936191.0
25,2014-05-16,9.7,10.0,8.25,9.09,61277600.0,-4835274.0
26,2014-05-19,9.06,9.44,9.05,9.25,15168700.0,-99703.0
27,2014-05-20,9.39,9.45,9.05,9.22,9479100.0,685117.0
28,2014-05-21,9.23,9.3,8.45,8.78,24951000.0,785256.0
29,2014-05-22,8.78,9.2,8.78,9.15,9222000.0,-277692.0
30,2014-05-23,9.42,9.88,9.28,9.85,19381900.0,-1894988.0
31,2014-05-26,10.0,10.96,10.0,10.0,45206600.0,6820766.0
32,2014-05-27,9.37,9.79,9.0,9.7,19139100.0,694024.0
33,2014-05-28,10.0,10.42,9.79,9.9,12660100.0,1017154.0
34,2014-05-29,10.2,10.2,9.5,9.6,9614200.0,1276466.0
35,2014-05-30,9.6,9.6,9.03,9.2,12209300.0,1198576.0
36,2014-06-02,9.39,10.0,9.04,9.84,13612800.0,1826824.0
37,2014-06-03,10.2,10.24,9.5,9.5,12320900.0,1770668.0
38,2014-06-04,9.51,9.51,9.2,9.35,5328700.0,1637467.0
39,2014-06-05,9.37,9.75,9.3,9.38,4604700.0,468450.0
40,2014-06-06,9.38,9.4,9.0,9.15,6812700.0,1119495.0
41,2014-06-09,9.1,9.3,9.0,9.1,5218100.0,1196539.0
42,2014-06-10,9.2,9.2,9.03,9.04,2031800.0,689759.0
43,2014-06-11,9.04,9.04,7.55,7.8,23319400.0,5227697.0
44,2014-06-13,7.65,7.65,6.9,7.29,18150000.0,4008035.0
45,2014-06-16,7.3,8.29,7.3,8.19,12079800.0,-843565.0
46,2014-06-17,8.5,8.66,8.19,8.2,9105000.0,261129.0
47,2014-06-18,8.19,8.19,7.6,8.0,3997100.0,633299.0
48,2014-06-19,8.11,8.15,7.9,7.9,2142700.0,459588.0
49,2014-06-20,7.9,8.5,7.9,8.39,6743000.0,10061606.0
50,2014-06-23,8.4,8.49,8.06,8.09,1926500.0,232773.0
51,2014-06-24,8.24,8.24,8.12,8.15,1202000.0,16843.0
52,2014-06-25,8.14,8.25,8.12,8.12,1320800.0,1374.0
53,2014-06-26,8.12,8.3,8.08,8.12,2082000.0,798180.0
54,2014-06-27,8.13,8.16,7.98,7.98,1971500.0,136647.0
55,2014-06-30,7.97,8.11,7.97,8.0,1128300.0,16744.0
56,2014-07-01,8.0,8.1,8.0,8.0,597100.0,-154450.0
57,2014-07-02,8.01,8.11,8.0,8.01,1172900.0,0.0
58,2014-07-03,8.08,8.08,7.8,7.92,1726700.0,1488364.0
59,2014-07-04,7.95,8.01,7.92,7.92,1246000.0,116564.0
60,2014-07-07,7.92,7.92,7.7,7.73,2125700.0,204334.0
61,2014-07-08,7.73,7.73,7.48,7.61,1932900.0,96085.0
62,2014-07-09,7.56,7.59,7.33,7.37,2136400.0,90090.0
63,2014-07-10,7.35,7.8,7.34,7.75,2277400.0,3644728.0
64,2014-07-11,7.83,8.2,7.83,7.98,4916600.0,6299923.0
65,2014-07-14,8.0,8.02,7.81,7.9,656600.0,298284.0
66,2014-07-15,7.86,7.9,7.59,7.63,1886500.0,339861.0
67,2014-07-17,7.63,7.75,7.63,7.68,597600.0,1190073.0
68,2014-07-18,7.68,7.68,7.53,7.63,443700.0,80454.0
69,2014-07-21,7.6,7.6,7.5,7.56,1118700.0,166520.0
70,2014-07-22,7.56,7.65,7.53,7.62,688100.0,2049975.0
71,2014-07-23,7.63,7.83,7.58,7.7,703600.0,1779909.0
72,2014-07-24,7.72,7.72,7.64,7.69,565700.0,1198510.0
73,2014-07-25,7.7,7.71,7.66,7.67,429900.0,739930.0
74,2014-07-28,7.67,7.7,7.55,7.67,502200.0,725692.0
75,2014-07-30,7.65,7.65,7.5,7.5,1343300.0,2593256.0
76,2014-07-31,7.53,7.55,7.3,7.31,1899200.0,-3940301.0
77,2014-08-01,7.29,7.29,7.0,7.24,1635400.0,140565.0
78,2014-08-04,7.24,7.55,7.24,7.5,1240100.0,-451450.0
79,2014-08-05,7.7,7.85,7.54,7.78,2084100.0,3910994.0
80,2014-08-06,7.79,7.98,7.73,7.74,1092500.0,39600.0
81,2014-08-07,7.75,7.75,7.6,7.67,618600.0,-7085.0
82,2014-08-08,7.66,7.66,7.55,7.57,439700.0,0.0
83,2014-08-11,7.56,7.65,7.55,7.58,303400.0,69900.0
84,2014-08-12,7.58,7.65,7.55,7.58,510200.0,760.0
85,2014-08-13,7.59,7.63,7.54,7.55,1563000.0,49361.0
86,2014-08-14,7.53,7.61,7.53,7.55,430700.0,0.0
87,2014-08-15,7.68,7.68,7.49,7.57,758300.0,30060.0
88,2014-08-18,7.58,7.61,7.45,7.45,680500.0,-44970.0
89,2014-08-19,7.45,7.5,7.3,7.34,670900.0,-36433.0
90,2014-08-20,7.32,7.32,7.2,7.24,1315100.0,296687.0
91,2014-08-22,7.24,7.5,7.2,7.41,858400.0,1007681.0
92,2014-08-26,7.49,7.53,7.41,7.41,630000.0,201072.0
93,2014-08-27,7.42,7.46,7.4,7.43,383600.0,609843.0
94,2014-08-28,7.43,7.43,7.34,7.38,792300.0,479427.0
95,2014-08-29,7.38,7.4,7.35,7.38,524600.0,368000.0
96,2014-09-01,7.38,7.43,7.32,7.41,523800.0,22200.0
97,2014-09-02,7.45,7.82,7.45,7.69,2317300.0,-174588.0
98,2014-09-03,7.72,7.83,7.72,7.75,675700.0,35097.0
99,2014-09-04,7.75,7.75,7.7,7.71,472800.0,539471.0
100,2014-09-05,7.71,7.71,7.5,7.63,580300.0,112950.0
101,2014-09-08,7.63,7.63,7.52,7.54,725900.0,-45240.0
102,2014-09-09,7.56,7.63,7.54,7.54,628700.0,-9109.0
103,2014-09-10,7.54,7.6,7.53,7.54,612300.0,1516.0
104,2014-09-11,7.54,7.7,7.48,7.5,644600.0,-2240002.0
105,2014-09-12,7.57,7.59,7.52,7.59,379000.0,145033.0
106,2014-09-15,7.59,7.64,7.56,7.56,294800.0,-207141.0
107,2014-09-16,7.55,7.6,7.52,7.55,313000.0,5320.0
108,2014-09-17,7.55,7.56,7.51,7.55,826700.0,-375603.0
109,2014-09-18,7.56,7.83,7.56,7.7,1487400.0,-933057.0
110,2014-09-22,7.84,8.13,7.8,8.13,6331700.0,876201.0
111,2014-09-23,8.24,8.39,8.0,8.0,3742300.0,89202.0
112,2014-09-24,8.0,8.07,7.86,7.93,852600.0,71100.0
113,2014-09-25,7.93,8.1,7.81,7.81,1232200.0,523998.0
114,2014-09-26,7.81,8.0,7.69,7.8,1732700.0,448430.0
115,2014-09-29,7.95,7.95,7.7,7.7,665900.0,0.0
116,2014-09-30,7.7,7.86,7.7,7.8,422600.0,15500.0
117,2014-10-01,7.85,7.89,7.79,7.81,400400.0,-15600.0
118,2014-10-02,7.79,7.96,7.7,7.78,318200.0,-108238.0
119,2014-10-03,7.8,7.9,7.78,7.82,273900.0,0.0
120,2014-10-07,7.82,8.0,7.82,7.88,935200.0,0.0
121,2014-10-08,7.87,7.87,7.79,7.82,553700.0,313000.0
122,2014-10-09,7.81,7.95,7.8,7.84,694000.0,498826.0
