,Date,Open,High,Low,Close,Volume,OtherData
0,2016-07-26,109.4,109.4,103.1,106.3,976090,-58420
1,2016-07-27,106.0,106.0,104.8,105.0,520800,0
2,2016-07-28,105.0,105.1,103.0,104.2,244100,61880
3,2016-07-29,104.2,104.9,104.2,104.5,145200,0
4,2016-08-01,104.6,106.0,104.4,104.6,178430,-1567500
5,2016-08-03,105.4,106.0,104.8,104.8,307820,-73780
6,2016-08-04,105.9,105.9,104.7,105.7,18390,-523500
7,2016-08-05,105.0,105.7,105.0,105.7,13530,0
8,2016-08-08,105.3,105.3,104.7,104.8,189290,-1050000
9,2016-08-09,104.8,104.9,104.2,104.4,169080,0
10,2016-08-10,104.4,104.5,104.2,104.2,130140,0
11,2016-08-11,104.2,104.8,103.0,104.0,264030,1030500
12,2016-08-12,104.0,104.6,104.0,104.5,12090,0
13,2016-08-15,104.8,104.8,104.1,104.2,35910,0
14,2016-08-16,104.5,104.5,104.1,104.2,10360,0
15,2016-08-17,104.2,104.3,103.6,103.6,103820,0
16,2016-08-18,104.0,104.5,104.0,104.5,61300,0
17,2016-08-19,104.4,104.4,103.8,104.0,75360,0
18,2016-08-22,103.9,103.9,103.5,103.5,172470,8288
19,2016-08-23,103.5,104.0,103.4,103.4,51030,0
20,2016-08-24,103.4,103.8,103.4,103.8,88320,0
21,2016-08-25,103.4,104.0,103.4,103.5,79880,0
22,2016-08-26,103.4,104.0,103.4,104.0,39080,0
23,2016-08-30,103.8,104.0,103.8,104.0,317570,0
24,2016-08-31,104.4,104.5,104.0,104.1,18420,0
25,2016-09-01,104.4,105.0,104.0,104.9,69570,0
26,2016-09-02,104.0,105.0,104.0,104.9,79050,-524500
27,2016-09-05,104.9,105.0,104.0,105.0,80000,0
28,2016-09-06,105.0,105.0,104.5,104.5,2430,0
29,2016-09-07,104.9,104.9,104.5,104.8,5880,-1049
30,2016-09-08,104.6,104.9,104.5,104.6,53640,-31383
31,2016-09-09,104.1,105.0,104.1,105.0,38370,-102802
32,2016-09-13,105.0,105.5,104.6,104.6,131640,0
33,2016-09-14,104.6,105.0,104.6,105.0,12010,0
34,2016-09-15,104.7,104.9,104.7,104.7,5610,0
35,2016-09-16,104.9,105.1,104.8,105.0,43880,0
36,2016-09-19,105.0,105.5,105.0,105.5,14360,0
37,2016-09-20,105.6,105.6,105.4,105.4,109550,0
38,2016-09-21,105.4,105.5,104.0,104.0,189410,0
39,2016-09-22,105.5,105.5,104.2,105.0,31760,0
40,2016-09-23,105.0,105.4,105.0,105.0,1860,0
41,2016-09-26,105.0,105.4,105.0,105.2,16380,0
42,2016-09-27,105.3,105.4,105.2,105.2,71080,0
43,2016-09-28,105.2,105.5,104.0,105.0,298640,0
44,2016-09-29,104.0,104.0,103.4,103.5,85280,12420
45,2016-09-30,103.5,103.9,103.5,103.6,2450,0
46,2016-10-03,103.6,103.8,103.0,103.7,23900,0
47,2016-10-04,103.9,103.9,103.7,103.7,22800,0
48,2016-10-05,103.7,103.7,103.0,103.5,28020,0
49,2016-10-06,103.5,103.7,103.0,103.5,100130,0
50,2016-10-07,103.5,103.8,103.2,103.8,52790,0
51,2016-10-10,103.6,103.8,103.6,103.8,6170,0
52,2016-10-11,103.9,104.0,103.9,103.9,10420,0
53,2016-10-12,103.9,103.9,103.6,103.9,4030,0
54,2016-10-13,103.9,104.0,103.6,103.7,25630,0
55,2016-10-14,103.6,103.8,103.6,103.6,61100,0
56,2016-10-17,103.8,103.8,103.5,103.6,16860,0
57,2016-10-18,103.6,103.7,103.5,103.5,30710,0
58,2016-10-19,103.5,103.5,103.4,103.4,16190,0
59,2016-10-20,103.5,103.5,103.3,103.4,3840,0
60,2016-10-21,103.4,103.5,103.3,103.5,172580,0
61,2016-10-24,103.7,103.8,103.5,103.8,12150,0
62,2016-10-25,103.8,104.0,103.7,103.9,40450,1994718
63,2016-10-26,103.9,104.0,103.8,104.0,108440,975542
64,2016-10-27,104.0,104.1,104.0,104.0,38280,1560000
65,2016-10-28,104.0,104.0,104.0,104.0,17390,1201200
66,2016-11-02,104.0,104.0,103.5,104.0,87160,739281
67,2016-11-03,104.0,104.1,103.8,104.1,94600,997668
68,2016-11-04,104.1,104.2,104.0,104.1,11680,19760
69,2016-11-07,104.2,104.2,104.0,104.1,7940,0
70,2016-11-08,104.0,104.2,104.0,104.1,10860,0
71,2016-11-09,104.2,104.2,104.0,104.0,42530,0
72,2016-11-11,104.5,105.0,104.5,104.5,36050,0
73,2016-11-14,104.9,104.9,104.8,104.9,15760,0
74,2016-11-15,104.9,105.0,104.9,104.9,36100,0
75,2016-11-16,105.0,105.0,104.9,104.9,59690,0
76,2016-11-17,104.9,105.0,104.9,104.9,15070,98700
77,2016-11-18,104.9,105.0,104.9,105.0,2700,0
78,2016-11-21,104.9,104.9,104.5,104.5,71980,0
79,2016-11-22,104.2,104.9,104.2,104.3,29050,0
80,2016-11-23,104.1,104.8,104.1,104.2,10110,0
81,2016-11-24,104.1,105.0,104.0,104.9,112250,0
82,2016-11-25,104.4,104.9,104.3,104.9,370,0
83,2016-11-28,104.0,104.0,103.6,103.6,7820,0
84,2016-11-29,104.0,104.0,104.0,104.0,5290,0
85,2016-12-01,104.0,104.9,104.0,104.9,30780,0
86,2016-12-02,104.2,104.2,104.0,104.2,26300,0
87,2016-12-05,103.8,103.8,103.6,103.6,2500,0
88,2016-12-06,104.0,104.9,104.0,104.0,64830,0
89,2016-12-07,104.0,104.0,103.4,104.0,146650,0
90,2016-12-08,104.0,104.0,103.1,103.2,39430,0
91,2016-12-09,103.9,104.0,103.1,104.0,12040,0
92,2016-12-12,104.0,104.0,103.4,103.4,15620,73840
93,2016-12-13,103.7,103.8,103.4,103.5,5140,30073
94,2016-12-14,104.0,104.0,103.6,104.0,56100,0
95,2016-12-15,104.1,104.1,104.0,104.1,19930,0
96,2016-12-16,104.1,104.8,104.0,104.0,10030,0
97,2016-12-19,104.0,104.1,104.0,104.0,60260,0
98,2016-12-20,104.0,104.4,103.7,104.0,26900,0
99,2016-12-21,104.7,104.7,104.0,104.0,230,0
100,2016-12-22,103.7,104.1,103.7,104.0,21460,0
101,2016-12-23,104.1,104.1,103.9,103.9,3650,0
102,2016-12-27,104.0,104.2,104.0,104.2,10420,0
103,2016-12-28,104.3,104.8,104.0,104.8,100010,0
104,2016-12-29,104.0,104.5,103.7,103.7,8100,7259
105,2017-01-03,104.8,104.8,104.4,104.4,11070,0
106,2017-01-04,103.7,104.1,103.7,104.1,35830,79849
107,2017-01-05,104.1,104.1,103.8,103.8,610,0
108,2017-01-06,103.8,104.2,103.7,103.7,23840,485316
109,2017-01-09,103.8,104.3,103.8,104.3,5880,39634
110,2017-01-10,103.8,104.4,103.8,104.4,14570,0
111,2017-01-11,104.4,104.4,104.0,104.0,77080,0
112,2017-01-12,104.0,104.0,104.0,104.0,20040,0
113,2017-01-13,104.0,104.0,104.0,104.0,10,0
114,2017-01-16,104.0,104.0,104.0,104.0,850,0
115,2017-01-17,104.1,104.1,104.0,104.1,100880,0
116,2017-01-18,104.1,104.4,104.1,104.1,5830,0
117,2017-01-19,104.1,104.6,104.1,104.5,211330,0
118,2017-01-20,104.3,104.5,104.3,104.4,12310,0
119,2017-01-23,104.5,104.6,104.5,104.6,67520,0
120,2017-01-24,104.5,104.5,104.0,104.0,10300,0
121,2017-01-25,104.5,104.6,104.3,104.6,2530,0
122,2017-01-26,104.5,104.6,104.5,104.5,6280,0
123,2017-01-27,104.3,104.3,104.3,104.3,20000,0
124,2017-01-30,104.1,104.6,103.7,103.7,75900,4162989
125,2017-01-31,104.0,104.0,104.0,104.0,3500,0
126,2017-02-01,104.0,104.1,104.0,104.1,100,0
127,2017-02-02,105.0,105.0,104.5,104.5,1600,0
128,2017-02-03,104.8,104.8,104.8,104.8,1820,0
129,2017-02-06,104.8,104.8,104.5,104.5,10690,-836000
130,2017-02-07,104.6,104.6,104.5,104.6,183490,0
131,2017-02-08,105.0,105.0,104.9,104.9,17110,0
132,2017-02-09,104.5,104.6,104.5,104.6,1670,0
133,2017-02-10,104.6,104.7,103.0,104.7,206670,0
134,2017-02-13,104.5,104.9,104.5,104.9,5580,0
135,2017-02-14,104.5,104.8,104.5,104.5,46100,0
136,2017-02-15,104.5,104.9,104.5,104.9,10090,0
137,2017-02-16,104.0,104.9,104.0,104.9,20,0
138,2017-02-17,104.5,104.5,104.0,104.0,3000,0
139,2017-02-20,104.0,104.0,104.0,104.0,8100,0
140,2017-02-21,104.0,105.0,104.0,105.0,42700,0
141,2017-02-22,105.0,105.0,105.0,105.0,16500,0
142,2017-02-23,104.5,105.0,104.0,104.0,229140,9999600
143,2017-02-24,105.0,105.0,104.0,104.0,782900,0
144,2017-02-27,104.1,104.1,103.5,103.5,70380,0
145,2017-02-28,103.5,104.0,103.5,104.0,1260,0
146,2017-03-01,104.0,104.0,104.0,104.0,5500,0
147,2017-03-02,104.9,105.5,104.0,105.5,36390,0
148,2017-03-03,105.0,105.5,105.0,105.0,74900,0
149,2017-03-06,105.0,105.0,105.0,105.0,29570,0
150,2017-03-07,105.0,106.7,105.0,106.5,19770,-1753050
151,2017-03-08,106.4,106.4,106.4,106.4,21110,0
152,2017-03-09,105.1,106.5,105.1,106.5,19520,0
