,Date,Open,High,Low,Close,Volume,OtherData
0,2018-04-13,12.5,12.5,10.1,10.44,9900,-2622
1,2018-04-16,10.46,10.46,10.44,10.44,1100,0
2,2018-04-17,10.12,10.3,10.0,10.1,3000,0
3,2018-04-18,10.04,10.3,9.92,10.3,3600,0
4,2018-04-19,9.88,10.3,9.88,10.28,8300,0
5,2018-04-20,10.02,10.02,10.0,10.0,10000,0
6,2018-04-23,10.0,10.0,9.92,9.92,13400,100000
7,2018-04-24,9.94,10.14,9.92,9.92,49700,-18865
8,2018-04-25,9.89,10.14,9.89,10.0,2500,0
9,2018-04-26,10.14,10.14,9.9,9.9,8100,0
10,2018-04-27,9.9,10.0,9.89,9.9,3400,-26790
11,2018-04-30,9.89,10.2,9.89,10.18,3900,0
12,2018-05-02,10.0,10.0,10.0,10.0,3200,0
13,2018-05-03,9.94,9.94,9.6,9.6,43200,-420390
14,2018-05-04,9.31,9.58,9.0,9.0,46900,-428621
15,2018-05-07,9.38,9.38,9.01,9.01,77600,-577133
16,2018-05-08,9.01,9.04,9.0,9.0,42300,-72080
17,2018-05-09,9.3,9.3,9.0,9.0,3000,0
18,2018-05-10,9.3,9.3,9.1,9.2,9700,0
19,2018-05-11,9.1,9.3,9.1,9.3,12800,0
20,2018-05-15,9.3,9.5,9.3,9.41,25600,-86475
21,2018-05-16,9.45,9.5,9.45,9.45,7300,-7502
22,2018-05-17,9.46,9.46,9.45,9.45,17200,-113450
23,2018-05-18,9.45,9.45,9.45,9.45,900,-6614
24,2018-05-21,9.45,9.45,9.38,9.38,6000,-2854
25,2018-05-22,9.98,9.98,9.7,9.7,3200,0
26,2018-05-23,9.95,9.95,9.7,9.7,1600,0
27,2018-05-24,9.8,9.8,9.8,9.8,4100,0
28,2018-05-25,9.8,9.98,9.8,9.8,21700,0
29,2018-05-28,9.98,9.98,9.38,9.7,167700,-2850
30,2018-05-29,9.7,9.8,9.21,9.7,4800,-33950
31,2018-05-30,9.98,9.98,9.01,9.69,45000,-346002
32,2018-05-31,9.68,9.68,8.9,9.0,103200,-745016
33,2018-06-01,9.0,9.1,8.8,9.0,52700,-414450
34,2018-06-04,9.3,9.6,8.8,9.3,41900,-324492
35,2018-06-05,9.0,9.28,8.82,8.82,32100,-214573
36,2018-06-06,8.83,9.28,8.8,8.8,31000,-243231
37,2018-06-07,8.81,9.25,8.81,9.1,12500,-22750
38,2018-06-08,9.2,9.2,8.71,8.71,49500,-362672
39,2018-06-11,9.22,9.22,8.7,8.71,30300,-214072
40,2018-06-13,8.7,9.13,8.61,8.66,6800,0
41,2018-06-14,9.11,9.11,8.8,8.99,8900,0
42,2018-06-18,9.13,9.13,8.68,8.68,3000,0
43,2018-06-19,8.5,8.52,8.2,8.2,33500,-180213
44,2018-06-20,8.2,8.2,8.05,8.06,29900,-226536
45,2018-06-21,8.06,8.06,7.4,7.9,60600,-408319
46,2018-06-22,7.4,8.14,7.4,8.0,20700,-124000
47,2018-06-25,8.09,8.43,8.0,8.43,12400,0
